chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# # house of commons defence committee,38,7,9,0,unitedkingdom_2022_IntegratedReview.md,2025-01-28 18:54:15
2,"# the integrated review, defence in a competitive age and the defence and security industrial strategy",102,16,19,1,unitedkingdom_2022_IntegratedReview.md,2025-01-28 18:54:15
3,# # # # second report of session 2022 – 23,42,11,14,2,unitedkingdom_2022_IntegratedReview.md,2025-01-28 18:54:15
4,"# # # # # report, together with formal minutes relating to the report _ ordered by the house of commons _ _ to be printed 19 july 2022 _ * * hc 180 * * * * incoporating hc 166 ( session 2021 - 22 ) and hc 1333 ( session 2019 - 21 ) * * published on 28 july 2022 by authority of the house of commons - - - - - * * the defence committee * * the defence committee is appointed by the house of commons to examine the expenditure, administration, and policy of the ministry of defence and its associated public bodies. * * current membership * * [ rt hon",549,118,130,3,unitedkingdom_2022_IntegratedReview.md,2025-01-28 18:54:15
5,"tobias ellwood mp ( independent, bournemouth east ) ( chair ) ] ( https : / / members. parliament. uk / member / 1487 / contact ) [ stuart anderson mp ( conservative, wolverhampton south west ) ] ( https : / / members. parliament. uk / member / 4742 / contact ) [ sarah atherton mp ( conservative, wrexham ) ] ( https : / / members. parliament. uk / member / 4855 / contact ) [ dave doogan mp ( scottish national party, angus ) ] ( https : / / members. parliament. uk / member / 4736 / contact ) [ richard drax mp",513,107,130,3,unitedkingdom_2022_IntegratedReview.md,2025-01-28 18:54:15
6,"( conservative, south dorset ) ] ( https : / / members. parliament. uk / member / 4132 / contact ) [ rt hon mr mark francois mp ( conservative, rayleigh and wickford ) ] ( https : / / members. parliament. uk / member / 1444 / contact ) [ rt hon kevan jones mp ( labour, north durham ) ] ( https : / / members. parliament. uk / member / 1438 / contact ) [ mrs emma lewell - buck mp ( labour, south shields ) ] ( https : / / members. parliament. uk / member / 4277 / contact ) [",476,106,130,3,unitedkingdom_2022_IntegratedReview.md,2025-01-28 18:54:15
7,"gavin robinson mp ( democratic unionist party, belfast east ) ] ( https : / / members. parliament. uk / member / 4360 / contact ) [ rt hon john spellar mp ( labour, warley ) ] ( https : / / members. parliament. uk / member / 318 / contact ) [ derek twigg mp ] ( https : / / members. parliament. uk / member / 429 / contact ) ( labour, halton ) [ martin docherty - hughes mp ] ( https : / / members. parliament. uk / member / 4374 / contact ) _ ( scottish national party, west dunbar",482,105,130,3,unitedkingdom_2022_IntegratedReview.md,2025-01-28 18:54:15
8,"##tonshire ) was a _ member of the committee during this inquiry. * * powers * * the committee is one of the departmental select committees, the powers of which are set out in house of commons standing orders, principally in so no 152. these [ are available on the internet via www. parliament. uk. ] ( https : / / www. parliament. uk / ) * * publications * * © parliamentary copyright house of commons 2022. this publication may be reproduced under the terms of the open parliament licence, which is published at [ www. parliament. uk / copyright. ] ( https : / / www. parliament. uk",584,110,132,3,unitedkingdom_2022_IntegratedReview.md,2025-01-28 18:54:15
9,"/ copyright ) committee reports are published on the committee ’ s website at [ www. parliament. uk / defcom and in print by order of the house. ] ( https : / / committees. parliament. uk / committee / 24 / defence - committee / publications / ) * * committee staff * * masrur ahmed ( second clerk ), mark etherton ( clerk ), lucy petrie ( committee specialist ), sascha sajjad ( committee operations officer ), eleanor scarnell ( committee specialist ), ian thomson ( committee specialist ), nigel vinson ( committee specialist ) and sarah williams ( committee operations manager ). *",585,106,130,3,unitedkingdom_2022_IntegratedReview.md,2025-01-28 18:54:15
10,"* contacts * * all correspondence should be addressed to the clerk of the defence committee, house of commons, london sw1a 0aa. the telephone number for general enquiries is 020 7219 6168 / 3113 ; the committee ’ s email address is [ defcom @ parliament. uk. media inquiries should be addressed to toni mcandrew - ] ( mailto : defcom % 40parliament. uk? subject = ) noon on 075 6243 5286. [ you can follow the committee on twitter using @ commonsdefence. ] ( https : / / twitter. com / commonsde",495,93,130,3,unitedkingdom_2022_IntegratedReview.md,2025-01-28 18:54:15
