chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# politica de defensa nacional! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png ) off! [ 1 _ image _ 0. png ] ( 1 _ image _ 0. png ) politica de defensa nacional politica! [ 2 _ image _ 0. png ] ( 2 _ image _ 0. png ) de defensa nacional un uruguay integrado a la region y abierto al mundo off! [ 3 _ image _ 0. png ] ( 3 _ image _ 0. png ),336,89,128,0,uruguay_2014_NationalDefense_noneng.md,2025-01-28 18:58:19
2,# prefacio! [ 4 _ image _ 0. png ] ( 4 _ image _ 0. png ) oaoeooooooooooo¢oooooo - co¢ooooocjooooooo¢ooo · jocoo o£oo oøjooooooao¢oo¢jo - ¢oooooooojoo¢o oooaʒ ooooao¢oooeooo o ¢o o £jo o o o o o o cjo£oooooooco oʒ ooodzoojoo - cjoooøo¢oooʒo,240,44,130,1,uruguay_2014_NationalDefense_noneng.md,2025-01-28 18:58:19
3,ooooojoo¢oo ooojoo · odzoooojo oooøjoooo ¡ jo oco¢o£joooo¢oojo¢oo odzooojoocoooʒoooooujoajoao¢oaooocoøooooojo øoooojo¤oooceoʒ ocoooo¢oo£oooooao¢oʒooo · ooo i odzo£oooojoce - aooooocoooo! [ 5 _ image _ 0. png ] ( 5 _ image _ 0. png ) o,234,34,130,1,uruguay_2014_NationalDefense_noneng.md,2025-01-28 18:58:19
4,##¤jooojoooao¢oejoooaoooo¢ooo aoooooo£ʒ oojoooooaooo - coooo¢oocoooʒ ooocooooocoøjo ooooojooooo¤oo ao ¢o £ao o o o ʒo ao o o ooaoo o o¢o¢o¢oo eo¢o o ooooooo ojoooooooooo ¡ o oooooʒ cjooo¢ooaooooaoo ooocjoo oøo oo · o jooao ooo oco o,232,37,132,1,uruguay_2014_NationalDefense_noneng.md,2025-01-28 18:58:19
5,##¢oʒ ii,8,2,8,1,uruguay_2014_NationalDefense_noneng.md,2025-01-28 18:58:19
6,# indice | prefacio. | | | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - | | introduccion. | | | el uruguay : la seguridad y la defensa | | | ei escenario estrategico … | | | el contexto internacional. | 06 | | el contexto regional | | | context,323,107,130,2,uruguay_2014_NationalDefense_noneng.md,2025-01-28 18:58:19
7,##o nacional : el uruguay. | 11 | | la vigencia de su valor geopolitico | | | el uruguay y el mundo. las relaciones internacionales. | | | la seguridad publica. | 13 | | la defensa militar … | 15 | | el escenario futuro … | | | los intereses nacionales que inspiran al uruguay | | | los objetivos de la defensa nacional | | | los obstaculos que podriamos enfrentar | | | los lineamientos estrategicos,400,81,132,2,uruguay_2014_NationalDefense_noneng.md,2025-01-28 18:58:19
8,para la defensa nacional … | | iii off! [ 7 _ image _ 0. png ] ( 7 _ image _ 0. png ),85,25,34,2,uruguay_2014_NationalDefense_noneng.md,2025-01-28 18:58:19
9,"# introduccion! [ 8 _ image _ 0. png ] ( 8 _ image _ 0. png ) la politica de defensa nacional es caracterizada segun el art. 3º de la ley marco de defensa nacional nº 18. 650, como politica publica. segun el mandato de la propia norma, debe propender a traves de acuerdos amplios a politicas de estado y debe cumplir con los principios generales de derecho interno y del derecho",378,73,130,3,uruguay_2014_NationalDefense_noneng.md,2025-01-28 18:58:19
10,"internacional en coordinacion con la politica exterior del estado. en tal sentido, se entiende como politicas publicas al conjunto de lineamientos [UNK] - minados, facultado por el marco normativo, que pretenden crear, transformar o preservar las condiciones en que se desenvuelve la vida de la poblacion y de los diversos grupos sociales. asimismo, los planes persiguen objetivos y en este caso en particular, protegen intereses nacionales ; por",446,68,130,3,uruguay_2014_NationalDefense_noneng.md,2025-01-28 18:58:19
