chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"! [ 0 _ image _ 1. png ] ( 0 _ image _ 1. png ) the white hous! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png ) washington february 18, 1977 presidential review memorandum / nsc - 10 to : the vice president the secretary of state the secretary of defense also : the director, office of management and budget the director, arms control and disarmament agency the chairman, joint chiefs of staff the director of central intelligence the u. s. representative to the united nations subject : comprehensive net assessment and military force posture review ( u ) i",556,109,130,0,us_1977_MilitaryStrategyAndForcePostureReview.md,2025-01-28 18:57:48
2,"hereby direct that a comprehensive examination be made of overall u. s. national strategy and capabilities. this examination will consist of two parts to be done concurrently. one part of the examination will be conducted by the policy review committee under the chairmanship of the secretary of defense. it will define a wide range of alternative military strategies and construct alternative military force postures and programs in support each of these military strategies. among other topics, this segment will consider : military force levels ; technological developments with regard to new weaponry ; alternatives to our reliance on foreign bases ; deterrence at reciprocally lowered strategic levels ; viability and desirability of the",742,113,130,0,us_1977_MilitaryStrategyAndForcePostureReview.md,2025-01-28 18:57:48
3,""" triad "" posture. this portion should also evaluate the relative ability of the u. s. and its allies to achieve u. s. objectives in specified military contingencies. it will identify the key issues for presidential decisions, including the budgetary implications of each of these postures. the other part will be a dynamic net assessment conducted by the special coordination committee under the chairmanship of the assistant to the president for national security affairs. it will consist of review and comparison of the overall trends in the political, diplomatic, economic, technological, and military capabilities of the united states, its allies, and potential ons of e. o",678,106,130,0,us_1977_MilitaryStrategyAndForcePostureReview.md,2025-01-28 18:57:48
4,". 12356! [ 0 _ image _ 2. png ] ( 0 _ image _ 2. png ) s. tilley, mational security council! [ 0 _ image _ 3. png ] ( 0 _ image _ 3. png ) adversaries. it will evaluate the objectives and national strategies that may be pursued by our principal potential adversaries and examine the alternative national objectives and strategies appropriate to the united states. this two - part analysis should identify for presidential decisions alternative national strategies and the major defense programs and other initiatives required to implement them. the two parts should be carefully coordinated with one another.",608,105,130,0,us_1977_MilitaryStrategyAndForcePostureReview.md,2025-01-28 18:57:48
5,"in offer to achieve this, i have directed the assistant to the president / national security affairs to develop additionally more detailed terms of reference for this analysis. these terms of reference will be presented for my review by february 24. i also want interim reports to allow further guidance as the study progresses. a summary of the entire report, not to exceed 70 pages, should be submitted for nsc consideration not later than june 1, 1977 ; the final version should be completed by june 15, 1977.! [ 1 _ image _ 1. png ] ( 1 _ image _ 1. png )! [ 1 _ image _ 2. p",579,111,130,0,us_1977_MilitaryStrategyAndForcePostureReview.md,2025-01-28 18:57:48
6,##ng ] ( 1 _ image _ 2. png )! [ 1 _ image _ 3. png ] ( 1 _ image _ 3. png ) 2! [ 1 _ image _ 0. png ] ( 1 _ image _ 0. png ),125,43,59,0,us_1977_MilitaryStrategyAndForcePostureReview.md,2025-01-28 18:57:48
7,"# # "" jnclassified top secret the secretary of defense shington d c. 20301 5 jun 1977! [ 2 _ image _ 0. png ] ( 2 _ image _ 0. png )! [ 2 _ image _ 1. png ] ( 2 _ image _ 1. png ) memorandum for the secretary of state director, office of management and budget assistant to the president for national security affairs director, arms control and disarmament agency chairman, joint chiefs of staff director of central intelligence subject : prm - 10 force posture study ( c ) the prm / nsc force posture study has served",517,104,130,1,us_1977_MilitaryStrategyAndForcePostureReview.md,2025-01-28 18:57:48
8,"a useful purpose in focusing attention on the value of developing a strategy to guide the evolution of our military forces for the next decade and in raising a number of key military strategy issues. i do not think the study provides the basis for a selection of an overall integrated military strategy at this time. none of the notional aims is completely satisfactory. instead, i see the study as the first step in a process of refining our strategy choices and of eliciting initial presidential policy guidance on key military strategy issues. the president ' s guidance needs to insure our flexibility pending the definition of an overall us national strategy. the importance of the choices ahead",700,118,130,1,us_1977_MilitaryStrategyAndForcePostureReview.md,2025-01-28 18:57:48
9,"of us, the size of the investments involved, and the possible consequences of misjudging the soviets all warrant that we do nothing now to foreclose our ability largely to determine the nature of our long - term competition with the ussr, rather than to react to their initiatives in a context set by them. the prm - 10 study and the presidential guidance which follows will provide a framework for my review within dod of specific program and budget issues. establishment of guidance on military strategy issues will also provide one of the bases for the conduct of our foreign policy, our arms control negotiations, and priorities for our intelligence efforts. this study does",678,114,130,1,us_1977_MilitaryStrategyAndForcePostureReview.md,2025-01-28 18:57:48
10,"not provide a sufficient basis for specific decisions on us military force structures or force planning. with this in mind, i attach an agenda defining "" issues for discussion "" for the two prc meetings on the force posture study.",230,40,45,1,us_1977_MilitaryStrategyAndForcePostureReview.md,2025-01-28 18:57:48
11,"# # inclassifie 8 / 13 / 93 classined by secretary of defense........... subject to ceneral declassif cation schedule of executive obder tt652. automatically downgraded at ino tear intervals. declassified on 1. dec. 1987 upon removal of the attachments. this document is downgraded to : 0. 18 13, 2 - 2 - 222",308,53,92,2,us_1977_MilitaryStrategyAndForcePostureReview.md,2025-01-28 18:57:48
12,"# unclassified! [ 3 _ image _ 0. png ] ( 3 _ image _ 0. png ) l would like the first meeting on 8 july to cover the first four sections of the agenda, i. e., the aims and general purpose forces issues. the second meeting on 13 july will address the aims and strategic forces issues. l attach as tab a of the final report an analysis prepared by the chairman of the joint chiefs of staff of the "" military implications of the aims. "" this analysis evaluates the aims on the basis of the objectives spelled out in the defense guidance. enclosure unclassif! [",556,109,130,3,us_1977_MilitaryStrategyAndForcePostureReview.md,2025-01-28 18:57:48
13,3 _ image _ 1. png ] ( 3 _ image _ 1. png ) unclassifiet! [ 4 _ image _ 0. png ] ( 4 _ image _ 0. png ) eclet! [ 4 _ image _ 1. png ] ( 4 _ image _ 1. png ),156,49,70,3,us_1977_MilitaryStrategyAndForcePostureReview.md,2025-01-28 18:57:48
14,# # agenda prc meetings on prm / nsc - jo military strategy and force posture review,84,17,21,4,us_1977_MilitaryStrategyAndForcePostureReview.md,2025-01-28 18:57:48
15,"# # issues for discussion 1. us military strategy for europe ( key questions 1 and 2, section iv of the final report ) ● how should the us deal with the threat of soviet aggression? in particular, what should be the relationship between nuclear and conventional forces for deterrence and defense? ーー what should be us military strategy in europe to ( 1 ) deter a warsaw pact attack ( or intimidation ) and ( 2 ) to terminate conflict successfully if deterrence fails? i for deterrence, is it necessary to plan military capability to restore the original borders or only to blunt an initial warsaw pact conventional attack? i is it necessary to have",648,116,130,5,us_1977_MilitaryStrategyAndForcePostureReview.md,2025-01-28 18:57:48
16,"a military sustaining capability greater than that of the warsaw pact? - - if deterrence fails, what conventional military capability is required? to what extent should the us rely on the early first use of nuclear weapons? to what extent should the us for political or military purposes state objectives for security in europe which are inconsistent with the interpretation or implementation of nato strategy by other members of the alliance? specifically, does it make sense for the us to plan military capabilities in excess of those of our nato allies? | |. us military strategy outside europe in relation to us - european military strategy ( key questions 1 and 3 )",670,113,124,5,us_1977_MilitaryStrategyAndForcePostureReview.md,2025-01-28 18:57:48
17,"# # unclassified unclassified to what extent should the us acquire military capabilities, above those required for the european theater, to undertake military operations ( either offensive or defensive ) against the soviets in a us - ussr war?. what should be us military strategy toward china? | | | | us military strategy for crisis management and potential local wars ( key question 4 ) ● what should be the planned extent of us military forces ( and supplies ) available for crisis management or intervention in local wars? - - to what extent should these forces ( or supplies ) be available without drawing from those required for a major us - ussr war? i",660,117,130,6,us_1977_MilitaryStrategyAndForcePostureReview.md,2025-01-28 18:57:48
18,"in what individual regions of the world should the us plan for the use of us military forces in crises and potential local wars ( middle east, korea )? are there any regions where the us should plan for the use of land combat forces?",233,45,50,6,us_1977_MilitaryStrategyAndForcePostureReview.md,2025-01-28 18:57:48
19,# # iv. us military strategy for east asia ( key question 5 ) ● what should be the us military strategy in east asia? should the us maintain the current military presence or include additional adjustments in us forces in korea and the philippines?,247,45,50,7,us_1977_MilitaryStrategyAndForcePostureReview.md,2025-01-28 18:57:48
20,"# # v. us military strategy for strategic forces ( key question 6 ). to what extent should the us procure nuclear forces, above and beyond those required to achieve other us objectives, in order to respond to us - soviet force asymmetries? what serious options should the president consider? what should be the trend in us strategic forces : ( a ) to stay ahead or equal in major indices of strategic power or ( b ) to deemphasize the importance of advantages in the major indices of strategic power? ● what kind and level of retaliatory capability is necessary for deterrence of soviet conventional and nuclear aggression?",623,109,130,8,us_1977_MilitaryStrategyAndForcePostureReview.md,2025-01-28 18:57:48
21,to what extent should the us acquire an efficient hard - target - kill capability and for what purposes? 2,106,20,23,8,us_1977_MilitaryStrategyAndForcePostureReview.md,2025-01-28 18:57:48
22,"#. jnclassified secret - 3. should the us acquire forces for a strategic reserve force, i. e., forces in excess of other requirements or for protracted withholding in a strategic nuclear war.. - what should be the relationship between the choice of a strategic force substrategy and the other components of an overall us military strategy. what difference does it make for a us nuclear strategy whether the us chooses a limit - loss strategy in europe or something else ; chooses a strategy requiring an increase or reduction in forces outside europe, etc.? unclassified! [ 6 _ image _ 0. png ] ( 6 _",600,106,130,9,us_1977_MilitaryStrategyAndForcePostureReview.md,2025-01-28 18:57:48
23,image _ 0. png ) unclassified top secret 220 ) prw / usc - io military strategy and force posture review final report of executive! [ 7 _ image _ 0. png ] ( 7 _ image _ 0. png ) unclassified! [ 7 _ image _ 1. png ] ( 7 _ image _ 1. png ) unclassified! [ 8 _ image _ 0. png ] ( 8 _ image _ 0. png ) prm / nsc - 10 military strategy and force posture review final report,368,88,116,9,us_1977_MilitaryStrategyAndForcePostureReview.md,2025-01-28 18:57:48
24,# # table of contents executive summary 1. 1 - 1 l - 1 1 - 2 1 - 2 । - 3 1 - 4 l | - 1 11 - 2 | | - 2 | 1 - 4 11 - 4 । । - 5 । । - [UNK] । । - [UNK] 11 - 7 11 - 8 | executive summary | | | - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - - - - - - - - - - - - - - - - - - - - - - - | | 1.,305,126,130,10,us_1977_MilitaryStrategyAndForcePostureReview.md,2025-01-28 18:57:48
25,| introduction | | a. | purpose | | | assumptions | | b. | | | c. | major issues | | | limitations of the report | | d. | | | e. | organization of the report | | ii. current capabilities | | | a. | purpose and cautions | | | us - ussr worldwide conflict | | 8. | central europe | | | nato flanks | | | non - european operations | | | us - ussr nuclear conflict | | c. | other contingencies | | | middle east | | | sub - saharan africa | | | korea | unclassified! [ 8,466,113,130,10,us_1977_MilitaryStrategyAndForcePostureReview.md,2025-01-28 18:57:48
