chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png ) ecutivi ecretariat 25x1.. : : 11. 11. 2 9 may 1986 "" t ""! [ 1 _ image _ 0. png ] ( 1 _ image _ 0. png ) joan. 11. 000 : 上 一 [UNK] :! [ 2 _ image _ 0. png ] ( 2 _ image _ 0. png )! [ 3 _ image _ 0. png ] ( 3 _ image _ 0. png ) 25x1 25x1 sanitized",293,90,130,0,us_1982_NationalSecurityStrategy.md,2025-01-28 18:58:00
2,"copy approved for release 2011 / 04 / 29 : cia - rdp90b01013r000100070003 - 7. executive registry in relation to pd / nsc - 53 21 may 82 pd / nsc - 58 nsdd - 5 nsdd - 12 nsdd - 13 nsdd - 26 you should also read nsdd \ # 32, dated 20 may 1982, subject : u. s. national security strategy. also, nsdd \ # 32, supersedes pd / nsc - 18 and pd / nsc - 62 in their entirety. stat! [ 4 _ image _ 0.",390,91,130,0,us_1982_NationalSecurityStrategy.md,2025-01-28 18:58:00
3,png ] ( 4 _ image _ 0. png ) no. nsdd 32 copy 21 ( cia ),56,18,25,0,us_1982_NationalSecurityStrategy.md,2025-01-28 18:58:00
4,# national security council information,39,5,7,1,us_1982_NationalSecurityStrategy.md,2025-01-28 18:58:00
5,# # notice the attached document contains classified national security council information. it is to be read and discussed only by persons authorized by law. your signature acknowledges you are such a person and you promise you will show or discuss information contained in the document only with persons who are authorized by law to have access to this document. persons handling this document acknowledge he or she knows and understands the security law relating thereto and will cooperate fully with any lawful investigation by the united states government into any unauthorized disclosure of classified information contained herein.,636,98,106,2,us_1982_NationalSecurityStrategy.md,2025-01-28 18:58:00
6,# # access list | name | date | name | | - - - - - - - - | - - - - - - - - | - - - - - - - - | - sanitized copy approved for release 2011 / 04 / 29,147,50,54,3,us_1982_NationalSecurityStrategy.md,2025-01-28 18:58:00
7,"# 003 - 7 system ii 90283 the white house washington may 20, 1982 confidential with top secret attachment memorandum for the vice president the secretary of state the secretary of the treasury the secretary of defense the director, office of management and budget the director of central intelligence united states representative to the united nations chairman, joint chiefs of staff subject : u. s. national security strategy the president has approved the attached national security decision directive on u. s. national security strategy. for the president :! [ 6 _ image _ 0. png ] ( 6 _ image _ 0. png ) attachment nsdd 32 tab a chairman,",642,110,130,4,us_1982_NationalSecurityStrategy.md,2025-01-28 18:58:00
8,"pfiab cc confidential with top secret attachment review may 20, 1988! [ 6 _ image _ 1. png ] ( 6 _ image _ 1. png )! [ 6 _ image _ 2. png ] ( 6 _ image _ 2. png ) sanitized copy approved for release 2011 / 04 / 29 : cia - rdp90b0 sanitized copy approved for release 2011 / 04 / 29 : the white house washington top secret may 20, 1982 national security decision directive number 32",380,83,107,4,us_1982_NationalSecurityStrategy.md,2025-01-28 18:58:00
9,"# # u. s. national security strategy i have carefully reviewed the nssd 1 - 82 study in its component parts, considered the final recommendations of the national security council, and direct that the study serve as guidance for u. s. national security strategy. our national security requires development and integration of a set of strategies, including diplomatic, informational, economic / political, and military components. nssd 1 - 82 begins that process. part i of the study provides basic u. s. national objectives, both global and regional, and shall serve as the starting point for all components of our national security strategy. the national security policy of",673,107,130,5,us_1982_NationalSecurityStrategy.md,2025-01-28 18:58:00
10,"the united states shall be guided by the following global objectives : ー to deter military attack by the ussr and its allies against the u. s., its allies, and other important countries across the spectrum of conflict ; and to defeat such attack should deterrence fail. ー to strengthen the influence of the u. s. throughout the world by strengthening existing alliances, by improving relations with other nations, by forming and supporting coalitions of states friendly to u. s. interests, and by a full range of diplomatic, political, economic, and information efforts. - to contain and reverse the expansion of soviet control and military presence throughout the world,",671,109,130,5,us_1982_NationalSecurityStrategy.md,2025-01-28 18:58:00
11,"and to increase the costs of soviet support and use of proxy, terrorist, and subversive forces. top secret review may 20, 2002 classified & extended by william p. clark reason for extension : nsc 1. 13 ( e ) er ts0269 82 sanitized copy approved for release 2011 / 04 / 29 : cia - rd - to neutralize the efforts of the ussr to increase its influence through its use of diplomacy, arms transfers, economic pressure, political action, propaganda, and disinformation. to foster, if possible in concert with our allies, restraint in soviet military spending, discourage soviet adventurism",583,99,130,5,us_1982_NationalSecurityStrategy.md,2025-01-28 18:58:00
12,", and weaken the soviet alliance system by forcing the ussr to bear the brunt of its economic shortcomings, and to encourage long - term liberalizing and nationalist tendencies within the soviet union and allied countries. 一 to limit soviet military capabilities by strengthening the u. s. military, by pursuing equitable and verifiable arms control agreements, and by preventing the flow of militarily significant technologies and resources to the soviet union. ー to ensure the u. s. access to foreign markets, and to ensure the u. s. and its allies and friends access to foreign energy and mineral resources. ■ to ensure u. s",627,104,130,5,us_1982_NationalSecurityStrategy.md,2025-01-28 18:58:00
13,". access to space and the oceans. - to discourage further proliferation of nuclear weapons. - to encourage and strongly support aid, trade, and investment programs that promote economic development and the growth of humane social and political orders in the third world. - to promote a well - functioning international economic system with minimal distortions to trade and investment and broadly agreed and respected rules for managing and resolving differences.. ' in addition to the foregoing, u. s. national security policy will be guided by the operational objectives in specific regions as identified in parts i and iii of the study.",638,102,117,5,us_1982_NationalSecurityStrategy.md,2025-01-28 18:58:00
14,"# # threats to u. s. national security the key military threats to u. s. security during the 1980s will continue to be posed by the soviet union and its allies and clients. despite increasing pressures on its economy and the growing vulnerabilities of its empire, the soviet military will continue to expand and modernize.",322,55,68,6,us_1982_NationalSecurityStrategy.md,2025-01-28 18:58:00
15,"# # er ts0269 82! [ 8 _ image _ 1. png ] ( 8 _ image _ 1. png )! [ 8 _ image _ 0. png ] ( 8 _ image _ 0. png ) sanitized copy approved for release 2011 / 04 / 29 : cia - rdp90b01013r0001000700 top secret 3 the soviet union remains aware of the catastrophic consequences of initiating military action directly against the u. s. or its allies. for this reason, a war with a soviet client arising from regional tensions is more likely than a direct conflict with",459,96,130,7,us_1982_NationalSecurityStrategy.md,2025-01-28 18:58:00
16,"the ussr. in a conflict with a soviet client, however, the risk of direct confrontation with the soviet union remains. unstable governments, weak political institutions, inefficient economies, and the persistence of traditional conflicts create opportunities for soviet expansion in many parts of the developing world. the growing scarcity of resources, such as oil, increasing terrorism, the dangers of nuclear proliferation, uncertainties in soviet political succession, reticence on the part of a number of western countries, and the growing assertiveness of soviet foreign policy all contribute to the unstable international environment. for these reasons, the decade of the eighties will likely pose the",708,102,130,7,us_1982_NationalSecurityStrategy.md,2025-01-28 18:58:00
17,greatest challenge to our survival and well - being since world war ii and our response could result in a fundamentally different east - west relationship by the end of this decade.,181,32,35,7,us_1982_NationalSecurityStrategy.md,2025-01-28 18:58:00
18,"# # the role of allies and others given the loss of u. s. strategic superiority and the overwhelming growth of soviet conventional forces capabilities, together with the increased political and economic strength of the industrial democracies and the heightened importance of third world resources, the united states must increasingly draw upon the resources and cooperation of allies and others to protect our interests and those of our friends. there is no other alternative. to meet successfully the challenges to our interests, the u. s. will require stronger and more effective collective defense arrangements. u. s. defense programs will consider the status of these arrangements in the planning process. a strong unified nato",731,113,130,8,us_1982_NationalSecurityStrategy.md,2025-01-28 18:58:00
19,"remains indispensable to protecting western interests. while encouraging all our nato allies to maintain and increase their contributions in europe, we should specifically encourage those allies who can contribute outside europe to allocate their marginal defense resources preferentially to capabilities which could support both out of area and european missions. outside europe, the united states will place primary reliance on regional states to deal militarily with non - soviet threats, providing security assistance as appropriate. if no other reasonable alternative exists, the u. s. should be prepared to intervene militarily in regional or local conflicts. in southwest asia, we will support the development of balanced and",732,106,130,8,us_1982_NationalSecurityStrategy.md,2025-01-28 18:58:00
20,"self - contained top secret! [ 9 _ image _ 0. png ] ( 9 _ image _ 0. png ) er ts0269 82! [ 9 _ image _ 1. png ] ( 9 _ image _ 1. png ) top secret friendly regional forces and will emphasize assistance to certain key states for regional contingency roles. however, the u. s. will remain the primary military power for directly resisting the soviet union. in east asia, the japanese should be encouraged to contribute more to their own and mutual defense efforts. we should also assist the republic of korea in becoming increasingly self - sufficient in",551,106,130,8,us_1982_NationalSecurityStrategy.md,2025-01-28 18:58:00
21,its own defense capabilities.,29,4,7,8,us_1982_NationalSecurityStrategy.md,2025-01-28 18:58:00
22,"# # regional military objectives in peacetime, our regional military objectives seek to deter military attack against the united states, our allies and friends, and to contain and reverse the expansion of soviet influence worldwide. the security of europe remains vital to the defense of the united states. this means that we must achieve significant improvements in nato ' s conventional defense capabilities while also improving nuclear and chemical forces. for our part, the united states will maintain its commitments for forward deployment and early reinforcement. the security of southwest asia is inextricably linked to the security of europe and japan and thus is vital to the defense of the united states. a key peace",726,115,130,9,us_1982_NationalSecurityStrategy.md,2025-01-28 18:58:00
23,"##time military objective in southwest asia is to enhance deterrence by sufficiently improving our global capability to deploy and sustain military forces so as to ensure that, if the soviet union attacks, it would be confronted with the prospect of a major conflict with the u. s. in - theater and the threat of escalation. wartime planning must consider the likelihood that any u. s. - soviet conflict would expand beyond one theater. within this context, and recognizing that the political and military situations at the time of war will bear heavily on strategic decisions, the following priorities apply for wartime planning : highest priority is north america, followed by nato, and the",692,113,132,9,us_1982_NationalSecurityStrategy.md,2025-01-28 18:58:00
24,"supporting lines of communication. the next priority is ensuring access to the oil in southwest asia, followed by the defense of u. s. pacific allies and the lines of communication for the indian and pacific oceans, and then the defense of other friendly nations in latin america and africa. specific policies for both peacetime and wartime regional military objectives are contained in part iii, section c of the study. er ts0269 82 top secret sanitized copy approved for release 2011 / 04 / 29 : cia - rdp",507,88,105,9,us_1982_NationalSecurityStrategy.md,2025-01-28 18:58:00
