chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"#! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png ) alde! [ 0 _ image _ 1. png ] ( 0 _ image _ 1. png ) ( ot f the united states of america shape, respond, prepare now : a military strategy for a new era carle brand borner. davin. davin... 2 shes she! [ 0 _ image _ 2. png ] ( 0 _ image _ 2. png )! [ 0 _ image _ 5. png ] ( 0 _ image _ 5. png ) 1997",346,95,130,0,us_1997_MilitaryStrategy.md,2025-01-28 18:58:18
2,"##1015 047! [ 0 _ image _ 3. png ] ( 0 _ image _ 3. png )! [ 0 _ image _ 4. png ] ( 0 _ image _ 4. png )! [ 0 _ image _ 6. png ] ( 0 _ image _ 6. png )! [ 1 _ image _ 1. png ] ( 1 _ image _ 1. png ) chairman of the joint chiefs of staff! [ 1 _ image _ 0. png ] ( 1 _ image _ 0. png ) washington, d. c. 20318 - 9999 di",317,96,132,0,us_1997_MilitaryStrategy.md,2025-01-28 18:58:18
3,"##tic quality inspected & this document conveys my advice and that of the joint chiefs of staff on the strategic direction of the armed forces in implementing the guidance in the president ' s a national security strategy for a new century and the secretary ' s report of the quadrennial defense review. we have just completed a year - long assessment of the strategic environment that underscored the continuing importance of robust american military power. while we no longer face the threat of a rival superpower, there are states and other actors who can challenge us and our allies conventionally and by asymmetric means such as terrorism and weapons of mass destruction. the",680,114,133,0,us_1997_MilitaryStrategy.md,2025-01-28 18:58:18
4,"rise of regional powers is leading to a multipolar world that can be either more secure or more dangerous - hence the importance of the president ' s "" imperative of engagement "" described herein. the military has an important role in engagement - helping to shape the international environment in appropriate ways to bring about a more peaceful and stable world. the purpose of our armed forces, however, is to deter and defeat threats of organized violence to our country and its interests. while fighting and winning two nearly simultaneous wars remains the foremost task, we must also respond to a wide variety of other potential crises. as we take on these diverse missions, it is",685,117,130,0,us_1997_MilitaryStrategy.md,2025-01-28 18:58:18
5,"important to emphasize the armed forces ' core competence : we fight. that must be the primary consideration in the development and employment of forces. the chiefs and i strongly agree that the force levels recommended by the secretary in the qdr are the minimum necessary to carry out this strategy at prudent military risk. further, we must begin to transform them now by exploiting technological advances that are changing warfare. to do this with forces that will remain committed to operational readiness, contingency operations and engagement activities requires a stabilized investment program and a fundamental re - engineering of support infrastructure. it also requires that we sustain the high quality men and women serving",735,115,130,0,us_1997_MilitaryStrategy.md,2025-01-28 18:58:18
6,"in the armed forces. they are the indispensable and decisive element in any strategy. our best judgment is that this strategy, shape, respond, prepare now : a military strategy for a new era, and the forces for which it calls, will protect the nation and its interests, and promote a peace that benefits america and all like - minded nations.! [ 1 _ image _ 3. png ] ( 1 _ image _ 3. png )! [ 1 _ image _ 2. png ] ( 1 _ image _ 2. png )",436,92,116,0,us_1997_MilitaryStrategy.md,2025-01-28 18:58:18
7,# table of contents executive summary.................................................................. 1 introduction......................................................,172,8,130,1,us_1997_MilitaryStrategy.md,2025-01-28 18:58:18
8,........................................................ 5 the strategic environment — opportunities and challenges................................................................,179,9,130,1,us_1997_MilitaryStrategy.md,2025-01-28 18:58:18
9,............................ 8 regional dangers................................................................... 8 asymmetric challenges.........................,163,7,130,1,us_1997_MilitaryStrategy.md,2025-01-28 18:58:18
10,................................................................ 9 transnational dangers............................................................,148,4,130,1,us_1997_MilitaryStrategy.md,2025-01-28 18:58:18
11,"........ 9 "" wild cards "" … … … … … … … … … … … … … … 10 the strategy — shape, respond, prepare now... 11 national military objectives............... 11 elements of the strategy : shape, respond, and prepare now..................... 12 strategic concepts................................",286,46,130,1,us_1997_MilitaryStrategy.md,2025-01-28 18:58:18
12,....... 19 the joint force. characteristics of a full spectrum force.......................................................................................................... 21 today ' s,187,15,130,1,us_1997_MilitaryStrategy.md,2025-01-28 18:58:18
13,force................................................................... 22 conclusion..........................................................,144,3,130,1,us_1997_MilitaryStrategy.md,2025-01-28 18:58:18
14,........................................................... 30,62,2,62,1,us_1997_MilitaryStrategy.md,2025-01-28 18:58:18
15,# national military strategy september 1997,43,6,8,2,us_1997_MilitaryStrategy.md,2025-01-28 18:58:18
16,"# # executive summar introduction the national military strategy provides the advice of the chairman of the joint chiefs of staff ( cjcs ) in consultation with the joint chiefs of staff and the combatant commanders on the strategic direction of the armed forces over the next three to five years. in formulating the 1997 national military strategy, the cjcs derives guidance from the president ' s 1997 national security strategy and from the quadrennial defense review ( qdr ) report prepared by the secretary of defense. in both the 1997 national security strategy and the qdr report, the president and the secretary of defense introduced an integrated strategic approach embodied by",685,112,130,3,us_1997_MilitaryStrategy.md,2025-01-28 18:58:18
17,"the terms shape, respond and prepare now. the 1997 national military strategy is based on these concepts. it builds on the premise that the united states will remain globally engaged to shape the international environment and create conditions favorable to us interests and global security. it emphasizes that our armed forces must respond to the full spectrum of crises in order to protect our national interests. it further states that as we pursue shaping and responding activities, we must also take steps to prepare now for an uncertain future.",549,89,98,3,us_1997_MilitaryStrategy.md,2025-01-28 18:58:18
18,"# # the strategic environment the united states has entered a period that presents both opportunities and challenges. our nation is at peace and much of the world embraces the democratic ideals we cherish. the threat of nuclear war has diminished and diplomatic efforts continue to reap benefits in creating a more stable and peaceful world. nonetheless, there remain a number of uncertainties, including potentially serious threats to america ' s security. principal among these are regional dangers, asymmetric challenges, transnational threats, and "" wild cards. "" this uncertain environment would be even more threatening without the american engagement and leadership that this strategy supports.! [ 3 _ image",714,109,130,4,us_1997_MilitaryStrategy.md,2025-01-28 18:58:18
19,_ 0. png ] ( 3 _ image _ 0. png ),33,12,18,4,us_1997_MilitaryStrategy.md,2025-01-28 18:58:18
20,"# # the strategy national military objectives to defend and protect us national interests, our national military objectives are to promote peace and stability and, when necessary, to defeat adversaries. us armed forces advance national security by applying military power as directed to help shape the international environment and respond to the full spectrum of crises, while we also prepare now for an uncertain future.! [ 4 _ image _ 0. png ] ( 4 _ image _ 0. png ) shaping the international environment. us armed forces help shape the international environment through deterrence, peacetime engagement activities, and active participation and leadership in alliances. critical to deterrence",695,108,130,5,us_1997_MilitaryStrategy.md,2025-01-28 18:58:18
21,"are our conventional warfighting capabilities and our nuclear forces. deterrence rests on a potential adversary ' s perception of our capabilities and commitment, which are demonstrated to defend by our ability to bring decisive military power to and protect bear and by communica - us national tion of us intentions. interests, our engagement activities, national including information sharing and contacts military between our military and objectives the armed forces of other nations, promote trust are to and confidence and promote encourage measures that peace and increase our security and stability that of our allies, partners. and friends. by increasand, when ing understanding and necessary, to reducing uncertainty, defeat",733,108,130,5,us_1997_MilitaryStrategy.md,2025-01-28 18:58:18
