chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"interim national security strategic guidance - - - - - interim national security strategic guidance - - - - - interim national security strategic guidance in my inaugural address, i committed to engage with the world once again, not to meet yesterday ’ s challenges, but today ’ s and tomorrow ’ s. our world is at an inflection point. global dynamics have shifted. new crises demand our attention. and in this moment of accelerating global challenges — from the pandemic to the climate crisis to nuclear proliferation to the fourth industrial revolution — one thing is certain : we will only succeed in advancing american interests and upholding our universal values by working in common",688,116,130,0,us_2021_InterimNationalSecurityStrategicGuidance.md,2025-01-28 18:55:21
2,"cause with our closest allies and partners, and by renewing our own enduring sources of national strength. that begins with the revitalization of our most fundamental advantage : our democracy. i believe we are in the midst of an historic and fundamental debate about the future direction of our world. there are those who argue that, given all the challenges we face, autocracy is the best way forward. and there are those who understand that democracy is essential to meeting all the challenges of our changing world. i firmly believe that democracy holds the key to freedom, prosperity, peace, and dignity. we must now demonstrate — with a clarity that di",658,111,130,0,us_2021_InterimNationalSecurityStrategicGuidance.md,2025-01-28 18:55:21
3,"##spels any doubt — that democracy can still deliver for our people and for people around the world. we must prove that our model isn ’ t a relic of history ; it ’ s the single best way to realize the promise of our future. and, if we work together with our democratic partners, with strength and confidence, we will meet every challenge and outpace every challenger. achieving these goals rests on a core strategic proposition : the united states must renew its enduring advantages so that we can meet today ’ s challenges from a position of strength. we will build back better our economic foundations ; reclaim our place in international institutions ; lift up our",667,119,132,0,us_2021_InterimNationalSecurityStrategicGuidance.md,2025-01-28 18:55:21
4,"values at home and speak out to defend them around the world ; modernize our military capabilities, while leading first with diplomacy ; and revitalize america ’ s unmatched network of alliances and partnerships. - - - - - interim national security strategic guidance and as we do this work, we must also demonstrate clearly to the american people that leading the world isn ’ t an investment we make to feel good about ourselves. it ’ s how we ensure the american people are able to live in peace, security, and prosperity. it ’ s in our undeniable self - interest. when we strengthen our alliances, we amplify our",615,110,130,0,us_2021_InterimNationalSecurityStrategicGuidance.md,2025-01-28 18:55:21
5,"power and our ability to disrupt threats before they can reach our shores. when we invest in the economic development of countries, we create new markets for our products and reduce the likelihood of instability, violence, and mass migrations. when we strengthen health systems around the world, we reduce the risk of future pandemics that can threaten our people and our economy. when we defend equal rights of all people — of women and girls, lgbtqi individuals, indigenous communities, people with disabilities, and people of every ethnic background and religion — we help ensure that those rights are protected for our own children here in america. today, i am issuing this",677,111,130,0,us_2021_InterimNationalSecurityStrategicGuidance.md,2025-01-28 18:55:21
6,"interim guidance to convey my vision for how america will engage with the world. i direct departments and agencies to align their actions with this guidance, even as we begin work on a national security strategy. we have no time to waste. the simple truth is, america cannot afford to be absent any longer on the world stage. and under the biden - harris administration, america is back. diplomacy is back. alliances are back. but we are not looking back. we are looking irrevocably toward the future and all that we can achieve for the american people — together. let ’ s get to work. president joseph r. bid",609,109,130,0,us_2021_InterimNationalSecurityStrategicGuidance.md,2025-01-28 18:55:21
7,"##en, jr. - - - - -",19,7,13,0,us_2021_InterimNationalSecurityStrategicGuidance.md,2025-01-28 18:55:21
8,# # renewing america ’ s advantages interim national security strategic guidance table of contents introduction............................................................................................. the global security landscape..............,248,20,130,1,us_2021_InterimNationalSecurityStrategicGuidance.md,2025-01-28 18:55:21
9,........................................................ our national security priorities....................................................................,157,5,130,1,us_2021_InterimNationalSecurityStrategicGuidance.md,2025-01-28 18:55:21
10,". conclusion............................................................................................... 23 - - - - - today, more than ever, america ’ s fate is inextricably linked to events beyond our shores. we confront a",226,27,130,1,us_2021_InterimNationalSecurityStrategicGuidance.md,2025-01-28 18:55:21
11,"global pandemic, a crushing economic downturn, a crisis of racial justice, and a deepening climate emergency. we face a world of rising nationalism, receding democracy, growing rivalry with china, russia, and other authoritarian states, and a technological revolution that is reshaping every aspect of our lives. ours is a time of unprecedented challenges, but also unmatched opportunity. this moment calls upon us to lean forward, not shrink back – to boldly engage the world to keep americans safe, prosperous, and free. it requires a new and broader understanding of national security, one that recognizes that our role in the world depends",643,101,130,1,us_2021_InterimNationalSecurityStrategicGuidance.md,2025-01-28 18:55:21
12,"upon our strength and vitality here at home. it demands creative approaches that draw on all the sources of our national power : our diversity, vibrant economy, dynamic civil society and innovative technological base, enduring democratic values, broad and deep network of partnerships and alliances, and the world ’ s most powerful military. our task is to ensure these advantages endure, by building back better at home and reinvigorating our leadership abroad. from a position of renewed strength, america can meet any challenge. together, we will demonstrate not only that democracies can still deliver for our people, but that democracy is essential to meeting the challenges of our time",691,109,130,1,us_2021_InterimNationalSecurityStrategicGuidance.md,2025-01-28 18:55:21
13,". we will strengthen and stand behind our allies, work with like - minded partners, and pool our collective strength to advance shared interests and deter common threats. we will lead with diplomacy. we will renew our commitment to global development and international cooperation, while also making smart, disciplined investments in our national defense. we will address the crises of today while promoting resilience, innovation, competitiveness, and truly shared prosperity for the future. we will recommit to realizing our ideals. we will modernize our national security institutions and processes, while ensuring we take advantage of the full diversity of talents required to address today ’ s complex challenges.",718,108,130,1,us_2021_InterimNationalSecurityStrategicGuidance.md,2025-01-28 18:55:21
14,"and in everything we do, we will aim to make life better, safer, and easier for working families in america. the crises we face are daunting. but america is undaunted. throughout our history, americans have turned periods of crisis into times of renewal and opportunity. the same is true today. we have a chance not just to build back, but to build back better. by leaning into our strengths, we will shape a better future. - - - - - interim national security strategic guidance * * the global security landscape * * we cannot pretend the world can simply be restored to the way it was 75, 30,",593,109,130,1,us_2021_InterimNationalSecurityStrategicGuidance.md,2025-01-28 18:55:21
15,"or even four years ago. we cannot just return to the way things were before. in foreign policy and national security, just as in domestic policy, we have to chart a new course. recent events show all too clearly that many of the biggest threats we face respect no * * borders or walls, and must be met with collective action. pandemics and other biological * * risks, the escalating climate crisis, cyber and digital threats, international economic disruptions, protracted humanitarian crises, violent extremism and terrorism, and the proliferation of nuclear weapons and other weapons of mass destruction all pose profound and, in some cases,",643,105,130,1,us_2021_InterimNationalSecurityStrategicGuidance.md,2025-01-28 18:55:21
