...1,doc_text,doc_type,doc_number,doc_name,year,country,cow_code,cow_alpha
24506,"**On the Publication of Defense of** **Japan 2014**  #### Itsunori Onodera  Minister of Defense   This year marks the 60th anniversary of the establishment of the Ministry of Defense (MOD) and  Self-Defense Forces (SDF). The National Security Council was launched at the end of last year. Also,  Japan’s fi rst ever National Security Strategy (NSS) and, in accordance with the NSS, new National  Defense Program Guidelines (NDPG) and Medium Term Defense Program (MTDP) were approved.  Moreover, basic orientation for the development of seamless security legislation to ensure Japan’s sur vival and protect its people was approved as a Cabinet decision this July, in order to resolutely secure  the lives and peaceful livelihood of the Japanese people, and contribute even more proactively to the  peace and stability of the international community. On this milestone year of the 60th anniversary, the  Ministry will take the fi rst step to realizing a new form of defense forces.  The 60-year history of the Ministry and the SDF is precisely a chronicle of the path Japan has tak en as a peace-loving nation. Japan will maintain its own security, peace and stability in the region, and  the international community, adhering to the course it has taken to date as a peace-loving nation under  the policy of “Proactive Contribution to Peace” based on the principle of international cooperation.  The activities of the SDF for securing the lives and property of the Japanese people and the sover eignty of Japan’s territorial land, waters, and airspace are becoming ever more critical amid the increas ingly severe security environment surrounding Japan. Since taking offi ce as Minister of Defense, I have  made a point of visiting as many SDF camps and bases as possible from as far north as Hokkaido to as  far south as Okinawa. Furthermore, I visited the Philippines in December 2013 and made the fi rst visit",page,1,japan_2014_DefenseOfJapan,2014,Japan,740,JPN
24507,"by a Japanese Defense Minister to Djibou ti and South Sudan in May 2014. I offered  words of encouragement to our personnel  engaged in international disaster relief op erations, anti-piracy operations, and peace keeping operations. Our SDF personnel are  carrying out their duties sincerely in an or derly manner and with high morale even in  harsh environment.  The domestic and international environment surrounding the Ministry and the SDF has changed  dramatically over the last 60 years. However, some things still have not changed, one of them being that  the understanding of the people remains essential for national defense. Indeed, it was based on this be lief that in 1970 then-Director General of the Japan Defense Agency Yasuhiro Nakasone published the  inaugural issue of the Defense of Japan. The Defense of Japan has been published annually since 1976,  and this year’s marks the milestone 40th issue. Very few other countries explain their defense policies  through the annual publication of whitepapers. Due to Japan’s publication of the Defense of Japan over  many years, the transparency of Japan’s defense is praised internationally. Not content with the status  quo, we will continue to produce high quality defense whitepapers to further deepen the understanding  about Japan’s defense policy by the Japanese people and other countries.  This year’s edition of Defense of Japan includes a feature article at the beginning, which takes  a look back at the history of the whitepaper as well as of the Ministry and SDF. The “Dynamic Joint  Defense Force” to be developed as set out in the new NDPG is also explained in a clear manner. In  addition, this year’s publication includes new topics, such as the review of Japan’s security legislation.  Furthermore, efforts are made to further familiarize readers with the SDF. I hope that this issue will be  read by as many people as possible.  (Photo: Minister of Defense Onodera visiting Tacloban, Leyte Island, the Philippines)",page,2,japan_2014_DefenseOfJapan,2014,Japan,740,JPN
24508,"**On the Publication of the 40th** **Issue of the Defense of Japan**  Former Director General of the Defense Agency Former Prime Minister of Japan **Yasuhiro Nakasone**   I was the 26th Director General of the Defense Agency from January 1970 to July of the following  year. One of the projects I devoted much effort to during my tenure was the publication of the Defense  of Japan.  Although the possibility of publishing a whitepaper was considered at the Defense Agency  even before I became the Director General, it had not been realized. The Japanese people at that time  were wary about war and associated the Self-Defense Forces (SDF) with the former military. It was  a time when the antipathy towards the SDF was still very much strong. At the Agency, many people  had deep-rooted hesitations about publishing a whitepaper from fears that it would become a target  of questioning from opposition parties at the Diet and invite unnecessary suspicions from the public.  For the Directors General of the Defense Agency who preceded me, the whitepaper was in a sense  almost a taboo subject matter.",page,3,japan_2014_DefenseOfJapan,2014,Japan,740,JPN
24509,"What drove me to push for the publication of the whitepaper was my conviction that the under standing, proactive support, and cooperation of the public are, above all, essential for the defense of  Japan. For this reason, I aspired to bring the Defense Agency and the SDF to the “public sphere” and  encourage discussions about defense issues in people’s living rooms. Therefore, I spurred the officials  in charge to publish a whitepaper, and I myself took up a pen and made revisions to the manuscript.  On October 20, 1970, the first issue of Defense of Japan was finally distributed at the Cabinet meeting.  A series of Defense of Japan has been published, and now we are at the 40th issue. In the course  of the many years, the public perception of the SDF has also changed considerably. While it may be  hard to believe now, when the inaugural issue was published, people still had minimal understanding  and awareness about defense, to the point that SDF personnel were turned away from taking university  entrance exams and enrolling into universities. However, the people today see for themselves that the  SDF are at the front line of national security and working hard for national defense and disaster relief  work. Today, the SDF is an organization that has earned the deep trust of the people. Nothing can make  me happier than this as one of the members that started the Defense of Japan to promote understanding  of the SDF.  The 20th century was a century of war. The 21st century must not repeat this tragedy. At present,  the global situation is at a major turning point, and the security situation is in a state of chaos. Under  such circumstances, the need to discuss defense issues in the “public sphere” through the Defense of Ja pan is perhaps even greater now than when the whitepaper was launched. What defense policies should  Japan adopt to protect peace and prosperity in Japan and throughout the world? I hope that many people  will read the Defense of Japan, also in the sense of aspiring to secure and safeguard the people’s liveli hood and pursue the further development and prosperity of Japan and the rest of the world.",page,4,japan_2014_DefenseOfJapan,2014,Japan,740,JPN
24510,"##### Overview  **Overview p. 2**   N The security environment surrounding Japan has become increasingly severe, being encompassed by various challenges and destabilizing factors, which are becoming more tangible and acute.  N Opaque and uncertain factors such as issues of territorial rights and reunifi cation remain in the vicinity of Japan. There is also an increase in the number of so-called “gray  zone” situations, that is, neither purely peacetime nor contingencies, over territory, sovereignty and maritime economic interests, etc. In addition, there are clearer trends for neighboring states to modernize and reinforce their military capabilities and to intensify their military activities. As such, security issues and destabilizing factors in the Asia-Pacifi c region including the area surrounding Japan are becoming more serious.  |i|Col2| |---|---|  |i|Col2| |---|---|  |i|Col2| |---|---|   Recent Security Related Issues around Japan  Russian military  North Korea’s military activities intensifying provocations and rhetoric  North Korea’s development of nuclear weapons and missiles  Extensive and rapid strengthening of China’s military power  Rapid expansion/intensification of China’s activities in the East China Sea  Sea lanes leading to Japan  China’s advancements into  Changes in the China-Taiwan the Pacific Ocean becoming more common military balance (increasingly favorable to the Chinese side)  Gray zone situations tend  Rapid expansion/intensification of to increase and linger China’s activities in the South China Sea  Using GTOP030(USGS) and ETOP01(MOAA)01   A bomber of the Chinese Armed Forces that fl ew through the airspace between the i i l d f Oki d Mi k I l d d d d t th P ifi O   **Part**",page,5,japan_2014_DefenseOfJapan,2014,Japan,740,JPN
24511,"**Digest**    European Region  Army: approx. 30,000 personnel Navy: Air Force: approx. 30,000 personnelapprox. 6,000 personnel **Overview** **[Chapter]** **[1]** **Defense Policies of CountriesU.S. Forces** Marines: approx. 1,000 personnel Army: approx. 519,000 personnel  Navy: approx. 319,000 personnel  Total: approx. 67,000 personnel  Air Force: approx. 326,000 personnel  (Total in 1987:  Marines: approx. 194,000 personnel  approx. 354,000 personnel) **Chapter** **1** **p. 7**  ##### The United StatesU.S. European Command Total: approx. 1,357,000 personnel  (Total in 1987:  Despite its changing infl uence in relative terms, the United States countries including Japan. Furthermore, it states that 60% of U.S. approx. 2,170,000 personnel) remains the world’s most powerful nation, and it is believed to U.S. Central Command Navy assets will be stationed in the Pacifi c by 2020 including consistently play a signifi cant role in ensuring peace and stability Asia-Pacific Regionenhancements to its critical naval presence in Japan, and the Air  U.S. Northern  throughout the world. Army: Force will move forces such as ISR (intelligence, surveillance and approx. 44,000 personnel Command  Navy: reconnaissance) assets to the region.approx. 39,000 personnel  In the Quadrennial Defense Review (QDR) released in 2014, Air Force: approx. 29,000 personnel the United States expressed its intention to continue to uphold U.S. Africa Command U.S. Pacific Command NMarines: approx. 24,000 personnel Meanwhile, the government budget sequestration, including the policy of placing the Asia-Pacifi c region at the focus of U.S. Total: defense spending, which was initiated in 2013, has had various approx. 135,000 personnel U.S. SouthernCommand strategy, including the National Security Strategy (rebalancing to (Total in 1987: impacts on the U.S. Forces. The QDR also emphasizes the  approx. 184,000 personnel)  the Asia-Pacifi c region), as articulated in the Defense Strategic considerable risks that mandatory sequestration would have Guidance, as well as to strengthen its relations with allies in the Approx. 53,000 personnel are deployed on U.S. Forces, and much attention will be paid to how the region and expand its collaboration with partners.in Afghanistan and its surroundings mandatory sequestration cuts in defense spending will impact  U.S. defense strategies and security strategies.  The 2014 QDR states that the centerpiece of the Department of Defense’s commitment to the rebalance towards the Asia-Pacifi c region is to modernize and enhance security alliances with   Notes: 1. Source: Documents published by the U.S. Department of Defense (as of December 31, 2013) and other materials.   2. The number of personnel deployed in the Asia-Pacific region includes personnel deployed in Hawaii and Guam.  U.S. Forces Deployment Status and the Recent Trend of the U.S. Forces in the Asia-Pacifi c Region  [Japan]  [Republic of Korea] -  Deployment of F-22, MV-22 Ospreys, P-8, and of Global Hawk  -  Maintaining around 28,500 U.S. troops -  Relocation of III Marine Expeditionary Force (III MEF) and ground stationed in the Republic of Korea troops from Okinawa to Guam and Hawaii, etc.  Seoul -  Additional two Aegis BMD will be deployed by 2017  [Taiwan] -  Deployment of F-35 in Iwakuni in 2017 (the Marines’ plan)  ROK  -  A plan to upgrade the F-16s Taiwan Japan currently owns, etc. (announced in September 2011)  Hawaii  [Singapore] Okinawa  -  Rotational deployment of Littoral Philippines [Guam]  Guam  Combat Ships (LCS) (announced in Manila -  Rotational deployment of submarines -  Relocation of home port for a carrier from June 2011; a broad agreement -  Rotational deployment of bombers the Atlantic Ocean side to the Pacific reached with the Government of [Philippines] -  Establishment of a facility for aircraft Ocean side (in San Diego) (April 2010) Singapore in June 2012; the first ship -  Transfer of U.S. Coast Guard cutters carrier’s temporary port of call started rotation in April 2013.) (August 2011, May 2012) -  Deployment of unmanned  -  Signing of the Enhanced Defense reconnaissance aircraft (RQ-4)  Singapore Cooperation Agreement with the  Indonesia purpose of enhancing the U.S.  presence, etc. (April 2014) [Australia]  Jakarta At the November 2011 U.S.-Australia Summit Conference, an agreement was  Darwin reached on the following initiatives:  -  Rotational deployment of the Marines to northern Australia  [Indonesia] -  Increased rotational deployment of U.S. Air Force aircraft in northern Australia  -  Transfer of 24 F-16s (announced in November 2011) (Reference) Number of Marine Corps troops in the Asia-Pacific Region  Australia **Total:** **Approx. 23,936** Australia: 12  In June 2013, U.S. Secretary of Defense Hagel announced a plan to deploy 60% of Hawaii: 7,498 Republic of Korea: 250 the assets of the U.S. Navy and air force in the Asia-Pacific region as well as Guam: 15 Philippines: 2  Japan: 15,983 Thailand: 175  proceeding with the rotation deployment in the region and deployment of equipment.  Singapore: 1  Canberra Source: Document published by the U.S. Department of Defense (as of December 31, 2013) and the Military Balance 2014  -  A map created by the U.S. Geological Survey (USGS) is used",page,6,japan_2014_DefenseOfJapan,2014,Japan,740,JPN
24512,"**Japan**   ##### North Korea  |Chapter|1| |---|---|   **Chapter** **1** **p. 15**  **General Situation**   N On the Korean Peninsula, people of the same ethnicity have been divided into two—north and south—for more than half a century. Even today, the Republic of Korea (ROK) and North Korea pit their ground forces of about 1.6 million against each other across the demilitarized zone (DMZ).  **Development of Weapons of Mass Destruction and Missiles**   N North Korea is deemed to be developing nuclear weapons as an indispensable deterrent for maintaining the existing regime.  N It is believed that North Korea is working to develop a nuclear weapon to mount on a ballistic missile as part of its nuclear weapons program. In general, miniaturizing a nuclear weapon small enough to be mounted on a ballistic missile requires a considerably high degree of technological capacity. However, considering the fact that the United States, the Soviet Union, the United Kingdom, France and China succeeded in acquiring such technology by as early as the 1960s and that North Korea conducted a nuclear test in February 2013, it is diffi cult to eliminate the possibility that North Korea has achieved the miniaturization of nuclear weapons and acquired nuclear warheads.  N North Korea’s nuclear weapons development, considered in conjunction with the enhancement of its ballistic missile capabilities, poses a grave threat to Japan’s security and signifi cantly impairs peace and stability in Northeast Asia and the international community. Therefore, they can never be tolerated.  N North Korea appears to give high priority to the development of ballistic missiles out of political and diplomatic considerations and from the viewpoint of earning foreign currency, in addition to enhancing its military capabilities.  N The details of the new missile KN08 which was showcased at the military parade in April 2012 and July 2013 are unknown. However, the missile is believed to be an intercontinental ballistic missile (ICBM).  N I M h J d J l 2014 N th K   N North Korea seems to maintain and reinforce its so-called asymmetric military capabilities, and repeatedly uses militarily provocative words and actions. Such military trend in North Korea is heightening tension in the Korean Peninsula, and constitutes a serious destabilizing factor to the security not only of Japan but of the entire region and the international community. Therefore, Japan needs to pay utmost attention to such activities.  launched multiple ballistic missiles towards the Sea of Japan and conducted military provocations.  N The development of weapons of mass destruction (WMDs) and missiles by North Korea constitutes, coupled with provocative words and actions, including missile attacks against Japan, a serious and imminent threat to the security of Japan. Additionally, such development poses a serious challenge to the entire international community with regard to the non-proliferation of weapons, including WMDs.",page,7,japan_2014_DefenseOfJapan,2014,Japan,740,JPN
24513,"**Digest**  **Chapter** **1 Defense Policies of Countries**  **Chapter** **1**  Range of North Korean Ballistic Missiles  New York  Taepodong-2 [(Approx. 6,000 km)] 10,000 km  (Variant: Approx. 10,000 km+) Washington, D.C.  Chicago  Musudan (Approx. 2,500–4,000km)  Taepodong-1 (Approx. 1,500 km+) 6,000 km  Denver  Nodong (Approx. 1,300 km)  4,000 km San Francisco  Anchorage  Scud ER (Approx. 1,000 km) 1,500 km  Los Angeles  1,300 km  Taepodong  Beijing Pyongyang Tokyo Hawaii  Tongch’ang-ri 1,000 km  Okinawa  Guam  The United States Geological Survey: GTOPO30  - The figure above shows a rough image of the distance each missile can reach from Pyongyang for the sake of convenience.  **Domestic Affairs**   N North Korea announced the establishment of economic development zones. In addition, according to reports, a new economic policy is under way to enlarge the discretion of plants and other entities over production and sales plans. These all suggest North Korea is placing importance on the rebuilding of the economy.   N The years following the transition to the Kim Jong-un regime have seen many changes in personnel, especially at high levels of the military and the cabinet, reportedly aimed at strengthening the power base of First Chairman Kim Jong-un.  N Following on from 2012, many personnel reshuffl es were carried out from 2013 to June 2014 with the three key military posts, namely, the Director of General Political Department being replaced once, the Chief of the General Staff being replaced twice, and the Minister of the People’s Armed Forces being replaced twice. As a result of such reshuffl es, all of the three key military posts have come to be held by individuals selected by First Chairman Kim Jong-un.  N In December 2013, Jang Song-thaek, Vice-Chairman of the National Defense Commission and First Chairman Kim Jong-un’s uncle, was executed. It is believed that by executing Vice-Chairman Jang Song-thaek who was considered to be the guardian of First Chairman Kim Jong-un, the First Chairman endeavored to strengthen and consolidate his regime as its sole leader.  N North Korea faces chronic stagnation and energy and food shortages.",page,8,japan_2014_DefenseOfJapan,2014,Japan,740,JPN
24514,"**Japan**   ##### China  |Chapter|1| |---|---|   **Chapter** **1** **p. 32**   N China is strongly expected to recognize its responsibility in the international community, accept and comply with international norms, and play an active role in a more cooperative manner on regional and global issues.  N During the third plenary session of the 18th Central Committee of the Chinese Communist Party in November 2013, the session adopted “The Decision on Major Issues Concerning Comprehensively Deepening Reforms” regarding reforms in a wide range of areas. Through the Decision, the Central Committee decided to establish a central leading team for comprehensively deepening reform, which is deemed responsible for the overall design of the reform. The team held its fi rst meeting in January 2014. How these reforms will take shape, including how China will deal with corruption problems within the party, will be a point to watch out for going forward.  N It is believed that China is enhancing its asymmetric military capabilities to deter military forces of other countries from approaching and advancing to China’s surrounding region, and to inhibit their military activities in the region (so-called “AntiAccess/Area Denial” [“A2/AD”] capabilities).  N China has been strengthening its military forces broadly and rapidly. Furthermore, China has been rapidly expanding and intensifying its activities in the seas and airspace, including the   East China Sea and South China Sea. China has adopted so-called assertive measures, including attempts to alter the status quo by coercive measures, especially for issues involving confl icting maritime interests. Japan has great concerns over such Chinese military activities, etc., together with the lack of transparency in its military affairs and security issues, and needs to pay utmost attention to them. These activities also raise security concerns for the region and the international community.  N China has not disclosed specifi c information on possession of weapons, procurement goals and past procurements, organization and locations of major units, records of main military operations and exercises, and a detailed breakdown of the national defense budget. It is hoped that China will increase transparency concerning its military affairs by such efforts as disclosing specifi c information pertaining to its defense policies and military capabilities.  N The Chinese national defense budget continues to increase at a rapid pace. Its nominal size has grown approximately 40-fold over the past 26 years and almost quadrupled in size over the past ten years.  |Col1|Defense Budget (in 100 million yuan) Year-on-year growth rate (%)| |---|---| ||| ||| |||   Change in China’s Announced Defense Budget  (100 million yuan)  (%)  8,500  8,000 Defense Budget (in 100 million yuan) 30 7,500  Year-on-year growth rate (%)  7,000  25  6,500 6,000 5,500 20 5,000 4,500 4,000 15 3,500 3,000  10  2,500 2,000 1,500 5 1,000  500 0 0  89 90 92 94 96 98 00 02 04 06 08 10 12 14 (FY)",page,9,japan_2014_DefenseOfJapan,2014,Japan,740,JPN
24515,"**Digest**  **Chapter** **1 Defense Policies of Countries**  |Chapter|1| |---|---|   Recent Chinese Activities in Airspace near Japan (The fl ight paths shown are an illustration)  Flew to the Pacific Ocean through airspace between the  Guam main island of Okinawa and Miyakojima  - a “Y-8”(airborne early warning) (July 2013)  Tokyo - two “H-6”(bomber) (September, 2013)  - two “Y-8”(airborne early warning) & two “H-6”(bomber) (three straight days, October 2013)  - a “Y-8” (intelligence-gathering aircraft) & two “H-6”  November 2013, the establishment of the “East China Sea Air Defense Identification Okinawa (bomber) (March 2014) Zone” was announced  East China Sea December 2012, fixed wing aircraft, which  belongs to the State Oceanic Administration, violated the airspace for the first time  May 2014, over the East China Sea, two “Su-27” (fighter) came hear collision with MSDF’s and ASDF’s aircraft Taipei  “Su-30”(fighter), “J-11”(fighter) & “KJ-2000” Ningbo  The following aircraft flew:  (airborne early warning) etc., flew within the  - a “Tu-154” (intelligence-gathering aircraft) (two straight days, November 2013)  “East China Sea Air Defense Identification Zone”  - a “Tu-154” (intelligence-gathering aircraft ) & a “Y-8”(intelligence-gathering  (announcement by the Chinese side)  aircraft) (November 2013)  - a “Tu-154” (intelligence-gathering aircraft) (February 2014)  The United States National Oceanic and - a “Tu-154” (intelligence-gathering aircraft) (March 2014)  Qingdao  Atmospheric Administration: ETOPO1   Japan is demanding China to revoke any measures that could infringe upon the freedom of overfl ight over the high seas. The United States, the Republic of Korea, Australia, and the European Union have expressed concern about China’s establishment of such zone.  N One of the objectives of China’s maritime activities is thought to be to weaken the control of other countries over the islands to which China claims territorial sovereignty, while strengthening the claim of its territorial sovereignty, through various surveillance activities and use of force in the seas and airspace surrounding the islands.   N Even after China put into commission the aircraft carrier “Liaoning” in September 2012, China seems to be continuing training of carrier-based aircraft pilots and research and development of necessary technologies including the development of a domestic carrier based fi ghter, J-15, such as its takeoff and landing tests on the “Liaoning.” In November 2013, the carrier sailed in the South China Sea for the fi rst time and conducted sea trials in this sea area. Some analysts point out that China may also be constructing its fi rst domestic aircraft carrier.  N China is developing the J-20 and J-31, which are pointed out to become next-generation fi ghters.  N The Chinese government announced that it established “the East China Sea Air Defense Identifi cation Zone (ADIZ)” including the Senkaku Islands which China described as if they were a part of China’s “territory,” that it obligated aircraft fl ying in the said zone to abide by the rules set forth by the Chinese Ministry of National Defense, and that the Chinese Armed Forces would take “defensive emergency measures” in the case where such aircraft does not follow the instructed procedures. Japan is deeply concerned about such measures, which are profoundly dangerous acts that unilaterally change the status quo in the East China Sea, escalating the situation, and that may cause unintended consequences in the East China Sea. Furthermore, the measures unduly infringe the freedom of overfl ight over the high seas, which is the general principle of international law.",page,10,japan_2014_DefenseOfJapan,2014,Japan,740,JPN
