...1,doc_text,doc_type,doc_number,doc_name,year,country,cow_code,cow_alpha
43309,### 2014   ## DEFENSE  ##### WHITE PAPER,page,1,southkorea_2014_DefenseWhitePaper,2014,South Korea,732,ROK
43310,NA,page,2,southkorea_2014_DefenseWhitePaper,2014,South Korea,732,ROK
43311,2014   #### DEFENSE  WHITE PAPER,page,3,southkorea_2014_DefenseWhitePaper,2014,South Korea,732,ROK
43312,"**Message from the Minister of National Defense**  Despite the difficult circumstances faced by our military in 2014, the Republic of Korea’s armed  forces joined the ranks of advanced nations’ elite fighting forces and created an “open barracks culture” to gain the trust of the public.  The Armed Forces of the Republic of Korea (ROK) have valiantly protected the nation from multiple  crises, including the Korean War, when sufficient quantities of adequate weaponry were unavailable, and provided the peninsula with stable security during the rapid push for modernization. At this hour, ROK troops are standing guard, preserving the peace and ensuring freedom for all citizens. Furthermore, our overseas peacekeeping and reconstruction missions are providing hope to millions of displaced families in dire need of the basic standards of life and elevating the stature of the ROK in the eyes of the world.  The threat to security on the Korean Peninsula has never been greater. North Korea is committed to  maintaining and training massive numbers of conventional forces while simultaneously advancing its asymmetric forces and weapons of mass destruction that shake the stability of the Korean Peninsula, Northeast Asia and the world.  Historical and territorial conflicts and a growing arms race have intensified among the countries of  Northeast Asia. Transnational and non-military threats, including terrorism, both at home and abroad, cyber-attacks, infectious diseases and massive natural disasters are ever increasing.  The ROK-U.S. Combined Defense System stands as a deterrent to provocations from North Korea and  other transnational and non-military threats. Should North Korea attempt any aggressive military action, the retaliation by our forces will be overwhelmingly swift and decisive. Our forces perform their duties in a disciplined environment that is both safe and conducive to mission readiness. Moral education and pragmatic education courses and training contribute to the creation of a confident, proud, and fully prepared soldier.  The bilateral military alliance of the Republic of Korea and the United States has gained strength and  resolve to deal with regional and global security issues through an expanding level of cooperation and a continued commitment to joint military exercises that strengthen readiness, thus developing into a comprehensive strategic alliance. Also, in order to deter nuclear and missile provocations from North Korea and to boost the rapid response capabilities necessary to deal with instability factors in Northeast Asia, we have reinforced bilateral and multilateral defense exchanges and cooperation with neighboring countries through hotlines that link defense and military authorities and active senior-level strategic dialogues.  The ROK Armed Forces established the ROK’s Defense Reform Basic Plan (2014-2030), which  reflects today’s internal and external security landscape and ever-changing defense environment. The plan’s precepts on defense reform policy ensure that our military structure is fully prepared for all contingencies of future wars and our defense management system is operationally efficient. Our Agency for Defense Development (ADD), a world-class defense research and development institution, is pursuing the development of defense science and technology, while vitalizing civilian-military cooperation through the transfer of defense technologies to the private sector.",page,4,southkorea_2014_DefenseWhitePaper,2014,South Korea,732,ROK
43313,"We think the starting point of strong armed forces is true military  discipline that safeguards the human rights of all personnel. Our “open barracks culture” represents a significant step in freeing our soldiers and their families from concerns about the fair and equitable treatment of all personnel. The efforts are not just to prevent incidents within the barracks but to fundamentally transform the spirit, culture and system of service members and to strengthen the foundation of our military by ensuring an “advanced elite military” stands ready to achieve victory against any enemy. Government-wide measures that guarantee human rights and build sound character among all service members, strengthen the leadership of junior officers and NCOs, open the closed doors of barracks, and create safe working conditions are being instituted in compliance with the recommendations of the Civil-Government-Military Barracks Culture Reform Committee.  We are strengthening the fundamentals by reinforcing our military readiness posture and formulating  a defense environment that best suits the needs of our service members, the bedrock of our combat strength. To stand ready for future uncertainties, we are strengthening independent defense capabilities and creating a favorable strategic environment for our national interests while preparing for the unification of Korea.  The 2014 Defense White Paper highlights the major achievements and defense policy modifications  made during the first two years of the Park Geun-hye administration, which chose “Construction of a Robust Security Posture” as one of the tenets of its national security strategy. This publication contains details on barracks culture reform, which is of great concern to all, our capability to respond to North Korea’s nuclear and missile threats, and the efforts to garner people’s confidence in force improvement projects. Details of regulatory reforms, National Defense 3.0, the normalization of abnormal practices, trust-building process on the Korean Peninsula, and initiatives pursued at the government-wide level are also included. This year’s version differs from previous publications in that it contains QR codes so that readers can watch videos related to the field of defense on their smartphones and gain a greater understanding of the content.  ways that are consistent with an “advanced elite military” and that enhance the ROK’s stature in the world. I would like to take this opportunity to ask for your continued support in the rebuilding of our military based on the concept of “Defense with a Robust Foundation, Defense Preparing for the Future.”  Thank you.   We will continue to firmly defend the Republic of Korea from all threats and perform our duties in  December 31, 2014  Han Min-koo  Minister of National Defense, Republic of Korea",page,5,southkorea_2014_DefenseWhitePaper,2014,South Korea,732,ROK
43314,"**Contents**  Chapter 1 Changes in Security Environment and Challenges Ahead  Section 1 Global Security Environment  Section 2 Security Environment of Northeast Asia  Section 3 North Korean Situation and Military Threats  Chapter 2 National Security Strategy and Defense Policy  Section 1 National Security Strategy  Section 2 National Defense Policy  Chapter 3 Establishing a Robust Defense Posture  Section 1 Maintaining a Full-spectrum Military Readiness Posture  Section 2 Reinforcing Response Capabilities against North Korean Nuclear and WMD Threats  Section 3 Establishing an Integrated Civilian-Government-Military-Police Defense Posture  Section 4 Assuring Combat Readiness through Realistic Training  Chapter 4 Strengthening Future-Oriented Self-Defense Capability  Section 1 Refinement and Development of Defense Reform  Section 2 Force Buildup based on Jointness  Section 3 Shaping Elite Reserve Forces and Enhancing War Sustainment Capability  Section 4 Development of Defense Informatization  Chapter 5 ‌Developing the ROK-U.S. Alliance and Reinforcing Defense Diplomacy and  Cooperation  Section 1 Development of a Future-Oriented ROK-U.S. Alliance  Section 2 ‌Wartime OPCON Transition that Contributes to the Reinforcement of the ROK-U.S.  Combined Defense Posture  Section 3 Expansion of Defense Diplomacy and Cooperation  Section 4 Contributing to World Peace through Overseas Deployments   14 22  36 39  46 59 65 68  82 91 95  107  114 123  130 143  158 164  172 180 184   Chapter 6 ‌Military Measures and Readiness in Accordance with the Changing  Inter-Korean Relationship  Section 1 Military Support to Advance the Trust-building Process on the Korean Peninsula  Section 2 ‌Ensuring Inter-Korean Exchanges and Cooperation, and Providing Humanitarian Assistance  Chapter 7 ‌Innovative Defense Management and Promotion of the Defense Industry  Section 1 Enhancement of the Efficiency of Defense Budget Management  Section 2 Strengthening Competitiveness of Force Improvement Projects  Section 3 Creative Defense R&D and Promotion of the Defense Industry",page,6,southkorea_2014_DefenseWhitePaper,2014,South Korea,732,ROK
43315,Chapter 8 Creating a Proud and Rewarding Environment for Military Service  Section 1 Establishment of an Open Barracks Culture Trusted by People  Section 2 Improvement of Welfare for Service Members  Section 3 Development of the Defense Medical System  Section 4 Expansion of Support for Retiring Service Members  Chapter 9 Defense Policies Focusing on Respect for the People  Section 1 Improvement of Defense Regulations and the Public’s Rights and Benefits  Section 2 Enhancement of Benefits for War Veterans and Service Members Killed in Action  Section 3 Development of the Public Disaster and Safety Support System  Section 4 Improvement of the Military Service System and Military Administration  Section 5 Strengthening Communications with the Public  **Appendix**  **Special Appendix**  1. ‌Adjustment of the Korea Air Defense Identification 242 11. ‌Joint Communiqué of the 45[th] ROK-U.S. Security  Zone Consultative Meeting  2. Seoul Defense Dialogue 247 12. ‌Joint Communiqué of the 46[th] ROK-U.S. Security  3. Repatriation of Chinese Soldiers’ Remains 254 Consultative Meeting  13. ‌Major International Arms Control Agreements and  **Appendix** Organizations  1. Status of Neighboring Countries’ Military Strength 258 14. Status of Overseas Deployment of ROK Forces  2. Comparison of Major Countries’ Defense Budgets 260 15. Budget for ROK Military Units Deployed Overseas  3. ‌Comparison of the Military Strength of the Two 261 16. Annual Defense Budgets  Koreas 17. ‌Status of Defense Industrial Cooperation  4. ‌Comparison of the Economic Indicators of the Two 262 Agreements with Other Countries  Koreas 18. ‌Status of Salary Increases for Enlisted Service  5. Status of the North Korean Nuclear Issue 262 Members  6. ‌Status of North Korea’s Missile Development and 263 19. Changes in Mandatory Military Service Period  Specifications 20. Status of Alternatives to Military Service by Type  7. Chronicle of Inter-Korean Military Relations 264 21. National Defense Organizations  8. ‌Chronicle of North Korea’s Infiltrations and Local 276 22. ‌Modification of Laws and Regulations under the  Provocations against the ROK Jurisdiction of the Ministry of National Defense  9. ‌Status of Combined and Joint Exercises and Training 282 23. ‌Composition and Major Activities of the National  10. ‌Joint Declaration in Commemoration of the 60[th] 284 Defense Committee of the National Assembly  Anniversary of the Alliance between the Republic of  Korea and the United States of America   192 198 206 209  216 223 227 232 237  286  290  294  296 297 298 299  300  301 302 304 306  318,page,7,southkorea_2014_DefenseWhitePaper,2014,South Korea,732,ROK
43316,###### Chapter # 1  Changes in Security Environment and Challenges Ahead,page,8,southkorea_2014_DefenseWhitePaper,2014,South Korea,732,ROK
43317,Section 1 Global Security Environment 8  Section 2 Security Environment of Northeast Asia 14  Section 3 North Korean Situation and Military Threats 22,page,9,southkorea_2014_DefenseWhitePaper,2014,South Korea,732,ROK
43318,"**Section 1 Global Security Environment**  While the present international order dominated by the United States remains intact, many factors of chal­  lenges, such as the emergence of regional powers, are on the rise, calling for changes in such order. As  local conflicts are still occurring and transnational threats continue to proliferate, security uncertainty in  the international community is growing ever more. The magnitude of new security threats, including  economic instability and the changing patterns of future wars, is also increasing.  **1. U.S.-led International Order and Emergence of Regional Powers**  It is not likely that the post-Cold War international order to date will go through sudden  changes. However, factors of challenges that call for changes in the international order are on  the rise. The United States will continue to maintain its dominant position in spite of defense  budget cuts, based on its overwhelming military superiority, advanced scientific technology  and soft power. China is also likely to continue to strengthen its international status with its  rapidly growing economy. It will also play a crucial role in the process of realigning the  global security order while forming a “new type of great power relations”[1] with the United  States. Due to the EU’s pursuit of external expansion, Russia’s attempt to recover its past  influence, and the rise of India and Brazil as regional powers, cooperation and competition  among major nations will deepen and the international order will become more complex.  Also, middle powers, including the ROK, will play a bigger role in the international order.  **2. Ever-present Possibility of Local Conflicts**  Local conflicts are expected to continue around the world due to deeply rooted factors of  1 This is a suggestion made by China calling for respect for the core interests of the two countries based on mutual trust. It has as its  main ideas the prevention of clashes and confrontations, mutual respect, cooperation and co-prosperity.",page,10,southkorea_2014_DefenseWhitePaper,2014,South Korea,732,ROK
