chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"# fletorja zyrtare e republikes se shqiperise www. qbz. gov. al botim i qendres se botimeve zyrtare viti : 2015 - numri : 254! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png ) tirane - e premte, 5 shkurt 2016 permbajtja faqe ligj nr. 121 / 2015 date 12. 11. 2015 per miratimin e planit afatgjate te zhvillimit te forcave te",320,68,130,0,albania_2016_FletorjaZyrtare_noneng.md,2025-01-28 18:57:21
2,armatosura 2016 - 2025.................................................................................... 18003 ligj nr. 121 / 2015 per miratimin e planit afatgjate te zhvillimit te forcave te armatosura,204,21,130,0,albania_2016_FletorjaZyrtare_noneng.md,2025-01-28 18:57:21
3,"2016 - 2025 ne mbeshtetje te neneve 78 dhe 83, pika 1, te kushtetutes, me propozimin e keshillit te ministrave, kuvendi i republikes se shqiperise vendosi : neni 1 miratohet plani afatgjate i zhvillimit te forcave te armatosura 2016 - 2025, sipas tekstit qe i bashkelidhet ketij ligji. neni 2 ngarkohet keshilli i ministrave te",327,55,130,0,albania_2016_FletorjaZyrtare_noneng.md,2025-01-28 18:57:21
4,"nxjerre aktet nenligjore, te nevojshme per zbatimin e ketij plani. neni 3 ky ligj hyn ne fuqi 15 dite pas botimit ne fletoren zyrtare. miratuar ne daten 12. 11. 2015 kryetari ilir meta",184,33,78,0,albania_2016_FletorjaZyrtare_noneng.md,2025-01-28 18:57:21
5,"# # plani afatgjate i zhvillimit te fa 2016 - 2025 kreu i te pergjithshme plani afatgjate i zhvillimit te forcave te armatosura 2016 - 2025 ( pazhfa 2016 - 2025 ) perkthen objektivat e strategjise se sigurise kombetare, strategjise ushtarake, skenaret e rishikimit strategjik te mbrojtjes 2013, si dhe konceptin st",314,52,130,1,albania_2016_FletorjaZyrtare_noneng.md,2025-01-28 18:57:21
6,"##rategjik te nato - s ne kapacitete ushtarake, duke tentuar plane orientuese ne pikepamje te kohes dhe burimeve te disponueshme. ky dokument percakton drejtimet e zhvillimit te forcave te armatosura ( fa ) dhe orienton ngritjen e kapaciteteve te nevojshme per permbushjen e misionit kushtetues dhe mbrojtjen kolektive mbi bazen e bu",333,52,132,1,albania_2016_FletorjaZyrtare_noneng.md,2025-01-28 18:57:21
7,"##rimeve, ne harmoni me sistemin e! [ 1 _ image _ 0. png ] ( 1 _ image _ 0. png ) planifikimit te mbrojtjes se nato - s. ne te pershkruhen mjetet, me te cilat fa do te permbushin objektivat ushtarake te percaktuar ne strategjine ushtarake dhe qe rrjedhin nga strategjia e sigurise kombetare. me miratimin e pazhfa 2016 - 202",324,62,132,1,albania_2016_FletorjaZyrtare_noneng.md,2025-01-28 18:57:21
8,"##5, komandat e forcave, komanda mbeshtetese dhe komanda e doktrines dhe stervitjes do te hartojne planet e tyre respektive te detajuara, ndersa drejtorite ne shtabin e pergjithshem te fa do te hartojne planet mbeshtetese me projektet perkatese. 1. 1 supozimet hartimi i pazhfa 2016 - 2025 eshte bere duke u bazuar ne supozimet e meposhtm",338,55,132,1,albania_2016_FletorjaZyrtare_noneng.md,2025-01-28 18:57:21
9,"##e : - kushtetua e republikes se shqiperise, strategjia e sigurise kombetare dhe strategjia ushtarake nuk do te ndryshojne ne periudhen 5 - 10 - vjecare, po ashtu edhe misioni kushtetues dhe angazhimet e fa ne operacione, misione dhe detyra ; - aleanca e nato - s do te vijoje te luaje rolin e saj ne kuadrin e sigurise kolekti",328,60,132,1,albania_2016_FletorjaZyrtare_noneng.md,2025-01-28 18:57:21
10,"##ve. roli, detyrat dhe kerkesat per kapacitete ne kete kuader nuk do te ndryshojne dukshem, por presioni per permbushjen e detyrimeve per zhvillimin e kapaciteteve ne kuader te aleances do te rritet ; - situata globale dhe rajonale e sigurise nuk do te ndryshoje ne menyre radikale ne periudhen 20162025 ; - personeli i fa nuk do te ndryshoje ne",346,60,132,1,albania_2016_FletorjaZyrtare_noneng.md,2025-01-28 18:57:21
