chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"* * directive of defense for 2017 * * * * i. * * * * introduction * * the ministry of defense expects 2017 with success in management, modernization and development of the armed forces and defense reform. the armed forces of the republic of albania have provided power and capacity to ensure the safety and security of the country and national interests. the mod has ensured resources for the armed forces to fulfill their mission and duties, in facing the challenges of the future and to improve treatment of the military and enhance their dignity. during 2016, the armed forces of the republic of albania carried on their transformation process ; they have successfully fulfilled the constitutional mission and",712,121,130,0,albania_2017_DefenseDirective.md,2025-01-28 18:56:14
2,"legal obligations and those within the alliance. while the security environment has become even more complicated, there has been progress in the implementation of strategic documents, improvement of legislation, increase of readiness and capacity development to ensure the security and handling of all scenarios of threats. modernization has equipped the armed forces with new weapons, interoperable with allies, with individual and collective quality equipment, and has increased their capacity for civil emergencies and search and rescue. all the achievements have been the result of effective implementation of the budget, the improvement of planning process, the increase of transparency and fight against corruption. aaf has fulfilled its obligations within the framework of collective defense",798,113,130,0,albania_2017_DefenseDirective.md,2025-01-28 18:56:14
3,", in cooperation with their allies and partners, and proceeded with their contribution in nato and eu led operations to meet the challenges of security and create a safer environment for our citizens and those of allied countries. the directive of defense for the year 2017 bases on the goals of strategic documents for security and defense, and on fundamental documents of nato and eu. given the challenges and the role of aaf in the future security environment, below are presented the priorities and directions on which the plans and activities of the structures of the mod and the armed forces are based. * * ii. * * * * main priorities for 2017 * * 1. increase of",668,119,130,0,albania_2017_DefenseDirective.md,2025-01-28 18:56:14
4,"professionalism, interoperability and operability of the armed forces ; 2. fulfillment of commitments within the framework of the alliance ; 3. continuation of transformation, modernization and improvement of the infrastructure of the armed forces ; 4. increase of care and support for the military. * * iii. * * * * the main foci for 2017 * * the activity of the structures of ministry of defense and the armed forces, for 2017, is to focus on the following areas : - - - - - * * 1. * * * * planning and defense transformation * * perform the strategic defense review and continue with defense reform as a permanent",616,112,130,0,albania_2017_DefenseDirective.md,2025-01-28 18:56:14
5,"process of transformation oriented by national strategic documents and those of nato in order to create an effective professional, trained and well - equipped, ready, deployable, support and interoperable force to meet the constitutional mission and obligations towards the alliance. continue to increase the role and contribution of albania in nato, through dignified representation, an active and constructive engagement in operations, as well as making available to the alliance, the national infrastructure and physical capacities. defense planning in accordance with the alliance defense planning ensures that the transformation of the armed forces reflects the changes in the security environment, risks, threats and the dynamic process of transformation of nato. planning should",785,111,130,0,albania_2017_DefenseDirective.md,2025-01-28 18:56:14
6,"aim at the implementation of the objectives of capacity, and should be driven by the alliance, readiness action plan, the decisions of warsaw summit and guidelines deriving from the nato ministerial. defense program managers and commanders of the main commands develop defense programs and update integrated list of priorities, focusing on group - battalion of light infantry, for its preparation and certification according to the required deadline. * * 2. * * * * capacity development * * develop capacities of the aaf for operations of national defense, collective defense, crisis management operations and operations for copying with civilian emergencies. in fulfillment of nato obligations, ensure combat capacities, combat support and support with",753,113,130,0,albania_2017_DefenseDirective.md,2025-01-28 18:56:14
7,"fighting services, ready and deployable when necessary. achieve modernization of the armed forces with armament, technique, transportation vehicles, equipment and systems in accordance with the long term plan of development of aaf 20162025, capacity objectives package, according to the concept of a single group of forces and the concept of nato ' s capacity development. modernization priorities are to be lf, mp and nf units which will be involved in the alliance ' s operations and modernization programs in attaining the objectives of capacity. lf is to have as its own priority the preparation for certification of the battalion group, with all its elements and the stated units in nr",690,110,130,0,albania_2017_DefenseDirective.md,2025-01-28 18:56:14
8,"##f, especially in the rapid deployment joint task force ( vjtf ) and the participating forces in nato advanced force. to this end, all elements of the battalion - group should be completed with personnel, major and support equipment, according to alliance ' s standards. furthermore, all the concepts, training and modernization plans for the increase of fire strength, mobility and maintenance of forces should be updated. - - - - - modernization of nf is to focus on readiness of ship types "" illyria "", in order to participate in nato naval engagement, equipping them with weapons, equipment and necessary systems. in meeting alliance, improve all",651,107,132,0,albania_2017_DefenseDirective.md,2025-01-28 18:56:14
9,"the systems and capacities of naval detention, observation and patrolling of maritime space. priority of af should be the training of air crews and equipping of cougar helicopters, sustainment of the operational readiness of helicopters and aircraft crews and designation of two helicopters on readiness mode for nato operations. integrate af personnel and equipment of air units with those of mia and moh. proceed with the increase of training capacities, and flight hours, and make projects for capacities of airspace monitoring. draft plans for support capacity development to provide support of troops with transport, supply, maintenance, field services, and good management of materials, contracting, as well as search",723,108,130,0,albania_2017_DefenseDirective.md,2025-01-28 18:56:14
10,"and rescue equipment. develop tactical intelligence and early alert capabilities, as well as meet the security standards for information storage. work on developing the capacity of coping with hybrid threats, civil emergencies, as well as those of stabilization and reconstruction. fulfill its obligations in the implementation of the common strategy on combating organized crime, illegal trafficking and terrorism, draft policies and improve defense capabilities and cyber security, and sign the mou with alliance for this area. extend the network of nato commands in force commands and improve operational capacities of communication and information systems. * * 3. readiness and operability * * keep aaf in readiness to ensure the fulfillment of the",752,112,130,0,albania_2017_DefenseDirective.md,2025-01-28 18:56:14
11,"constitutional mission and obligations on behalf of the alliance, guaranteeing the independence, territorial integrity and constitutional order, increasing their engagement in community and civil emergencies. the units should be completed, trained and supported according to priorities focusing on the units stated in nato. force commanders should develop and implement action plans to achieve readiness standards, under the new regulation and timely implement modernization programs and their equipping with major support equipment. in meeting the legal requirements by the central and local authorities and the role in service of the community, the civil emergency and search and rescue capacities shall be kept in preparedness. the armed forces shall continue contributing to the alliance ' s",795,114,130,0,albania_2017_DefenseDirective.md,2025-01-28 18:56:14
12,"three main tasks : collective defense, crisis management and security cooperation. for collective defense, all the commitments are to be fulfilled by contributing to the command structure and nato force ; to the action plan for readiness ; and to nato advanced force. for the crisis management, materialize the contributions in operations led by nato, the eu and the un ( in afghanistan, kosovo, bosnia - herzegovina, mali and maritime activities in the mediterranean sea ). the - - - - - representation in the structures of the alliance is to be reassessed, with improved military diplomacy. for security cooperation, support the alliance ' s initiatives in strengthening partnerships, by contributing",702,111,130,0,albania_2017_DefenseDirective.md,2025-01-28 18:56:14
13,"in the field of arms - control and disarmament, and by supporting nato membership of aspirant countries, in particular regional countries. the deployment selection of military on operations shall continue to be implemented with transparent procedures in accordance with requirements and specifications of the operation. the military are to be prepared and equipped to perform the duty with high standards. the participation in nato operations shall serve for the development of structures and personnel of the armed forces. * * 4. education, training and interoperability * * the education system, training and exercise is to enhance interoperability and meet the needs of aaf with human resources capable and competent at",722,110,130,0,albania_2017_DefenseDirective.md,2025-01-28 18:56:14
14,"all levels. the education system shall precede the transformation of the armed forces, by updating the methodology and the military doctrines and teaching programs. officers and nco courses are to include modules in english and create and offer distance learning courses electronically. based on strategic documents and doctrines of the alliance, _ doctrines of forces of the armed _ forces services are to be updated, to guide ways on how to achieve the goals and objectives in compliance with national interests. drafting and revision of standard procedures should continue to mainstream unified processes and ensure interoperability with allies _ training to enhance military capabilities and interoperability of the armed forces and preparing _ individuals",760,114,130,0,albania_2017_DefenseDirective.md,2025-01-28 18:56:14
