chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# # modernization of the modernization of the defense sector defense sector,75,12,14,0,argentina_2007_ModernizationDefenseSector.md,2025-01-28 18:56:30
2,# # # # # principles and characteristics of the argentine model 2007,68,13,15,1,argentina_2007_ModernizationDefenseSector.md,2025-01-28 18:56:30
3,"# # # # # # ministry of defense presidency of the nation - - - - - | report documentation page | col2 | col3 | col4 | form approved omb no. 0704 - 0188 | col6 | | - - - | - - - | - - - | - - - | - - - | - - - | | public reporting burden for the collection of information is estimated to average 1 hour per response, including the time for reviewing instructions, searching existing data sources, gathering and maintaining the data needed, and completing and reviewing the collection of information. send comments regarding this burden estimate or any",550,113,130,2,argentina_2007_ModernizationDefenseSector.md,2025-01-28 18:56:30
4,"other aspect of this collection of information, including suggestions for reducing this burden, to washington headquarters services, directorate for information operations and reports, 1215 jefferson davis highway, suite 1204, arlington va 22202 - 4302. respondents should be aware that notwithstanding any other provision of law, no person shall be subject to a penalty for failing to comply with a collection of information if it does not display a currently valid omb control number. | | | | | | | 1. report date 2001 | | 2. report type | | 3. dates covered 00 - 00 - 2007 to 00 - 00 - 2007 | | | 4.",602,109,130,2,argentina_2007_ModernizationDefenseSector.md,2025-01-28 18:56:30
5,"title and subtitle modernization of the defense sector | | | | 5a. contract number | | | | | | | 5b. grant number | | | | | | | 5c. program element number | | | 6. author ( s ) | | | | 5d. project number | | | | | | | 5e. task number | | | | | | | 5f. work unit number | | | 7. performing organization name ( s ) and address ( es ) ministry of defense, azopardo 250 ( c1107adb ) ciudad aut? noma de buenos aires,",412,101,130,2,argentina_2007_ModernizationDefenseSector.md,2025-01-28 18:56:30
6,"argentina,, | | | | 8. performing organization report number | | | 9. sponsoring / monitoring agency name ( s ) and address ( es ) | | | | 10. sponsor / monitor ’ s acronym ( s ) | | | | | | | 11. sponsor / monitor ’ s report number ( s ) | | | 12. distribution / availability statement approved for public release ; distribution unlimited | | | | | | | 13. supplementary notes | | | | | | | 14. abstract | | | | | | | 15. subject terms | | | | | | | 16. security classification of : | |",487,117,130,2,argentina_2007_ModernizationDefenseSector.md,2025-01-28 18:56:30
7,| 17. limitation of abstract public release | 18. number of pages 11 | 19a. name of responsible person | | a. report unclassified | b. abstract unclassified | c. this page unclassified | | | | * * standard form 298 ( rev. 8 - 98 ) * * prescribed by ansi std z39 - 18 - - - - -,276,62,81,2,argentina_2007_ModernizationDefenseSector.md,2025-01-28 18:56:30
8,# # # # # # dr. nestor carlos kirchner president of the nation dra. nilda garre minister of defense ministry of defense azopardo 250 ( c1107adb ) ciudad autonoma de buenos aires telephone. : 4346 - 8800 - email : prensa @ mindef. gov. ar - web : www. mindef. gov. ar - - - - -,276,58,87,3,argentina_2007_ModernizationDefenseSector.md,2025-01-28 18:56:30
9,# # # # # # ministry of defense dra. nilda garre minister of defense lic. jose m. vasquez ocampo secretary of military affairs lic. oscar julio cuattromo secretary of planning dr. raul alberto garre chief of staff lic. esteban german montenegro undersecretary for technical - military affairs lic. gustavo sibilla undersecretary of armed forces institutional strengthening lic. hugo cormick undersecretary for coordination dra. ileana arduino nacional human rights director lic. jorge luis bernetti public affairs director i. overall diagnosis he,546,81,130,4,argentina_2007_ModernizationDefenseSector.md,2025-01-28 18:56:30
10,return to a democratic order in the republic of argentina created the political conditions necessary for a legally - constituted civil,134,21,23,4,argentina_2007_ModernizationDefenseSector.md,2025-01-28 18:56:30
11,"# t leadership to rethink national defense policy and, therefore, determine the new role of the armed forces under such framework. the bases to enable the re - institutionalization of the armed forces according to democratic rules – especially in compliance with the principle of subordination to civilian control and the limited assignment of roles and responsibilities — were laid down through the enactment of a series of laws comprising the corpus iuris of national defense, namely : national defense act 23, 554 ( 1988 ), domestic security act 24, 059 ( 1992 ), volunteer service act 24, 439 ( 1994 ), armed forces reorganization act ( 1998",645,108,130,5,argentina_2007_ModernizationDefenseSector.md,2025-01-28 18:56:30
12,") and national intelligence act 25, 520 ( 2001 ). in spite of the progress represented by the creation of a regulatory framework for the sector, the efforts to make defense policy a truly consistent and agreed - upon state policy encountered several hindrances due to a complex range of factors. it is important to underscore, among those factors, the dynamic nature of the global and regional context in which the defense sector is inserted ( the profound reconfiguration of the world after the end of the cold war, followed by the dramatic turningpoint of the post - cold war era represented by the attack on the world trade center on september",646,112,130,5,argentina_2007_ModernizationDefenseSector.md,2025-01-28 18:56:30
13,"11, 2001 ), as well as the direct incidence of domestic political factors. in the latter case, we cannot ignore the particular characteristics of the country ’ s democratic transition process triggered by the political, economic and military collapse of the last de - facto government. some of the most significant features of such process were the large and chronic reduction of resources allocated to defense – resulting in a decrease of more than half its share in budget priorities over the last twenty years — and the lack of principles and characteristics of the argentine model",584,97,105,5,argentina_2007_ModernizationDefenseSector.md,2025-01-28 18:56:30
14,"# # # modernization of the defense sector a clear guideline by the political leadership regarding what military instrument model was required. such has been the context in which the defense sector has lived, marked by a delegation approach whereby civilian functions were delegated to the armed forces, as well as a real demobilization of their logistic capabilities and components. with such basic diagnosis, it is essential to elaborate a comprehensive modernization program for the defense system, which may allow its insertion in today ’ s world and to respond to the country ’ s own national requirements, by optimizing existing capabilities and efficiently managing its available resources. with the adoption of such",722,113,130,6,argentina_2007_ModernizationDefenseSector.md,2025-01-28 18:56:30
15,"course of action, argentina ’ s current modernization program has been designed around four dimensions : ( 1 ) operationalizing the existing legal framework and adapting defense ’ s strategic planning process accordingly, prioritizing the demilitarization of strictly civilian roles ; ( 2 ) restructuring the resource management subsystem, recovering the services ’ operational capability, coordinating and streamlining the areas of science, technology and production ; ( 3 ) adjusting the subsystems of intelligence and military justice ; ( 4 ) reorganizing the subsystem of civil and military education and training, introducing the human rights and gender perspectives. based on such considerations, this paper",713,104,130,6,argentina_2007_ModernizationDefenseSector.md,2025-01-28 18:56:30
16,"is aimed at describing the current modernization process undertaken by the argentine defense sector, considering its background and principles, as well as its strategic guidelines and key features. i. overall diagnosis modernization of the defense sector | 5 - - - - -",268,43,49,6,argentina_2007_ModernizationDefenseSector.md,2025-01-28 18:56:30
17,# # # # # # modernization of the defense sector modernization of the defense sector,83,16,18,7,argentina_2007_ModernizationDefenseSector.md,2025-01-28 18:56:30
18,"# # # # # # modernization of the defense sector lished the organic - functional bases of the defense system around general parameters aimed at ensuring : the exercise of civilian authority, the non - intervention of the armed forces in internal political affairs, the regulation - from a restrictive perspective - of military involvement in domestic - security matters, and the reinforcement of a military organization based on criteria of efficiency and jointness. likewise, the domestic security act ( 24, 059 ) specifically regulated the involvement of the armed forces in domestic security activities, ensuring that such role be exceptionally exercised in accordance with clear regulatory parameters. also, while the volunteer military service act",751,116,130,8,argentina_2007_ModernizationDefenseSector.md,2025-01-28 18:56:30
