chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# # national security strategy of the republic of armenia,57,10,12,0,armenia_2020_NationalSecurityStrategy.md,2025-01-28 18:56:31
2,# # # # # a resilient armenia in a changing world - - - - -,59,17,21,1,armenia_2020_NationalSecurityStrategy.md,2025-01-28 18:56:31
3,"# # # prime minister ’ s remarks i believe that, in discussing our national security, one first has to reflect on our national identity, since national security is about preserving that national identity — shielding it from physical and substantive threats. nevertheless, national identity is not static. our nation and its people have existed for millennia. however, the notion of what it means to “ be armenian ” has changed over time, in light of a range of circumstances, events, and factors. today, we may not know the meaning that a subject of king artaxias i attributed to the word “ armenian ”, but we do know that it differed from",639,112,130,2,armenia_2020_NationalSecurityStrategy.md,2025-01-28 18:56:31
4,"how we understand it today. at minimum, they were unaware of our current existence ; whereas, we surely are aware of theirs. this fact, in itself, indicates that national identity does evolve. we are unaware if the armenians of 2, 000 years ago considered our current existential interests as part of their decision - making, or whether such reasoning existed at all. however, in our current time, we can factor that in — knowing the past, we can reflect beyond just the present day and immediate future, but also project onto the horizon of the millennia to come. this may be the pivot whereupon a national outlook becomes an existential",638,110,130,2,armenia_2020_NationalSecurityStrategy.md,2025-01-28 18:56:31
5,"imperative, as an institution up to the task of drawing on our past and present experience to focus beyond just the needs of today, but project its message into the future — a message that would connect the armenian living a thousand years from now with the armenian who lived a thousand years ago. perhaps this is how national identity and national awareness evolve : through historical experience, through awareness of that history, through the positive and negative impressions that accumulate over that experience, and through future aspirations, connected organically with both the past and the present. over the years, our national identity has developed to an ii - - - - - extent that allows us to",704,118,130,2,armenia_2020_NationalSecurityStrategy.md,2025-01-28 18:56:31
6,"define our purpose — to ensure the existence and development of our generations on this planet, on the territory of the armenian state for millennia to come — and to view our present endeavors within this context. the armenian who lives on this planet 2, 000 years from now will be different from us, just as we differ from the armenians who lived 2, 000 years ago. one such difference is that we can convey our message to the armenians of the future. the central idea of that message should focus on what connects them with us and with the armenians who lived 2, 000 years before us, and what conditions would strengthen this connection and make it viable",656,119,130,2,armenia_2020_NationalSecurityStrategy.md,2025-01-28 18:56:31
7,". at the same time, this connection should not become constraining. it should not hold us back but, rather, push us forward, motivate and inspire us. it should not become a suffocating presence, but rather provide an incentive for every armenian to view themselves as integral to a millenia - old mission, and thus expand its scope and enrich its content. it should instill trust and a longing for self - acknowledgment and self - recognition. the most vital element of national identity is the connection with one ’ s roots, a sense of ownership over a national legacy and values, crystal",589,102,130,2,armenia_2020_NationalSecurityStrategy.md,2025-01-28 18:56:31
8,"##ized through history. it strengthens every individual ’ s faith in and reliance on their abilities and, consequently, the faith in and reliance on the abilities of the entire nation and its people. for this reason, in the preamble to the national security strategy, i consider it necessary to chart a trajectory best formulated by poet vahan teryan in the following lines : * * babylon was once our adversary, see * * * * how it has been lost, passed on — like an ominous mist. * * * * - vahan teryan * * we have been conceived in the armenian highland, our patriarch was hayk, and",583,109,133,2,armenia_2020_NationalSecurityStrategy.md,2025-01-28 18:56:31
9,"we are called armenians. we are the heirs of the kingdom of van, the orontid dynasty, the artaxiad dynasty, the arsacid dynasty, the bagratid dynasty, the kingdom of cilicia, and the first republic of armenia. we acknowledge the exceptional role of the armenian ssr in the development of education, science, culture, and industry in armenia. we are the proud citizens of the third armenian republic, the sons and daughters of the armenian nation, who founded the third armenian republic and liberated artsakh. the republic of armenia is the guarantor of the security and liberty of the armenians of artsakh",606,99,130,2,armenia_2020_NationalSecurityStrategy.md,2025-01-28 18:56:31
10,". the republic of armenia is a pan - armenian state and represents all the armenians of the world. the armenian nation has survived many historical ordeals and has acquired the strength and vitality to make it to the 21st century through the skills, knowledge, and character it has developed by exercising statehood. drawing on this historical knowledge, the armenian nation iii - - - - - succeeded in re - creating its independent state in the very wake of the armenian genocide — the mets yeghern. the armenian state is the sole guarantor of the existence and development of the armenian nation. therefore, the armenian state must persist eternally because the armenian",671,113,130,2,armenia_2020_NationalSecurityStrategy.md,2025-01-28 18:56:31
