chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# # # # counter - terrorism white paper,39,9,11,0,australia_2010_CounterterrorismWhitePaper.md,2025-01-28 18:55:23
2,# # securing australia | protecting our community,49,8,10,1,australia_2010_CounterterrorismWhitePaper.md,2025-01-28 18:55:23
3,"# 2010 - - - - - published by the department of the prime minister and cabinet designed by papercut pty ltd, canberra printed by new millennium print pty ltd to independently assessed, high environmental standards on mondi colour copy, an fsc certified paper isbn 978 - 1 - 921385 - 96 - 4 ( hardcopy ) isbn 978 - 1 - 921385 - 99 - 5 ( pdf ) © commonwealth of australia 2010 this work is copyright. apart from any use as permitted under the copyright act 1968, no part may be reproduced by any process without prior written permission from the department of the prime minister and cabinet.",589,111,130,2,australia_2010_CounterterrorismWhitePaper.md,2025-01-28 18:55:23
4,"requests and enquiries concerning reproduction should be addressed to the commonwealth copyright administration, attorney - general ’ s department, 3 – 5 national circuit, barton act 2600 or at www. ag. gov. au / cca. - - - - -",227,40,53,2,australia_2010_CounterterrorismWhitePaper.md,2025-01-28 18:55:23
5,"# # # prime minister ’ s foreword terrorism continues to pose a serious security challenge to australia. the australian government remains resolute in its commitment to protect australia, its people and interests from this threat. the government is committed to concrete action to combat terrorism. we will continue to ensure that agencies are appropriately resourced, that responses are agile and can meet changing threats, and that all necessary and practical action is taken to protect australia and australians. the policy outlined in this white paper delivers an effective and balanced approach that further strengthens our domestic counter - terrorism efforts and makes a strong contribution to international counter ‑ terrorism efforts. the government has made",767,116,130,3,australia_2010_CounterterrorismWhitePaper.md,2025-01-28 18:55:23
6,"a number of important changes to the way australia responds to terrorism. this white paper sets out our strengthened approach to aviation security, and improves the coordination of our counter - terrorism efforts. it also sets out for the first time a strategy to counter violent extremism in australia. the government has taken and will continue to take all necessary measures to combat terrorism and those who plan or perpetrate such acts. this white paper reiterates the government ’ s commitment to provide the necessary resources to australia ’ s law enforcement, intelligence, security and border protection agencies to enable them to operate effectively. at the same time, we have also taken steps",704,113,130,3,australia_2010_CounterterrorismWhitePaper.md,2025-01-28 18:55:23
7,"to ensure that australia ’ s response to terrorism does not inadvertently undermine the principles that we seek to uphold. no government can guarantee that australians will be free from the threat of terrorist attack. but this government can guarantee that we will take all necessary and practical measures to combat the threat. this white paper forms part of the government ’ s national security reform agenda. it is a further step in delivering a safer, more secure australia. the hon kevin rudd mp prime minister of australia - - - - -",538,93,101,3,australia_2010_CounterterrorismWhitePaper.md,2025-01-28 18:55:23
8,"# # # executive summary the first responsibility of government is the protection of australia, australians and australian interests. so a key government priority is to protect australia from terrorism. the threat of terrorism to australia is real and enduring. it has become a persistent and permanent feature of australia ’ s security environment. the main source of international terrorism and the primary terrorist threat to australia and australian interests is from a global violent jihadist movement – extremists who follow a distorted and militant interpretation of islam that espouses violence as the answer to perceived grievances. this extremist movement comprises al ‑ qa ’ ida, groups allied or associated",717,110,130,4,australia_2010_CounterterrorismWhitePaper.md,2025-01-28 18:55:23
9,"with it, and others inspired by a similar worldview. while the threat is persistent, the challenge has evolved since the last counter - terrorism white paper in 2004 in two respects. first, while there have been counter - terrorism successes ( most notably pressure on al ‑ qa ’ ida ’ s core leadership in afghanistan and pakistan, and action against terrorists in south - east asia ), these successes have been offset by the rise of groups affiliated with, or inspired by, al ‑ qa ’ ida ’ s message and methods, with new areas such as somalia and yemen joining existing areas of concern in south asia, south - east asia,",621,113,130,4,australia_2010_CounterterrorismWhitePaper.md,2025-01-28 18:55:23
10,"the middle east and the gulf. a second shift apparent since 2004 has been the increase in the terrorist threat from people born or raised in australia, who have become influenced by the violent jihadist message. the bombings in london on 7 july 2005, which were carried out by british nationals, brought into stark relief the real threat of globally - inspired but locally generated attacks in western democracies, including australia. a number of australians are known to subscribe to this message, some of whom might be prepared to engage in violence. many of these individuals were born in australia and they come from a wide range of ethnic backgrounds. the pool of those",675,114,130,4,australia_2010_CounterterrorismWhitePaper.md,2025-01-28 18:55:23
