chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,- - - - - - - - - - * * 2016 defence white paper * * - - - - - - - - - -,72,28,30,0,australia_2016_DefenceWhitePaper.md,2025-01-28 18:56:11
2,# # # # ` table of contents ` minister ’ s introduction.......................................... 9 executive summary............................................ 13 strategy........................,197,18,130,1,australia_2016_DefenceWhitePaper.md,2025-01-28 18:56:11
3,.......................... 14 australia ’ s strategic outlook................................. 14 australia ’ s defence strategy................................. 17 capability......................,197,15,130,1,australia_2016_DefenceWhitePaper.md,2025-01-28 18:56:11
4,".......................... 18 a more capable, agile and potent future force.................... 18 australian defence industry and innovation...................... 20 shipbuilding..........................................",221,18,130,1,australia_2016_DefenceWhitePaper.md,2025-01-28 18:56:11
5,.. 21 defence posture – more active and internationally engaged......... 21 international engagement................................... 22 defence preparedness..................................... 22 people...........................,233,18,130,1,australia_2016_DefenceWhitePaper.md,2025-01-28 18:56:11
6,...................... 23 resources................................................ 24 reform................................................. 24 funding...,156,7,130,1,australia_2016_DefenceWhitePaper.md,2025-01-28 18:56:11
7,............................................. 24 implementation.......................................... 25 chapter one : the government ’ s approach to defence.................. 29 the purpose of this defence white paper..,224,22,130,1,australia_2016_DefenceWhitePaper.md,2025-01-28 18:56:11
8,....................... 29 why now?................................................ 30 managing strategic risk...................................... 32 chapter two : strategic outlook.....,188,14,130,1,australia_2016_DefenceWhitePaper.md,2025-01-28 18:56:11
9,.............................. 39 australia ’ s security environment............................... 39 - - - - - table of contents the united states and china................................. 41 the rules - based global order.......,232,28,130,1,australia_2016_DefenceWhitePaper.md,2025-01-28 18:56:11
10,......................... 44 the threat of terrorism and foreign terrorist fighters................ 46 state fragility............................................ 48 military modernisation.........................,213,16,130,1,australia_2016_DefenceWhitePaper.md,2025-01-28 18:56:11
11,............ 49 cyber and space......................................... 51 regional security environments................................ 53 australia ’ s borders and offshore territories...................... 53 our immediate neighbourhood.,242,21,130,1,australia_2016_DefenceWhitePaper.md,2025-01-28 18:56:11
12,.............................. 54 south east asia.......................................... 56 indonesia............................................... 59 north asia,165,10,130,1,australia_2016_DefenceWhitePaper.md,2025-01-28 18:56:11
13,.............................................. 60 south asia and the indian ocean rim.......................... 61 the middle east.......................................... 63 weapons,183,15,130,1,australia_2016_DefenceWhitePaper.md,2025-01-28 18:56:11
14,of mass destruction............................... 64 chapter three : australia ’ s defence strategy.......................... 67 australia ’ s strategic defence framework......................... 68 strategic defence interests.......................,250,23,130,1,australia_2016_DefenceWhitePaper.md,2025-01-28 18:56:11
15,"............ 68 a secure, resilient australia, with secure northern approaches and proximate sea lines of communication......................... 68 a secure nearer region, encompassing maritime south east asia and the south pacific...................................... 69 a stable indo - pacific region and a rules - based global order...",339,44,130,1,australia_2016_DefenceWhitePaper.md,2025-01-28 18:56:11
16,"...... 70 strategic defence objectives.................................. 71 deter, deny and defeat attacks on or threats to australia and its national interests, and northern approaches............................ 71 - - - - - make effective military contributions to support the security of maritime south east asia and support the governments of papua new guinea, timor - leste and of pacific island",401,57,130,1,australia_2016_DefenceWhitePaper.md,2025-01-28 18:56:11
17,countries to build and strengthen their security............................................ 74 contribute military capabilities to coalition operations that support australia ’ s interests in a rules - based global order................. 75 implications for force structure and force posture................... 77 chapter four : the future australian defence force....,369,44,130,1,australia_2016_DefenceWhitePaper.md,2025-01-28 18:56:11
18,"................ 83 designing the future force.................................... 84 capability priorities......................................... 86 intelligence, surveillance and reconnaissance, space, electronic warfare, and cyber security............",256,20,130,1,australia_2016_DefenceWhitePaper.md,2025-01-28 18:56:11
19,..................... 86 maritime operations and anti - submarine warfare forces........... 89 strike and air combat..................................... 94 land combat and amphibious warfare......................... 97 key enablers..........,242,24,130,1,australia_2016_DefenceWhitePaper.md,2025-01-28 18:56:11
20,"................................. 100 air and sea lift.......................................... 106 industry, innovation, research and development................... 108 a new approach to australian defence industry policy............",235,21,130,1,australia_2016_DefenceWhitePaper.md,2025-01-28 18:56:11
21,. 108 a new approach to defence innovation........................ 111 shipbuilding........................................... 113 chapter five : positioning defence for tomorrow ’ s challenges........... 117 international engagement..........................,259,24,130,1,australia_2016_DefenceWhitePaper.md,2025-01-28 18:56:11
