chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# ence,6,2,5,0,australia_2021_DefenceCorporatePlan.md,2025-01-28 18:56:33
2,# # # 2021−25 defence corporate plan,36,7,11,1,australia_2021_DefenceCorporatePlan.md,2025-01-28 18:56:33
3,# ence - - - - -,16,7,10,2,australia_2021_DefenceCorporatePlan.md,2025-01-28 18:56:33
4,"# # # # statement of preparation i, as the accountable authority of defence, present the 2021−25 defence corporate plan as required under paragraph 35 ( 1 ) ( b ) of the public governance, performance and accountability act 2013. secretary of defence greg moriarty 24 august 2021 © commonwealth of australia 2021 issn 2205 - 5282 ( online ) isbn 978 - 1 - 925890 - 45 - 7 this publication is available for your use under a creative commons by attribution 3. 0 australia licence, with the exception of the commonwealth coat of arms and the department of defence logo, signatures and where otherwise stated. the full [",616,110,130,3,australia_2021_DefenceCorporatePlan.md,2025-01-28 18:56:33
5,licence terms are available from http : / / creativecommons. org / licenses / by / 3. 0 / au / legalcode. ] ( http : / / creativecommons. org / licenses / by / 3. 0 / au / legalcode ) use of the department of defence ’ s material under a creative commons by attribution 3. 0 australia licence requires you to attribute the work ( but not in any way that suggests that the department of defence endorses you or your use of the work ). _ department of defence material used ‘ as supplied ’ _ provided you have not modified or transformed the department of defence,561,111,130,3,australia_2021_DefenceCorporatePlan.md,2025-01-28 18:56:33
6,"material in any way including, for example, by changing the department of defence text, the department of defence prefers the following attribution : source : the australian government department of defence * * derivative material * * if you have modified or transformed the department of defence ’ s material, or derived new material from those of the department of defence in any way, then the department of defence prefers the following attribution : _ based on the australian government department of defence ’ s data. _ - - - - -",534,92,104,3,australia_2021_DefenceCorporatePlan.md,2025-01-28 18:56:33
7,# # contents * * introduction..........................................................................................................................,151,6,130,4,australia_2021_DefenceCorporatePlan.md,2025-01-28 18:56:33
8,......................... 5 * * * * defence portfolio................................................................................................,149,8,130,4,australia_2021_DefenceCorporatePlan.md,2025-01-28 18:56:33
9,......................................... 6 * * * * defence organisation................................................................................,152,8,130,4,australia_2021_DefenceCorporatePlan.md,2025-01-28 18:56:33
10,................................................. 7 * * * * our purpose and mission......................................................................,153,10,130,4,australia_2021_DefenceCorporatePlan.md,2025-01-28 18:56:33
11,............................................... 7 * * * * one defence approach.........................................................................,151,9,130,4,australia_2021_DefenceCorporatePlan.md,2025-01-28 18:56:33
12,............................................... 8 * * * * igadf afghanistan inquiry.......................................................................,154,9,130,4,australia_2021_DefenceCorporatePlan.md,2025-01-28 18:56:33
13,............................................ 9 * * * * royal commission into defence and veteran suicide...................................................................... 9 *,178,15,130,4,australia_2021_DefenceCorporatePlan.md,2025-01-28 18:56:33
14,* * * sovereign guided weapons and explosive ordnance enterprise................................................... 9 * * * * achieving defence ’ s purpose and mission.......................................................,222,22,130,4,australia_2021_DefenceCorporatePlan.md,2025-01-28 18:56:33
15,....................................... 11 * * * * outcome 1..................................................................................,142,8,130,4,australia_2021_DefenceCorporatePlan.md,2025-01-28 18:56:33
16,......................................................... 11 * * * * operations.................................................................,144,7,130,4,australia_2021_DefenceCorporatePlan.md,2025-01-28 18:56:33
17,.................................................................. 11 * * * * national security support tasks.....................................................,162,10,130,4,australia_2021_DefenceCorporatePlan.md,2025-01-28 18:56:33
18,.......................................... 12 * * * * outcome 2...............................................................................,142,8,130,4,australia_2021_DefenceCorporatePlan.md,2025-01-28 18:56:33
19,............................................................ 13 * * * * setting strategic direction............................................................,159,9,130,4,australia_2021_DefenceCorporatePlan.md,2025-01-28 18:56:33
20,........................................... 13 * * * * international engagement and cooperation............................................................................,171,10,130,4,australia_2021_DefenceCorporatePlan.md,2025-01-28 18:56:33
21,15 * * * * defence industry........................................................................................................................ 16,150,8,130,4,australia_2021_DefenceCorporatePlan.md,2025-01-28 18:56:33
22,* * * * defence intelligence................................................................................................................... 17 * * * * designing defence,172,13,130,4,australia_2021_DefenceCorporatePlan.md,2025-01-28 18:56:33
23,"capability................................................................................................... 18 * * * * innovation, science and technology..................",173,10,130,4,australia_2021_DefenceCorporatePlan.md,2025-01-28 18:56:33
24,...................................................................... 19 * * * * delivering and sustaining capability.................................................,167,10,130,4,australia_2021_DefenceCorporatePlan.md,2025-01-28 18:56:33
25,...................................... 20 * * * * acquiring capability...................................................................................,153,8,130,4,australia_2021_DefenceCorporatePlan.md,2025-01-28 18:56:33
26,................................ 22 * * * * enhancing capability.........................................................................................,153,8,130,4,australia_2021_DefenceCorporatePlan.md,2025-01-28 18:56:33
27,........................ 24 * * * * a high performing one defence enterprise........................................................................... 25 * * * * enterprise governance...........,195,19,130,4,australia_2021_DefenceCorporatePlan.md,2025-01-28 18:56:33
28,................................................................................................................... 33 * * * * assurance and controls.....,154,9,130,4,australia_2021_DefenceCorporatePlan.md,2025-01-28 18:56:33
29,................................................................................................................ 34 * * * * defence ’ s legal framework......,157,11,130,4,australia_2021_DefenceCorporatePlan.md,2025-01-28 18:56:33
30,........................................................................................................ 34 * * * * enterprise risk management................,158,9,130,4,australia_2021_DefenceCorporatePlan.md,2025-01-28 18:56:33
31,............................................................................................ 35 * * * * defence subsidiaries.............................,153,8,130,4,australia_2021_DefenceCorporatePlan.md,2025-01-28 18:56:33
32,............................................................................................. 36 * * * * changes to the defence corporate plan since january 2021 version....................,189,16,130,4,australia_2021_DefenceCorporatePlan.md,2025-01-28 18:56:33
33,...................... 36 * * - - - - - - - - - -,49,14,37,4,australia_2021_DefenceCorporatePlan.md,2025-01-28 18:56:33
34,"# # introduction the 2021 – 25 defence corporate plan sets out defence ’ s purpose and key activities to be achieved covering the period 2021 - 25 in alignment with the requirements of the public governance, performance and _ accountability act 2013. _ defence ’ s purpose and mission is : to defend australia and its national interests in order to advance * * _ australia ’ s security and prosperity. _ * * underpinning this purpose are two outcome statements through which we focus our portfolio resourcing and delivery for government, these are : - defend australia and its national interests through the conduct of operations and provision of support for the australian community and civilian authorities in",711,120,130,5,australia_2021_DefenceCorporatePlan.md,2025-01-28 18:56:33
