chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# defence data strategy,23,4,6,0,australia_2021_DefenceDataStrategy.md,2025-01-28 18:54:12
2,# # # 2021 – 2023 - - - - -,27,11,14,1,australia_2021_DefenceDataStrategy.md,2025-01-28 18:54:12
3,"# # # # # # acknowledgements defence acknowledges the traditional custodians of the lands, seas, and air in which we live, work, and train. we pay our respects to their elders past, present, and emerging. we also pay our respects to the aboriginal and torres strait islander men and women who have contributed to the defence of australia in times of peace and war. the creative design of the _ defence data strategy 2021 - 2023 _ has been inspired by ‘ kulatangku angakanyini manta munu tjukurpa ’ ( country and culture will be protected by spears ). the artists below",568,102,130,2,australia_2021_DefenceDataStrategy.md,2025-01-28 18:54:12
4,"include the names of deceased aboriginal and torres strait islander peoples. the artwork was created by 19 senior male artists of the anangu pitjantjatjara yankunytjatjara ( apy ) lands, nyapari, south australia in 2017. the artists are : alec baker ; eric kumanara mungi barney ; pepai jangala carroll ; taylor cooper ; witjiti george ; willy kaika ; kunmanara ( brenton ) ken ; kunmanara ( ray ) ken ; dickie marshall ; kunmanara ( willy muntjanti ) martin ; peter mungkuri ;",477,84,130,2,australia_2021_DefenceDataStrategy.md,2025-01-28 18:54:12
5,kunmanara ( jimmy ) pompey ; keith stevens ; bernard tjalkuri ; thomas ilytjari tjilya ; ginger wikilyiri ; mick wikilyiri ; kunmanara ( mumu mike ) williams ; and frank young. the department of defence thanks the artists and the apy art centre collective gallery for their work and the permission to use it as the inspiration for the defence data _ strategy 2021 - 2023 design. _ this artwork must not be reproduced without permission. further information on this artwork can be [ found at : kulatangku angakanyini manta munu t,528,93,130,2,australia_2021_DefenceDataStrategy.md,2025-01-28 18:54:12
6,"##jukurpa [ country and culture will be protected by ] ( https : / / www. awm. gov. au / collection / c2597927 ) [ spears ] | australian war memorial ( awm. gov. au ). ] ( https : / / www. awm. gov. au / collection / c2597927 ) defence would also like to acknowledge everyone across the enterprise who contributed to the development of the defence data strategy 2021 - 2023 for sharing their experiences, knowledge, and time generously. © commonwealth of australia 2021 isbn : 978 - 1 - 925890 - 46 - 4 this",507,99,132,2,australia_2021_DefenceDataStrategy.md,2025-01-28 18:54:12
7,"work is copyright. apart from use as permitted under the copyright act 1968, no part may be reproduced by any process without prior written permission from the department of defence. - - - - -",192,35,40,2,australia_2021_DefenceDataStrategy.md,2025-01-28 18:54:12
8,"# # # # # foreword the government ’ s key priority is to keep our nation safe and protect our way of life for future generations. with this in mind, i welcome the release of the defence data strategy 2021 - 2023. increasingly, the effective use and management of data will be critical to the successful conduct of defence operations, in times of conflict and in peace. this strategy will guide data management and improve data literacy across the defence organisation. this is critical to underpinning defence ’ s mission - focus. as we know from the 2020 defence strategic update, and the defence transformation strategy, lifting defence ’ s data maturity and lever",666,115,130,3,australia_2021_DefenceDataStrategy.md,2025-01-28 18:54:12
9,"##aging it across the organisation will ensure we achieve a strategic advantage over our adversaries. we are straddling vast change in the indo - pacific region. the next decade will bring greater geostrategic competition between nation states along with increased military modernisation. grey zone tactics are now being used to coerce states below the threshold of conventional war. the risks to australia are concerning. we live in a data - rich world in a digital age. cyber espionage and warfare are a reality that we cannot ignore. whether we like it or not, we are joined in an online contest to preserve our personal security and our digital sovereignty as a",665,111,132,3,australia_2021_DefenceDataStrategy.md,2025-01-28 18:54:12
10,"country. this strategy will enable defence ’ s capacity to use data more effectively as our strategic circumstances change. as noted in the defence transformation strategy, our defence culture must recognise the criticality of data to everything that we do, and adopt a disciplined and deliberate approach to how information is collected, stored, analysed and applied in decision - making processes. this is what the defence data strategy 2021 - 2023 seeks to achieve. i commend it to you. * * the hon. andrew hastie mp * * assistant minister for defence - - - - - - - - - -",574,102,121,3,australia_2021_DefenceDataStrategy.md,2025-01-28 18:54:12
