chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# ready to fight and win in the digital age,43,10,12,0,australia_2022_DefenceInformationAndCommunicationsTechnologyStrategy.md,2025-01-28 18:56:01
2,# # # 2022 defence information and communications technology strategy - - - - - - - - - -,89,20,23,1,australia_2022_DefenceInformationAndCommunicationsTechnologyStrategy.md,2025-01-28 18:56:01
3,# # contents,12,3,5,2,australia_2022_DefenceInformationAndCommunicationsTechnologyStrategy.md,2025-01-28 18:56:01
4,# # # # # # foreword purpose strategic context what will success look like? fight and win in the digital age single information environment 2. 0 our path to success : to fight and win in the digital age realising the 2022 defence information and communications technology strategy,280,49,54,3,australia_2022_DefenceInformationAndCommunicationsTechnologyStrategy.md,2025-01-28 18:56:01
5,# # # # # # 4 5 6 9 10 12 14 24 - - - - -,41,19,21,4,australia_2022_DefenceInformationAndCommunicationsTechnologyStrategy.md,2025-01-28 18:56:01
6,"# # foreword defending australia, our interests and our way of life is the enduring responsibility of the australian government. however the rapid pace of technological change has both accelerated military modernisation in the region and reduced our strategic warning time. there is perhaps no greater example of that than recent advances in information and communications technology. defence must now be ready to fight and win in the digital age : cyberspace has moved from an enabler to a warfighting domain in its own right. defence must manoeuvre in and through this domain with greater speed and agility to counter the increasing sophistication and pervasiveness of the cyber threat",687,109,130,5,australia_2022_DefenceInformationAndCommunicationsTechnologyStrategy.md,2025-01-28 18:56:01
7,". adaptive, assured, secure and accessible mission capable information and communications technology is a ‘ backbone ’ for our military power. modern warfare is characterised by high - tempo concurrent action in all domains. only as a joint force can we fight and win, achieved through command and control, communications and computing, intelligence, surveillance and reconnaissance ( c4isr ) design. defence has demonstrated its strengths to meet the challenges presented through heightened strategic tension, climate change, global pandemics and natural disasters, and technology has helped us seize these opportunities. the hon matt thistlethwaite mp assistant minister for defence assistant minister for veterans ’ affairs consequently the 2022",748,107,130,5,australia_2022_DefenceInformationAndCommunicationsTechnologyStrategy.md,2025-01-28 18:56:01
8,"defence information and _ communications technology strategy sets the direction _ for the whole - of - defence to deliver mission capable information and communications technology. this strategy includes an action plan to inform ongoing implementation planning and accountabilities to achieve this. it complements lead the way : defence transformation _ strategy that provides clear guidance to support the _ transformation of information and communications technology across the whole - of - defence. implementation of this strategy requires a commitment to action to respond to the challenges we jointly face, to value information and communications technology as a critical capability and achieve our goals. i commend the 2022 defence information and _ communications technology strategy to",793,116,130,5,australia_2022_DefenceInformationAndCommunicationsTechnologyStrategy.md,2025-01-28 18:56:01
9,"everyone involved _ in defence, including our people, key domestic and international partners, industry and academia. further, as our national security landscape changes, it is vital that our defence force remains positioned to meet global and regional security challenges. that is why the government has committed to a defence strategic review that will examine force structure, force posture and preparedness, and investment prioritisation, to ensure defence has the right capabilities to meet our growing strategic requirements. the 2022 defence information and communications _ technology strategy will be informed by the outcomes of _ the defence strategic review to ensure that it remains responsive to our strategic needs. sets the direction to everyone",760,112,130,5,australia_2022_DefenceInformationAndCommunicationsTechnologyStrategy.md,2025-01-28 18:56:01
10,involved will be informed by the outcomes of - - - - -,54,13,15,5,australia_2022_DefenceInformationAndCommunicationsTechnologyStrategy.md,2025-01-28 18:56:01
