chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,* * translation * * orig. german,32,7,11,0,austria_2001_SecurityAndDefenceDoctrine.md,2025-01-28 18:54:22
2,# resolution by the austrian parliament,39,6,8,1,austria_2001_SecurityAndDefenceDoctrine.md,2025-01-28 18:54:22
3,"# # security and defence doctrine * * general considerations * * the expert draft of the analytic part of the security and defence doctrine, which was approved by the federal government on 23 january 2001 and forwarded to the national assembly for deliberation, has led to the following conclusions : security in all its dimensions is the basic pre - requisite for the existence and functioning of a democracy under the rule of law as well as for the economic welfare of the community and its citizens. security policy is therefore a high - priority task for any government. under the conditions existing today, it must be conceived and implemented as a “ comprehensive security policy ”.",688,118,130,2,austria_2001_SecurityAndDefenceDoctrine.md,2025-01-28 18:54:22
4,"austria is committed to a policy of peace and undertakes everything possible to avoid outbreaks of violent conflicts. it therefore pursues a security policy designed to avoid war and to foster peaceful relations among nations based on the charter of the united nations and international agreements to protect fundamental rights and freedoms, such as the european convention on human rights and the european charter of fundamental rights. the purpose of security policy is to ensure security as far as possible for all sectors of a community. the security and defence doctrine particularly addresses those aspects of comprehensive security which relate to the protection of the system of government as a whole and to the protection of its citizens against large -",762,121,130,2,austria_2001_SecurityAndDefenceDoctrine.md,2025-01-28 18:54:22
5,scale threats. the importance of other areas of security is not diminished thereby. the security and defence doctrine is the guideline for austria ’ s security policy. austria ’ s vital security interests and the security interests pursued in common with the eu constitute the basis of our security policy. the politico - strategic objectives have been derived from this concept and are to be achieved through a national overall strategy and through appropriate sub - strategies in each policy sector. the security situation of a european state today can no longer be considered in isolation. instabilities and dangers in europe or at the european periphery affect the security situation of all european states. the new,719,116,130,2,austria_2001_SecurityAndDefenceDoctrine.md,2025-01-28 18:54:22
6,"challenges and risks to security policy cannot be dealt with by individual states alone, but only through international co - operation in the spirit of solidarity. the security of austria and that of the eu are inseparably linked. austria today implements its security policy essentially within the framework of the eu. - - - - - one important aspect of a comprehensive perception of security is the fact that security is not only one of the responsibilities of the state, but of the entire population. therefore, great attention must be paid to developing a general security awareness. paradigm shift in security policy in europe the changes in global politics after the end of the cold war have",696,117,130,2,austria_2001_SecurityAndDefenceDoctrine.md,2025-01-28 18:54:22
7,"led to a fundamental transformation of european security policy. there has been a paradigm shift in security policy in europe. this process, which started with the end of the cold war ( 1989 ), has initiated a transition from thinking in terms of military balance and deterrence to an understanding of comprehensive and co - operative security. the bipolar world order with a relatively constant and hence transparent constellation of power and threats has been replaced by a new lack of transparency of the world order and new challenges to security policy. the global security policy situation is marked by a growing number of global players, government and above all nongovernment, some of whom remain outside",712,116,130,2,austria_2001_SecurityAndDefenceDoctrine.md,2025-01-28 18:54:22
8,"the traditional political system and act outside accepted norms of law. hence the security situation is becoming less and less transparent and predictable. geographical distance from areas of conflict no longer guarantees sufficient protection. at present, no aggressive political intentions are perceivable in europe, nor are there sufficient military capabilities for strategic offensives. any responsible security policy must, however, be prepared for an eventual change in political intentions and constellations. a modern and forward looking security policy seeks to prevent emerging risks and threats through preventive action. it is primarily led by considerations of how europe can and must be shaped, so that threats do not arise in the first place",757,111,130,2,austria_2001_SecurityAndDefenceDoctrine.md,2025-01-28 18:54:22
9,". the instruments of security policy action have received a new weighting. in particular, the following instruments of co - operation and policy - making are employed today : political, military, police, intelligence, economic, social, educational, cultural, informational and communicational, ecological and internal security instruments. peace and stability in europe are based on the co - operation among european states in the framework of various security organisations. in this context, the zone of high stability already formed by the eu and nato is being extended through the enlargement process step by step to those states which meet the requirements to become members of these two organisations. for the",714,108,130,2,austria_2001_SecurityAndDefenceDoctrine.md,2025-01-28 18:54:22
10,"future of europe, the evolution of the eu and of nato in terms of security policy will specifically be of vital significance. other important factors will be the engagement of the us in europe and the development of russia ’ s security relations with the eu and nato. the individual states are the decision makers and the central actors of security policy. the ultimate decision in questions of security policy lies with the democratically legitimated national political institutions. - - - - - security risks and dangers replace clear threat scenarios the clearly perceivable threat scenario of the cold war era has been replaced by a complex mix of dangers and risks. its origins may lie in",692,117,130,2,austria_2001_SecurityAndDefenceDoctrine.md,2025-01-28 18:54:22
