chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# weissbuch 2006! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png ) & hilfe www. bundesheer. at 2 weissbuch 2006 3 4! [ 4 _ image _ 0. png ] ( 4 _ image _ 0. png ),159,45,66,0,austria_2006_Weissbuch_noneng.md,2025-01-28 18:57:36
2,"# vorwort des bundesministers fur landesverteidigung sehr geehrte damen und herren! mit dem weißbuch 2006 liegt die zweite ausgabe einer standortbestimmung des osterreichischen bundesheeres und der osterreichischen sicherheits - und verteidigungspolitik vor. es analysiert die sicherheitspolitische lage, beschreibt die darauf aufbauende militarstrategische ausrichtung, die ent",378,45,130,1,austria_2006_Weissbuch_noneng.md,2025-01-28 18:57:36
3,##wicklung des bundesheeres der jahre 2005 und 2006 sowie die perspektive fur die kommenden jahre. das osterreichische bundesheer befi ndet sich wahrscheinlich in der großten reform seines bestehens. fur diese reform gibt es in osterreich auch einen breiten konsens. sie ist in der bundesheerreformkommission uber die parteigrenzen hinweg beschlossen worden. die welt hat sich in den ve,386,57,133,1,austria_2006_Weissbuch_noneng.md,2025-01-28 18:57:36
4,"##rgangenen jahren geandert. vor dem hintergrund der weltweiten sicherheitspolitischen lage ist es vollkommen klar, dass sich auch das bundesheer verandern muss. notwendig ist ein modernes bundesheer, das seine aufgaben im bereich der militarischen landesverteidigung und zum schutz der souveranitat und neutralitat effi zient erfullen kann. das bundesheer muss der bevolkerun",376,50,133,1,austria_2006_Weissbuch_noneng.md,2025-01-28 18:57:36
5,##g im katastrophenfall wirkungsvoll zur seite stehen und bestmoglichen schutz ermoglichen. gleichwertig mit diesen inlandsaufgaben sind fur mich die auslandseinsatze des heeres. das bundesheer muss seine international! [ 4 _ image _ 1. png ] ( 4 _ image _ 1. png ) mag. norbert darabos bundesminister fur landesverteidigung geachteten leistungen im ausland fur die sicherung von frieden und,391,59,132,1,austria_2006_Weissbuch_noneng.md,2025-01-28 18:57:36
6,"stabilitat weiter erbringen konnen. mit unseren einsatzen, denen allesamt ein un - mandat und ein beschluss im nationalrat zu grunde liegt, helfen wir menschen in von krisen geplagten regionen. wir geben ihnen hoff nung auf ein besseres leben. dieses hohe maß an internationaler solidaritat muss fur osterreich selbstverstandlich sein und bleiben. wir werden auch in zukunft",374,56,130,1,austria_2006_Weissbuch_noneng.md,2025-01-28 18:57:36
7,"gefordert sein, unseren beitrag zum internationalen krisen - und konfl iktmanagement zu leisten. wir mussen krisen dort entgegenwirken, wo sie entstehen, um eine uberregionale ausweitung zu verhindern. sowohl im in - als auch im ausland leistet das bundesheer besonders wertvolle arbeit. die soldatinnen und soldaten konnen stolz auf ihre leistungen sein. die heeresreform sic",376,54,130,1,austria_2006_Weissbuch_noneng.md,2025-01-28 18:57:36
8,"##hert diese hohe qualitat auch fur die zukunft ab. sie setzt die rahmenbedingungen, die fur eine moderne armee zur bewaltigung der anforderungen des 21. jahrhunderts notwendig sind. das vorliegende weißbuch gibt einen einblick in das leistungsspektrum des heeres im kontext internationaler entwicklungen und soll so zu mehr verstandnis in der off entlichkeit fur sicherheits",375,54,132,1,austria_2006_Weissbuch_noneng.md,2025-01-28 18:57:36
9,##politische notwendigkeiten beitragen. 5 6,43,5,19,1,austria_2006_Weissbuch_noneng.md,2025-01-28 18:57:36
10,# inhaltsverzeichnis | vorwort des bundesministers fur landesverteidigung | 5 | | | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,277,110,130,2,austria_2006_Weissbuch_noneng.md,2025-01-28 18:57:36
