chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# cyber strategy for defence,28,5,7,0,belgium_2019_CyberStrategyForDefence.md,2025-01-28 18:55:27
2,"# # belgian defence - - - - - - - - - - since our society and economy are being digitised and become increasingly interconnected, they need to be able to rely on the availability and integrity of digitised information, and of the underlying enabling systems and infrastructures. belgian defence is also increasingly dependent on new technologies. no modern armed forces can function without networked weapon systems, integrated logistics and command and control chains. recent evolutions such as the definition of cyberspace as a new operational domain, or the more assertive attitude of many cyber actors require us to update the cyber strategy of belgian defence.",665,107,125,1,belgium_2019_CyberStrategyForDefence.md,2025-01-28 18:55:27
3,# # # # # didier reynders general marc compernol minister of defence chief of defence kingdom of belgium may 2019 - - - - -,123,26,34,2,belgium_2019_CyberStrategyForDefence.md,2025-01-28 18:55:27
4,# # # table of contents,23,6,8,3,belgium_2019_CyberStrategyForDefence.md,2025-01-28 18:55:27
5,# # # # # introduction..........................................................................................................................,144,6,130,4,belgium_2019_CyberStrategyForDefence.md,2025-01-28 18:55:27
6,..................... 5 strategic objectives........................................................................................................,148,4,130,4,belgium_2019_CyberStrategyForDefence.md,2025-01-28 18:55:27
7,...................... 7 implementation of strategic objectives......................................................................................... 7 conclusions..........,176,8,130,4,belgium_2019_CyberStrategyForDefence.md,2025-01-28 18:55:27
8,................................................................................................................................,128,1,130,4,belgium_2019_CyberStrategyForDefence.md,2025-01-28 18:55:27
9,...... 12 - - - - -,19,7,14,4,belgium_2019_CyberStrategyForDefence.md,2025-01-28 18:55:27
10,"# # # # introduction defence is highly dependent on the proper functioning of its critical network and weapon systems. at the same time, easy access to sophisticated cyber tools implies that our opponents are given the means to directly or indirectly compromise our critical military systems. therefore the main task of the military cyber capability consists of protecting military information and guaranteeing the reliability, integrity and availability of its communication, information and weapon systems. when presenting the strategic plan in 2016, the minister of defence explicitly referred to the cyber threat in his analysis of the security environment. the expansion of military cyber capabilities is thus one of the spearheads of this new plan. the objective",768,117,130,5,belgium_2019_CyberStrategyForDefence.md,2025-01-28 18:55:27
11,"is twofold : a better understanding of protection against the cyber threat, but also a better understanding of opportunities. in line with the definition of cyberspace as a new operational domain, the military cyber capability mandate also includes an offensive cyber capability. defence will therefore develop its own cyber effects to support conventional operations or to carry out its own cyber operations. at the defensive level, each network or weapon system administrator will implement a maximum of security measures with commercial means during the implementation and employment of his systems. the centralised cyber expertise then increases the level of protection with a combination of specific and often in - house optimised toolsets. in addition",757,114,130,5,belgium_2019_CyberStrategyForDefence.md,2025-01-28 18:55:27
12,", the cyber capability has the means to respond immediately and appropriately to a cyber incident. the intelligence capability provides a coherent picture of the cyber threat to our military network and weapon systems, and gives indications necessary for the investigation into the attribution of a cyberattack. the same capability is also used to map out the vulnerabilities of our opponents, and to obtain maximum intelligence about their espionage and sabotage activities. meanwhile, rhetoric in cyberspace is increasing, which leads to more tensions in the diplomatic field. indeed, technological developments in cyberspace provide nations with a new set of tools to actively pursue their foreign policy without having to rely",730,110,130,5,belgium_2019_CyberStrategyForDefence.md,2025-01-28 18:55:27
13,"on conventional military actions. at first sight, cyber actions seem easier to accept and more proportionate. the cyber weapon may well become the preferred weapon of choice. the research and development of offensive cyber weapons can be completely hidden from the curious gaze of the intelligence services. large, easily traceable infrastructures and equipment are not necessary to develop these capabilities. the cyber weapon is an asymmetric weapon. the traditional superpowers invest in high - tech and continuously interconnected weapon systems. a much less wealthy nation and even non - state actors present in cyberspace can take over the initiative from these superpowers by using cyber effects that require",715,108,130,5,belgium_2019_CyberStrategyForDefence.md,2025-01-28 18:55:27
14,"only a fraction of the investments necessary for conventional weapon systems. traditional operational capabilities in the land, air and maritime domain are at risk of becoming less relevant due to a technological breakthrough in the cyberspace domain. the cyber weapon is multipurpose. it can be used for defensive as well as offensive operations and for espionage as well as sabotage actions. cyber actions can generate both kinetic and non - kinetic effects, which can be similar or even greater than those that can be created with conventional weapons. the type of effect can vary from influencing and undermining the opponent ' s trust in his own systems to making the systems temporarily or permanently unavailable.",720,115,130,5,belgium_2019_CyberStrategyForDefence.md,2025-01-28 18:55:27
15,"the cyber capability can be used tactically and operationally, but also strategically against, for example, the critical infrastructure of a country. - - - - - cyber effects can be generated via proxies [ 1 ] so that suspicion initially falls on someone else. as the actual actor behind a cyber effect is very difficult to find, attribution is almost always based on ( sometimes strong ) suspicions and only rarely on concrete facts. the cyber weapon is therefore ideally suited for use in all levels of conflict, ranging from peacetime to war. the effective use of a cyber weapon does not require any prepositioning. a cyber effect can",636,109,130,5,belgium_2019_CyberStrategyForDefence.md,2025-01-28 18:55:27
16,"be initiated from any geographical position with data connectivity to any other location in the world. the cyberspace domain is de facto a domain with strategic reach. the opponent does not get a warning time, the result of a cyber effect is immediate. in order to better frame the risks and opportunities, we have chosen to streamline defence ’ s cyber strategy and the further development of military cyber capability based on a number of major policy lines. in our new strategy, the efforts have been regrouped into five strategic objectives. 1 proxies are real or virtual entities in cyberspace that a cyber actor uses to hide his real intentions or affiliation.",666,112,130,5,belgium_2019_CyberStrategyForDefence.md,2025-01-28 18:55:27
17,- - - - -,9,5,7,5,belgium_2019_CyberStrategyForDefence.md,2025-01-28 18:55:27
18,"# # # # strategic objectives * * so _ i : optimum protection of military communication, information and weapon systems * * defence should protect all its communication, information and weapon systems against cyber threats in order to guarantee freedom of action for its military operations. maximising the security and resilience of all systems requires a coordinated approach at different levels. end users, system administrators, system managers and cyber experts are each responsible at their respective levels for the correct implementation and follow - up of cyber security measures. * * so _ ii : strengthening the cyber culture * * cyberattacks are not necessarily sophisticated or inevitable, and are often the",718,113,130,6,belgium_2019_CyberStrategyForDefence.md,2025-01-28 18:55:27
19,"result of vulnerabilities in the networks and weapon systems. in many cases, the decisive factor in the success of a cyberattack is not the inventiveness of the attacker but rather the vulnerability of the victim. therefore additional efforts are necessary to implement a culture of cyber hygiene and cyber threat awareness for all defence personnel. * * so _ iii : responding appropriately to cyber incidents and attacks * * a successful cyberattack can never be ruled out, not even with the most advanced cyber security technology. defence must have a solid set of measures at its disposal to respond adequately to cyber incidents, and thus guarantee continuity in the execution",680,111,130,6,belgium_2019_CyberStrategyForDefence.md,2025-01-28 18:55:27
20,"of operations. the capabilities in the domains of detection, analysis and remediation, as well as attribution and communication need to be further developed. * * so _ iv : integrating cyberspace as a new operational domain * * our potential opponents are increasingly using cyberspace. therefore defence must also integrate cyber operations, both defensive and offensive, into the operational planning process. at the last nato summit in warsaw, the member states adopted cyberspace as a new operational domain. this places the cyber dimension on the same level as the traditional, conventional operational dimensions. the structures of the organisation, processes and doctrines must be adapted to this new reality",714,108,130,6,belgium_2019_CyberStrategyForDefence.md,2025-01-28 18:55:27
21,". * * so _ v : further developing robust national and international cooperation * * cyberattacks rarely or never have a purely local impact but in most cases have cross - organisational or cross - border implications. in order to respond adequately to cyberattacks, defence must maximise cooperation with other government services, sectoral organisations, foreign partners and international organisations such as nato and the eu.",429,66,82,6,belgium_2019_CyberStrategyForDefence.md,2025-01-28 18:55:27
22,"# # # # implementation of strategic objectives * * so _ i : optimum protection of military communication, information and weapon systems * * the functional authorities and system administrators of the communication, information and weapon systems of defence will use the defence cyber security framework to structure their cyber security measures. the cyber security framework consists of various functions that organise cyber security activities at the highest level. they are aligned with existing incident management methodologies and help visualise the impact of investments in cyber security. all defence communication, information and weapon systems that contain classified information are now accredited. an accreditation is not an end situation. permanent focus must be given to the cyber",796,117,130,7,belgium_2019_CyberStrategyForDefence.md,2025-01-28 18:55:27
23,"- - - - - security of these systems in order to guarantee the confidentiality, integrity and availability of the classified information. moreover, all defence communication, information and weapon systems will be actively tested and audited on a regular basis in order to evaluate and improve the security of these systems where necessary. new technologies that actively contribute to improving the cyber security of communication, information and weapon systems will be evaluated and implemented, if necessary. defence will intensify its contacts with its system suppliers. guidelines will be issued to integrate cyber security measures into the procurement or development process. vulnerabilities in the supply chain of these systems, and in",743,110,130,7,belgium_2019_CyberStrategyForDefence.md,2025-01-28 18:55:27
24,"the systems themselves will thus be identified more quickly and will also be mitigated in cooperation with the supplier. the purchasing cycle for cyber systems will be adapted to the ever faster evolving technologies. the most efficient systems and toolsets will be available to the military cyber capability to guarantee optimum protection of our communication, information and weapon systems against the latest cyber threats. adapted cyber security measures will be implemented for the defence deployed communication, information and weapon systems. in accordance with the specific threat environment, stricter guidelines can be imposed. at the same time, a fair balance must be found between the operational importance of the use of the deployed systems,",757,113,130,7,belgium_2019_CyberStrategyForDefence.md,2025-01-28 18:55:27
25,"the adjusted acceptance level of residual risks, and the specification of the cyber security guidelines to be implemented. a maximum number of defence communication, information and weapon systems will be permanently ( 24 / 7 ) monitored in order to guarantee the integrity and proper functioning of these systems. * * so _ ii : strengthening the cyber culture * * since the human factor plays at least as important a role in cyberspace as the technological factor, defence will ensure that a correct level of cyber expertise becomes established in all ranks. defence personnel must understand the global cyber landscape including the threats, vulnerabilities and dependencies associated with it at the strategic, operational,",726,114,130,7,belgium_2019_CyberStrategyForDefence.md,2025-01-28 18:55:27
26,"tactical and technical levels. cyber security awareness campaigns will be regularly programmed to indicate to defence personnel that they are an attractive target for potential cyberattacks given the specific nature of their work. the campaigns will focus on disseminating information about the general cyber threat and risks, on the specific dangers of careless use of social media, and on providing best practices to counter cyberattacks as a whole. the cyber education plan will not be limited to cyber experts. it will be expanded and continuously adapted to the changing cyber threat and technological developments. education and training opportunities will be offered to all end users of defence ' s communication, information and",736,112,130,7,belgium_2019_CyberStrategyForDefence.md,2025-01-28 18:55:27
27,"weapon systems, as well as to policy makers, planning officers, instructors, and system administrators. part of the cyber education plan will be integrated into the mandatory annual joint individual common core skills ( j - iccs ). specific cyber modules will also be included in the basic and continuing education curricula. in cooperation with the royal military academy, training programs will be developed that will increase the pool of future cyber experts. as a result, qualified officers will be ready for immediate operational engagement in the military cyber capability. the units of the various components must participate in cyber security and incident response exercises to test their procedures and communication mechanisms under stress conditions",760,114,130,7,belgium_2019_CyberStrategyForDefence.md,2025-01-28 18:55:27
28,". prior to - - - - - deployment abroad, each team or unit will receive additional training with special attention to both specific cyber threats in the area of operations and appropriate protection measures. the number of cyber experts on the labour market has become very scarce, and competition with the private industry is very high. once selected and recruited, defence ’ s new military and civilian experts will therefore enjoy permanent high - tech education and on - the - job training. in addition, initiatives will be launched for these experts to develop specific, challenging career paths and opportunities. * * so _ iii : responding appropriately to cyber incidents and attacks * * the configuration of",714,119,130,7,belgium_2019_CyberStrategyForDefence.md,2025-01-28 18:55:27
29,"defence ’ s communication, information and weapon systems will be mapped in detail. information on possible cyber threats against these systems will be collected and evaluated, on the basis of which corrective actions will be proposed. business continuity plans will be drawn up for all critical systems to guarantee a minimum continuity of service in degraded cyberspace conditions. contingency and disaster recovery mechanisms will be put in place and regularly tested. defence must be prepared for large - scale cyber incidents. the scale - up of the cyber incident response capability with additional temporary resources will be further studied and evaluated. new advanced and high - performance intrusion prevention and detection systems will be deployed to",762,116,130,7,belgium_2019_CyberStrategyForDefence.md,2025-01-28 18:55:27
30,"detect cyber incidents in time, and to better analyse them. detected cyber incidents will be communicated as soon as possible to the system administrators in charge. speed of action is important in order to limit possible contamination within the impacted network. the results of the analysis of cyber incidents and attacks will be used to improve existing security systems, develop new detection systems and provide military and political policymakers with technical intelligence for attributing cyberattacks to a cyber actor. the same intelligence can also be used to initiate mitigating actions aimed at disrupting active cyberattacks or preventing new attacks. an internal and external strategic communication plan will",723,107,130,7,belgium_2019_CyberStrategyForDefence.md,2025-01-28 18:55:27
31,be drawn up to provide immediate and correct interpretation during major cyber incidents and crises. this plan will take into account the impact of compromised or unavailable critical information and / or systems on the correct functioning of the organisation. the efficiency of military cyber capability is not so much based on large investments in equipment as on the expertise and professionalism of the specialised personnel. the selection and recruitment of motivated and technically competent personnel will be intensified. regular recruitment campaigns will be organised both within and outside defence to recruit the right cyber experts in good time. * * so _ iv : integrating cyberspace as a new operational domain * * the cyberspace domain needs a correct,765,120,130,7,belgium_2019_CyberStrategyForDefence.md,2025-01-28 18:55:27
32,"legal and procedural framework for conducting cyber actions. the tallinn manual of the cooperative cyber defence centre of excellence ( ccdcoe ) provides a nonbinding legal basis for national and international legal advisors. the starting point of this manual is that the existing international treaties, rules of law and regulations also apply to cyberspace. defence supports this statement. the intelligence position in the cyberspace domain will be expanded with a focus on the capabilities and intentions of cyber actors relevant to the regions where defence is present abroad. the cyber capability will rely on specific intelligence methods to obtain a maximum of intelligence with regard to the espionage and sabotage activities of our opponents. the",756,115,130,7,belgium_2019_CyberStrategyForDefence.md,2025-01-28 18:55:27
33,"intelligence capability will of course - - - - - also be used as an enabler and facilitator for the offensive cyber pillar by acquiring knowledge about the vulnerabilities of our opponents ' communication, information and weapon systems. defensive and offensive cyber capabilities will expand the range of operational capabilities for defence. freedom of action will be guaranteed by optimum protection of the deployed critical military systems from direct or indirect compromise. cyber effects aimed at supporting and executing military operations will be integrated into the targeting and operational planning process. clear concepts, doctrines and lexicons will be defined, and the limits and opportunities of the new medium will be correctly",745,111,130,7,belgium_2019_CyberStrategyForDefence.md,2025-01-28 18:55:27
