chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,* * under the authority of * * * * the prime minister * *,57,15,17,0,belgium_2021_CybersecurityStrategy.md,2025-01-28 18:55:51
2,# cybersecurity strategy belgium 2. 0 2021 - 2025,49,9,16,1,belgium_2021_CybersecurityStrategy.md,2025-01-28 18:55:51
3,# # may 2021 - - - - - - - - - -,32,14,16,2,belgium_2021_CybersecurityStrategy.md,2025-01-28 18:55:51
4,"# # # summary the belgian population and organizations have various development opportunities thanks to the presence and growth of digital services and technologies. however, government, citizens and organizations are also increasingly facing ( advanced ) cyber threats, which can increase the risks and compromise the opportunities of digital services and technologies. the goal of this updated national cybersecurity strategy is to safeguard the capabilities of services, goods, people and capital across borders. the aim of this strategy is to present a forward - looking vision of an open, free and secure cyberspace that responds to potential cyber threats belgium faces or may face. this document identifies the different stakeholders, the main threats",758,113,130,3,belgium_2021_CybersecurityStrategy.md,2025-01-28 18:55:51
5,", conveys a clear mission and, based on this, puts forward strategic objectives and priorities for the coming years, as well as the re sources necessary to be able to achieve them. since cybersecurity must be treated as a shared responsibility, the different roles of the actors involved are described. the centre for cybersecurity belgium ( ccb ) is responsible for the coordination of cybersecurity, so it has a key role in the realization of this cybersecurity strategy 2. 0. _ centre for cybersecurity belgium, brussels, may 2021 _ - - - - - - - - - -",555,99,129,3,belgium_2021_CybersecurityStrategy.md,2025-01-28 18:55:51
6,# # # table of contents summary....................................................................................................... 3 1. introduction..............,166,10,130,4,belgium_2021_CybersecurityStrategy.md,2025-01-28 18:55:51
7,.............................................................................. 7 1. 1 policy context............................................,144,6,130,4,belgium_2021_CybersecurityStrategy.md,2025-01-28 18:55:51
8,........................................... 7 1. 2 cybersecurity.............................................................................,141,5,130,4,belgium_2021_CybersecurityStrategy.md,2025-01-28 18:55:51
9,........... 8 1. 3 target audiences................................................................................... 9 1. 4 vision.......................,155,10,130,4,belgium_2021_CybersecurityStrategy.md,2025-01-28 18:55:51
10,............................................................................ 11 1. 5 mission...............................................,139,5,130,4,belgium_2021_CybersecurityStrategy.md,2025-01-28 18:55:51
11,................................................. 11 2. risk assessment..........................................................................,145,5,130,4,belgium_2021_CybersecurityStrategy.md,2025-01-28 18:55:51
12,.......... 13 2. 1 threats................................................................................................ 14 2. 2 technology trends and risks.........,167,12,130,4,belgium_2021_CybersecurityStrategy.md,2025-01-28 18:55:51
13,...................................................... 16 3. strategic objectives and approach........................................................ 21 3. 1 strengthen the digital environment and increase trust,212,17,130,4,belgium_2021_CybersecurityStrategy.md,2025-01-28 18:55:51
