chunk_id,header,text,char_length,word_count,token_count,has_header,section_index,source_file,processed_date,section_depth
1,,* * bosna i hercegovina * * * * predsjednistvo * *,50,12,24,False,0,bosnia_2006_SecurityPolicy.md,2025-01-21 13:15:43,0
2,"sigurnosna politika bosne i hercegovine sarajevo, februar 2006. godine - - - - - - - - - -","# sigurnosna politika bosne i hercegovine sarajevo, februar 2006. godine - - - - - - - - - -",92,20,37,True,1,bosnia_2006_SecurityPolicy.md,2025-01-21 13:15:43,1
3,# sadrzaj * * i uvod......................................................................................................................,# # sadrzaj * * i uvod......................................................................................................................,140,7,130,True,2,bosnia_2006_SecurityPolicy.md,2025-01-21 13:15:43,1
4,,.................................................................................................... 1 * * * * ii principi sigurnosne politike * *.........,155,12,130,False,2,bosnia_2006_SecurityPolicy.md,2025-01-21 13:15:43,0
5,,............................................................................................................... 2 * * iii stanje sigurnosti.......,146,7,130,False,2,bosnia_2006_SecurityPolicy.md,2025-01-21 13:15:43,0
6,,................................................................................................................................,128,1,130,False,2,bosnia_2006_SecurityPolicy.md,2025-01-21 13:15:43,0
7,,........................... 3 * * * * a ) sigurnosno okruzenje......................................................................................,148,10,130,False,2,bosnia_2006_SecurityPolicy.md,2025-01-21 13:15:43,0
8,,................................................................................ 3 * * * * b ) sigurnosni izazovi i rizici.............................,151,12,130,False,2,bosnia_2006_SecurityPolicy.md,2025-01-21 13:15:43,0
9,,............................................................................................................................. 4 * *,131,4,130,False,2,bosnia_2006_SecurityPolicy.md,2025-01-21 13:15:43,0
10,,* * c ) procjena sigurnosnih kretanja u bih i okruzenju * *.................................................................................... 5 * * iv elementi sigurnosne politike * *..,187,22,130,False,2,bosnia_2006_SecurityPolicy.md,2025-01-21 13:15:43,0
11,,.............................................................................................................. 6 * * a ) vanjska politika * *.....,146,10,130,False,2,bosnia_2006_SecurityPolicy.md,2025-01-21 13:15:43,0
12,,................................................................................................................................,128,1,130,False,2,bosnia_2006_SecurityPolicy.md,2025-01-21 13:15:43,0
13,,................................................. 6 * * b ) unutrasnja politika * *................................................................,147,10,130,False,2,bosnia_2006_SecurityPolicy.md,2025-01-21 13:15:43,0
14,,............................................................................................................ 8 * * c ) odbrambena politika.......,145,8,130,False,2,bosnia_2006_SecurityPolicy.md,2025-01-21 13:15:43,0
15,,................................................................................................................................,128,1,130,False,2,bosnia_2006_SecurityPolicy.md,2025-01-21 13:15:43,0
16,,................................. 9 * * * * d ) socijalna politika.................................................................................,147,10,130,False,2,bosnia_2006_SecurityPolicy.md,2025-01-21 13:15:43,0
17,,............................................................................................... 12 * * * * e ) finansijska politika...................,150,10,130,False,2,bosnia_2006_SecurityPolicy.md,2025-01-21 13:15:43,0
18,,................................................................................................................................,128,1,130,False,2,bosnia_2006_SecurityPolicy.md,2025-01-21 13:15:43,0
19,,....................... 13 * * * * f ) demokratizacija i ljudska prava * *...................................................................................,157,14,130,False,2,bosnia_2006_SecurityPolicy.md,2025-01-21 13:15:43,0
20,,................................................. 14 * * g ) zastita covjekove okoline * *.............................................................,151,11,130,False,2,bosnia_2006_SecurityPolicy.md,2025-01-21 13:15:43,0
21,,........................................................................................... 16 * * v ciljevi sigurnosne politike * *....................,152,10,130,False,2,bosnia_2006_SecurityPolicy.md,2025-01-21 13:15:43,0
22,,.................................................................................................... 17 * * vi provođenje sigurnosne politike * *..........,155,10,130,False,2,bosnia_2006_SecurityPolicy.md,2025-01-21 13:15:43,0
23,,........................................................................................ 18 * * vii zavrsna rijec.............................,142,7,130,False,2,bosnia_2006_SecurityPolicy.md,2025-01-21 13:15:43,0
24,,................................................................................................................................,128,1,130,False,2,bosnia_2006_SecurityPolicy.md,2025-01-21 13:15:43,0
25,,"............... 19 * * - - - - - - - - - - na osnovu clana 12. stav 1. tacka o ) zakona o odbrani bosne i hercegovine ( “ sluzbeni _ glasnik bih ”, broj : 88 / 05 ), predsjednistvo bosne i hercegovine, na 85. sjednici, odrzanoj _ 8. februara 2006. godine, usvojilo je",267,57,127,False,2,bosnia_2006_SecurityPolicy.md,2025-01-21 13:15:43,0
26,"# sigurnosnu politiku bosne i hercegovine * * i uvod * * sigurnosna politika bosne i hercegovine ( u daljem tekstu : sigurnosna politika ) je dokument koji definise dugorocnu i koherentnu strategiju, koja daje okvir i smjernice za izgradnju sistema, strukture i svih mehanizama neophodnih za efikasno djelovanje sektora","# # sigurnosnu politiku bosne i hercegovine * * i uvod * * sigurnosna politika bosne i hercegovine ( u daljem tekstu : sigurnosna politika ) je dokument koji definise dugorocnu i koherentnu strategiju, koja daje okvir i smjernice za izgradnju sistema, strukture i svih mehanizama neophodnih za efikasno djelovanje sektora",321,51,130,True,3,bosnia_2006_SecurityPolicy.md,2025-01-21 13:15:43,1
