chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# defense policy,16,3,5,0,brazil_1998_NationalDefencePolicy.md,2025-01-28 18:54:58
2,# # presidencia da republica # # # governo fernando henrique cardoso * * brasilia - 1998 * *,92,19,28,1,brazil_1998_NationalDefencePolicy.md,2025-01-28 18:54:58
3,# # # # contents,16,5,7,2,brazil_1998_NationalDefencePolicy.md,2025-01-28 18:54:58
4,# # # # # 1. introduction 2. the international situation 3. objectives 4. strategic guidance 5. directives * * presidencia da republica * * * * secretaria de comunicacao social * * apoio institucional * * casa civil da presidencia da republica * * [ secom ] ( http : / / www. presidencia. gov. br / publi _ 04 / secretar. htm ) [ publicacoes ] ( http : / / www. presidencia. gov. br / publi _ 04 / colecao / publica.,416,85,130,3,brazil_1998_NationalDefencePolicy.md,2025-01-28 18:54:58
5,htm ) - - - - -,15,7,10,3,brazil_1998_NationalDefencePolicy.md,2025-01-28 18:54:58
6,# defense policy,16,3,5,4,brazil_1998_NationalDefencePolicy.md,2025-01-28 18:54:58
7,"# # # # # 1. introduction 1. 1 in the new international scene, full of challenges and opportunities, it is necessary to promote the development, in brazil, of its own modes of flexible and creative strategic thinking, capable of meeting the defense needs of the country. 1. 2 the transformations that have occurred both domestically, as well as in the regional and global contexts, make it necessary and timely to formally issue a national defense policy, established at the highest level of the government, which refletcs the aspirations of society and serves as a reference point for the strategies arising out of that policy. 1. 3 the national defense policy",661,111,130,5,brazil_1998_NationalDefencePolicy.md,2025-01-28 18:54:58
8,", which is aimed at threats from abroad, has as its primary purpose to establish the objectives for the defense of the nation ’ s capabilities at every level and in every sphere of power, with the involvment of the military and civilian sectors. 1. 4 the national defense policy, a topic of interest to brazilian society as a whole, is premised on the fundamental principles and objectives stipulated in the federal constitution, and is in harmony with the country ’ s international posture, which is based on seeking peaceful solutions to disputes and strengthening international peace and security. 1. 5 the dimensions of brazil – simultaneously continental and maritime ; equatorial,",686,112,130,5,brazil_1998_NationalDefencePolicy.md,2025-01-28 18:54:58
9,"tropical and subtropical ; sharing extensive land borders with almost all the countries in south america, as well as lengthy coasts ; an exclusive economic zone and a continental shelf – endow the nation with a geostrategic depth and complicates the task of overall defense planning. brazil ’ s broad demographic and territorial characteristics, as well as the availability of natural resources, set firmly upon its diversified physical geography, generate a variety of scenarios that call for a comprehensive and integrated policy, along with a specific approach for each instance. 1. 6 the implementation of a sustainable defense policy, with the aim of gradually modernizing self - defense capabilities, will",711,110,130,5,brazil_1998_NationalDefencePolicy.md,2025-01-28 18:54:58
10,"depend upon the construction of a development model that strengthens democracy, reduces both social inequalities and regional imbalances, and establishes priorities in the political, social and economic and military sectors compatible with defense and foreign policy requirements. 1. 7 in the process, defense needs should be adjusted to match the availability of resources, by means of the approval of funds by the national congress and, whenever possible, with the involvment of the country ’ s academic, scientific, technological and i d t i l t - - - - - [ publicacoes ] ( http : / / www. presidencia. gov",609,101,130,5,brazil_1998_NationalDefencePolicy.md,2025-01-28 18:54:58
11,. br / publi _ 04 / colecao / publica. htm ) contents 2. the international situation - - - - -,94,22,30,5,brazil_1998_NationalDefencePolicy.md,2025-01-28 18:54:58
12,# defense policy,16,3,5,6,brazil_1998_NationalDefencePolicy.md,2025-01-28 18:54:58
13,"# # # # # 2. the international situation 2. 1 with the end of the east – west confrontation, in the current process of rearrangement of forces, an uncertain and unstable multipolar international scenario has emerged, engendered by the lack of correlation among the centers of strategic, military, political and economic power, the future evolution of which remains difficult to predict. 2. 2 the end of the cold war has rendered obsolete the simplistic generalization arising out of the ideologically and militarily bipolar system which had prevailed until then. currently, despite the reduction in the risks of a worldwide nuclear confrontation, a",648,103,130,7,brazil_1998_NationalDefencePolicy.md,2025-01-28 18:54:58
14,"certain degree of strategic predictability is no longer feasible. 2. 3 local conflicts, which are now occurring on almost every continent, the resurgence of ethnic, nationalist and religious extremism, as well as the phenomenon of fragmention which is now seen in many countries, make it clear that the traditional concepts such as sovereignty, self - determination and national identity continue to be important. 2. 4 during this transitional phase, as new rules of political and economic coexistence between nations are being established, characterized by the absence of clear paradigms and by the growing participation of non - governmental actors, brazil strives to establish its strategic role",698,106,130,7,brazil_1998_NationalDefencePolicy.md,2025-01-28 18:54:58
15,"and its priorities in the area of defense, free from any ideological model. 2. 5 the panorama of uncertainties that characterizes the current global situation mandates that the defense continues to require diligence by national governments, and, also, that the aspect of military power continues to be of utmost importance to the survival of nation - states as independent entities. it is not realistic to imagine a nation - state of reasonable size and international influence that could forgo having a dependable defense force. the armed forces constitute an instrument for the exercise of the right to self - defense, a right, moreover, which is enshrined in the",665,108,130,7,brazil_1998_NationalDefencePolicy.md,2025-01-28 18:54:58
16,"united nations charter. 2. 6 south america, far from the focal points of global tension, is considered to be the most demilitarized region in the world. the re - democratization that has taken place in the americas has tended to reduce the likelihood of conflicts. regional disputes have been managed at tolerable levels. 2. 7 for brazil, a country of different regions and a diversified profile – belonging simultaneously to the amazon, atlantic, southern cone, and plata river basin –, the notion of regional space extends beyond the continental landmass of south america, also including the south atlantic. - - - - -",619,103,127,7,brazil_1998_NationalDefencePolicy.md,2025-01-28 18:54:58
17,"# # # # # demanding a multifaceted regional role, based on a policy of harmonization of interests. 2. 9 brazil has not been involved in a conflict with any of its neighbours for over a century, and it has worked to promote greater integration and closer relations among the nations in the americas and, consequently, has gained international credibility. 2. 10 the strengthening of the integration process provided by mercosur, the increasingly close relations with our neighbours in the amazon region – developed within the scope of the amazon cooperation treaty – the increased cooperation with the portuguese - speaking african countries and the consolidation of the south atlantic zone of peace and",702,114,130,8,brazil_1998_NationalDefencePolicy.md,2025-01-28 18:54:58
18,"cooperation – the result of a positive and concrete diplomatic action – have formed a veritable ring of peace around the country, making it possible to concentrate efforts to achieve a national strategy for development and for overcoming social inequalities. 2. 11 the country is not, however, totally free from risks. despite its peaceful coexistence in the international community, it may be forced to become involved in conflicts originating elsewhere, due to threats to brazil ’ s national heritage or vital interests. 2. 12 in the regional framework, there continues to be zones of instability that can threathen brazilian interests. the actions of armed groups that are",675,107,130,8,brazil_1998_NationalDefencePolicy.md,2025-01-28 18:54:58
19,"active in neighbouring countries, on the edge of the brazilian amazon, as well as international organized crime, are amongst the points that cause concern. 2. 13 military capabilities and diplomacy are manifestations of national sovereignty and dignity, and brazil has demonstrated in a clear and consistent manner its determination to live in peace and harmony in accordance with the principles and norms of international law, fully respecting the commitments it has taken on. [ publicacoes ] ( http : / / www. presidencia. gov. br / publi _ 04 / colecao / publica. htm ) contents 3. objectives - - - - -",605,103,127,8,brazil_1998_NationalDefencePolicy.md,2025-01-28 18:54:58
20,# defense policy,16,3,5,9,brazil_1998_NationalDefencePolicy.md,2025-01-28 18:54:58
21,"# # # # # 3. objectives 3. 1 from an examination of the circumstances described above emerges the need to devise specific strategic priorities arising out of the national interest and fundamental national defense objectives. 3. 2 despite the favorable state of affairs in brazil ’ s immediate environs, a defense system adequate to safeguard the nations ’ s sovereignty, democracy and the rule of law should be maintained. that is the purpose of formulating a national defense policy, with resources to implement it, that integrates the strategic aims in the social, economic, military and diplomatic spheres, and which can count on endorsement by the nation. 3. 3",664,109,130,10,brazil_1998_NationalDefencePolicy.md,2025-01-28 18:54:58
22,"the national defense objectives are : a ) to guarantee sovereingty while preserving the nation ’ s territorial integrity, heritage and interests ; b ) to guarantee the rule of law and the democratic institutions ; c ) to maintain the nation ’ s cohesion and unity ; d ) to protect individuals, goods, resources that are brazilian, or under brazilian jurisdiction ; e ) to achieve and maintain brazilian interests abroad ; f ) to give brazil a significant role in international affairs and a greater role in the international decision - making process ; and g ) to contribute to the maintainance of international peace and security. [ publicacoes ] ( http : /",658,116,130,10,brazil_1998_NationalDefencePolicy.md,2025-01-28 18:54:58
