chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,- - - - -,9,5,7,0,brazil_2020_DefensePolicyStrategy.md,2025-01-28 18:56:00
2,# # # sumario,13,4,7,1,brazil_2020_DefensePolicyStrategy.md,2025-01-28 18:56:00
3,# # # # # politica nacional de defesa 5 1 introducao 7 2 o contexto da politica nacional de defesa 11 2. 1 fundamentos 11 2. 2 o ambiente nacional 12 2. 3 o ambiente internacional 16 3 concepcao politica de defesa 20 4 objetivos nacionais de defesa 24 5 consideracoes finais 26 estrategia nacional de defesa 29 1 introducao 31 2 concepcao estrategica de defesa 32 3 fundamentos 35 3. 1 poder nacional 35 3. 2 capac,414,79,130,2,brazil_2020_DefensePolicyStrategy.md,2025-01-28 18:56:00
4,##idades nacionais de defesa 35 3. 3 base industrial de defesa 41 3. 4 recursos humanos 43 3. 5 acoes de diplomacia 44 3. 6 setor de defesa 45 4 estrategias e acoes estrategicas de defesa 62 glossario 75 - - - - - - - - - -,223,49,78,2,brazil_2020_DefensePolicyStrategy.md,2025-01-28 18:56:00
5,"# # # 1. introducao o brasil tem um papel de destaque no ambien te mundial, sendo o quinto maior em extensao territorial, estando entre os dez paises mais po pulosos e coloca - se entre as maiores economias do planeta. dotado de ampla gama de recursos naturais e de potencial tecnologico e industrial em acelerado processo de avanco, o pais vem obtendo uma crescente projecao internacional e pod",395,69,130,3,brazil_2020_DefensePolicyStrategy.md,2025-01-28 18:56:00
6,"##e envolver - se em eventuais conflitos de inte resses com atores de diversas naturezas. o brasil privilegia a paz e defende o dialogo e as negociacoes para a solucao das controver sias entre os estados. os eventos que marcam a sua historia atestam tal postura e fundamentam o seu posicionamento nas relacoes externas. nao obstante, e essencial que o brasil dedi que continua atencao a sua",390,67,132,3,brazil_2020_DefensePolicyStrategy.md,2025-01-28 18:56:00
7,"defesa, haja vista a condicao sistematica de instabilidade dos rela cionamentos entre os paises e a emergencia de novas ameacas no cenario internacional. com esse objetivo, foi aprovada, em 1996, a politica de defesa nacional - pdn, que se confi gurou como a primeira iniciativa para orientar os esforcos de toda a sociedade brasileira no senti do de reunir capacidades em nivel nacional, a fim de des",401,67,130,3,brazil_2020_DefensePolicyStrategy.md,2025-01-28 18:56:00
8,"##envolver as condicoes para garantir a so berania do pais, sua integridade e a consecucao dos objetivos nacionais. a referida politica foi atualizada em 2005, e, apos sua revisao em 2012, passou a ser deno minada de politica nacional de defesa - pnd, ja no contexto de revisoes quadrienais, conforme a lei complementar nº 97, de 9 de junho de 1999, e suas alteracoes. cabe res",377,66,132,3,brazil_2020_DefensePolicyStrategy.md,2025-01-28 18:56:00
9,"##saltar que em 2008 foi publicada a primeira edicao da estrategia na cional de defesa - end. assim, enquanto a pnd apresenta os pressupostos basicos do pais em relacao a sua defesa e estabelece os objetivos nacionais de defesa - ond, a estrategia orienta todos os segmentos do estado brasileiro quanto as medidas a serem implementadas para se atin gir os objetivos estabelecidos. a pnd e",388,66,132,3,brazil_2020_DefensePolicyStrategy.md,2025-01-28 18:56:00
10,"o documento condicionante de mais alto nivel para o planejamento de acoes destinadas a defesa do pais. voltada priorita riamente para ameacas externas, estabelece objetivos para o preparo e o emprego de todas as expressoes do poder nacional, em prol da defesa nacional. a partir da analise das realidades que afetam a defesa da patria, a pnd busca harmonizar as iniciativas de todas as expressoes do poder nacional interven",423,69,130,3,brazil_2020_DefensePolicyStrategy.md,2025-01-28 18:56:00
