chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"# # ministry of defence sofia 1606, no. 3 dyakon ignatiy str.",61,12,23,0,bulgaria_2010_ArmedForcesDevelopmentPlan.md,2025-01-28 18:55:06
2,# the republic of bulgaria ’ s armed forces ’ development plan,62,12,14,1,bulgaria_2010_ArmedForcesDevelopmentPlan.md,2025-01-28 18:55:06
3,# # sofia 2010 - - - - - | contents | col2 | | - - - | - - - | | preface | p 3 | | i. background | p 4 | | - fundamentals | p 4 | | - purpose | p 4 | | - aims | p 4 | | - scope | p 5 | | - assumptions | p 5 | | - principles and approaches for development of the armed forces | p 5 | | - bulgarian armed forces ` missions and tasks | p 6 | | - level of ambitions | p 7 | | - minimum military requirements | p 8 | | - doctrine | p 8 | |,434,125,130,2,bulgaria_2010_ArmedForcesDevelopmentPlan.md,2025-01-28 18:55:06
4,"ii. structure of the armed forces | p 9 | | 1. development of the functional structure of the armed forces | p 9 | | 2. organisational structure of the armed forces | p 11 | | 2. 1 joint forces command | p 11 | | 2. 2 land forces | p 12 | | 2. 3 air force | p 13 | | 2. 4 navy | p 13 | | 2. 5 structures directly subordinated to the minister of defence | p 14 | | iii. management, command & control | p 16 | | iv. the number of the armed forces and distribution of personnel by structures | p 19",495,115,130,2,bulgaria_2010_ArmedForcesDevelopmentPlan.md,2025-01-28 18:55:06
5,"| | v. providing the armed forces with main armaments and equipment | p 20 | | vi. logistics support | p 21 | | vii. communications support | p 22 | | viii. military education, science and training | p 25 | | ix. information policy and strategic public communication | p 26 | | x. development of infosec units | p 27 | | xi. disposition and infrastructure | p 27 | | xii. built - up of new capabilities and development of existing ones | p 28 | | xiii. phases of reorganisation of the armed forces up to 2014 | p 34 | | xiv. resources in support for armed",555,114,130,2,bulgaria_2010_ArmedForcesDevelopmentPlan.md,2025-01-28 18:55:06
6,forces reforms | p 35 | | list of used terms and acronyms | p 36 | - - - - -,76,22,25,2,bulgaria_2010_ArmedForcesDevelopmentPlan.md,2025-01-28 18:55:06
7,"# # # introduction the contemporary strategic security environment, the significant build - up of imbalances between planned capabilities and the resources allocated for their creation and maintenance, the ineffective defence management and the negative impact of the global economic and financial crisis – those factors recently forced a force structure review ( fsr ). the review started in february 2010 and in the course of the process we reviewed and actualised the structure, size, roles, missions and tasks of the armed forces [ 1 ]. the main objective was to determine what defence capabilities bulgaria needs to develop, taking into account existing and actually foreseeable resources the public can spare for defence in",729,114,130,3,bulgaria_2010_ArmedForcesDevelopmentPlan.md,2025-01-28 18:55:06
8,"the context of our place in nato ’ s collective defence system and eu ’ s common security and defence policy. the goal is to achieve a real transformation of defence capabilities, rather than another set of technical reductions. the armed forces development plan ( afdp ) is a result of the fsr. the conceptual part of fsr ended with the writing and publication of the white paper on defence and armed forces of the republic of bulgaria [ 2 ] as a development program for the armed forces adopted by resolution in the national assembly. this program will be put into practice through this afdpafdp and the long - term investment plan ( ltip )",642,116,130,3,bulgaria_2010_ArmedForcesDevelopmentPlan.md,2025-01-28 18:55:06
9,". unlike before, different modernising matters will be discerned in the long - term investment plan. the two plans are interrelated, the latter being crucial for the achievement of the first. the purpose of the fsr, which will be practically implemented through the afdp, is to build and maintain a single set of forces balanced for all tasks, with a unified command & control system for peacetime and during crises, with the organisation, size, armament, equipment and training adequately corresponding to its role, missions and tasks. this will be a modern armed forces, backed with the required resources, which will prioritise in the",637,103,130,3,bulgaria_2010_ArmedForcesDevelopmentPlan.md,2025-01-28 18:55:06
10,"development of capabilities so as to participate in expeditionary operations with the forces of other nato and eu countries. as for the need for detailed regulations and a specification of the rights and duties of the citizens and the authorities directing the armed forces ’ reserve, the public relations of the reserve, the employment in it and the military accountability to the citizens – this will be regulated by a separate law on the reserve, forseen to enter into force on 01 / 01 / 2012, whereby reserve regulations defined in the law on defence and the armed forces of the republic of bulgaria will be countermanded. the creation of a new law on military police, which",678,117,130,3,bulgaria_2010_ArmedForcesDevelopmentPlan.md,2025-01-28 18:55:06
