chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,програма за развитие на! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png ) отбранителните способности на въоръжените сили на република българия 2020 министерски съвет на република бъ,178,34,130,0,bulgaria_2015_DevelopmentOfTheArmedForces_noneng.md,2025-01-28 18:57:04
2,##лгария 2015 г. софия,22,4,16,0,bulgaria_2015_DevelopmentOfTheArmedForces_noneng.md,2025-01-28 18:57:04
3,# # съдържание 1. цели и обхват на програмата................................................................................. 3 2. изводи от,141,13,130,1,bulgaria_2015_DevelopmentOfTheArmedForces_noneng.md,2025-01-28 18:57:04
4,средата на сигурност и неиното влияние върху развитието на отбранителните способности................................................ 4 3. основ,144,14,130,1,bulgaria_2015_DevelopmentOfTheArmedForces_noneng.md,2025-01-28 18:57:04
5,##и на отбранителната политика............................................................ 6 4. изисквания към отбранителните способности........,145,10,132,1,bulgaria_2015_DevelopmentOfTheArmedForces_noneng.md,2025-01-28 18:57:04
6,........................ 13 5. развитие на отбранителните способности на въоръжените сили до 2020 г..............................................,145,13,130,1,bulgaria_2015_DevelopmentOfTheArmedForces_noneng.md,2025-01-28 18:57:04
7,................................................................................ 15 6. единна индустриално - технологична база на отбраната..,141,10,130,1,bulgaria_2015_DevelopmentOfTheArmedForces_noneng.md,2025-01-28 18:57:04
8,....... 31 7. ресурсно осигуряване на отбранителните способности........... 33 8. хората в отбраната.............................................,145,13,130,1,bulgaria_2015_DevelopmentOfTheArmedForces_noneng.md,2025-01-28 18:57:04
9,........................................................... 34 9. непосредствени предизвикателства и задачи.............................,136,7,130,1,bulgaria_2015_DevelopmentOfTheArmedForces_noneng.md,2025-01-28 18:57:04
10,...... 38,9,2,9,1,bulgaria_2015_DevelopmentOfTheArmedForces_noneng.md,2025-01-28 18:57:04
11,"# # 1. цели и обхват на програмата "" програмата за развитие на отбранителните способности на въоръжените сили на република българия 2020 "" е разработена в съотве",161,27,130,2,bulgaria_2015_DevelopmentOfTheArmedForces_noneng.md,2025-01-28 18:57:04
12,"##тствие на чл. 16, т. 6 и 7 от закона за отбраната и въоръжените сили на република българия. програмата има за цел да продължи и развие започналия в приетата от народ",167,31,132,2,bulgaria_2015_DevelopmentOfTheArmedForces_noneng.md,2025-01-28 18:57:04
13,"##ното събрание през 2010г. "" бяла книга за отбраната и въоръжените сили на република българия "", процес на стратегическо преосмисляне на отбранителната политика и",163,24,132,2,bulgaria_2015_DevelopmentOfTheArmedForces_noneng.md,2025-01-28 18:57:04
14,изграждане на отбранителните способности. този документ определя параметрите за развитие и основните насоки за изграждане на отбранителните способност,150,18,130,2,bulgaria_2015_DevelopmentOfTheArmedForces_noneng.md,2025-01-28 18:57:04
15,"##и на въоръжените сили до 2020 г., чрез ангажиране на политическите, икономическите, технологичните, информационните, военните и гражданските ресурси на",153,19,132,2,bulgaria_2015_DevelopmentOfTheArmedForces_noneng.md,2025-01-28 18:57:04
16,"страната. програмата ще послужи за основа при разработване на "" план за развитие на въоръжените сили 2020 "".",108,18,86,2,bulgaria_2015_DevelopmentOfTheArmedForces_noneng.md,2025-01-28 18:57:04
17,"# # 2. изводи от средата на сигурност и неиното влияние върху развитието на отбранителните способности средата на сигурност е динамична, сложна и противореч",156,24,130,3,bulgaria_2015_DevelopmentOfTheArmedForces_noneng.md,2025-01-28 18:57:04
18,"##ива. трудно предвидими предизвикателства, рискове и заплахи за националната и международна сигурност пораждат кризата в украина и развитието на "" хибридната",158,21,132,3,bulgaria_2015_DevelopmentOfTheArmedForces_noneng.md,2025-01-28 18:57:04
19,"воина "" ; деиността на терористичната организация "" ислямска държава "" ; нерешените проблеми на сигурността в западните балкани ; замразените конфликти в чер",157,24,130,3,bulgaria_2015_DevelopmentOfTheArmedForces_noneng.md,2025-01-28 18:57:04
20,"##номорския регион ; продължаващите конфликти в афганистан, близкия изток и северна африка ; тероризмът ; разпространението на оръжия за масово унищожение ; неле",161,23,132,3,bulgaria_2015_DevelopmentOfTheArmedForces_noneng.md,2025-01-28 18:57:04
21,"##галната миграция и трафикът на хора, оръжия и наркотици ; проблемите пред енергиината сигурност ; кибератаките ; организираната престъпност ; демографските",157,21,132,3,bulgaria_2015_DevelopmentOfTheArmedForces_noneng.md,2025-01-28 18:57:04
22,"предизвикателства ; екологичните проблеми и др. обстановката в западните балкани остава относително стабилна. независимо от положителното влияние, което",152,18,130,3,bulgaria_2015_DevelopmentOfTheArmedForces_noneng.md,2025-01-28 18:57:04
23,оказва стремежът към европеиска и евро - атлантическа интеграция и ангажимента на нато и ес към укрепването на сигурността в региона все още продължават да се ге,161,27,130,3,bulgaria_2015_DevelopmentOfTheArmedForces_noneng.md,2025-01-28 18:57:04
