chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,национална публикация на въоръжените сили на република българия нп - 01 министерство на отбраната доктрина! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png ) на въоръжените сили на репуб,182,36,130,0,bulgaria_2017_BulgarianArmedForcesDoctrine_noneng.md,2025-01-28 18:58:22
2,"##лика българия издание ( а ), ноември * * 2017 г. * * номер на заповедта, * * с която се въвежда документът : * * заповед на министъра на отбраната № ох - 1244 / 04. 12. 2017 г. отговорна",188,41,132,0,bulgaria_2017_BulgarianArmedForcesDoctrine_noneng.md,2025-01-28 18:58:22
3,"структура за разработване и поддържане на документа : дирекция "" стратегическо планиране "" - министерство на отбраната. | дата на внасяне на | дата на приемане | д",163,28,130,0,bulgaria_2017_BulgarianArmedForcesDoctrine_noneng.md,2025-01-28 18:58:22
4,##ата за влизане в | отговорник за | | - - - - - - - - - - - - - - - - - - - - - - | - - - - - - - - - - - - - - - - - - - - | - - - - - - - - - - - - - - - - - - - - - | - - - - - - - - - - - - - - - - - - - | | промените | на про,231,100,132,0,bulgaria_2017_BulgarianArmedForcesDoctrine_noneng.md,2025-01-28 18:58:22
5,##мените | сила на промените | внесената промяна | таблица за внесените промени : | | съдържание | | | | | | | | | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,202,70,132,0,bulgaria_2017_BulgarianArmedForcesDoctrine_noneng.md,2025-01-28 18:58:22
6,- - - - - - - - - - - - - - - - - - - - - - - | - - - - - - - - - - - - - - | - - - - - - - - | - - - - - - - - - - - | - - - - - - - - - - - | - - - - - - - - - | - - - - - - - - - - - - - | - - - - - - - - | - - - - - | | увод | 6 | | | | | | | | | г,252,125,130,0,bulgaria_2017_BulgarianArmedForcesDoctrine_noneng.md,2025-01-28 18:58:22
7,"##лава 1. същност на доктрината на въоръжените сили | 6 | | | | | | | | | 1. 1. цел, обхват и времеви хоризонт на доктрината | 6 | | | | | | | | | 1. 2. връзка с националната отбр",179,45,132,0,bulgaria_2017_BulgarianArmedForcesDoctrine_noneng.md,2025-01-28 18:58:22
8,##анителна стратегия | 7 | | | | | | | | | 1. 3. съвместимост със съюзните доктрини | 7 | | | | | | | | | глава 2. стратегическа | среда | на | сигурност | - | основни | насоки | за,181,47,133,0,bulgaria_2017_BulgarianArmedForcesDoctrine_noneng.md,2025-01-28 18:58:22
9,| | | извършване | на | анализ | чрез | прилагане | на | всеобхватен | подход | при | | оценяване на сигурността | 8 | | | | | | | | | глава 3. мощ | 12 | | | | | | | | | 3. 1. национална,187,53,130,0,bulgaria_2017_BulgarianArmedForcesDoctrine_noneng.md,2025-01-28 18:58:22
10,мощ | 12 | | | | | | | | | 3. 2. военна мощ | 14 | | | | | | | | | 3. 2. 1. концептуален компонент | 15 | | | | | | | | | 3. 2. 2. морален компонент | 16 | | | | | | | | | 3. 2. 3. физически компо,196,64,130,0,bulgaria_2017_BulgarianArmedForcesDoctrine_noneng.md,2025-01-28 18:58:22
11,##нент | 16 | | | | | | | | | глава 4. видове кризи и нива на военните конфликти | 17 | | | | | | | | | глава 5. основни подходи и принципи при използването на въоръжени | | | | | | |,183,49,132,0,bulgaria_2017_BulgarianArmedForcesDoctrine_noneng.md,2025-01-28 18:58:22
