chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,цифрова трансформация на българия за периода 2020 - 2030 г. софия 2020 г. | съдържание | | | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - - - - - - - - - - - - - - -,226,85,130,0,bulgaria_2020_DigitalTransformation_noneng.md,2025-01-28 18:57:40
2,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | | въведение | | | визия | | | принципи | | | цели. | | | i. | разгръщане на сигур,221,92,130,0,bulgaria_2020_DigitalTransformation_noneng.md,2025-01-28 18:57:40
3,##на цифрова инфраструктура. | | ii. | осигуряване на достъп до адекватни технологични знания и цифрови умения. | | iii. | укрепване на капацитета за научни изследвания и,170,28,133,0,bulgaria_2020_DigitalTransformation_noneng.md,2025-01-28 18:57:40
4,иновации | | iv. | отключване потенциала на данните. | | v. | цифровизация в полза на кръгова ниско въглеродна икономика | | vi. | повишаване ефективността на държавното,169,29,130,0,bulgaria_2020_DigitalTransformation_noneng.md,2025-01-28 18:57:40
5,управление и качеството на публичните услуги. 8 | | области на въздеиствие. | | | 1. | цифрова инфраструктура | | 2. | киберсигурност. | | 3. | научни изследв,158,30,130,0,bulgaria_2020_DigitalTransformation_noneng.md,2025-01-28 18:57:40
6,"##ания и иновации | | образование и обучение. | | | 4. | | | 5. | адаптиране на трудовия пазар - образование, обучение и социална защита. | | 6. | цифрова икономика. | | 7. | селско",181,38,133,0,bulgaria_2020_DigitalTransformation_noneng.md,2025-01-28 18:57:40
7,стопанство | | 8. | транспорт | | 9. | енергетика | | 10. | околна среда и климат | | 11. | здравеопазване. | | 12. | финанси. | | 13. | култура. | | 14. | дезинформация и медиина гра,183,42,130,0,bulgaria_2020_DigitalTransformation_noneng.md,2025-01-28 18:57:40
8,##мотност. | | 15. | териториално развитие | | 16. | цифрово управление. | | 17. | сигурност и участие на гражданите в демократичния процес | | заключение. | | | секто,167,32,132,0,bulgaria_2020_DigitalTransformation_noneng.md,2025-01-28 18:57:40
9,##рни документи по области на въздеиствие | | развитието на цифровите технологии и тяхното навлизане във всички сфери на икономическия и социален живот налаг,157,24,132,0,bulgaria_2020_DigitalTransformation_noneng.md,2025-01-28 18:57:40
10,##а необходимостта от преосмисляне на подхода по отношение оползотворяването на изключителния им потенциал за повишаване на конкурентоспособността на бъ,152,19,132,0,bulgaria_2020_DigitalTransformation_noneng.md,2025-01-28 18:57:40
11,"##лгарската икономика, засилване на търсенето и предлагането и ефективността на публичните услуги и успешно справяне с основните социални предизвикателств",154,19,132,0,bulgaria_2020_DigitalTransformation_noneng.md,2025-01-28 18:57:40
12,"##а в периода до 2030. цифровата трансформация е процес, характеризиращ се с повсеместно внедряване и комбиниране на цифрови технологии във всички сфери на обществ",163,24,132,0,bulgaria_2020_DigitalTransformation_noneng.md,2025-01-28 18:57:40
13,"##ения и стопански живот. на фиг. 1 е представена схематично цифровата трансформация², с основните участници в нея и взаимовръзките между тях.! [ 2 _ image _ 0. png ] ( 2 _ image _",180,34,132,0,bulgaria_2020_DigitalTransformation_noneng.md,2025-01-28 18:57:40
14,"0. png ) фиг. 1 ускорената цифрова трансформация е предпоставка за изпреварващо развитие на икономическото производство, за растеж и повишаване на доходите. р",158,23,130,0,bulgaria_2020_DigitalTransformation_noneng.md,2025-01-28 18:57:40
15,"##азвитието на този ¹ ericsson - developing national capabilities for successful transformation ict enabled policy framework for national development ; transforming to a networked society guide for policy makers процес изисква адекватни и своевременни мерки за повишаване на знанията и уменията на гражданите, за придо",318,45,132,0,bulgaria_2020_DigitalTransformation_noneng.md,2025-01-28 18:57:40
16,"##биване на нови умения и квалификация и за създаване на култура на учене през целия живот, която да отговаря на все по - динамичния характер на пазара на труда. цифроват",170,30,132,0,bulgaria_2020_DigitalTransformation_noneng.md,2025-01-28 18:57:40
17,"##а трансформация, наред с "" европеиския зелен пакт "", е основен приоритет и на европеиско ниво. европеиската комисия ежегодно отчита цифровия напредък в държави",161,24,132,0,bulgaria_2020_DigitalTransformation_noneng.md,2025-01-28 18:57:40
18,"##те членки на ес чрез индикатори, съставляващи индекса за навлизането на цифровите технологии в икономиката и обществото ( desi ). за съжаление, българия се наре",162,25,132,0,bulgaria_2020_DigitalTransformation_noneng.md,2025-01-28 18:57:40
19,"##жда на последно място по този показател. съществено е и изоставането спрямо средноевропеиските нива на цифровата свързаност, използването на цифровите уме",156,21,132,0,bulgaria_2020_DigitalTransformation_noneng.md,2025-01-28 18:57:40
20,"##ния онлаин, цифровизацията на предприятията и цифровите обществени услуги. кризата с covid - 19 също така потвърди необходимостта от ускоряване на цифровата трансфо",166,23,132,0,bulgaria_2020_DigitalTransformation_noneng.md,2025-01-28 18:57:40
21,"##рмация на практика във всички икономически и социални сектори и доказа, че мащабните усилия за оползотворяване на потенциала на цифровите технологии са не сам",160,24,132,0,bulgaria_2020_DigitalTransformation_noneng.md,2025-01-28 18:57:40
22,"##о необходими, но и задължителни. посредством тях икономиката ще увеличи своята конкурентоспособност и устоичивостта си, както и ще създаде нови източн",152,21,132,0,bulgaria_2020_DigitalTransformation_noneng.md,2025-01-28 18:57:40
23,"##ици на приходи от нови бизнес модели и услуги, които създават работни места. инвестициите в цифрови технологии са също инвестиции в постигането на амбициозни",159,24,132,0,bulgaria_2020_DigitalTransformation_noneng.md,2025-01-28 18:57:40
24,"##те цели на европеиски зелен пакт като изграждане на чиста и кръгова икономика, интелигентната мобилност, енергиината интеграция, прецизното земеделие и др.",157,21,132,0,bulgaria_2020_DigitalTransformation_noneng.md,2025-01-28 18:57:40
25,"пандемията доказа все по - нарастващото значение на цифровизацията за всички аспекти на икономиката, обществото и държавното управление. тя потвърди и необх",156,22,130,0,bulgaria_2020_DigitalTransformation_noneng.md,2025-01-28 18:57:40
26,##одимостта от изграждане на високоскоростна цифрова свързаност и оползотворяването на потенциала на данните чрез премахването на пречките пред тяхното спод,156,20,132,0,bulgaria_2020_DigitalTransformation_noneng.md,2025-01-28 18:57:40
