chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# # # # council of ministers,28,7,9,0,bulgaria_2021_ProgrammeDevelopment.md,2025-01-28 18:56:12
2,# programme for the development,31,5,7,1,bulgaria_2021_ProgrammeDevelopment.md,2025-01-28 18:56:12
3,# # for the development of the defence capabilities of the defence capabilities of the bulgarian armed forces of the bulgarian armed forces 2032 2032 - - - - -,159,30,34,2,bulgaria_2021_ProgrammeDevelopment.md,2025-01-28 18:56:12
4,# # # programme for the development of the defence capabilities of the bulgarian armed forces 2032,98,17,20,3,bulgaria_2021_ProgrammeDevelopment.md,2025-01-28 18:56:12
5,# # # # endorsed by the 44 - th national assembly on 11 february 2021 - - - - -,79,21,23,4,bulgaria_2021_ProgrammeDevelopment.md,2025-01-28 18:56:12
6,"# # # # address by the prime minister of the republic of bulgaria our main ambition has always been to build bulgaria as a modern european country whose development is based on democracy, euro - atlantic values, the rule of law, economic prosperity and individual freedom and security for our citizens. the implementation of these priorities, enshrined in our programme for government, is inextricably linked to our activities on each sectorial policy. national security and defence in particular are the foundation on which our society stands to build all other components of its statecraft and to create conditions for lasting prosperity. therefore, in the period 2019 - 2020, the",682,110,130,5,bulgaria_2021_ProgrammeDevelopment.md,2025-01-28 18:56:12
7,government conducted the strategic review of the national security system and the strategic defence review. this process set the benchmarks for long - term development and put the whole system of national security on a qualitatively new basis. with regard to defence - for the first time in the recent history of the bulgarian armed forces a strategic document with such a long - term scope is being developed - the current programme for the development of the defence capabilities of the bulgarian armed forces 2032. programme 2032 creates the necessary conditions for the build - up and development of such armed forces with which to be able to adequately respond to the risks and threats to our security,706,119,130,5,bulgaria_2021_ProgrammeDevelopment.md,2025-01-28 18:56:12
8,", to protect the bulgarian sovereignty and its interests and values, while remaining a respected ally in the collective nato defence and in the creation of european defence. this will allow us to affirm bulgaria ’ s role as an important security factor in southeast europe and the black sea region. the commitment that our government has made with the national plan to increase defence spending to 2 % of gdp of the republic of bulgaria by 2024 creates conditions for the implementation of the programme 2032. we expect the funds to be spent efficiently and by the end of the planning period the key projects for acquisition of new and modern armaments and equipment to be implemented. programme",695,119,130,5,bulgaria_2021_ProgrammeDevelopment.md,2025-01-28 18:56:12
9,"2032 sets ambitious tasks for governments to come in building and developing of the bulgarian defence. i believe that the implementation of this strategic document will allow us by 2032 to have a modern, strong and increasingly integrated within nato bulgarian armed forces a reliable guarantor of sovereignty, security, independence and territorial integrity of our country.",375,56,67,5,bulgaria_2021_ProgrammeDevelopment.md,2025-01-28 18:56:12
10,# # # # boyko borissov - - - - -,32,11,15,6,bulgaria_2021_ProgrammeDevelopment.md,2025-01-28 18:56:12
11,"# # # # foreword by the deputy prime minister for public order and security and minister of defence of the republic of bulgaria at the end of 2020 the horizon of the programme for the development of the defence capabilities of the armed forces of the republic of bulgaria 2020 expired. in order to ensure continuity in the achievements in the defence policy during the past period and to create conditions for long - term upgrading, pursuant to measure 299 of the government programme 2017 - 2021, the ministry of defence has developed a new strategic document setting the parameters for the development of the bulgarian armed forces in a long term until 2032 – the programme for the development of the defence",710,124,130,7,bulgaria_2021_ProgrammeDevelopment.md,2025-01-28 18:56:12
12,"capabilities of the bulgarian armed forces 2032. programme 2032 is a result of the strategic defence review conducted in 2019 - 2020 within the framework of the overall strategic review of the national security system and the strategic defence review. its adoption by the national assembly is an expression of the broad political agreement on the future of our armed forces and the build - up and development of their capabilities. the time horizon of the programme spans up to 2032, covering the full mandate of three consecutive governments, thereby achieving the necessary harmonization of the national defence planning process with that in nato. this is an essential prerequisite for the development of the necessary defence",728,116,130,7,bulgaria_2021_ProgrammeDevelopment.md,2025-01-28 18:56:12
13,"capabilities that will allow us to effectively participate in nato ' s collective defence and in the eu ' s common security and defence policy. the timeframe until 2032 will ensure continuity in the implementation of the objectives and priorities of defence policy, especially with regard to the implementation of priority projects for rearmament and modernization, and will ensure stability in the build - up and development of the armed forces. based on the 2032 programme, the armed forces development plan until 2026 will be developed. the program will be the basis also for the next plan - from 2027 to 2032. in addition, we will develop an investment plan - programme of",676,113,130,7,bulgaria_2021_ProgrammeDevelopment.md,2025-01-28 18:56:12
14,"the ministry of defence until 2032 which will ensure the subsequent consistent, clear and transparent realization of the investment projects for rearmament and modernization. we owe it to the bulgarian society to achieve what is set in programme 2032, turning its goals and priorities into concrete and measurable actions with visible results. i believe that the next governments will continue what has been started in the name of the security of the nation and the homeland.",475,76,87,7,bulgaria_2021_ProgrammeDevelopment.md,2025-01-28 18:56:12
15,# # # # krasimir karakachanov - - - - -,39,11,19,8,bulgaria_2021_ProgrammeDevelopment.md,2025-01-28 18:56:12
16,# # # # contents 1. purpose and scope of the programme - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 6 2. the security environment and its influence on the defence capabilities development - - - - - - - - - - - 6 2. 1. global security environment – long - term trends - - - - - - -,375,124,130,9,bulgaria_2021_ProgrammeDevelopment.md,2025-01-28 18:56:12
17,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 6 2. 2. trends in the defence capability development until 2032 - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 8 3. fundamentals of the defence policy - - - - - - - - - - - - - - - - - - - - - - -,313,123,130,9,bulgaria_2021_ProgrammeDevelopment.md,2025-01-28 18:56:12
18,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 9 3. 1. the defence of the country as a major state activity - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 9 3. 2. strategic goal of the defence policy - - - - - - -,309,124,130,9,bulgaria_2021_ProgrammeDevelopment.md,2025-01-28 18:56:12
19,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 10 3. 3. priorities of the defence policy - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,277,126,130,9,bulgaria_2021_ProgrammeDevelopment.md,2025-01-28 18:56:12
20,"- - - - - - - - - - 10 3. 4. role, missions and tasks of the armed forces - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 10 3. 5. level of political ambition - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -",300,123,130,9,bulgaria_2021_ProgrammeDevelopment.md,2025-01-28 18:56:12
21,"- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 11 3. 6. bulgaria in nato and the eu, bilateral and regional cooperation - - - - - - - - - - - - - - - - - - - - - - - - - - - 12 4. defence planning - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -",309,124,130,9,bulgaria_2021_ProgrammeDevelopment.md,2025-01-28 18:56:12
22,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 14 5. desired end state of the armed forces ’ defence capabilities by 2032 - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 15 6. building and development of the armed forces ’ defence capabilities - - - - - - - - - - - - - - - - - - - - - - - - -,346,125,130,9,bulgaria_2021_ProgrammeDevelopment.md,2025-01-28 18:56:12
23,"- - - - 16 6. 1. capabilities, size and structure of the armed forces - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 16 6. 2. development of the integrated ministry of defence - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 17 6. 3. capabilities of",335,121,130,9,bulgaria_2021_ProgrammeDevelopment.md,2025-01-28 18:56:12
24,the joint forces command - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 18 6. 4. land forces capabilities - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,290,126,130,9,bulgaria_2021_ProgrammeDevelopment.md,2025-01-28 18:56:12
25,- - - - - - - - - - - - - - - - - - - - - 19 6. 5. air force capabilities - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 20 6. 6. navy capabilities - - - - - - - - - -,284,124,130,9,bulgaria_2021_ProgrammeDevelopment.md,2025-01-28 18:56:12
26,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 20 6. 7. joint special operations command capabilities - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,290,126,130,9,bulgaria_2021_ProgrammeDevelopment.md,2025-01-28 18:56:12
27,- - - - - - - - - - 21 6. 8. military intelligence capabilities - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 21 6. 9. cis and cyber defence capabilities - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,307,124,130,9,bulgaria_2021_ProgrammeDevelopment.md,2025-01-28 18:56:12
28,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 22 6. 10. logistics support capabilities - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 23 6. 11. military medical support - - - - - - -,299,124,130,9,bulgaria_2021_ProgrammeDevelopment.md,2025-01-28 18:56:12
29,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 24 6. 12. military police support - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,273,126,130,9,bulgaria_2021_ProgrammeDevelopment.md,2025-01-28 18:56:12
30,- - - - - - - - - - - - - - - - - - - - - - - - - - - - 25 6. 13. military geographic support - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 25 6. 14. reserve - - - - - - - - - - - - - -,283,124,130,9,bulgaria_2021_ProgrammeDevelopment.md,2025-01-28 18:56:12
31,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 26 6. 15. command structure and command and control system - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,290,126,130,9,bulgaria_2021_ProgrammeDevelopment.md,2025-01-28 18:56:12
32,- - - - - - - 27 6. 15. 1. levels of command and control - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 27 6. 15. 2. development of the command structure - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,300,122,130,9,bulgaria_2021_ProgrammeDevelopment.md,2025-01-28 18:56:12
33,- - - - - - - - - - - - - - - - - - 28 6. 16. training - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 29 6. 17. armaments,268,123,130,9,bulgaria_2021_ProgrammeDevelopment.md,2025-01-28 18:56:12
34,policy – defence acquisition - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 29 6. 18. infrastructure - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,289,126,130,9,bulgaria_2021_ProgrammeDevelopment.md,2025-01-28 18:56:12
35,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 31 6. 19. trading companies - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 32 7. people in defence - -,281,125,130,9,bulgaria_2021_ProgrammeDevelopment.md,2025-01-28 18:56:12
36,"- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 32 7. 1. personnel selection, recruitment, and development - - - - - - - - - - - - - - - - - - - - - - - - - -",290,124,130,9,bulgaria_2021_ProgrammeDevelopment.md,2025-01-28 18:56:12
37,- - - - - - - - - - - - - - - - - - - 33 7. 1. 1. selection and recruitment - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 34 7. 1. 2. career development model - - - - - - - - - - - - - - - - - -,290,122,130,9,bulgaria_2021_ProgrammeDevelopment.md,2025-01-28 18:56:12
38,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 34 7. 2. military education - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,269,126,130,9,bulgaria_2021_ProgrammeDevelopment.md,2025-01-28 18:56:12
39,- - - - - - - - - - - - - - - - - 35 7. 3. social policy - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 36 8. resource provision - - - - - -,279,125,130,9,bulgaria_2021_ProgrammeDevelopment.md,2025-01-28 18:56:12
