chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"on behalf of the government of canada, i am pleased to introduce the defence section of canada ’ s international policy statement. this document represents significant change. it is the first review of canada ’ s defence policy in more than 10 years and it defines a new policy that is firmly grounded in the realities of the post - cold war, post - september 11th world. it is also informed by the rich operational experience of the canadian forces, both in canada and in locations ranging from afghanistan to the balkans to haiti. the tragedy of september 11, 2001 proved to canadians that we are vulnerable to the threat of terrorism and the spillover effects from failed and",678,119,130,0,canada_2005_InternationalPolicyStatementDefence.md,2025-01-28 18:55:11
2,"failing states. this policy, therefore, establishes the defence of canada as our first priority. the canadian forces will be reorganized and retooled to tighten their focus on this primary mandate. the effective defence of canada and north america has always required working collaboratively with the united states. we will build on the successful bilateral defence arrangements currently in place, such as norad. and we will seek to develop new, innovative approaches to defence cooperation with the united states, to better meet the threats to both countries. the government recognizes that the canadian forces are a vital instrument of canada ’ s foreign policy, especially in today ’ s unstable world.",705,110,130,0,canada_2005_InternationalPolicyStatementDefence.md,2025-01-28 18:55:11
3,"our new defence policy will give the canadian forces the guidance they need to help canada convey its distinct values and particular approach to conflict resolution around the world. i look forward to the discussions this document will engender both in parliament and across canada. i believe they will assure the best way forward for the canadian forces, one of canada ’ s vital national institutions. it is a privilege to be minister of national defence at this exciting time. the relevance and centrality of the canadian forces to the broad agenda of the government are ascendant. we have vibrant, new military leadership with innovative ideas rooted in recent operational experience. we have some of",703,115,130,0,canada_2005_InternationalPolicyStatementDefence.md,2025-01-28 18:55:11
4,"the world ’ s most dedicated, professional, skilful soldiers, sailors and air personnel. the government has made a solid financial commitment to the canadian forces that is unparalleled in the past two decades. and now, with this new defence policy statement, we have the intellectual framework required to guide and shape the canadian forces to face the defence and security challenges of the 21st century. the honourable bill graham minister of national defence - - - - - - - - - -",483,83,98,0,canada_2005_InternationalPolicyStatementDefence.md,2025-01-28 18:55:11
5,# # # # # canada ’ s international policy statement,51,11,13,1,canada_2005_InternationalPolicyStatementDefence.md,2025-01-28 18:55:11
6,# # # a role of pride and influence in the world # # defence - - - - - canada ’ s international policy statement is available on - line at www. international. gc. ca and www. forces. gc. ca general inquiries adm ( pa ) department of national defence 101 colonel by drive ottawa on k1a 0k2 telephone : ( 613 ) 996 - 0255 fax : ( 613 ) 992 - 4739 tty : 1 - 800 - 467 - 9877 e - mail : information @ forces. gc. ca isbn 0 - 662 - 689,430,99,130,2,canada_2005_InternationalPolicyStatementDefence.md,2025-01-28 18:55:11
7,"##40 - 2 catalogue no. d2 - 168 / 2005 ndid a - js - 005 - 000 / ag - 001 adm ( pa ) dmcs cs05 - 0023 © her majesty the queen in right of canada, 2005 - - - - -",160,45,62,2,canada_2005_InternationalPolicyStatementDefence.md,2025-01-28 18:55:11
8,# # # # # # introduction 1 the canadian forces in an unpredictable world : providing security at home and abroad.................................................................................. 1 force expansion.....................,233,25,130,3,canada_2005_InternationalPolicyStatementDefence.md,2025-01-28 18:55:11
9,.................................................................. 3 transformation............................................................,143,3,130,3,canada_2005_InternationalPolicyStatementDefence.md,2025-01-28 18:55:11
10,........................... 3 looking ahead......................................................................................... 4,134,5,122,3,canada_2005_InternationalPolicyStatementDefence.md,2025-01-28 18:55:11
11,# # # # # # the international security environment at the beginning of the 21st century 5 failed and failing states............................................................................ 5 terrorism............................,231,24,130,4,canada_2005_InternationalPolicyStatementDefence.md,2025-01-28 18:55:11
12,................................................................... 5 weapons of mass destruction........................................................,153,6,130,4,canada_2005_InternationalPolicyStatementDefence.md,2025-01-28 18:55:11
13,.............. 6 regional flashpoints................................................................................ 6 conclusion............................,158,6,130,4,canada_2005_InternationalPolicyStatementDefence.md,2025-01-28 18:55:11
14,................................................................. 6,67,2,68,4,canada_2005_InternationalPolicyStatementDefence.md,2025-01-28 18:55:11
15,# # # # # # a new vision for the canadian forces 7 operational tempo................................................................................... 7 international operations..........................,204,19,130,5,canada_2005_InternationalPolicyStatementDefence.md,2025-01-28 18:55:11
16,................................................ 8 recent domestic operations....................................................................... 10 looking to the future,173,10,130,5,canada_2005_InternationalPolicyStatementDefence.md,2025-01-28 18:55:11
17,: a new vision for the canadian forces............................ 10 implementing the vision : canadian forces transformation............................... 11 transforming the canadian forces : a focus on integrated operations......................................... 12,272,28,130,5,canada_2005_InternationalPolicyStatementDefence.md,2025-01-28 18:55:11
18,transformation initiatives................................................................................ 13,109,3,85,5,canada_2005_InternationalPolicyStatementDefence.md,2025-01-28 18:55:11
19,# # # # # # protecting canada and canadians 16 a new domestic context........................................................................... 16 the canadian forces and protecting canada : a new approach...........................,233,26,130,6,canada_2005_InternationalPolicyStatementDefence.md,2025-01-28 18:55:11
20,17 future tasks of the canadian forces........................................................... 18,100,8,69,6,canada_2005_InternationalPolicyStatementDefence.md,2025-01-28 18:55:11
21,# # # # # # the canada - u. s. defence relationship in a changing world 21 a new north american defence and security context...................................... 21 the canadian forces and north american defence : a new approach.................... 21 enhanced north american defence cooperation........................,320,44,130,7,canada_2005_InternationalPolicyStatementDefence.md,2025-01-28 18:55:11
22,................................... 22 the permanent joint board on defence.................................................................... 23 future tasks of the canadian forces...........,193,15,130,7,canada_2005_InternationalPolicyStatementDefence.md,2025-01-28 18:55:11
23,................................................ 23,51,2,51,7,canada_2005_InternationalPolicyStatementDefence.md,2025-01-28 18:55:11
