chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"# parte i el estado de chile c * chile comparte con muchos paises, especialmente del continente *! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png ) americano, una serie de rasgos institucionales y culturales ; sin embargo, tambien posee caracteristicas que lo distinguen no solo entre ellos, sino, en general, dentro de la comunidad de naciones. tales peculiaridades son producto de la experiencia historica del",408,73,130,0,chile_2002_BookNationalDefense_noneng.md,2025-01-28 18:57:29
2,"pueblo chileno, de su acervo cultural y de sus tradiciones, asi como de la propia evolucion de las instituciones publicas desde la epoca en que se gestaron con la independencia nacional. como estado, chile participa en el sistema internacional al igual que otros paises, pero es, precisamente, a partir de sus rasgos singulares que el estado chileno define el modo particular en que se inserta en el mismo. la poblacion del pa",426,72,130,0,chile_2002_BookNationalDefense_noneng.md,2025-01-28 18:57:29
3,"##is, con los rasgos que la distinguen, el territorio nacional y las instituciones de la republica son los objetivos de la [UNK] defensa nacional. la responsabilidad que compete al estado de! [ 1 _ image _ 0. png ] ( 1 _ image _ 0. png )! [ 1 _ image _ 1. png ] ( 1 _ image _ 1. png ) proteger los elementos que le son vitales, incluyendo la soberania para tomar las decisiones que afectan el destino",400,81,132,0,chile_2002_BookNationalDefense_noneng.md,2025-01-28 18:57:29
4,"del pais, tiene por uno de sus efectos la necesidad de dar a conocer lo que somos, quienes somos, donde nos situamos y que queremos. esto constituye un requisito para fundar las bases de lo que queremos defender. de aqui que una respuesta clara a estas interrogantes y su difusion entre la ciudadania toda, por medio de herramientas como el libro de la defensa nacional, ayudan a perfilar el tipo",396,70,130,0,chile_2002_BookNationalDefense_noneng.md,2025-01-28 18:57:29
5,"de defensa que necesitamos. la importancia de los temas relacionados con las caracteristicas del estado, de la poblacion y del territorio nacional como fundamentos de la politica de defensa, da cuenta de la razon por la cual este texto se inicia con una parte dedicada a esta materia.",284,48,89,0,chile_2002_BookNationalDefense_noneng.md,2025-01-28 18:57:29
6,# 1. fundamentos y caracteristicas los principios del orden institucional republicano y democratico de chile y los objetivos nacionales desempenan un papel crucial dentro de los elementos en que se basa la defensa nacional. sobre ellos se sostiene la arquitectura de la defensa y se orienta la accion del estado en pos de la seguridad exterior del pais. a partir de ellos es posible apreciar la importancia de los desafios de,425,71,130,1,chile_2002_BookNationalDefense_noneng.md,2025-01-28 18:57:29
7,seguridad que el pais enfrenta en el entorno internacional.,59,9,20,1,chile_2002_BookNationalDefense_noneng.md,2025-01-28 18:57:29
8,"# # 1. principios basicos del estado la constitucion politica de la republica, en su capitulo i sobre las "" bases de la institucionalidad "", establece los principios que orientan el ordenamiento juridico y politico de chile y que expresan la continuidad de la tradicion republicana del estado nacional. se trata de principios tambien reconocidos por otros paises que comparten las premisas del regimen democratico",413,65,130,2,chile_2002_BookNationalDefense_noneng.md,2025-01-28 18:57:29
9,"y del respeto a la persona humana y sus derechos, pero a los que cada pais imprime su sello particular en la tarea de darles vigencia cotidiana. en chile existe un amplio reconocimiento de la persona humana, su dignidad y derechos, asi como de las comunidades en que aquella se desarrolla, partiendo por la familia. el pleno respeto de los derechos de las personas impone al estado las finalidades que se",404,71,130,2,chile_2002_BookNationalDefense_noneng.md,2025-01-28 18:57:29
10,"recogen en el recuadro ( ver recuadro 1 ). de la dignidad e igualdad inherente a todas las personas se deducen tambien objetivos socio - economicos prioritarios para el pais, tales como la cohesion e integracion social y la superacion de la pobreza.",249,43,81,2,chile_2002_BookNationalDefense_noneng.md,2025-01-28 18:57:29
11,"# # 1. 1. orden institucional : democracia y estado de derecho chile es una republica democratica, tal como se establece en el articulo 4º de su constitucion politica, donde impera el estado de derecho y la vigencia de los principios de supremacia constitucional, de legalidad, de tutela judicial y de control de los actos de la administracion del estado. en este contexto democratico y pluralista, el estado",408,68,130,3,chile_2002_BookNationalDefense_noneng.md,2025-01-28 18:57:29
12,"asegura el derecho de las personas a participar con igualdad de oportunidades en la vida nacional y el ejercicio pleno de las libertades individuales. el estado de chile es unitario y la soberania se extiende a todo su territorio continental, insular y antartico, asi como a los espacios aereos y maritimos, con sujecion a las leyes y a los tratados internacionales respectivos. el ejercicio de la soberania se realiza por el",425,71,130,3,chile_2002_BookNationalDefense_noneng.md,2025-01-28 18:57:29
13,"pueblo y por las autoridades que lo representan, conforme a la constitucion politica, reconociendo como limite de sus actos los de -",132,22,41,3,chile_2002_BookNationalDefense_noneng.md,2025-01-28 18:57:29
14,"# # recuadro 1 los fines del estado estar al servicio de la persona humana y promover el bien comun. respetar y promover los derechos esenciales que emanan de la naturaleza humana. proteger a la familia, nucleo fundamental de la sociedad, y propender a su fortalecimiento. proteger a la poblacion. promover la integracion armonica de todos los sectores de la nacion. contribuir a crear las condiciones sociales que permit",421,69,130,4,chile_2002_BookNationalDefense_noneng.md,2025-01-28 18:57:29
15,"##an a todos y cada uno de los integrantes de la comunidad nacional su mayor realizacion espiritual y material posible.! [ 4 _ image _ 0. png ] ( 4 _ image _ 0. png ) rechos esenciales que emanan de la naturaleza humana. en sus relaciones exteriores, chile adhiere integramente a los principios de solucion pacifica de controversias, de no intervencion en los asuntos internos de otros estados y del respet",406,72,132,4,chile_2002_BookNationalDefense_noneng.md,2025-01-28 18:57:29
16,##o al derecho internacional.,29,4,11,4,chile_2002_BookNationalDefense_noneng.md,2025-01-28 18:57:29
17,"# # 1. 2. objetivos nacionales el estado de chile persigue fines generales que se encuentran expresados en la normativa constitucional, la que, a su vez, es el resultado de la experiencia historica y del acervo politico - cultural del pueblo chileno. de tales fines se desprenden metas que, por lo mismo, se pueden considerar fundadamente como aspiraciones de las grandes mayorias nacionales. estas metas orientan y dan co",422,69,130,5,chile_2002_BookNationalDefense_noneng.md,2025-01-28 18:57:29
18,"##herencia a la actividad global del estado, incluida la defensa. en este ambito especifico, donde se las conoce como objetivos nacionales permanentes, estas metas conforman la base a partir de la cual es posible el ejercicio de la funcion de planificacion ( ver recuadro 2 ). tal como aparecen enunciados en el recuadro, los objetivos nacionales permanentes se inscriben dentro de la tradicion constitucion",407,64,132,5,chile_2002_BookNationalDefense_noneng.md,2025-01-28 18:57:29
19,"##al chilena y corresponde a cada gobierno, a partir de sus propios postulados, impulsar una agenda publica que los materialice. en otras palabras, los objetivos nacionales permanentes se actualizan y adquieren concrecion en decisiones, instrumentos y acciones que expresan la voluntad politica de las instituciones democraticas chilenas. los gobiernos elaboran estos objetivos actuales ( o politicos ) del pais para una extension variable de tie",446,65,132,5,chile_2002_BookNationalDefense_noneng.md,2025-01-28 18:57:29
20,"##mpo, pero en general lo hacen apuntando a un horizonte temporal que no necesariamente se agota en sus propios periodos. como es natural, sera mas facil lograr el compromiso ciudadano con la defensa y la seguridad del pais mientras mayor conciencia y consenso exista respecto de las metas finales por alcanzar.",311,51,96,5,chile_2002_BookNationalDefense_noneng.md,2025-01-28 18:57:29
21,"# # 2. caracteristicas : estado y defensa el estado de chile tiene por funciones primarias las de gobierno interior, relaciones exteriores, administracion de justicia, obtencion y asignacion de recursos financieros, y defensa. en general, el proposito de la funcion de defensa es proteger a la poblacion, preservar el territorio nacional y resguardar la capacidad del estado para el ejercicio de su soberania frente a",417,65,130,6,chile_2002_BookNationalDefense_noneng.md,2025-01-28 18:57:29
