chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,ministry of national defense of the people s republic of china [ chinese ( gb ) | chinese ( big5 ) ] ( http : / / www. mod. gov. cn / ) [ leadership ministry defense policy cmc departments military services theater commands news publications ] ( http : / / eng. mod. gov. cn / leadership / index. htm ) [ publications / white papers / ] ( http : / / eng. mod. gov. cn / publications / node _ 48467. htm ),404,86,105,0,china_2014_MilitaryStrategy.md,2025-01-28 18:56:11
2,"# white paper 2014 source editoryao jianing 2016 - 07 - 13 21 : 01 : 00 preface the world today is undergoing unprecedented changes, and china is at a critical stage of reform and development. in their endeavor to realize the chinese dream of great national rejuvenation, the chinese people aspire to join hands with the rest of the world to maintain peace, pursue development and share prosperity. china ' s destiny is vitally interrelated with that of the world as a whole. a prosperous and stable world would provide china with opportunities, while china ' s peaceful development also offers an opportunity for the whole world. china will",641,110,130,1,china_2014_MilitaryStrategy.md,2025-01-28 18:56:11
3,"unswervingly follow the path of peaceful development, pursue an independent foreign policy of peace and a national defense policy that is defensive in nature, oppose hegemonism and power politics in all forms, and will never seek hegemony or expansion. china ' s armed forces will remain a staunch force in maintaining world peace. building a strong national defense and powerful armed forces is a strategic task of china ' s modernization drive and a security guarantee for china ' s peaceful development. subordinate to and serving the national strategic goal, china ' s military strategy is an overarching guidance for blueprinting and directing the building and employment of the",683,109,130,1,china_2014_MilitaryStrategy.md,2025-01-28 18:56:11
4,"country ' s armed forces. at this new historical starting point, china ' s armed forces will adapt themselves to new changes in the national security environment, firmly follow the goal of the communist party of china ( cpc ) to build a strong military for the new situation, implement the military strategic guideline of active defense in the new situation, accelerate the modernization of national defense and armed forces, resolutely safeguard china ' s sovereignty, security and development interests, and provide a strong guarantee for achieving the national strategic goal of the "" two centenaries "" and for realizing the chinese dream of achieving the great rejuvenation of the chinese",692,111,130,1,china_2014_MilitaryStrategy.md,2025-01-28 18:56:11
5,"nation. i. national security situation in today ' s world, the global trends toward multi - polarity and economic globalization are intensifying, and an information society is rapidly coming into being. countries are increasingly bound together in a community of shared destiny. peace, development, cooperation and mutual benefit have become an irresistible tide of the times. profound changes are taking place in the international situation, as manifested in the historic changes in the balance of power, global governance structure, asia - pacific geostrategic landscape, and international competition in the economic, scientific and technological, and military fields. the forces for world peace are on the rise,",715,105,130,1,china_2014_MilitaryStrategy.md,2025-01-28 18:56:11
6,"so are the factors against war. in the foreseeable future, a world war is unlikely, and the international situation is expected to remain generally peaceful. there are, however, new threats from hegemonism, power politics and neo - interventionism. international competition for the redistribution of power, rights and interests is tending to intensify. terrorist activities are growing increasingly worrisome. hotspot issues, such as ethnic, religious, border and territorial disputes, are complex and volatile. small - scale wars, conflicts and crises are recurrent in some regions. therefore, the world still faces both immediate and potential threats of local",663,96,130,1,china_2014_MilitaryStrategy.md,2025-01-28 18:56:11
7,"wars. with a generally favorable external environment, china will remain in an important period of strategic opportunities for its development, a period in which much can be achieved. china ' s comprehensive national strength, core competitiveness and risk - resistance capacity are notably increasing, and china enjoys growing international standing and influence. domestically, the chinese people ' s standard of living has remarkably improved, and chinese society remains stable. china, as a large developing country, still faces multiple and complex security threats, as well as increasing external impediments and challenges. subsistence and development security concerns, as well as traditional and non - traditional security threats are interwoven",754,107,130,1,china_2014_MilitaryStrategy.md,2025-01-28 18:56:11
8,". therefore, china has an arduous task to safeguard its national unification, territorial integrity and development interests. - - - - - as the world economic and strategic center of gravity is shifting ever more rapidly to the asia - pacific region, the us carries on its "" rebalancing "" strategy and enhances its military presence and its military alliances in this region. japan is sparing no effort to dodge the post - war mechanism, overhauling its military and security policies. such development has caused grave concerns among other countries in the region. on the issues concerning china ' s territorial sovereignty and maritime rights and interests, some of its offshore",680,111,130,1,china_2014_MilitaryStrategy.md,2025-01-28 18:56:11
9,"neighbors take provocative actions and reinforce their military presence on china ' s reefs and islands that they have illegally occupied. some external countries are also busy meddling in south china sea affairs ; a tiny few maintain constant close - in air and sea surveillance and reconnaissance against china. it is thus a long - standing task for china to safeguard its maritime rights and interests. certain disputes over land territory are still smoldering. the korean peninsula and northeast asia are shrouded in instability and uncertainty. regional terrorism, separatism and extremism are rampant. all these have a negative impact on the security and stability along china ' s periphery. the",701,111,130,1,china_2014_MilitaryStrategy.md,2025-01-28 18:56:11
10,"taiwan question bears on china ' s reunification and long - term development, and reunification is an inevitable trend in the course of national rejuvenation. in recent years, cross - taiwan straits relations have sustained a sound momentum of peaceful development, but the root cause of instability has not yet been removed, and the "" taiwan independence "" separatist forces and their activities are still the biggest threat to the peaceful development of cross straits relations. further, china faces a formidable task to maintain political security and social stability. separatist forces for "" east turkistan independence "" and "" tibet independence "" have inflicted serious damage, particularly with escalating",714,109,130,1,china_2014_MilitaryStrategy.md,2025-01-28 18:56:11
