chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# politica integral de seguridad y defensa para la prosperidad fortalecemos la seguridad para dar el salto definitivo hacia la prosperidad! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png ) ministerio de defensa nacional republica de colombia! [ 0 _ image _ 1. png ] ( 0 _ image _ 1. png ) coordinacion general : ministerio de defensa nacional viceministerio para la estrategia y la planeacion viceministerio para las politic,421,78,130,0,colombia_2011_ComprehensiveSecurityAndDefensePolicyForProsperity_noneng.md,2025-01-28 18:58:06
2,"##as y asuntos internacionales viceministerio para el gsed secretaria general fotografia : ministerio de defensa nacional ejercito nacional armada nacional fuerza aerea colombiana policia nacional diseno : adriana ruiz comunicacion sectorial impresion : imprenta nacional de colombia mayo, 2011! [ 2 _ image _ 0. png ] ( 2 _ image _ 0. png ) rodrigo rivera salazar - ministro de defensa nacional yaneth giha tovar - viceministra para la estrategia y planeacion rafael guarin",474,75,132,0,colombia_2011_ComprehensiveSecurityAndDefensePolicyForProsperity_noneng.md,2025-01-28 18:58:06
3,cotrino - viceministro para las politicas y asuntos internacionales luis guillermo jaramillo mejia - viceministro para el grupo social y empresarial de la defensa gsed luis manuel neira nunez - secretario general ministerio de defensa,234,35,63,0,colombia_2011_ComprehensiveSecurityAndDefensePolicyForProsperity_noneng.md,2025-01-28 18:58:06
4,# # fuerzas militares alm. edgar augusto cely - comandante general de las fuerzas militares mg. luis felipe paredes - jefe de estado mayor conjunto gr. alejandro navas - comandante ejercito nacional alm. alvaro echandia - comandante armada nacional gr. julio a. gonzalez - comandante fuerza aerea colombiana policia nacional gr. oscar naranjo - director general policia nacional! [ 3 _ image _ 0. png ] ( 3 _ image _ 0. png ) presentamo,436,75,130,1,colombia_2011_ComprehensiveSecurityAndDefensePolicyForProsperity_noneng.md,2025-01-28 18:58:06
5,##s la nueva politica integral de seguridad y defensa para la prosperidad – pisdp - con! [ 4 _ image _ 0. png ] ( 4 _ image _ 0. png )! [ 4 _ image _ 1. png ] ( 4 _ image _ 1. png ) la que el gobierno del presidente juan manuel santos enfrentara los retos de seguridad que amenazan a colombia al comienzo de la segunda decada del siglo xxi. la pisdp representa la combinacion adecuada de,387,82,132,1,colombia_2011_ComprehensiveSecurityAndDefensePolicyForProsperity_noneng.md,2025-01-28 18:58:06
6,"continuidad y cambio. continuidad con las politicas de seguridad democratica ( 2002 - 2006 ) y de consolidacion de la seguridad democratica ( 2006 - 2010 ) que permitieron los importantes logros en seguridad alcanzados por colombia durante los ultimos dos cuatrienios. cambio, en la fijacion de metas mas ambiciosas, en la incorporacion de nuevos objetivos estrategicos y en la elevacion a la categoria de politicas de component",428,68,130,1,colombia_2011_ComprehensiveSecurityAndDefensePolicyForProsperity_noneng.md,2025-01-28 18:58:06
7,"##es instrumentales o habilitadores, llamados pilares, que permitiran alcanzar los objetivos estrategicos dentro de los limites de tiempo y recursos previstos por la pisdp. una minuciosa revision de informacion cuantitativa y cualitativa de amenazas, esfuerzos y resultados de los ultimos anos, aunada a la intensa experiencia de gestion de los primeros meses del gobierno y a una reflexion est",394,59,132,1,colombia_2011_ComprehensiveSecurityAndDefensePolicyForProsperity_noneng.md,2025-01-28 18:58:06
8,"##rategica de alto nivel sobre el presente y futuro de la seguridad del pais, permitieron concebir la nueva politica que hoy ponemos en manos de los colombianos. colombia debe terminar con el ultimo ciclo de violencia que se prolonga ya por 47 anos, al tiempo que atiende sus necesidades de defensa, enfrenta los retos derivados de la delincuencia comun, responde oportuna y eficazment",385,63,132,1,colombia_2011_ComprehensiveSecurityAndDefensePolicyForProsperity_noneng.md,2025-01-28 18:58:06
9,"##e a emergencias naturales cada vez mas frecuentes y devastadoras, y propicia condiciones superiores de seguridad para que, en medio de la globalizacion, crezcan la inversion privada, la economia y la prosperidad de la gente. todo ello dentro del mas absoluto respeto por los derechos humanos, el derecho internacional humanitario, y la observancia ejemplar de los principios del buen gobierno. no sera, sin",408,63,132,1,colombia_2011_ComprehensiveSecurityAndDefensePolicyForProsperity_noneng.md,2025-01-28 18:58:06
10,"embargo, un esfuerzo solitario de la fuerza publica. ni siquiera del gobierno o del estado. alcanzar las metas ambiciosas que se propone la pisdp, mejorar continuamente nuestro desempeno en seguridad y hacer irreversible cada logro, seran posibles solo si constituyen un proposito colectivo y estamos acompanados por las sinergias apropiadas provenientes de todos los colombianos",379,55,130,1,colombia_2011_ComprehensiveSecurityAndDefensePolicyForProsperity_noneng.md,2025-01-28 18:58:06
11,"y de la comunidad internacional. solos no podemos. juntos, si. en este caso tambien la unidad nacional y el respaldo internacional seran las claves. la union hara la fuerza. rodrigo rivera salazar ministro de defensa nacional! [ 6 _ image _ 0. png ] ( 6 _ image _ 0. png )! [ 6 _ image _ 1. png ] ( 6 _ image _ 1. png ) introduccion.....................",353,69,130,1,colombia_2011_ComprehensiveSecurityAndDefensePolicyForProsperity_noneng.md,2025-01-28 18:58:06
12,.................................................................................. 11 1. situacion actual de la seguridad y la defensa nacional.............................,172,12,130,1,colombia_2011_ComprehensiveSecurityAndDefensePolicyForProsperity_noneng.md,2025-01-28 18:58:06
13,....... 13 2. la responsabilidad del sector defensa y seguridad en la estrategia nacional de seguridad para la prosperidad................................................................. 20 3. concepto estrategico de la politica integral de seguridad y defensa,261,31,130,1,colombia_2011_ComprehensiveSecurityAndDefensePolicyForProsperity_noneng.md,2025-01-28 18:58:06
14,para la prosperidad..................................................................................... 23 4. alineacion estrategica de la politica integral de seguridad y defensa para la prosperidad.........,209,18,130,1,colombia_2011_ComprehensiveSecurityAndDefensePolicyForProsperity_noneng.md,2025-01-28 18:58:06
15,............................................................................ 29 a. objetivo nacional.............................................,145,5,130,1,colombia_2011_ComprehensiveSecurityAndDefensePolicyForProsperity_noneng.md,2025-01-28 18:58:06
16,............................................. 31 b. proposito superior del ministerio de defensa nacional...................................... 31 c. objetivos sectoriales y estrategias...............,200,16,130,1,colombia_2011_ComprehensiveSecurityAndDefensePolicyForProsperity_noneng.md,2025-01-28 18:58:06
17,..................................................... 32 d. pilares.....................................................................,136,4,130,1,colombia_2011_ComprehensiveSecurityAndDefensePolicyForProsperity_noneng.md,2025-01-28 18:58:06
18,...................................... 39 e. principios...................................................................................,138,4,130,1,colombia_2011_ComprehensiveSecurityAndDefensePolicyForProsperity_noneng.md,2025-01-28 18:58:06
19,.................. 41 5. tablero de control...................................................................................... 43! [ 7 _ image _ 0. png ] ( 7 _ image _,170,20,130,1,colombia_2011_ComprehensiveSecurityAndDefensePolicyForProsperity_noneng.md,2025-01-28 18:58:06
20,"0. png )! [ 8 _ image _ 0. png ] ( 8 _ image _ 0. png )! [ 8 _ image _ 1. png ] ( 8 _ image _ 1. png ) para el gobierno nacional, consolidar la paz significa garantizar la prevalencia del estado de derecho, la seguridad, la observancia plena de los derechos humanos y el funcionamiento eficaz de la justicia en todo el territorio nacional. en desarrollo de",356,74,130,1,colombia_2011_ComprehensiveSecurityAndDefensePolicyForProsperity_noneng.md,2025-01-28 18:58:06
21,"este planteamiento, el plan nacional de desarrollo "" prosperidad para todos "" senala la importancia de que en lo relativo a seguridad, el estado defina una nueva estrategia que responda a las caracteristicas que han tomado las amenazas y un dimensionamiento real del estado general de la seguridad y la defensa en la actualidad. dado que el reto es consolidar la paz en un ambiente de prosperidad para todos los ciudadanos y la seguridad alcan",443,75,130,1,colombia_2011_ComprehensiveSecurityAndDefensePolicyForProsperity_noneng.md,2025-01-28 18:58:06
22,"##za un rol protagonico en el camino hacia esta, el gobierno ha senalado la importancia de disenar una politica que responda a una serie de responsabilidades, consideradas como determinantes para el exito general de la "" prosperidad democratica "". estas incluyen la seguridad a las locomotoras para la prosperidad, la consolidacion de la seguridad y la derrota de los grupos armados al margen de la ley, la lucha contra el narcotra",431,71,132,1,colombia_2011_ComprehensiveSecurityAndDefensePolicyForProsperity_noneng.md,2025-01-28 18:58:06
23,"##fico y el crimen organizado, la mejora sustancial de la seguridad ciudadana, la defensa nacional y la modernizacion del sector defensa y seguridad. introduccion! [ 9 _ image _ 0. png ] ( 9 _ image _ 0. png ) ministerio de defensa nacional en respuesta a un desafio de tal magnitud, el ministerio de defensa nacional - mdn - ha disenado la politica integral de seguridad y defensa para la prosperidad",401,72,132,1,colombia_2011_ComprehensiveSecurityAndDefensePolicyForProsperity_noneng.md,2025-01-28 18:58:06
24,"- pisdp -. esta politica ha definido una serie de objetivos y estrategias, enfocados al logro de un proposito superior. define igualmente unos pilares, que le dan vida y sustentan el desarrollo de la politica. esta pisdp se constituye en un marco de accion sectorial que apunta a la detencion definitiva del reloj de la violencia en colombia y la neutralizacion oportuna de cualquier nueva",389,65,130,1,colombia_2011_ComprehensiveSecurityAndDefensePolicyForProsperity_noneng.md,2025-01-28 18:58:06
25,"amenaza que busque recrearse en el ambito nacional, con lo cual se pretende alcanzar condiciones de seguridad optimas para garantizar la prosperidad democratica y el progreso nacional. todo lo anterior converge en los esfuerzos gubernamentales orientados a fortalecer el estado social de derecho y la legitimidad de las instituciones democraticas, que en el caso del ministerio de defensa, las fuerzas militares - ffmm - y la",425,66,130,1,colombia_2011_ComprehensiveSecurityAndDefensePolicyForProsperity_noneng.md,2025-01-28 18:58:06
26,policia nacional se traduce en el ejercicio de sus responsabilidades y competencias en el marco de un riguroso respeto a los derechos humanos y a las normas del derecho internacional humanitario. situacion actual de la seguridad 1. * * y la defensa nacional * *! [ 10 _ image _ 0. png ] ( 10 _ image _ 0. png )! [ 12 _ image _ 0. png ] ( 12 _ image _ 0. png ) durante los ultimos ocho,384,81,130,1,colombia_2011_ComprehensiveSecurityAndDefensePolicyForProsperity_noneng.md,2025-01-28 18:58:06
27,"anos, el pais alcanzo avances notables en seguridad que debilitaron la capacidad destructiva de los grupos armados al margen de la ley u organizaciones narcoterroristas. este avance fue el resultado del fortalecimiento de la fuerza publica en aspectos tales como pie de fuerza, inteligencia, comandos conjuntos y movilidad, y a la positiva conjugacion entre la politica de seguridad democratica, la cooperacion internacional,",425,62,130,1,colombia_2011_ComprehensiveSecurityAndDefensePolicyForProsperity_noneng.md,2025-01-28 18:58:06
28,"la voluntad politica y el apoyo popular. 2006 2007 2008 2009 2010 2011 el siguiente grafico muestra la evolucion de la seguridad en la ultima decada en el territorio nacional, dejando ver el avance hacia condiciones aceptables, en muchos territorios que presentaban situaciones criticas de seguridad. tambien la persistencia de niveles de seguridad medios en zonas donde el esfuerzo en seguridad debe transformarse, e",417,64,130,1,colombia_2011_ComprehensiveSecurityAndDefensePolicyForProsperity_noneng.md,2025-01-28 18:58:06
