chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png )! [ 0 _ image _ 1. png ] ( 0 _ image _ 1. png )! [ 0 _ image _ 6. png ] ( 0 _ image _ 6. png )! [ 0 _ image _ 7. png ] ( 0 _ image _ 7. png ) erza publica evaluacion integral! [ 0 _ image _ 3. png ] ( 0 _ image _ 3. png )! [ 0 _ image _ 4. png ] ( 0 _ image,304,97,130,0,costarica_2021_NationalSecurityAndSafetyStrategy_noneng.md,2025-01-28 18:56:56
2,_ 4. png )! [ 0 _ image _ 5. png ] ( 0 _ image _ 5. png ) estrategia sembremos seguridad! [ 0 _ image _ 2. png ] ( 0 _ image _ 2. png )! [ 0 _ image _ 8. png ] ( 0 _ image _ 8. png ) mideplan! [ 0 _ image _ 9. png ] ( 0 _ image _ 9. png ) 362. 196 c8375evl costa rica. ministerio de planificacion nacional y politica economica,326,84,130,0,costarica_2021_NationalSecurityAndSafetyStrategy_noneng.md,2025-01-28 18:56:56
3,". area de evaluacion y seguimiento. unidad de evaluacion. evaluacion integral. estrategia sembremos seguridad / ministerio de planificacion nacional y politica economica, ministerio de seguridad publica. - san jose, cr : mideplan, 2021. 1 recurso en linea ( 150 p. ) isbn 978 - 9977 - 73 - 212 - 1 disponible en * www. mideplan. go. cr * 1. evaluacion integral. 2. seguridad. 3. seguridad social.",396,67,130,0,costarica_2021_NationalSecurityAndSafetyStrategy_noneng.md,2025-01-28 18:56:56
4,"4. problemas sociales. i. titulo. ministerio de planificacion nacional y politica economica ( mideplan ). area de evaluacion y seguimiento ( aes ). unidad de evaluacion ( uev ). equipo tecnico de la evaluacion : eduardo campos balma, ministerio de seguridad publica. esteban cordero solorzano, ministerio de seguridad publica. jessica mairena castro, ministerio de seguridad publica. equipo evaluador : ericka valerio men",421,62,130,0,costarica_2021_NationalSecurityAndSafetyStrategy_noneng.md,2025-01-28 18:56:56
5,"##a, uev, mideplan ( coordinadora ). christian lopez leiva, uev, mideplan. carolina zuniga zamora, uev, mideplan. hector arias mora, pasante universidad nacional ( asistente de evaluacion ). revision general : eddy garcia serrano, uev, mideplan. visto bueno : florita azofeifa monge, directora aes, mideplan. yira rodriguez perez, asesora de despacho, mideplan. diseno y diagramacion : unidad de comunica",404,58,132,0,costarica_2021_NationalSecurityAndSafetyStrategy_noneng.md,2025-01-28 18:56:56
6,"##cion, mideplan. revision filologica : grace castillo navarro, unidad de comunicacion, mideplan. san jose, costa rica, octubre 2021 ©ministerio de planificacion nacional y politica economica, san jose, costa rica. apartado postal 10127 - 1000 tel : ( 506 ) 22028400 e - mail : comunicacion @ mideplan. go. cr pagina web : https : / / www. mideplan. go. cr se permite la reproduccion total o parcial, citando apropiad",417,69,133,0,costarica_2021_NationalSecurityAndSafetyStrategy_noneng.md,2025-01-28 18:56:56
7,##amente su fuente.,19,3,10,0,costarica_2021_NationalSecurityAndSafetyStrategy_noneng.md,2025-01-28 18:56:56
8,"# tabla de contenido | tabla de contenido 2 indice de figuras, cuadros, tablas y graficos 3 lista de acronimos y abreviaturas 5 resumen ejecutivo 7 introduccion 15 1. descripcion del diseno de la evaluacion 16 1. 1. objeto de evaluacion 16 1. 2. actores participantes en la estrategia sembremos seguridad 25 1. 3. contexto de la evaluacion 29 1. 4. caracteristicas general",372,63,130,1,costarica_2021_NationalSecurityAndSafetyStrategy_noneng.md,2025-01-28 18:56:56
9,##es de la evaluacion 30 1. 5. matriz de evaluacion 32 1. 6. seleccion de la poblacion 35 1. 7. tecnicas de recoleccion de informacion 37 1. 8. analisis de informacion 42 1. 9. consideraciones eticas 44 1. 10. riesgos y estrategia de mitigacion 44 2. hallazgos y conclusiones de la evaluacion 45 2. 1. ¿ cual es el grado de coherencia del diseno de la estrategia sembremos,372,68,132,1,costarica_2021_NationalSecurityAndSafetyStrategy_noneng.md,2025-01-28 18:56:56
10,"seguridad? 45 2. 2. ¿ en que medida el diseno de la estrategia es pertinente con las necesidades de la poblacion meta, objetivos, normativa institucional, planes nacionales y los ods? 65 2. 3. ¿ en que medida las fases del proceso metodologico son eficaces para el cumplimiento de los objetivos de la estrategia? 73 2. 4. ¿ cual es la percepcion con respecto a la e",365,66,130,1,costarica_2021_NationalSecurityAndSafetyStrategy_noneng.md,2025-01-28 18:56:56
