chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"the republic of croatia! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png ) ministry of defence the croatian armed forces long - term development plan 2006 - 2015 zagreb, june 2006 ( the ltdp was adopted in croatian parliament on 7 july 2006 and published in the official gazette no. 81 of 19 july 2006 ). the long term development plan of the croatian armed forces ( caf ) for the period 2006 - 2105 is a document that puts into operation the vision of the croatian armed forces shown in the strategic defence review. four basic missions of the caf are identified in the strategic defence review : protection",604,117,130,0,croatia_2006_LongTermDevelopmentPlan.md,2025-01-28 18:58:17
2,"of the sovereignty of the republic of croatia, defence of the republic of croatia and its allies ; participation in crisis response operations abroad ; participation in confidence and security building measures ; and assistance to civilian institutions in the country. in order for the caf to be ready to conduct missions defined in this way, it is necessary to develop the following capabilities : timely availability of forces ; command and control capabilities ; capabilities for the efficient use of information ; deployment and mobility capabilities in areas of operation, efficiency in the engagement of forces, sustainability and capability for conducting long - term operations, survivability and force protection. considering the fact that the threat assessment for",774,118,130,0,croatia_2006_LongTermDevelopmentPlan.md,2025-01-28 18:58:17
3,"the republic of croatia indicates a low probability of a classical military threat and a need to participate in a wide spectrum of military tasks, in this ten year period the armed forces will develop their capabilities relying on fully professional personnel, including soldier - trainees and a contract reserve. the key caf capabilities will be developed through a series of projects and tasks in the most important areas of development : human resources, material resources, the logistic system, doctrine and training, international military cooperation, research and development. in the field of human resources the main development goals are achieving a fully professional personnel structure, the contract reserve, soldier - trainees and the new",751,114,130,0,croatia_2006_LongTermDevelopmentPlan.md,2025-01-28 18:58:17
4,"category of personnel - military - specialists. military education will rely on the civilian education system, complemented with military programmes during the career. in the field of material resources emphasis will be given to equipping the armed forces services and units with modern weaponry and military equipment as well as to the modernisation of existing weaponry and military equipment that meets the needs for the development of key capabilities. the most important equipping and modernisation project of the land forces will be a new armoured personnel carrier. the emphasis of equipping in air force and air defence will be given to a new combat aircraft which will be put into use when the existing",711,114,130,0,croatia_2006_LongTermDevelopmentPlan.md,2025-01-28 18:58:17
5,"aircraft resources expire and a modern radar system. the croatian navy will be equipped with a new patrol ship which will ensure the capability for control of territorial waters and the protected ecological fishing zone in the adriatic sea. for the needs of the main equipping and modernisation projects in the caf 8. 879 billion kuna has been planned over a ten - year - period. a prerequisite for attaining the aimed organizational structure, accommodation standards, personnel and unit training as well as rational resource management is regrouping of accommodation and storage capacities as well as modernisation of facilities and infrastructure. for this purpose 1. 920 billion kun",686,108,130,0,croatia_2006_LongTermDevelopmentPlan.md,2025-01-28 18:58:17
6,"##a has been planned for a ten - year - period. to ensure capabilities for leadership and command of the armed forces in all conditions, it is necessary to provide modern communication - information equipment and resources, and the appropriate capability for maintenance and investment in other operational needs. modern armed forces are inconceivable without highly motivated professional personnel. this plan foresees adequate resources for their recruitment and professional development in order to achieve such demanding development goals a stable level of allocations are necessary for defence needs at an annual level of 2 % of the gdp. this will create stability in financing and the possibility to start with multi - year development projects",750,115,132,0,croatia_2006_LongTermDevelopmentPlan.md,2025-01-28 18:58:17
7,", without which the desired level of capabilities of the croatian armed forces is unable to be achieved. | summary | | | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - - - - - - - - - - -",328,127,130,0,croatia_2006_LongTermDevelopmentPlan.md,2025-01-28 18:58:17
8,"- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | | introduction. | | | l. | missions and tasks, military capabilities and structure of the | | caf | | | 1. caf missions and tasks. | | | 2. key caf operational capabilities | | | 3. caf structure, placement and main weapons systems. | | | ii. caf development goals | | | 1. human resources | | | 2. military education | |",419,116,130,0,croatia_2006_LongTermDevelopmentPlan.md,2025-01-28 18:58:17
9,| 3. material resources | | | 4. caf logistics system | | | 5. training and doctrine. | | | 6. international military cooperation and contribution to international security | | | 7. research and development. | | | iii. financing the caf long - term development plan. | | | 1. defence budget. | | | 2. defence expenditures | | | iv. caf ltdp 2006 - 2015 execution mechanisms. | | | conclusion | | | list of tables. | | | list of figures | | | annexes | | | annex 1 : caf missions and tasks | | | annex 2 : overview of communication,530,111,130,0,croatia_2006_LongTermDevelopmentPlan.md,2025-01-28 18:58:17
10,- information system projects. | | | annex 3 : overview of facilities and infrastructure investments | | | annex 4 : overview of barracks and facilities to be abandoned by 2015. | | | annex 5 : overview of military facilities - locations prepared for conversion | | | annex 6 : list of studies and analysis used during the ltdp development ( bibliography ) | | | … … | |,370,73,78,0,croatia_2006_LongTermDevelopmentPlan.md,2025-01-28 18:58:17
11,"# table of contents introduction the croatian armed forces ( caf ) protect the sovereignty and independence and defend the territorial integrity of the republic of croatia. to meet these requirements it is necessary that the caf adjust to the security changes. the need for development of society as a whole requires armed forces that are suitable to security challenges and at the same time, able to be financed by the state. the principal document that directs the development of the caf is the caf long - term development plan ( caf ltdp ). in accordance with the defence law, the ministry of defence prepares this document, which is adopted by croatian parliament at the government cabinet ' s proposal",706,120,130,1,croatia_2006_LongTermDevelopmentPlan.md,2025-01-28 18:58:17
12,". the programme of the croatian government for the 2003 - 2007 mandate period, declares the need for change and adoption of new strategies ( the national security strategy, the defence strategy, and the military strategy ). considering the fact that the development and adoption of the caf ltdp became * conditio sine qua non * for the continuation of defence reforms in the republic of croatia, a need has been imposed to adopt a new starting point for drafting the first caf ltdp, along with simultaneous adjustment of existing strategies with this starting point. with the development of the first strategic defence review ( sdr ), the mod created the necessary starting",673,113,130,1,croatia_2006_LongTermDevelopmentPlan.md,2025-01-28 18:58:17
13,"point, by proposing basic directions for the continuation of defence reforms and the caf development. the caf ltdp 2006 - 2015 relies upon the findings and recommendations of the sdr, which is the result of a consensus at the top level of state leadership, and at the same time, a result of close cooperation with other government - departments, experts in the area of defence, as well as with future nato allies. in this way, the sdr represents a "" bridge "" in a period that requires adjustment of strategic and legal documents, while continuing with the already initiated transformation processes within the caf. the task of caf ltdp 2006 - 2015 (",649,113,130,1,croatia_2006_LongTermDevelopmentPlan.md,2025-01-28 18:58:17
14,"hereinafter referred to as the "" plan "" ) is to determine the course of the caf development in the following ten - year period as well as to define the obligations of defence system elements in the fulfilment of the plan. by adopting this document, the croatian parliament shows its determination to conduct defence system reform and obliges the government to provide the necessary resources to achieve the goals defined in this plan. the plan is a starting point for all developmental and implementation plans within the framework of the caf and the mod, including defence budget proposals and mod financial plan proposals. the objective of this plan is to determine the military capabilities",693,115,130,1,croatia_2006_LongTermDevelopmentPlan.md,2025-01-28 18:58:17
15,"that the caf will develop and maintain, as well as the financial framework and dynamics for their fulfilment. following the findings and recommendations of the sdr, future military capabilities will be suitable to meet modern security challenges and available resources. the sdr proposed the course of caf development, by defining their future missions and tasks, as well as the capabilities they must possess for a successful conduct of those missions and tasks and participation within the collective defence system. in accordance with this proposal, the vision of the caf is as follows : - a caf numerical size that will not exceed 16 000 active military personnel, 2 000 civilian personnel, 2 000",700,113,130,1,croatia_2006_LongTermDevelopmentPlan.md,2025-01-28 18:58:17
16,"soldier - trainees ( overall annual contingent ) and up to 6 000 contract reserve members ; - the caf will be manned exclusively with a volunteer contingent by 2010 ; - abandonment of the present territorial principle of force organization ; - the caf service commands will have a primary role in the preparation of forces, while the caf general staff will be responsible for the conduct of operations ; - a separately organized joint command will provide support in the segments of logistic, health care and personnel ; - the land forces will be the incumbent of caf joint operations conduct, by developing and maintaining balanced capabilities to respond to modern security challenges ; - 8 % of the active land",713,123,130,1,croatia_2006_LongTermDevelopmentPlan.md,2025-01-28 18:58:17
17,"component will be deployed or ready to be deployed to international military operations, while 40 % will possess capabilities to participate in operations outside the territory of the republic of croatia ; - members of the contract reserve will prepare to participate in operations inside and outside croatian territory ; - naval forces will develop capabilities for surveillance and protection of the maritime space of the republic of croatia, as well as support for the land forces in joint operations ; - the air forces will maintain capabilities for surveillance and protection of croatian air space, as well as support for the land forces in joint operations ; - caf capabilities will be achieved and maintained through adequate training of units and caf members,",768,124,130,1,croatia_2006_LongTermDevelopmentPlan.md,2025-01-28 18:58:17
18,"as well as through the procurement of the necessary weaponry and equipment. this vision is the result of a realistic assessment of threats and risks, existing and anticipated caf missions and tasks, obligations assumed within the international framework and the expected resources that the republic of croatia will be able to allocate to the defence budget. the first chapter of this document provides a description of tasks that the caf will conduct in the future, capabilities necessary for their implementation, targeted structure and size of the caf and their territorial placement. the second chapter defines the development goals in the area of personnel, material resources, training and doctrine, international military cooperation and research and development.",769,115,130,1,croatia_2006_LongTermDevelopmentPlan.md,2025-01-28 18:58:17
19,"the third chapter establishes the budget, i. e. the financial framework that will enable the achievement of development goals. the fourth chapter elaborates mechanisms for ensuring implementation of the plan as well as management of risks that may hinder or even impede the realization of goals.",295,46,56,1,croatia_2006_LongTermDevelopmentPlan.md,2025-01-28 18:58:17
20,"# i. * * missions and tasks, military capabilities and structure of * * the caf",79,16,20,2,croatia_2006_LongTermDevelopmentPlan.md,2025-01-28 18:58:17
21,"# # 1. caf missions and tasks the croatian armed forces have four fundamental missions : protection of the sovereignty of the republic of croatia, defence of the republic of croatia and its allies ; participation in crisis response operations abroad ; participation in csbm ' s ; assistance to civilian institutions in the country. the probability of a conventional attack on the republic of croatia is very low and the caf structuring and dimensioning, besides their basic mission in protection of sovereignty and defence of territory, will be adequately influenced by all other missions and tasks. for the fulfilment of their basic constitutional mission the caf will retain the capability for increasing the overall",718,115,130,3,croatia_2006_LongTermDevelopmentPlan.md,2025-01-28 18:58:17
