chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# vlada republike hrvatske,26,4,11,0,croatia_2013_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:17
2,"# # 2285 na temelju clanka 8. to cke 1. zakona o obrani ( » narodne novine «, broj 73 / 2013 ), vlada republike hrvatske je na sjednici odrzanoj 25. srpnja 2013. godine donijela",177,35,73,1,croatia_2013_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:17
3,# # strateski pregled obrane uvod svrha i namjera strateskog pregleda obrane strateski pregled obrane temeljni je dokument u podru cju obrane koji predstavlja zavrsno izvjes ce o provedenom procesu preispitivanja uskla đenosti strategijskih koncepata te dostignutih i planiranih obrambenih sposobnosti s obrambenim potrebama koje proiz,335,46,130,2,croatia_2013_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:17
4,##laze iz realnosti strategijskog i sigurnosnog okruzenja. strateski pregled obrane daje elemente za razvoj budu cih sposobnosti i veli cinu oruzanih snaga republike hrvatske ( u daljnjem tekstu : oruzane snage ) te prioritete njihove daljnje transformacije u ostvarivanju postavljenih ciljeva. time se ujedno utvr đuju pretpostav,330,47,133,2,croatia_2013_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:17
5,##ke za definiranje ciljeva obrambene politike republike hrvatske u budu cem razdoblju. metodologija koristena pri izradi strateskog pregleda obrane slijedi savezni cki model obrambenog planiranja usmjeren na definiranje i izgradnju potrebnih sposobnosti. takav model polazi od politi ckih smjernica sadrzanih u nacionalnim i savezni ckim do,341,46,132,2,croatia_2013_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:17
6,"##kumentima najvise razine, analizira okolnosti koje utje cu na sigurnost i obranu te, uvazavaju ci raspolozive resurse, utvr đuje potrebne sposobnosti za provedbu misija i zada ca oruzanih snaga. strateski pregled obrane u sinergiji s novim zakonskim i normativnim okvirom u podru cju obrane, predstavlja strateski pomak ka novom, modern",338,50,132,2,croatia_2013_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:17
7,"##om promisljanju obrane te njezinom konceptualnom i institucionalnom pozicioniranju u suvremenoj geopoliti ckoj i geostrateskoj realnosti. time se stvara okvir za novi zamah u transformaciji obrane i razvoju profesionalnih i u cinkovitih oruzanih snaga. prvi strateski pregled obrane, usvojen 2005. godine, bio je nastavak izrade temeljnih doku",345,47,132,2,croatia_2013_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:17
8,##menata u podru cju obrane iz 2002. godine. naglasak prvog strateskog pregleda obrane bio je na pripremanju obrambenog resora republike hrvatske za clanstvo u organizaciji sjevernoatlantskog ugovora ( u daljnjem tekstu : nato ) prilagodbom u sljede cim podru cjima : popuna oruzanih snaga profesionalnim osobljem i ugovornom pri cuvom,335,50,132,2,croatia_2013_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:17
9,"; daljnji razvoj civilne uz vojnu sastavnicu obrane ; razvoj sposobnosti sudjelovanja u operacijama potpore miru ; usmjeravanje razvoja sposobnosti na misije i zada ce. u sklopu njega bio je postavljen niz ciljeva : - zadrzavanje granske strukture, uz smanjivanje veli cine oruzanih snaga od 25 154 djela",304,48,130,2,croatia_2013_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:17
10,"##tnih vojnih osoba i drzavnih sluzbenika i namjestenika potkraj 2005. godine na 16 000 djelatnih vojnih osoba i 2000 drzavnih sluzbenika i namjestenika ; - postupni razvoj interoperabilnosti sa snagama clanica nato - a, s ciljem dostizanja svih potrebnih sposobnosti do 2015. godine ; - utvr đivanje ciljane personalne strukture",329,50,131,2,croatia_2013_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:17
11,i dinamike dostizanja ciljane veli cine te intenziviranje pomla đivanja osoblja i nastavak izdvajanja ; - uvezivanje sustava vojnih specijalnosti i vojne izobrazbe u nacionalni sustav klasifikacije zanimanja i nacionalni obrazovni sustav ; - ubrzanje procesa napustanja neperspektivnih infrastrukturnih objekata ; -,315,42,130,2,croatia_2013_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:17
12,reorganizacija ministarstva obrane radi smanjivanja veli cine upravnog dijela te izdvajanja aktivnosti koje nisu usko vezane uz upravljanje obranom. glavni stozer oruzanih snaga ( u daljnjem tekstu : glavni stozer ) se i dalje ustrojava u okviru ministarstva obrane ; - uskla đivanje procesa obrambenog planiranja,313,46,130,2,croatia_2013_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:17
13,"s obrambenim planiranjem u nato - u ; - prilagodba propisa radi omogu cavanja u cinkovitog sudjelovanja u operacijama ; - intenziviranje me đuresorne suradnje usmjerene na ure đivanje cjelokupnog sustava nacionalne sigurnosti : civilno - vojno krizno planiranje, organizacija obalne straze republike hrvatske, potpora zemlje doma",329,47,130,2,croatia_2013_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:17
14,"cina savezni ckim snagama na teritoriju republike hrvatske i dr. dio postavljenih ciljeva nije ostvaren u zeljenom obujmu, sto je bila posljedica kombinacije niza cimbenika, od kojih su najvazniji gospodarska kriza te nedovoljno u cinkovita i profilirana upravlja cka politika. u takvim okolnosti",296,43,130,2,croatia_2013_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:17
15,"##ma, kada su izdvajanja za obranu smanjena, nije doslo do podizanja kvalitete upravljanja cime se mogao ublaziti taj deficit. stoga su prioriteti postavljeni u dugorocnom planu razvoja oruzanih snaga republike hrvatske 2006. - 2015. ostali velikim dijelom neispunjeni. ovi razlozi, kao i strateske promjene polozaja rep",320,46,132,2,croatia_2013_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:17
16,"##ublike hrvatske pokretaci su rada na novome strateskom pregledu obrane. te strateske promjene obiljezava : - ulazak u nato 2009. godine i u europsku uniju ( u daljnjem tekstu : eu ) 2013. godine ; - globalna politicka, drustvena i gospodarska previranja, koja su otvorila bitna pitanja o modelima buduceg razvoja, iznjedrila nove aktere",338,54,133,2,croatia_2013_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:17
17,"i otvorila nova krizna zarista ; - intenziviranje netradicionalnih, transnacionalnih prijetnji. u takvim okolnostima, kada se kapaciteti proracunskog izdvajanja za obranu smanjuju, a promjene u strateskom okruzju iziskuju stalna preispitivanja, prilagodbe i sve kompleksnije odgovore, obrana republike hrvatske mora po",318,40,130,2,croatia_2013_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:17
18,"##ci od određivanja jasnih ciljeva i prioriteta, pruziti viziju razvoja i podlogu za profiliranje svojega dugorocnog angazmana i svojih institucija. izrazi koji se koriste u ovom strateskom pregledu obrane, a koji imaju rodno znacenje, bez obzira jesu li koristeni u muskom ili zenskom rodu, obuhvacaju na",305,46,132,2,croatia_2013_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:17
19,jednak nacin muski i zenski rod.,32,6,14,2,croatia_2013_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:17
20,"# # sazetak politicki, ekonomski i sigurnosni kontekst obiljezen je clanstvom republike hrvatske u nato - u i eu - u ; konsolidacijom sigurnosnog stanja u regiji, ali i ambivalentnoscu globalnih sigurnosnih izazova i gospodarskom krizom. sve vece i zahtjevnije sudjelovanje oruzanih snaga u operacijama potpore miru i pomo",322,49,130,3,croatia_2013_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:17
21,"##ci civilnim institucijama, neminovno iziskuje daljnje opremanje i modernizaciju oruzanih snaga, dok restrikcije obrambenog proracuna traze pojacane napore u smjeru racionalnog upravljanja. na razvoj obrane republike hrvatske presudno utjecu sljedece odrednice : mala vjerojatnost agresije na republiku hrvatsku",312,38,132,3,croatia_2013_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:17
22,", preuzimanje saveznickih odgovornosti unutar nato - a i odgovornosti koje donosi clanstvo u eu, porast asimetricnih i nekonvencionalnih prijetnji nacionalnoj sigurnosti i sigurnosti saveznika te posljedice gospodarske krize. misije oruzanih snaga ishodiste su planova razvoja sposobnosti : obrana republike hrvatske i saveznika, do",332,44,130,3,croatia_2013_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:17
23,"##prinos međunarodnoj sigurnosti i potpora civilnim institucijama. ovim strateskim pregledom obrane utvrđuje se razina ambicije u provedbi tih misija. stanje i razvoj obrambenih sposobnosti razmatrani su kroz podrucja uporabe / djelovanja snaga * ( engagement ) *, omogucavanje djelovanja * ( enabling ) * i potpore zapovijedanju *",331,48,131,3,croatia_2013_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:17
24,"( command support ) *. sposobnosti koje su izravno u funkciji provedbe misija i zadace, angaziranjem snaga i oruznih sustava, svrstane su u podrucje uporabe, dok su one sposobnosti koje to omogucuju odnosno pruzaju potporu svrstane u druga dva podrucja. u promisljanju vlastitih oruzanih snaga identificirane su sp",314,48,130,3,croatia_2013_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:17
25,"##osobnosti nuzne za inicijalnu obranu i za potporu upravljanju u krizama te sposobnosti koje se razvijaju u sklopu kolektivnih nastojanja nato - a i eu - a. republika hrvatska deklarira svoju spremnost za sudjelovanjem u zajednickim naporima nato - a i eu - a kroz mehanizme međusobne suradnje na izgradnji,",308,50,132,3,croatia_2013_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:17
26,"odrzavanju i jacanju obrambenih sposobnosti. republika hrvatska ce se u tom duhu ukljuciti u programe razvoja određenih sposobnosti za ciji razvoj sama nema dovoljno sredstava. kao jedan od prioriteta u kratkorocnom razdoblju, a u cilju povecanja ucinkovitosti cjelokupne organizacije i usklađenog djelovan",306,42,130,3,croatia_2013_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:17
27,"##ja ministarstva obrane i glavnog stozera kao njegova sastavnog dijela, nastavit ce se integracija poslovnih procesa koji ce dovesti do racionalizacije postojece organizacijske strukture. to moze ukljucivati primjenu odgovarajuceg modela integracije upravnog dijela ministarstva obrane i glavnog stozera radi povecanja ucinkovitos",331,41,132,3,croatia_2013_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:17
28,"##ti rada, brzeg i efikasnijeg odlucivanja te racionalizacije potrebnih resursa. kako struktura i obujam misija i zadaca oruzanih snaga nisu odgovarajuce poduprti s raspolozivim iznosom i strukturom proracunskih sredstava, potrebne su prilagodbe koje ce obuhvatiti restrukturiranje i smanjenje snaga u sv",304,41,132,3,croatia_2013_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:17
29,"##im komponentama. to ce rezultirati postupnim smanjenjem brojcane velicine pripadnika oruzanih snaga do 15 000 osoba do kraja 2017. godine. restrukturiranje ce se provesti preustrojem u cilju racionalizacije, smanjivanja upravne i zapovjedne strukture u odnosu na operativne snage, smanjivanja broja zapovjednist",313,41,132,3,croatia_2013_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:17
30,"##ava i razina zapovijedanja, funkcionalnim objedinjavanjem ustrojstvenih jedinica, okrupnjavanjem sposobnosti i reduciranjem struktura vezanih uz zastarjele i suvisne oruzne sustave. preustroj ce rezultirati ucinkovitijom zapovjednom strukturom, decentralizacijom sustava zapovijedanja, uz unaprjeđen",301,31,132,3,croatia_2013_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:17
31,"##je upravljanja i sinkronizacije procesa. temeljno se zadrzava sadasnja granska i rodovska struktura oruzanih snaga. sve ustrojstvene jedinice bit ce ustrojene u hrvatskoj kopnenoj vojsci ( hkov ), hrvatskoj ratnoj mornarici ( hrm ), hrvatskom ratnom zrakoplovstvu i protuzracnoj obrani ( hrz i pzo ), zapo",307,46,132,3,croatia_2013_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:17
32,"##vjednistvu za potporu ( zzp ) te u hrvatskom vojnom ucilistu ( hvu ). dio ustrojstvenih jedinica bit ce izravno podređen glavnom stozeru. izdvajanjem potpornih i provedbenih poslova, poput gospodarenja nekretninama i logisticke potpore u odgovarajucu obrambenu logisticku organizaciju, omogucit ce se smanjivanje st",317,44,132,3,croatia_2013_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:17
33,"##rukture i brojcane velicine upravnog dijela ministarstva obrane i oruzanih snaga. cilj izdvajanja ovih funkcija nije puko smanjivanje broja izvrsitelja, ve c jasnije postavljanje funkcionalnih nadleznosti i racionalizacija upravlja ckih procesa i procedura. u predstoje cem razdoblju, kao jedan od priorite",308,41,132,3,croatia_2013_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:17
34,"##ta, nastavak je optimizacije logisti ckih procesa i resursa, razvoj nacionalne sposobnosti razmjestivosti i takti cke pokretljivosti logisti ckih kapaciteta te opremanje logisti ckih postrojbi mobilnim logisti ckim modulima za smjestaj osoblja, zdravstvenu potporu, terenske usluge, opskrbu, odrzavanje i sklad",312,40,132,3,croatia_2013_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:17
35,"##istenje materijalne imovine. sustav upravljanja osobljem, pra cen odgovaraju cim mehanizmima personalne potpore, omogu cit ce dostizanje optimalne broj cane, dobne i obrazovne strukture osoblja te uravnotezenje strukture cinova. u strukturi djelatnoga vojnog osoblja promijenit ce se omjer casnika prema do casnicima i vo",323,44,132,3,croatia_2013_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:17
36,"##jnicima, ovisno o specifi cnostima i ukupnome broj canom stanju pojedinih grana, rodova, sluzbi i struka. zadrzat ce se mjesoviti model popune casnicima, kombinacijom modificiranog i poboljsanog modela » kadet «, stipendiranja, prijma s trzista rada i skolovanja u inozemstvu, uz posebne mehanizme poticaja za osoblje",319,46,132,3,croatia_2013_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:17
37,kriti cnih specijalnosti. mehanizam narastanja ukupnih obrambenih sposobnosti uspostavit ce se razvojem pri cuve. pri cuvni element oruzanih snaga razvijat ce se u smjeru doprinosa izgradnje relevantnih i odrzivih vojnih sposobnosti koje mogu sadrzajno pridonijeti provedbi operacija. ucinkovita organizacija potpore zapovijedanju mora,335,42,130,3,croatia_2013_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:17
38,"podupirati mogu cnost razmjestaja, neprekidnost zapovijedanja, integraciju zapovijedanja i nadzora, te uz dostatnu veli cinu i zastitu, imati obiljezja modularnosti, popunjenosti, mobilnosti i interoperabilnosti. u svrhu potpore u cinkovitom funkcioniranju i zapovijedanju snagama te u svrhu potpore drugim poslovni",315,39,130,3,croatia_2013_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:17
39,##m procesima izgra đivat ce se jedinstveni informacijski sustav koji podrazumijeva informacijsku infrastrukturu s pripadaju cim temeljnim i funkcionalnim servisima koji omogu cuju automatsku razmjenu informacija. u podru cju vojne sigurnosno - obavjestajne djelatnosti cilj je nastaviti razvoj sposobnosti pravodobnoga,319,40,132,3,croatia_2013_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:17
40,detektiranja indikatora ranoga upozorenja u odnosu na ugroze i nove oblike prijetnji te raspodjelom obavjestajnih proizvoda pruziti potporu najvisim razinama odlu civanja i zapovijedanja te potporu snagama u operacijama.,220,29,92,3,croatia_2013_NationalSecurityStrategy_noneng.md,2025-01-28 18:57:17
