chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"the national cyber security strategy of the republic of croatia - zagreb, 7 october 2015 ( official gazette no 108 / 2015 ) -",125,24,27,0,croatia_2015_NationalCyberSecurityStrategy.md,2025-01-28 18:57:16
2,# # table of contents | 1. | introduction | | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - - - - - - - -,277,127,130,1,croatia_2015_NationalCyberSecurityStrategy.md,2025-01-28 18:57:16
3,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | | 2. | principles | | 3. | general goals of the strategy | | 4. | sectors of the society and forms of cooperation of cyber security | | stakeholders | | | 5. | cyber security areas. | | 5. 1 electronic communication and information infrastructure and services. | | | 5. 1. 1 public electronic communications ( a ). |,426,118,130,1,croatia_2015_NationalCyberSecurityStrategy.md,2025-01-28 18:57:16
4,| | 5. 1. 2 e - government ( b ). | | | 5. 1. 3 electronic financial services ( c ) | | | 5. 2 critical communication and information infrastructure and cyber crisis management ( d )....... 13 | | | 5. 3 cybercrime ( e ) | | | 6. interrelations of the areas of cyber security. | | | 6. 1 protection of information ( f ). | | | 6. 2 technical coordination in the treatment of computer security incidents ( g ). | | | 6. 3 international cooperation ( h ) | | | 6,460,103,130,1,croatia_2015_NationalCyberSecurityStrategy.md,2025-01-28 18:57:16
5,". 4 education, research, development and raising security awareness in cyberspace ( i ) | | | 7. | implementation of the strategy | | appendix : terms and acronyms | | | terms | | | acronyms. | |",195,40,49,1,croatia_2015_NationalCyberSecurityStrategy.md,2025-01-28 18:57:16
6,"# 1. introduction nowhere has technological development been more dynamic and comprehensive than in the area of communication and information technology. the focus has always been on the rapid development and introduction of new services and products, while the security - related aspects usually had little influence on the broad acceptance of new technologies. the life cycles of modern - day information systems, from the process of planning, introduction and usage to their withdrawal from use are very short, which often makes their systematic testing impossible and is most commonly applied as an exception, in expressly prescribed cases. users usually have minimal knowledge of the technology they are using, and the technology is applied in such a",755,117,130,2,croatia_2015_NationalCyberSecurityStrategy.md,2025-01-28 18:57:16
7,"way that makes it very hard to estimate the security characteristics of the majority of commercial products regarding the protection of user data confidentiality and privacy. due to that, users ' attitude towards the communication and information technology is based almost exclusively on blind confidence. modern societies are deeply imbued with communication and information technology. people are nowadays connected using various technologies for the transmission of text, image and sound, including the increasing internet of things ( iot ) trend. while a deviation in the normal functioning of a certain kind of communication and information system could go unnoticed, improper operation of some other systems could have harsh consequences for the functioning of the state ;",779,116,130,2,croatia_2015_NationalCyberSecurityStrategy.md,2025-01-28 18:57:16
8,"it can cause loss of life, damage to health, great material damage, pollution of the environment and the disturbance of other functionalities essential for the proper functioning of the society as a whole. from the beginning of the development of communication and information technologies until the present day, deviations in their proper functioning have occurred due to different reasons, from human error or malicious action to technological error or organizational omission. the creation of the internet and connecting a number of communication and information systems of the public, academic and economic sectors, as well as citizens, created the contemporary cyberspace composed not only of this interconnected infrastructure, but also of the",749,111,130,2,croatia_2015_NationalCyberSecurityStrategy.md,2025-01-28 18:57:16
9,"ever growing amounts of available information, and users communicating increasingly among themselves using a growing number of different services - some completely new, some traditional, but in a new, virtual form. deviations in the proper operation of these interconnected systems or their parts are no longer merely technical difficulties ; they pose a danger with a global security impact. modern societies counter them with a range of activities and measures collectively called "" cyber security "". the term "" cyber "" entered the croatian legal system upon the ratification of the budapest convention on cybercrime1back in 2002. following from that, the term "" cyber "" is most 1 act on the ratification of",709,113,130,2,croatia_2015_NationalCyberSecurityStrategy.md,2025-01-28 18:57:16
10,"the convention on cybercrime ( official gazette no 09 / 02 ) and act on the ratification of the additional protocol to the convention on cybercrime, concerning criminalisation of acts of a racist and xenophobic nature committed through computer systems ( official gazette no 04 / 08 ). commonly used as an adjective describing something that includes, uses, or is related to computers and especially the internet. the original term "" cybernetics "" ( "" kibernetika "" in croatian ) was formed in the mid - twentieth century and it denotes a science of automatic control systems and control processes in biological, technical, economic and other systems in general",661,109,130,2,croatia_2015_NationalCyberSecurityStrategy.md,2025-01-28 18:57:16
