chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# # doctrine,12,3,5,0,czechrepublic_2004_DoctrineArmedForces.md,2025-01-28 18:54:20
2,# # # of the armed forces of the czech republic - - - - - * * original version of the * * * * doctrine of the armed forces of the czech republic * * * * was approved on 15 [ th ] december 2004 by * * * * the chief of general staff - lieutenant general pavel stea. * * - - - - - - - - - -,287,75,79,1,czechrepublic_2004_DoctrineArmedForces.md,2025-01-28 18:54:20
3,# doctrine,10,2,4,2,czechrepublic_2004_DoctrineArmedForces.md,2025-01-28 18:54:20
4,# # # of the armed forces of the czech republic - - - - - - - - - - _ the doctrine of the armed forces of the czech republic ( afcr ) _ _ represents a new dimension of military professional thought in upgrading _ _ security documents and other documents relating to the czech republic ’ s _ _ reform of the armed forces. it stems from the knowledge and experience of _ _ modern warfare. it constitutes the national framework for the afcr ’ s basic _ _ task – defense of its sovereignty and territorial integrity and fulfilling allied _ _ commitments of the czech republic. _ _ the successful achievement of this basic task and other,632,123,130,3,czechrepublic_2004_DoctrineArmedForces.md,2025-01-28 18:54:20
5,"related tasks of _ _ the afcr depends, among others, on how well commanders understand the _ _ natural paerns of contemporary combat and non - combat operations, and _ _ their ability to skillfully and creatively apply those natural paerns to the _ _ armed forces command and control. _ _ the aim of the afcr ’ s doctrine is to create conditions for common _ _ understanding of current combat principles, the likely character of future _ _ operational environments and the afcr force deployments under these _ _ conditions. the purpose of the doctrine of the afcr is to provide military _ _ professionals and political representatives of",637,111,130,3,czechrepublic_2004_DoctrineArmedForces.md,2025-01-28 18:54:20
6,"the cr a general framework for _ _ planning and preparing the afcr ’ s forces to conduct military operations in _ _ peace, times of crisis, and in war. it is an official expression of afcr strategic _ _ thought. _ _ the doctrine of the afcr derives from the “ security strategy of the _ _ czech republic ” as a fundamental conceptual document of the state security _ _ policy, from the “ military strategy of czech republic, ” and from fundamental _ _ military - political and operational standards ( military publications ) of nato _ _ regarding principles and fundamentals consistent with military security of _ _ the state and the north atlantic",648,118,130,3,czechrepublic_2004_DoctrineArmedForces.md,2025-01-28 18:54:20
7,alliance. it generalizes experience gained _ _ from combat and peace operations and combined exercises with nato _ _ armies in the past years. it answers the questions under what conditions will _ _ the afcr act and operate and under what conditions can the afcr succeed. _ _ it applies to both combat and non - combatant deployments. it provides basic _ _ theoretical grounds for practical application of the military use of force _ _ across the full spectrum of threats to the cr or nato state members. it _ _ interconnects state defence political - strategic control level and command and _ _ control of the afcr with operational level (,640,114,130,3,czechrepublic_2004_DoctrineArmedForces.md,2025-01-28 18:54:20
8,"execution of concrete operations ) _ _ and has an influence on principles of the use and activities of deployed _ _ operational formations. _ _ understanding and creative application of the afcr ’ s doctrinal content _ _ requires relevant knowledge of nato operational standards, particularly _ _ allied publication allied joint doctrine ajp - 01 ( b ), december 2002, upon _ _ which the afcr ’ s doctrine is based. _ - - - - - - - - - -",437,84,96,3,czechrepublic_2004_DoctrineArmedForces.md,2025-01-28 18:54:20
9,# # # # chapter 1 general remarks - - - - -,43,13,15,4,czechrepublic_2004_DoctrineArmedForces.md,2025-01-28 18:54:20
10,"# # # # general remarks 01. the doctrine of the afcr represents a summary of principles for preparing and conducting operations in which the afcr may be involved within a multinational framework or independently. it is a mutual doctrine of all afcr forces. the afcr doctrine creates the hierarchical framework and bases for afcr doctrinal documents. * * doctrinal pattern of the afcr * * 02. the afcr ’ s doctrinal hierarchy is comprised of the doctrine of the afcr, lower level doctrines and the scheme of service ( de partmental ) regulations, manuals and other documents intended for training, preparation and possible",621,104,130,5,czechrepublic_2004_DoctrineArmedForces.md,2025-01-28 18:54:20
