chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# # security strategy of the czech republic,43,8,10,0,czechrepublic_2011_SecurityStrategy.md,2025-01-28 18:53:46
2,# 2011 - - - - -,16,7,9,1,czechrepublic_2011_SecurityStrategy.md,2025-01-28 18:53:46
3,"# # # # introduction by the prime minister of the czech republic why, in times of peace, should we concern ourselves with security issues? would it not be better to concentrate instead on building new homes, hospitals and schools? as the british labour statesman denis healey said more than 40 years ago, “ once we cut defence expenditure to the extent where our security is imperilled, we have no houses, we have no hospitals, we have no schools. we have a heap of cinders. ” the security of its citizens is a fundamental responsibility of the state. the government of the czech republic, aware of this obligation, has updated",627,110,130,2,czechrepublic_2011_SecurityStrategy.md,2025-01-28 18:53:46
4,"the security strategy of the czech republic. the previous security strategy was drawn up in 2003, since when the security environment and the international context have changed. by adopting the treaty of lisbon, the european union has gained a new institutional framework. the north atlantic treaty organisation ( nato ) adopted a new strategic concept at its summit in lisbon in the autumn of 2010. the security strategy of the czech republic takes these developments into account. it shares the principles of its 2003 predecessor, but develops them to reflect the new context. what differentiates it most from the previous security strategy is that it conceives the security issue as a whole. first, it",704,114,130,2,czechrepublic_2011_SecurityStrategy.md,2025-01-28 18:53:46
5,"defines our values and interests, and then describes the current security environment, including trends and threats and their possible impact on our interests. in the second part, it sets out the approaches to be employed in countering those threats — using all possible national, bilateral and multilateral tools. it aspires to be a strategy document valid for at least five years. i very much welcome the fact that the academic and expert security communities from institutions outside the government have been involved in the preparation of the security strategy. communication with the broader professional public has made the security strategy a better - quality document. we also wish to continue seeking out such a consensus",731,115,130,2,czechrepublic_2011_SecurityStrategy.md,2025-01-28 18:53:46
6,"in the preparation of further policy documents and the sub - strategies that will build on it. the process of safeguarding our security and defence is a permanent task, one that never ends. it is the state ’ s debt to its citizens, and it is the mutual commitment that citizens make to each other — to defend their country, their lives and their freedom. ultimately, this is the most basic purpose of civil solidarity. security understood in this way — safeguarding not only the sovereignty, territorial integrity and independence of our country, but also the democratic rule of law and the fundamental rights and freedoms of our citizens — is a continuous task. if",665,115,130,2,czechrepublic_2011_SecurityStrategy.md,2025-01-28 18:53:46
7,"we keep it sufficiently in our sights and if we act accordingly, both as a state and as citizens, then our future need not be a heap of cinders, but peace, freedom, prosperity and cooperation between all of us and with the nations of the world. the security strategy is a conceptual framework which will help that happen. petr necas prime minister - - - - -",357,67,79,2,czechrepublic_2011_SecurityStrategy.md,2025-01-28 18:53:46
8,# # # contents * * i. * * * * introduction * * 4 * * ii. principles of the security policy of the czech republic * * 5 * * iii. the security interests of the czech republic * * 6 * * iv. the security environment * * 8 the strategic context 8 the most important trends and factors 8 security threats 10 * * v. * * * * strategy for promoting the security interests of the czech republic * * 12 the collective dimension of safeguarding security and defence 12 strategy of prevention and suppression of security threats 13 the economic framework for safeguarding security interests 19 the institutional framework for safeguarding security 20 the,641,120,130,3,czechrepublic_2011_SecurityStrategy.md,2025-01-28 18:53:46
9,security system of the czech republic 22 security strategy of the czech republic 3 │ │ - - - - -,96,21,23,3,czechrepublic_2011_SecurityStrategy.md,2025-01-28 18:53:46
10,"# # # i. introduction 1. the security strategy of the czech republic is a fundamental document in the framework of the czech republic ’ s security policy, which has become the basis for sub - strategies and concepts. it is a government document drafted in consultation with the office of the president of the republic and the parliament of the czech republic with the aim of seeking non - partisan approaches to security issues. the czech republic ’ s security community, including representatives of both state and non - governmental sectors, has also been involved in the production of this strategy. 2. the value and legal framework underlying the creation and implementation the security strategy is provided by",715,119,130,4,czechrepublic_2011_SecurityStrategy.md,2025-01-28 18:53:46
11,"the constitutional order of the czech republic, in particular by the constitution of the czech republic, the charter of fundamental rights and freedoms and constitutional act no. 110 / 1998 on the security of the czech republic, as amended. laws based on the czech constitutional order and the international commitments arising from the czech republic ’ s membership of the north atlantic treaty organisation ( nato ), the european union ( eu ), the united nations ( un ), and the organisation for security and co - operation in europe ( osce ) are an integral part of the legal framework. 3. in its principles and in its definition of security interests, the security strategy builds",684,116,130,4,czechrepublic_2011_SecurityStrategy.md,2025-01-28 18:53:46
12,"on the security strategy of the czech republic from 2003. it takes account of, and describes changes to, the security environment, including key threats in the euro - atlantic area. its aim is to establish a systematic and coordinated framework for the promotion of the czech republic ’ s security interests and to contribute to the efficient use of individual multilateral, bilateral and national tools and the corresponding allocation of resources for these purposes. 4. the security strategy of the czech republic represents the basic values, interests, approaches, ambitions and tools in the safeguarding of its security : - the “ principles of the security policy of the czech republic ” formulate the principles",717,114,130,4,czechrepublic_2011_SecurityStrategy.md,2025-01-28 18:53:46
13,"on which the security policy of the czech republic is based. - the “ security interests of the czech republic ” define the czech republic ’ s vital, strategic and other important interests. - the “ security environment ” identifies the most important trends, factors and specific threats in the security environment within which the czech republic protects and promotes its interests. - the “ strategy for promoting the security interests of the czech republic ” defines approaches to the protection of the czech republic ’ s security interests and specifies multilateral and national tools for promoting them, including a short description of the czech republic ’ s security system. security strategy of the czech republic 4 │ │ -",731,120,130,4,czechrepublic_2011_SecurityStrategy.md,2025-01-28 18:53:46
14,- - - -,7,4,6,4,czechrepublic_2011_SecurityStrategy.md,2025-01-28 18:53:46
15,"# # # ii. principles of the security policy of the czech republic 5. the security strategy of the czech republic presents approaches, tools and measures to safeguard the security, defence and protection of citizens and the state. the nature of contemporary security challenges excludes the strict segmentation of security policy by individual security concern. the institutional and physical cohesion and coordination of tools is essential to safeguard the czech republic ’ s security efficiently 6. the government of the czech republic ( the “ government ” ) and all local and regional government bodies are responsible for safeguarding, within their respective areas of competence, the security of the population, the defence of the",734,114,130,5,czechrepublic_2011_SecurityStrategy.md,2025-01-28 18:53:46
16,"country ’ s sovereignty and territorial integrity, and the preservation of the prerequisites for the democratic rule of law. a comprehensive, functioning and dynamically developing security system provides the institutional means to attain these aims. 7. the czech republic ’ s security is based on the principle of safeguarding the security of the individual and protecting his life, health and property. the successful practice of this principle relies on the safeguarding of the security of state institutions, including their full operational capability, and the development of processes and tools intended to strengthen the security and protection of the population. while it is primarily the government ’ s duty to safeguard security,",740,111,130,5,czechrepublic_2011_SecurityStrategy.md,2025-01-28 18:53:46
17,"the active cooperation of czech citizens, businesses and entrepreneurs, and public authorities is desirable in efforts to mitigate threat risks. this strengthens society ’ s overall resilience to security threats. 8. the political and economic stability of the european union is of key significance in safeguarding the czech republic ’ s security. the exceptional openness of the czech economy exposes it to external influences, particularly with respect to market access and energy supplies. in view of the values and principles which it espouses, the czech republic favours joint action within international organisations and groupings of states that advocate peaceful conflict resolution, a collective approach to security,",726,106,130,5,czechrepublic_2011_SecurityStrategy.md,2025-01-28 18:53:46
18,"and mutually beneficial economic cooperation. 9. the czech republic ’ s security policy is based on the principle of the indivisibility of security. the czech republic ’ s security is inseparable from security in the euro - atlantic area and from the global security situation. the nature of the security environment is such that the defence and protection of the state ’ s citizens and territory does not end at the borders of the czech republic. security interests often need to be defended far beyond the borders of allied states. the czech republic ’ s security policy is governed not only by its own specific interests, but also by solidarity with its allies in nato and",675,116,130,5,czechrepublic_2011_SecurityStrategy.md,2025-01-28 18:53:46
19,"the eu. 10. the czech republic prefers the active avoidance of armed conflicts and preventive diplomacy. if a crisis or armed conflict arises, it strives to reach a solution by political and diplomatic means. if these fail, the czech republic may — in accordance with its constitutional order, laws, and the principles of the un charter, and within the framework of its commitments to and solidarity with its — use force to protect its vital and, if necessary, its strategic interests. 11. the basic principles for safeguarding the defence and security of the czech republic are active involvement in the nato system of collective defence based on a strong transatlantic link,",676,111,130,5,czechrepublic_2011_SecurityStrategy.md,2025-01-28 18:53:46
20,"the development of eu crisis management capabilities, and cooperation with partner countries. membership of nato and the eu brings with it the advantages of a collective safeguard for our own defence and security, as well as the commitment to contribute to collective defence and security. the security strategy therefore takes into account the strategy documents of those organisations. membership of international organisations does not relieve the czech republic of primary responsibility for its own defence. security strategy of the czech republic 5 │ │ - - - - -",568,89,97,5,czechrepublic_2011_SecurityStrategy.md,2025-01-28 18:53:46
21,"# # # iii. the security interests of the czech republic 12. the czech republic categorises its security interests ( “ interests ” ) according to their importance. in the security strategy, these interests are divided into three categories : vital, strategic, and other important interests. * * 13. vital interests. 13. * * vital interests comprise the safeguarding of the czech republic ’ s sovereign existence, territorial integrity, and political independence, and the preservation of all prerequisites of a democratic rule of law, including the guarantee and protection of the fundamental human rights and freedoms of the population. protecting the vital interests of the state",680,106,130,6,czechrepublic_2011_SecurityStrategy.md,2025-01-28 18:53:46
22,"and its citizens is one of the government ’ s fundamental obligations. to this end, the czech republic is ready to exploit all legitimate approaches and to use all available resources. 14. 14. strategic interests. the promotion of strategic interests is necessary in order to safeguard vital interests. it is also necessary for the czech republic ’ s social development and prosperity. the approaches and means chosen for their promotion are commensurate to the situation. the czech republic ’ s primary strategic interests are : - security and stability, especially in the euro - atlantic area - preventing and managing local and regional conflicts and mitigating their consequences - maintaining the un ’",706,113,130,6,czechrepublic_2011_SecurityStrategy.md,2025-01-28 18:53:46
