chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,- - - - - - - - - -,19,10,12,0,czechrepublic_2015_LongTermPerspectiveOnDefense.md,2025-03-25 11:21:26
2,# # # # # # ministry of defence of the czech republic,53,13,15,1,czechrepublic_2015_LongTermPerspectiveOnDefense.md,2025-03-25 11:21:26
3,# the long term perspective for defence 2030,44,8,11,2,czechrepublic_2015_LongTermPerspectiveOnDefense.md,2025-03-25 11:21:26
4,# # # # # # prague 2015 - - - - - - - - - -,43,18,20,3,czechrepublic_2015_LongTermPerspectiveOnDefense.md,2025-03-25 11:21:26
5,# # # contents,14,4,6,4,czechrepublic_2015_LongTermPerspectiveOnDefense.md,2025-03-25 11:21:26
6,# # # # # # i. introduction...................................................................... ii. background..............................................,158,10,130,5,czechrepublic_2015_LongTermPerspectiveOnDefense.md,2025-03-25 11:21:26
7,.......................... iii. future security and operational environment............................ iv. engagement in future operations............................................. v. implications of military capability development.........,244,18,130,5,czechrepublic_2015_LongTermPerspectiveOnDefense.md,2025-03-25 11:21:26
8,................ 1 vi. prerequisites for the achievement of military capabilities............ 1 vii. conclusions....................................................................... 1 list of abbreviations.......,214,17,130,5,czechrepublic_2015_LongTermPerspectiveOnDefense.md,2025-03-25 11:21:26
9,............................................................ 20 - - - - -,73,7,68,5,czechrepublic_2015_LongTermPerspectiveOnDefense.md,2025-03-25 11:21:26
10,"# # # i. introduction “ the long term perspective for defence 2030 ” represents the framework for fulfilling the political and military ambitions of the czech republic. it serves as a guideline for defence planning, particularly in developing five - year medium term plans. based on an analysis of trends in the strategic environment, it outlines the basic direction for military capabilities development and provides guidance for the “ concept of the czech armed forces development 2025 ”, and other conceptual documents. the long term perspective stems from the legal system and the strategic policy documents of the czech republic, and takes into account the principles of nato and eu security policies and military documents.",729,116,130,6,czechrepublic_2015_LongTermPerspectiveOnDefense.md,2025-03-25 11:21:26
11,# # # # # # 4 - - - - -,23,12,14,7,czechrepublic_2015_LongTermPerspectiveOnDefense.md,2025-03-25 11:21:26
12,"# # # ii. background defence comprises three pillars : ( 1 ) responsible approach by the state to the defence of the czech republic and commitments to allies. ( 2 ) capable armed forces. ( 3 ) national defence as a civic duty. it is supported by czech foreign policy, the economy and the willingness of the citizens to defend their country. the government of the czech republic ’ s approach to safeguarding defence is stated in : ( a ) the defence strategy, which is based on the security strategy of the czech republic ; ( b ) the decisions of the government of the czech republic proposed by the minister of defence on the structure and personnel",648,120,130,8,czechrepublic_2015_LongTermPerspectiveOnDefense.md,2025-03-25 11:21:26
13,"strength of the czech armed forces ( adopted in 2007 and 2012 ). these documents define czech political and military ambitions, and set out the political assignments for the armed forces of the czech republic in order to ensure their development, obligations and tasks : n in the event of an armed conflict of a scale that would threaten czech sovereignty, its territorial integrity and vital interests, all forces and assets of the czech armed forces, including liability to conscription, will be employed ; n for collective defence under article 5 of the north atlantic treaty, if its territory is not directly endangered, the czech republic will provide, if necessary, land and air forces assigned for this",709,117,130,8,czechrepublic_2015_LongTermPerspectiveOnDefense.md,2025-03-25 11:21:26
14,"purpose to nato, whose core comprises a brigade task force on a mechanized brigade basis ; n for international operations intended to cope with threats and crises, the czech republic will, depending on the situation, be able to concurrently or progressively assign : ( a ) a battalion task force, ( b ) a land company task force ( or air force equivalent ), ( c ) forces up to battalion level assigned for standby duty in the nato response force or eu battle group, ( d ) small specialist or expert groups, including special forces task teams ; n the armed forces of the czech republic can deploy in all climatic zones except the arctic areas. in",646,118,130,8,czechrepublic_2015_LongTermPerspectiveOnDefense.md,2025-03-25 11:21:26
15,"relation to these duties, the czech armed forces should have up to 27 thousand military servicemen. personnel strength was temporarily decreased to 22 thousand military servicemen during the period 2013 - 15, while the tasks remained unchanged.",244,37,43,8,czechrepublic_2015_LongTermPerspectiveOnDefense.md,2025-03-25 11:21:26
16,# # # # # # 5 - - - - -,23,12,14,9,czechrepublic_2015_LongTermPerspectiveOnDefense.md,2025-03-25 11:21:26
17,"# # # iii. future security and operational environment over the next 20 years, the czech republic, as well as nato and the eu, will be facing serious persistent threats. changes will be dynamic and can be expected in all crucial aspects of security with complex and interconnected trends.",288,49,58,10,czechrepublic_2015_LongTermPerspectiveOnDefense.md,2025-03-25 11:21:26
18,"# # # # # # predominant trends n * * the distribution of political power and economic and military potential around the world * * * * will be more diversified. this will cause instability in the form of an increased number of conflicts * * and a direct military threat to the allies. the warning time for major conventional conflicts, even in the proximity of nato and eu states, has decreased to weeks or months. n * * at the same time, globalization will continue. deepening of differences between international * * players will have a negative impact. the misuse of information technologies and the media will increasingly contribute to the sudden shift in the perception",674,118,130,11,czechrepublic_2015_LongTermPerspectiveOnDefense.md,2025-03-25 11:21:26
19,"of events in terms of time and space and, therefore, will also lead to the spread of instability. the intentional misuse of the media for information warfare will grow significantly. interconnected economies and financial systems will also simplify and accelerate the “ transfer ” of the symptoms of crises to more distant countries. increasing mobility, together with a high population density in some areas, will also expedite the spread of infectious diseases which can then lead to pandemic situations. n * * defence expenditures will grow in non - european regions and in the russian federation. * * this will enable a more intensive use of modern military technologies. when military",689,111,130,11,czechrepublic_2015_LongTermPerspectiveOnDefense.md,2025-03-25 11:21:26
