chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,- - - - - - - - - -,19,10,12,0,czechrepublic_2019_LongtermPerspectiveForDefence.md,2025-01-28 18:55:43
2,# # # # # ministry of defence of the czech republic,51,12,14,1,czechrepublic_2019_LongtermPerspectiveForDefence.md,2025-01-28 18:55:43
3,# # the long term perspective for defence 2035,46,9,12,2,czechrepublic_2019_LongtermPerspectiveForDefence.md,2025-01-28 18:55:43
4,"# # # # # prague 2019 - - - - - © ministry of defence of the czech republic - military history institute, 2019 isbn : 978 - 80 - 7278 - xxx - x ( english edition ) isbn : 978 - 80 - 7278 - 772 - 2 ( czech edition ) - - - - -",224,60,69,3,czechrepublic_2019_LongtermPerspectiveForDefence.md,2025-01-28 18:55:43
5,# # # contents,14,4,6,4,czechrepublic_2019_LongtermPerspectiveForDefence.md,2025-01-28 18:55:43
6,# # # # # # foreword by the minister of defence........................................ 4 i. introduction....................................................................... 5,178,16,130,5,czechrepublic_2019_LongtermPerspectiveForDefence.md,2025-01-28 18:55:43
7,ii. background......................................................................... 6 iii. future security and operating environment............................... 8 iv. czech armed forces roles and participation in future operations.,238,20,130,5,czechrepublic_2019_LongtermPerspectiveForDefence.md,2025-01-28 18:55:43
8,. 13 v. implications for the military capability development.................. 15 basic principles of the czech armed forces development............................ 15 main capability areas of the czech armed forces.................................... 18 principal directions for the czech armed forces development.........,323,36,130,5,czechrepublic_2019_LongtermPerspectiveForDefence.md,2025-01-28 18:55:43
9,.............. 18 vi. prerequisites for the achievement of the required military capabilities......................................................................... 25 vii. conclusion......................,207,15,130,5,czechrepublic_2019_LongtermPerspectiveForDefence.md,2025-01-28 18:55:43
10,................................................... 29 list of abbreviations.................................................................... 30 - - -,153,9,130,5,czechrepublic_2019_LongtermPerspectiveForDefence.md,2025-01-28 18:55:43
11,- -,3,2,4,5,czechrepublic_2019_LongtermPerspectiveForDefence.md,2025-01-28 18:55:43
12,"# # # foreword by the minister of defence the long term perspective for defence 2035 outlines the key pillars and routes for the long - term development of defence sector in order to meet the political - military ambitions and international commitments of the czech republic. this document translates the guidance set by the 2017 defence strategy of the czech republic, new requirements derived from the nato defence planning process and also those stemming from the eu defence initiatives into a more specific tasking. it also reflects the policy statement of the government of the czech republic. the development of our armed forces is driven by the security environment, which has been deteriorating and is expected to deteriorate",733,119,130,6,czechrepublic_2019_LongtermPerspectiveForDefence.md,2025-01-28 18:55:43
13,"further in the next 10 - 15 years. these changes clearly indicate that our armed forces have to be highly mobile ; manned with trained and highly skilled personnel ; equipped with advanced systems and supplied with sufficient stocks of material ; robust ; resilient ; and interoperable with our allies. we also have to closely follow the developments in the field of science and technology in order to be able to operate successfully in cyberspace, make full use of the unmanned and autonomous systems, or employ artificial intelligence. from a resource perspective, we underline the commitment to increase our defence spending to 2 % of gdp by 2024 and to allocate at",668,113,130,6,czechrepublic_2019_LongtermPerspectiveForDefence.md,2025-01-28 18:55:43
14,"least 20 % of the overall defence expenditures to procurement of major equipment and research and development, as agreed at nato wales summit in 2014. the long term perspective for defence 2035 will be followed by a new concept of the czech armed forces development 2030. this document will identify concrete ways and means to deliver the required capabilities which are essential to meet the political - military ambitions of the czech republic and our commitments to our allies and partners. lubomir metnar",508,83,94,6,czechrepublic_2019_LongtermPerspectiveForDefence.md,2025-01-28 18:55:43
15,# # # # # # 4 - - - - -,23,12,14,7,czechrepublic_2019_LongtermPerspectiveForDefence.md,2025-01-28 18:55:43
