chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# # # june 2004,15,5,7,0,denmark_2004_DefenceAgreement.md,2025-01-28 18:54:23
2,# # preliminary translation,27,4,6,1,denmark_2004_DefenceAgreement.md,2025-01-28 18:54:23
3,# the danish defence agreement 2005 - 2009 - - - - -,52,13,15,2,denmark_2004_DefenceAgreement.md,2025-01-28 18:54:23
4,"# # # the liberals, the conservatives, the social democrats, the danish people party, the social liberals and the christian democrats have entered into the following agreement for the danish defence. introduction 1. the danish defence is an important factor in working towards the realisation of the foremost goals of the danish foreignand security policy, namely democracy, freedom and human rights. the goals of the danish defence are the following : 1 ) to counter direct and indirect threats to the security of denmark and allied countries, 2 ) to maintain danish sovereignty and the protection of danish citizens, 3 ) to work towards international peace and security in accordance with the principles of the",712,115,130,3,denmark_2004_DefenceAgreement.md,2025-01-28 18:54:23
5,"un charter, specifically through conflict prevention, peacekeeping, peacemaking, and humanitarian operations. changes in the international security environment require the danish defence to strengthen its capacities in two central areas : 1 ) internationally deployable military capacities and 2 ) the ability to counter terror acts and their consequences. the united nations is the framework of the efforts to create international order. in recent years the un has developed a more effective capacity to engage in peace supporting operations and this development should be supported. at the same time the ability of the un, as well as the ability of regional organisations, to prevent and resolve conflicts, among other places in africa, should be strengthened",761,114,130,3,denmark_2004_DefenceAgreement.md,2025-01-28 18:54:23
6,". the political parties behind the defence agreement agree that nato is the central forum for joint security – and defence cooperation. the collective defence remains strongly anchored within nato. nato is the framework of the transatlantic partnership and a guarantor of european security. denmark will continue to contribute to nato, including the nato response force. the danish defence will contribute with ready, well - equipped and effective forces for international operations, as well as a strengthened coordination between the military and the civilian humanitarian effort in the area of operations. furthermore, in the case of the danish opt - out with regard to the eu defence policy possibly being removed in the future, denmark will",745,116,130,3,denmark_2004_DefenceAgreement.md,2025-01-28 18:54:23
7,"be able to participate in the eu efforts within peacemaking, peacekeeping, conflict prevention, humanitarian operations and the strengthening of international security in accordance with the principles of the un charter. the political parties agree that the structure and capacity of the danish defence during 2005 - 2009 should be organised in a way that will ensure that denmark, in the event of a possible removal of the opt - out, will be immediately able to contribute to future european defence initiatives, including combating terrorism, preventing the spread of weapons of mass destruction and peace supporting operations with force contributions from both the eu and nato. the current security environment, including the enlargement of nato",749,114,130,3,denmark_2004_DefenceAgreement.md,2025-01-28 18:54:23
8,"and the eu, is of such a nature that the conventional military threat to the danish territory has ceased for the foreseeable future. there is no longer a need for the conventional territorial defence of the cold war. the terrorist attacks of 11 september 2001 and subsequent terrorist attacks have demonstrated that the security challenges and risks confronting denmark and other nations have significantly changed. new asymmetric and unpredictable threats such as international terrorism and the spreading of weapons of mass destruction and their means of delivery have entered the scene. the threats do not necessarily have to originate from denmark ’ s geographical proximity, but may nevertheless constitute a risk to denmark, our allies and our",749,117,130,3,denmark_2004_DefenceAgreement.md,2025-01-28 18:54:23
9,"common values, even if they manifest themselves abroad. accordingly, the priority of danish security policy should be aimed at possessing the capability to counter the threats where they emerge, regardless of whether this is within or beyond denmark ’ s borders. therefore, danish defence – together with other national components – should focus on strengthening the total defence of denmark and its population and on ensuring denmark ’ s capability to participate in international operations. - - - - - the unpredictable aspect of the threats means that organising danish defence to counter a well - defined threat scenario is no longer possible. therefore the danish defence should be organised according to a capacity - based approach whereby a wide",752,120,130,3,denmark_2004_DefenceAgreement.md,2025-01-28 18:54:23
10,"range of capacities can be made available in situations in which danish security or danish interests are threatened or affected, directly or indirectly, or where danish responsibilities within the international community make this necessary. the unpredictable nature of the threats demands a higher priority on military readiness and the capability to deploy military capacities wherever they are needed, regardless of whether this involves humanitarian efforts, peacekeeping operations, emergency situations in or outside denmark, or participation in regular military operations.",580,79,89,3,denmark_2004_DefenceAgreement.md,2025-01-28 18:54:23
11,"# # # total defence in general, total defence encompasses the utilisation of all resources in order to maintain an organised, functional society and to protect the population and the national assets. the threats to be countered by total defence cut across national borders and the domestic administrative domains of various public authorities. as a result, threat containment demands joint solutions and close coordination among the accountable international and national authorities. one of the benefits for danish society, from danish defence ’ s previous conscript training for the mobilisation - based combat force, is that many persons were trained as conscripts in several disciplines that have now become increasingly relevant. this applies",747,112,130,4,denmark_2004_DefenceAgreement.md,2025-01-28 18:54:23
12,"to fields such as surveillance, first aid, emergency response and defensive measures to counter atomic, biological and chemical weapons, etc. in the current situation, other parts of the conventional conscript training for territorial defence has lost much of its relevance, but personnel are still needed to enable danish defence to contribute to total defence. the compulsory military service, as stipulated in article 81 of the danish constitution, should therefore be adjusted accordingly. in other regards, total defence is to be strengthened to the greatest possible extent by integration of national emergency response effort and danish defence, in a structure that ensures synergy and simplification. comparably, the home",729,107,130,4,denmark_2004_DefenceAgreement.md,2025-01-28 18:54:23
13,"guard is to be integrated into the operational and support structures of danish defence – without sacrificing its identity. in addition, total defence is to be bolstered by establishing a total defence force comprising some 12, 000 soldiers who have completed a relevant 700 - hour training programme over a four - month period. within the first three years following completion of the initial joint military training programme, this force shall be at the disposal of danish defence for performing total defence tasks for the danish community, provided that the capabilities of the standing forces of danish defence, the national emergency management effort and the home guard are insufficient. total defence force thereby ensures that",735,115,130,4,denmark_2004_DefenceAgreement.md,2025-01-28 18:54:23
14,"denmark has sufficient available capacity to contain threats against the country and to handle large - scale catastrophes. the needs of the danish defence are directly proportionate with the numbers of young people that are called upon to do military service. all young men are required to attend “ the day of the danish defence ” and all young women are invited to attend it. on this day the danish defence introduces itself, presents career opportunities and distributes relevant information. on the basis of this day of presentation and orientation of the danish defence the participants then inform the defence whether they would like to volunteer to do conscription or whether they are interested in another form of employment with",736,120,130,4,denmark_2004_DefenceAgreement.md,2025-01-28 18:54:23
15,"the danish defence. subsequently the defence draws up a contract for voluntary army training and also decides the number of conscripts needed. finally the suitability of individuals - conscripts as well as volunteers – for army services is evaluated. payment as well as other benefits for conscripts will be raised compared to the present pay during the first four months of conscription. compulsory military service, including questions on numbers, duration and content, will be evaluated at the end of 2006.",509,80,97,4,denmark_2004_DefenceAgreement.md,2025-01-28 18:54:23
16,"# # # international missions the armed forces are to be reorganised and developed. together with denmark ’ s allies, danish defence must be able to participate effectively in high intensity operations under often difficult and unstable conditions ; accordingly, the means must be obtained for stabilising actual areas of conflict and for rapidly deploying the forces in such areas. by so doing, danish - - - - - defence can and should have a much greater capability than before to participate in peace - support operations, e. g., conflict prevention, peacekeeping, peace - making, humanitarian and other similar missions. the military effort must be planned in coordination with",679,109,130,5,denmark_2004_DefenceAgreement.md,2025-01-28 18:54:23
17,"other danish endeavours to obtain maximum effect of the overall effort and fortify denmark ’ s capacity to shoulder responsibility. the relevant organisations should be gathered as early as possible to prepare the deployment of danish military contingents, which would enable the definition of any relevant civilian stabilisation efforts in the sphere of military operations from the outset. a focused effort and mutual exploitation of military and civilian experience in this context would make it possible to get better results and thus – other things being equal – also reduce the need for a military presence. in the joint opinion of the parties, the recent and foreseeable developments of security policy make it possible to di",732,116,130,5,denmark_2004_DefenceAgreement.md,2025-01-28 18:54:23
18,"##sband the mobilisation defence in order to strengthen the capability of danish defence both to contribute to total defence, including the capability to contain terrorist actions and impact, and to deploy well - trained, well - equipped units in international missions. it must be possible to deploy denmark ’ s armed forces both at home and abroad, whereby the defence of denmark, in cooperation with denmark ’ s allies, will obviously be the overriding task if the need arises.",480,79,95,5,denmark_2004_DefenceAgreement.md,2025-01-28 18:54:23
19,"# # # other issues danish defence is to be reorganised by streamlining and trimming the staff and support structure for the benefit of the operational capacities. centralising the administration of personnel, material and establishments, etc., will reduce administration for the defence command, the royal administration of navigation and hydrography, the home guard command, the defence construction service, the operational commands and subordinate authorities, including regiments, air bases, naval bases, schools, etc. the modifications will shift the current balance between the staff and support structure and the operational commands in favour of operational capacities. the parties of the accord note that steps have been taken",735,105,130,6,denmark_2004_DefenceAgreement.md,2025-01-28 18:54:23
20,"to outsource danish defence ’ s itc operations. the parties agree that the institutions and authorities of the ministry of defence must continue to be managed as efficiently as possible. a result of the ministry ’ s efficiency engineering strategy is that all operating tasks will be reviewed to assess their outsourcing suitability. as a result, focus will be brought to bear on the unexploited outsourcing potential and thereby exploit the market competition to increase the efficiency and quality in the performance of operating assignments. * * in summary : * * - danish defence will be reorganised to provide operational capacities and to release resources that enable",673,108,130,6,denmark_2004_DefenceAgreement.md,2025-01-28 18:54:23
21,"danish defence to mobilise and deploy forces promptly and flexibly in international operations and to maintain deployed capacities that are the equivalent of some 2, 000 personnel ( 1500 from the army and 500 from the navy and air force ). - the current mobilisation defence and affiliated structure are to be disbanded. the remaining staff and support structures are to be streamlined and trimmed to meet the precise needs for supporting the operational units, including total defence and other domestic task performance. - the tasks of the national emergency management effort, the home guard and the ministry of defence are to be gathered under the sphere of the minister of defence. - the present compulsory",711,116,130,6,denmark_2004_DefenceAgreement.md,2025-01-28 18:54:23
22,"military service scheme under the ministry of defence is to be reorganised and targeted on total defence. at the same time, this compulsory military service scheme will form the basis of military recruitment of anyone who wishes to contribute to embedding danish defence in the danish community. - the total number of operational units is to be reduced in return for a focused and qualitative reinforcement of the remaining units. - several military barracks and establishments are to be closed. - financial resources will be released for deploying danish military contingents in international operations. - - - - -",615,99,116,6,denmark_2004_DefenceAgreement.md,2025-01-28 18:54:23
23,"# # # army 2. the army ’ s capacity for rapid deployment of forces to prevent crises from occurring or developing further will be additionally strengthened, at the same time as maintaining forces abroad for a longer period of time and to a greater extent than before. accordingly, the army will be grouped in two brigades under the framework of the danish division. the danish division staff and divisional troops, as well as one of the brigades, will primarily consist of professional soldiers, while the other brigade will primarily comprise soldiers on a response - force contract. the brigades will be organised to enable the flexible deployment of a relevant military contingent according to the tasks and terms",716,119,130,7,denmark_2004_DefenceAgreement.md,2025-01-28 18:54:23
24,"of the actual operations. it is presumed that the deployment and logistics are planned and continuously tested in conjunction with exercises, participation in nato ’ s response force, etc., so as to include the navy and air force in this process in relation to sea and air transporting, enabling military forces to be deployed on short notice. the danish division, and affiliated brigades and divisional troops, are to be affiliated with the allied command europe rapid reaction corps headquartered in rheindahlen, germany, and it will also be possible to affiliate the units with the multinational corps north east, headquartered in poland. furthermore, denmark will continue to participate in the multinational stand",718,111,130,7,denmark_2004_DefenceAgreement.md,2025-01-28 18:54:23
25,"##by forces high readiness brigade for un operations ( shirbrig ) with a headquarters company, a reconnaissance unit, a military police unit and staff personnel. the forces designated to shirbrig will be obtained from the army ’ s two brigades. the accord parties agree that denmark must work for a development of shirbrig, so that the multinational brigade – besides peacekeeping operations on the basis of chapter vi of the un charter – can be deployed with more robust units in peacemaking operations on the basis of chapter vii of the un charter. the compulsory military service is to be reorganised so the training programme enables the conscript",651,108,132,7,denmark_2004_DefenceAgreement.md,2025-01-28 18:54:23
