chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# # # # # summary,17,6,8,0,denmark_2008_DefenceGlobalEngagement.md,2025-01-28 18:55:26
2,# # danish defence global engagement,36,6,8,1,denmark_2008_DefenceGlobalEngagement.md,2025-01-28 18:55:26
3,"# # # # # report by the danish defence commission of 2008 - - - - - summary danish defence – global engagement report by the danish defence commission 2008 - - - - - danish defence – global engagement the report of the danish defence commission, march 2009 the publication is available for order or collection at : danish ministry of defence holmens kanal 42 dk - 1060 copenhagen k. phone : + 45 3392 3220 fax : + 45 3332 0655 email address : fmn @ fmn. dk the publication can also be downloaded at the following website : www. fmn. dk paper : cover :",551,109,130,2,denmark_2008_DefenceGlobalEngagement.md,2025-01-28 18:55:26
4,"fincard lux contents : re - print set with : berthold akzidenz grotesk & palatino linotype graphic design and layout : goodmorning technology www. gmtn. dk print : schultz grafisk photos : polfoto danish defence media centre translation : competence centre, ministry of foreign affairs of denmark isbn 978 - 87 - 90616 - 30 - 4 copies : summary ( english ) – 2, 000 - - - - -",375,71,98,2,denmark_2008_DefenceGlobalEngagement.md,2025-01-28 18:55:26
5,# # # # # summary,17,6,8,3,denmark_2008_DefenceGlobalEngagement.md,2025-01-28 18:55:26
6,# danish defence global engagement,34,5,7,4,denmark_2008_DefenceGlobalEngagement.md,2025-01-28 18:55:26
7,# # # # # report by the danish defence commission 2008 - - - - -,64,17,19,5,denmark_2008_DefenceGlobalEngagement.md,2025-01-28 18:55:26
8,"# # foreword by the chairman the danish armed forces have undergone a dramatic restructuring. where previously almost the entire emphasis lay on defending danish territory, international tasks are now playing a significant role in determining the focus of danish defence. this has given denmark an opportunity to pursue a proactive foreign policy over the twenty years that have passed since the fall of the berlin wall in 1989. at the same time, the terrorist attacks on the world trade center in new york and on the pentagon in washington d. c. on 11 september 2001 have led to far greater focus on efforts to combat terrorism, extremism and the proliferation of weapons of mass destruction.",693,116,130,6,denmark_2008_DefenceGlobalEngagement.md,2025-01-28 18:55:26
9,"as a result, the nature of the international engagement has changed – from cyprus, bosnia and kosovo to iraq and afghanistan. this has taken its toll on the danish armed forces, in terms of equipment as well as personnel. the danish armed forces have drawn on their reserves and today are faced with seriously depleted stocks of ammunition and training equipment. it should be a matter of course that the soldiers who are sent to afghanistan are trained on the equipment they are to use down there, but that is not the case. there is therefore a need to raise the level of equipment investments in the long term if the soldiers we send out are to be given the",659,120,130,6,denmark_2008_DefenceGlobalEngagement.md,2025-01-28 18:55:26
10,"best possible protection. by the end of 2009, the danish armed forces will have approx. 2, 300 vacancies. balancing the books so far has been possible only through redirecting the payroll savings to cover the gap. however, this is not sustainable indefinitely, as the strain on the soldiers who remain in the danish armed forces will just become even heavier. it is therefore vital to halt this development by endeavouring to retain key personnel and also by training more officers, partly by increasing the intake on officer training programmes. however, it takes ten years to educate and train a new captain, and it also takes time to train specialists.",655,109,130,6,denmark_2008_DefenceGlobalEngagement.md,2025-01-28 18:55:26
11,"it is typically these two age groups who are parents to small children. it is therefore important to examine the distribution of total pay - related allowances between the deployed staff groups, and at the same time earmark a sum of dkk 14 million for a new allowance that can support deployed personnel with family provider responsibilities. of course, money is not everything, and in this respect the danish armed forces have also launched a large number of other initiatives designed to improve the day - to - day working life of personnel. given the need to redress the shortages of equipment and personnel, there is little room for new activities. however, the danish defence",680,115,130,6,denmark_2008_DefenceGlobalEngagement.md,2025-01-28 18:55:26
12,"commission proposes that new capabilities be established in two areas. one area is computer network operations ( cno ), which partly aims at securing the it systems of the danish armed forces against attacks in cyberspace. the second is capacity building, which ranges from, for example, assisting the east - african countries in building a peacekeeping unit that can be deployed in troubled areas elsewhere in africa, to training a unit of the afghan government forces to take over eventually some of the tasks we perform today. - - - - - it has also been important to ensure that we do not experience a repeat of what has happened in the present defence agreement period, during",680,117,130,6,denmark_2008_DefenceGlobalEngagement.md,2025-01-28 18:55:26
13,"which the danish defence coffers have been drained by international operations. the defence commission therefore finds that all net additional expenditures related to the danish armed forces ’ international engagement, including expenditures related to equipment losses and write - offs, etc. should be made visible in connection with the report on the net additional expenditures that, as a rule, are covered under section 35 of the danish finance and appropriations act. all these proposals cost money. the question is where should it come from? it is clear that the money is to be found either by discontinuing existing capabilities in the danish armed forces – and here the defence commission has identified a number",720,114,130,6,denmark_2008_DefenceGlobalEngagement.md,2025-01-28 18:55:26
14,"of possibilities – or by increasing the defence budget. however, it is not the defence commission ’ s task to make this choice ; the final prioritisation of resources must be determined in connection with the adoption of a new defence agreement. i have had the privilege of being a member of the three last defence commissions. in 1988, i was the new defence spokesperson for the social democratic party ; in 1997, i was minister of defence ; and on this occasion i have been chairman. a defence commission has its own dynamics and brings together people with widely different backgrounds : politicians, experts, military executives, and officials from the relevant government ministries. moreover",697,115,130,6,denmark_2008_DefenceGlobalEngagement.md,2025-01-28 18:55:26
15,", a shared knowledge base and personal relations are developed that subsequently make it easier to find common solutions to difficult issues. in my view, the most remarkable aspect of this defence commission is the broad agreement that has characterised its work. admittedly, one single party, the red - green alliance, has written its own minority statement, but there were six such minority statements last time. only one party, the danish people ’ s party, has entered a reservation concerning the esdp. and even though two parties are in principle opposed to compulsory military service, and one party proposes that the danish home guard be transferred to the civil preparedness sphere, the",694,112,130,6,denmark_2008_DefenceGlobalEngagement.md,2025-01-28 18:55:26
16,"agreement on the main lines of danish defence and security policy has never been broader during the last 150 years than now. let me finish by thanking the minister of defence, søren gade, for giving me this unique opportunity to “ revisit ” danish defence. i would also like to thank the members of the defence commission for the patience they have shown. and last, but definitely not least, i would like to express my thanks to the secretariat, who have worked very hard and into the small hours for our common cause. chairman of the danish defence commission hans hækkerup - - - - - - - - - -",594,111,130,6,denmark_2008_DefenceGlobalEngagement.md,2025-01-28 18:55:26
17,# # table of contents * * foreword by the chairman * * * * table of contents * * 8 * * chapter 1 * * the premises of security policy 16 20 26 34 40 44 52 58 88 * * chapter 2 * * the danish armed forces – aims and tasks * * chapter 3 * * the danish armed forces – present structure * * chapter 4 * * technology and equipment * * chapter 5 * * people – roles and conditions * * chapter 6 * * the support structure * * chapter 7 * * the danish armed forces - development * * chapter 8 * * resources * * recommendations * * * * minority statement by member of,555,128,130,7,denmark_2008_DefenceGlobalEngagement.md,2025-01-28 18:55:26
18,"the folketing, mr. frank aaen ( red - green alliance ) * * - - - - -",68,18,25,7,denmark_2008_DefenceGlobalEngagement.md,2025-01-28 18:55:26
19,"# # the premises of security policy of these countries to potential crisis and conflict areas and their actions in the international organisations will therefore have considerable and steadily increasing influence on the ability of the international order to tackle security policy challenges in the future. another consequence of globalisation is the increasing competition facing the state from other actors. particularly in the economic sphere, regional organisations and non - government actors such as multinational companies and nongovernmental organisations ( ngos ) will acquire greater influence. * * denmark is not expected to face a * * * * conventional military threat in the * * * * foreseeable future and therefore * * * * enjoys a",745,118,130,8,denmark_2008_DefenceGlobalEngagement.md,2025-01-28 18:55:26
