chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,strategi for søfartssektorens! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png )! [ 0 _ image _ 1. png ] ( 0 _ image _ 1. png ) cyber - og informationssikkerhed 2019 - 2022 søfartens cyber - og informationssikkerhedsenhed | indholdsfortegnelse | | | - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - - - - - - - - - -,323,91,130,0,denmark_2018_CybersecurityStrategyForShipping_noneng.md,2025-01-28 18:57:53
2,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,255,128,130,0,denmark_2018_CybersecurityStrategyForShipping_noneng.md,2025-01-28 18:57:53
3,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,255,128,130,0,denmark_2018_CybersecurityStrategyForShipping_noneng.md,2025-01-28 18:57:53
4,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,255,128,130,0,denmark_2018_CybersecurityStrategyForShipping_noneng.md,2025-01-28 18:57:53
5,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,255,128,130,0,denmark_2018_CybersecurityStrategyForShipping_noneng.md,2025-01-28 18:57:53
6,"- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | | 1 | indledning 2 | | 2 | afgrænsning 2 | | 3 | trusler, risici og",265,117,130,0,denmark_2018_CybersecurityStrategyForShipping_noneng.md,2025-01-28 18:57:53
7,sarbarheder for søfartssektoren 3 | | 3. 1 | cfcs trusselsvurdering 3 | | 3. 2 | risiko - og sarbarhedsanalyse af søfartssektoren 3 | | 3. 2. 1 | generelle observationer 4 | | 3. 2. 2 | identificerede risici 4 | | 3. 2. 3 | anbefalinger 4 | | 4 | styrket indsats for at styrke cyber - og informationssikkerheden i søfarts,321,65,130,0,denmark_2018_CybersecurityStrategyForShipping_noneng.md,2025-01-28 18:57:53
8,##sektoren 5 4. 1. 1 søfartens cyber - og informationssikkerhedsenhed 5 4. 1. 2 implementering af eu - og international lovgivning 5 4. 1. 3 brugervenlige anbefalinger til søfartssektorens aktører 6 4. 1. 4 it - sikkerhedskultur og awareness 7 4. 1. 5 fokusering pa standardiserede processer i relation til cyber - og informationssikkerhedsledelse 7 4. 1. 6 sikre et vedvar,373,61,132,0,denmark_2018_CybersecurityStrategyForShipping_noneng.md,2025-01-28 18:57:53
9,##ende og robust cyber - og informationssikkerhedsberedskab i søfartssektoren 8 4. 1. 7 udvekslingspunkt mellem søfartssektorens aktører og cfcs 8 4. 1. 8 indstationering af søfartsmedarbejder hos cfcs 9 | | 4. 2 | det maritime cyber - og informationssikkerhedsforum 9 | | 4. 2. 1 | øget awareness - niveau gennem samarbejde og vidensdeling i søfar,348,57,132,0,denmark_2018_CybersecurityStrategyForShipping_noneng.md,2025-01-28 18:57:53
10,##tssektoren 9 | | 4. 2. 2 | fælles beredskabs - og varslingsplan til handtering af it - sikkerhedshændelser 10 | | 4. 2. 3 | planlægning og gennemførelse af fælles cyber - og informationssikkerhedsøvelser 10 | | 5 | afslutning 10 | | 5. 1 | tidshorisont 11 |,259,50,104,0,denmark_2018_CybersecurityStrategyForShipping_noneng.md,2025-01-28 18:57:53
