chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# foreign and security policy strategy,38,6,8,0,denmark_2023_ForeignAndSecurityPolicyStrategy.md,2025-01-28 18:54:10
2,# # # # # # may 2023 - - - - -,30,13,16,1,denmark_2023_ForeignAndSecurityPolicyStrategy.md,2025-01-28 18:54:10
3,# contents * * preface.................................................................................................. * * * * 5 * * * * introduction...............,166,15,130,2,denmark_2023_ForeignAndSecurityPolicyStrategy.md,2025-01-28 18:54:10
4,.............................................................................. * * * * 7 * * * * intensified security situation in europe....................................,173,15,130,2,denmark_2023_ForeignAndSecurityPolicyStrategy.md,2025-01-28 18:54:10
5,............................. * * * * 11 * * * * global partnerships and building alliances * *.............................................................. * * 17 * * * * a more robust society * *........,206,30,130,2,denmark_2023_ForeignAndSecurityPolicyStrategy.md,2025-01-28 18:54:10
6,"........................................................................... * * 23 * * - - - - - not mean that everything is equally good and that it does not matter what you fight for. thus, pragmatic idealism is not a confrontation with our values either. on the contrary. if we are to leave",293,47,130,2,denmark_2023_ForeignAndSecurityPolicyStrategy.md,2025-01-28 18:54:10
7,"a mark on the world around us, we will not get very far alone. denmark is a big nation, but a small country. therefore, our relation ships with our closest friends are a cornerstone of the strategy. the times call for a wholehearted danish commitment to the eu. and for an eu that stands firm and assumes a more active role on the foreign policy stage. the eu must not be just a meeting place ; it must dare to be a player in its own right. if we put our forces together, 2 plus 2 may well add up to 5. this is not a news catalogue that you have in front of you.",562,115,130,2,denmark_2023_ForeignAndSecurityPolicyStrategy.md,2025-01-28 18:54:10
8,"it is denmark ’ s official new foreign and security policy strategy. the document that the government will govern by when we have to make decisions about the big and small things in the world. and which we will use as the starting point for many of the other strategies that will follow in the near future. but it is not completely devoid of new thoughts and perspectives. those thoughts, i look forward to developing further. * * lars løkke rasmussen * * minister of foreign affairs may 2023",492,89,102,2,denmark_2023_ForeignAndSecurityPolicyStrategy.md,2025-01-28 18:54:10
9,"# we must deal with the world as it actually is : uncertain, unpredictable, and complicated",91,16,20,3,denmark_2023_ForeignAndSecurityPolicyStrategy.md,2025-01-28 18:54:10
10,"# preface the most recent foreign and security policy strat egy was presented just weeks before the first rus sian tanks rolled across the borders of ukraine on 24 february 2022. the ink had barely dried before a new geopolitical reality came crashing down. therefore, this new strategy that you have in your hands does not arrive a day too early. the strategy sets the course for how we can best secure danish interests and values when meeting the world as it looks today. with pragmatic idealism as the headline. to begin with, this means that we must deal with the world as it actually is : uncertain, unpredictable, and",623,110,130,4,denmark_2023_ForeignAndSecurityPolicyStrategy.md,2025-01-28 18:54:10
11,"complicated. brutal at times. russia disregards international law. china wants more elbow room. the usa is turning its attention to developments in asia. there is more tension and greater competition than there has been for a long time. we will have to size up the situation. we must not be naive. countries act according to their own interests, not according to what would be good for denmark. if we ignore that fact, we will find ourselves in trouble. at the same time, we must hold on to our belief in ourselves. there is no use in hiding under the bed and hoping that the storm will pass. we must pursue an active",617,112,130,4,denmark_2023_ForeignAndSecurityPolicyStrategy.md,2025-01-28 18:54:10
12,", ambitious, and optimistic foreign policy based on the values that we ourselves are formed by. because we believe that democracy, freedom, and human rights make life better no matter where in the world you live. realism does - - - - -",235,43,50,4,denmark_2023_ForeignAndSecurityPolicyStrategy.md,2025-01-28 18:54:10
13,# introduction,14,2,4,5,denmark_2023_ForeignAndSecurityPolicyStrategy.md,2025-01-28 18:54:10
