chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,plan nacional de seguridad integral! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png ) 2019 - 2030! [ 0 _ image _ 1. png ] ( 0 _ image _ 1. png )! [ 0 _ image _ 2. png ] ( 0 _ image _ 2. png ) plan nacional de seguridad integral 2019 - 2030 0! [ 3 _ image _ 14. png ] ( 3 _ image _ 14. png ) 6! [ 3 _ image _ 5. png ] ( 3 _ image _ 5. png,334,97,130,0,ecuador_2019_NationalIntegralSecurityPlan_noneng.md,2025-01-28 18:58:14
2,) [UNK]! [ 3 _ image _ 0. png ] ( 3 _ image _ 0. png )! [ 3 _ image _ 1. png ] ( 3 _ image _ 1. png )! [ 3 _ image _ 2. png ] ( 3 _ image _ 2. png )! [ 3 _ image _ 3. png ] ( 3 _ image _ 3. png )! [ 3 _ image _ 4. png ] ( 3 _ image _ 4. png ) [UNK] [UNK]! [ 3 _ image _ 6. png ] ( 3 _ image _ 6. p,297,99,130,0,ecuador_2019_NationalIntegralSecurityPlan_noneng.md,2025-01-28 18:58:14
3,##ng ) 18 000! [ 3 _ image _ 8. png ] ( 3 _ image _ 8. png )! [ 3 _ image _ 13. png ] ( 3 _ image _ 13. png ) a! [ 3 _ image _ 7. png ] ( 3 _ image _ 7. png )! [ 3 _ image _ 9. png ] ( 3 _ image _ 9. png )! [ 3 _ image _ 12. png ] ( 3 _ image _ 12. png ) approvent [UNK]! [ 3 _ image _ 15. png ] ( 3 _ image,307,99,132,0,ecuador_2019_NationalIntegralSecurityPlan_noneng.md,2025-01-28 18:58:14
4,_ 15. png ) 0! [ 3 _ image _ 10. png ] ( 3 _ image _ 10. png )! [ 3 _ image _ 11. png ] ( 3 _ image _ 11. png )! [ 3 _ image _ 16. png ] ( 3 _ image _ 16. png )! [ 3 _ image _ 17. png ] ( 3 _ image _ 17. png )! [ 3 _ image _ 18. png ] ( 3 _ image _ 18. png ) 20! [ 3 _ image _ 19. png ] ( 3 _ image,298,98,130,0,ecuador_2019_NationalIntegralSecurityPlan_noneng.md,2025-01-28 18:58:14
5,_ 19. png ) y exaltacion de la libertad en los andes mural jorge perugachy - universidad andina simon bolivar,109,20,32,0,ecuador_2019_NationalIntegralSecurityPlan_noneng.md,2025-01-28 18:58:14
6,# plan nacional de seguridad integral direccion general grad. ( s. p. ) oswaldo jarrin roman ministro de defensa nacional dra. maria paula romo ministra del interior | abg. ricardo andres luque director general del centro de inteligencia estrategica emb. jose valencia ministro de relaciones exteriores y movilidad humana equipo de planificacion y coordinacion interinstitucional | | - - - - - - - - - - - - - - - - - - - - - -,427,79,130,1,ecuador_2019_NationalIntegralSecurityPlan_noneng.md,2025-01-28 18:58:14
7,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,255,128,130,1,ecuador_2019_NationalIntegralSecurityPlan_noneng.md,2025-01-28 18:58:14
8,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | lcda. maria alexandra ocles directora general del servicio nacional de gestion de riesgos y emergencias | analistas tcrn. de e. m. carlos toro b. mayo. de m. g. diego sanchez dr. jackson villota lcda. cristina,341,101,130,1,ecuador_2019_NationalIntegralSecurityPlan_noneng.md,2025-01-28 18:58:14
9,flores | | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | coordinador grad. ( s. p.,262,121,130,1,ecuador_2019_NationalIntegralSecurityPlan_noneng.md,2025-01-28 18:58:14
10,) francisco drouet directores crnl. de e. m. c. edison mogollon crnl. de e. m. c. amilcar alvear equipo de apoyo institucional ministerio de defensa nacional ministerio del interior ministerio de relaciones exteriores y movilidad humana centro de inteligencia estrategica servicio nacional de gestion de riesgos y emergencias secretaria nacional de planificacion y desarrollo revision ortografica lcdo. oswaldo orces salvador comuni,432,61,130,1,ecuador_2019_NationalIntegralSecurityPlan_noneng.md,2025-01-28 18:58:14
11,##cacion social ejercito ecuatoriano diseno y diagramacion ing. marcelo argoti paez fotografias presidencia de la republica ministerio de defensa nacional universidad andina simon bolivar fuerzas armadas direccion de cuerpos colegiadosgabinete sectorial de seguridad | apoyo tecnico sgos. segundo chimborazo | | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,379,75,132,1,ecuador_2019_NationalIntegralSecurityPlan_noneng.md,2025-01-28 18:58:14
12,- - - - - - - - | | | | sgos. fernando yasig | impresion instituto geografico militar ( igm ) ano 2019! [ 6 _ image _ 0. png ] ( 6 _ image _ 0. png )! [ 6 _ image _ 1. png ] ( 6 _ image _ 1. png )! [ 6 _ image _ 2. png ] ( 6 _ image _ 2. png )! [ 6 _ image _ 3. png ] ( 6 _ image _ 3. png )! [ 6 _ image _,305,94,130,1,ecuador_2019_NationalIntegralSecurityPlan_noneng.md,2025-01-28 18:58:14
13,4. png ] ( 6 _ image _ 4. png )! [ 6 _ image _ 6. png ] ( 6 _ image _ 6. png )! [ 6 _ image _ 5. png ] ( 6 _ image _ 5. png ),125,43,59,1,ecuador_2019_NationalIntegralSecurityPlan_noneng.md,2025-01-28 18:58:14
14,# contenido | 1. prologo | 13 | | | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - -,261,123,130,2,ecuador_2019_NationalIntegralSecurityPlan_noneng.md,2025-01-28 18:58:14
15,| | 2. introduccion | 21 | | | 3. concepcion de seguridad en el ecuador | 31 | | | 3. 1. la cooperacion interinstitucional | 43 | | | 4. marco normativo | 51 | | | 4. 1. marco institucional | 56 | | | 4. 2. marco de planificacion | 58 | | | 4. 2. 1. | fase de formulacion | 60 | | 4. 2. 2. | fase de implementacion | 60 | | 4. 2. 3. | fase de,342,86,130,2,ecuador_2019_NationalIntegralSecurityPlan_noneng.md,2025-01-28 18:58:14
16,seguimiento y evaluacion | 61 | | 5. resumen de escenarios | 65 | | | 5. 1. mundial | 67 | | | 5. 2. regional | 87 | | | 5. 3. local | 95 | | | 6. objetivos y estrategias | 103 | | | 7. seguimiento y evaluacion | 113 | | | 7. 1. objetivo del seguimiento y evaluacion | 115 | | | 7. 2. definicion e implementacion de la fase de seguimiento y evalu,346,82,130,2,ecuador_2019_NationalIntegralSecurityPlan_noneng.md,2025-01-28 18:58:14
17,##acion | 116 | | | 7. 3. alcance | 118 | | | 7. 4. metodologia | 118 | | 8 | 7. 5. periodicidad | 119 | | | - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - - - - - - - - - | - - - - - | | 7. 6. responsable | 120 | | | 7. 7. producto | 121 | | | 7. 8. difusion | 122 | | | 8. g,293,105,133,2,ecuador_2019_NationalIntegralSecurityPlan_noneng.md,2025-01-28 18:58:14
18,"##losario de siglas | 125 | | | 9. glosario de terminos | 139 | | | 10. | bibliografia | 151 | anexos a : marco normativo b : matriz de objetivos, estrategias y acciones estrategicas especificas! [ 8 _ image _ 0. png ] ( 8 _ image _ 0. png )! [ 9 _ image _ 0. png ] ( 9 _ image _ 0. png ) y palacio de carondelet presidencia de la republic",339,78,132,2,ecuador_2019_NationalIntegralSecurityPlan_noneng.md,2025-01-28 18:58:14
19,##a del ecuador 1. prologo! [ 14 _ image _ 0. png ] ( 14 _ image _ 0. png ),75,21,33,2,ecuador_2019_NationalIntegralSecurityPlan_noneng.md,2025-01-28 18:58:14
20,"# # la seguridad integral : un compromiso colectivo una preocupacion primordial del gobierno – siempre – es mejorar la eficiencia de las instituciones publicas, sobre todo de aquellas llamadas a proteger a la sociedad de todo tipo de amenazas y peligros. en esa linea, hemos abordado como tarea urgente la actualizacion del plan nacional de seguridad integral, a fin de fortalecer la capacidad de respu",402,66,130,3,ecuador_2019_NationalIntegralSecurityPlan_noneng.md,2025-01-28 18:58:14
21,"##esta del estado ante diversos riesgos que podrian presentarse. la seguridad – como procedimiento estrategico – demanda medidas a corto, mediano y largo plazos, que permitan fortalecer el accionar coordinado de los ministerios de relaciones exteriores y movilidad humana, de defensa nacional y! [ 14 _ image _ 1. png ] ( 14 _ image _ 1. png ) del interior, asi como del centro de inteligencia estrategic",404,68,132,3,ecuador_2019_NationalIntegralSecurityPlan_noneng.md,2025-01-28 18:58:14
22,"##a y del servicio nacional de gestion de riesgos y emergencias. nuestro plan de seguridad integral se sustenta en normativas internacionales, regionales y locales, asi como en mandatos y preceptos que constan en la constitucion de la republica, en el plan nacional de desarrollo y en la ley de seguridad publica y del estado, entre otros instrumentos. el plan abarca el periodo 2019 - 2030, tiempo en el cual se desarrollaran las",430,72,132,3,ecuador_2019_NationalIntegralSecurityPlan_noneng.md,2025-01-28 18:58:14
23,"bases de una cultura prospectiva y preventiva en materia de seguridad. obviamente, para precautelar la sana convivencia se requiere del mas amplio y autentico compromiso ciudadano, bajo el convencimiento que somos un pais de paz, que desea vivir sin violencia. con estos antecedentes, es muy grato entregar a la ciudadania el plan nacional de seguridad integral 2019 - 2030, documento que contiene cinco planes estrategicos,",424,65,130,3,ecuador_2019_NationalIntegralSecurityPlan_noneng.md,2025-01-28 18:58:14
24,"que fueron ampliamente discutidos y luego aprobados por el gabinete sectorial de seguridad. me place sobremanera reafirmar el compromiso del gobierno nacional de mejorar, en forma sostenida, la capacidad de respuesta del estado y de sus instituciones ante las amenazas y desafios que debemos enfrentar a diario en el ambito de la seguridad. mi abrazo profundo y la gratitud del",377,60,130,3,ecuador_2019_NationalIntegralSecurityPlan_noneng.md,2025-01-28 18:58:14
