chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# estonian long term defence development plan 2009 – 2018 - - - - -,67,15,17,0,estonia_2009_LongTermDefenceDevelopmentPlan.md,2025-01-28 18:55:23
2,"# # dear reader, on 22 january 2009, the government of the republic of estonia approved the “ estonian long term defence development plan 2009 – 2018 ” ( hereafter plan 2018 ), which establishes the main development areas of the estonian defence forces for the next decade. below you will fi nd an overview of how the plan 2018 was drafted, what will be the main capability development areas and which investments will follow. to reach the goals of estonia ’ s national defence, our defence policy is based on principles as agreed by the parliament in june 2004 : indivisibility of security, solidarity and cooperation, credible military deterrence, unity",655,111,130,1,estonia_2009_LongTermDefenceDevelopmentPlan.md,2025-01-28 18:55:23
3,"of national defence and total defence, collective security, support to development of european union capabilities in the framework of european security and defence policy and taking part in esdp ; and democratic control of estonian defence forces. estonian military defence is part of integrated national defence and is based on two equally important pillars – developing essential capabilities for initial self - defence and collective defence with estonia ’ s nato membership as its cornerstone. these two together will create adequate deterrence to prevent any potential aggression. the defence of estonian territory against any large - scale attack will be conducted as a nato collective defence operation together with allies. what are essential capabilities for initial self - defence?",791,119,130,1,estonia_2009_LongTermDefenceDevelopmentPlan.md,2025-01-28 18:55:23
4,"this means having the capacity to resist to potential aggression until the arrival of allied forces as set out by the principles of collective defence. for estonia this will mean instant reaction to a possible crisis of military nature or sudden attack ; reception of allied forces by air, sea, or land dear reader, 3 national defence documents 4 how was the plan 2018 drafted? 5 which capabilities will be developed 2009 – 2018? 7 communication and intelligence systems will improve amari air base will be transformed into a modern nato airfi eld air defence will improve signifi cantly infantry brigade as the spearhead of the army mechanised units will improve combat capability",681,113,130,1,estonia_2009_LongTermDefenceDevelopmentPlan.md,2025-01-28 18:55:23
5,further upgrading of anti - tank capabilities the voluntary defence league as a broad and effective military organisation navy keeps its focus on mine countermeasures capabilities the air force will receive tactical transportation capability where will the defence forces be located and what kind of infrastructure will there be? 11 what will be the size of the estonian defence forces? 12 how much will it cost? 13 the end result : what will the estonian defence forces look like in 2018? 14 the long - term defence development plan 2009 – 2018 ( plan 2018 ) summary 15 - - - - - and to support their actions in estonia ; defence of strategically important areas and objects ; conduct of,688,121,130,1,estonia_2009_LongTermDefenceDevelopmentPlan.md,2025-01-28 18:55:23
6,"air defence, conduct of mine clearance and mine hunting in estonia ’ s territorial waters ; and conduct of mobilisation. the plan 2018 is directed towards building the necessary security net for main taining estonia ’ s national security.",238,39,47,1,estonia_2009_LongTermDefenceDevelopmentPlan.md,2025-01-28 18:55:23
7,"# # national defence documents as the plan 2018 was drafted, the hierarchy and coherence of estonian defence planning documentation was put in order with amendments to the peacetime national defence act and the planning process as a whole was organised. the backbone of estonian defence planning is formed by the following documents : the national security concept, national military strategy, long - term defence development plan, mid - term defence development plan, and defence forces operational plan. the development of the national security concept is led by the ministry of foreign affairs in coordination with other governmental agencies, and approved by the parliament of estonia. the national security concept forecasts potential security risks threatening",766,115,130,2,estonia_2009_LongTermDefenceDevelopmentPlan.md,2025-01-28 18:55:23
8,"the country, defi nes objectives for the development of all actors in security arena and supports stable development of the nation ’ s security. the current national security concept dates from june 2004. after that, the ministry of defence prepares the national military strategy, which is approved by the government. the national military strategy defi nes threat scenarios, level of ambition in national defence, discusses general defence model of estonia and sets priorities of national military defence. the current national military strategy dates from january 2005. as a further development from the national military strategy, the ministry of defence and the estonian defence forces jointly develop the long - term defence development plan which is",756,115,130,2,estonia_2009_LongTermDefenceDevelopmentPlan.md,2025-01-28 18:55:23
9,"approved by the government. this document defi nes military capabilities to be developed in longer term, and describes the necessary requirements for human, time and fi nancial resources for their achievement. the long - term defence development plan is reviewed every four years. the current plan, the plan 2018 was approved on january 22, 2009. the method for detailed development of capabilities as set out in the longterm plan is established within a four year mid - term defence development plan, approved by the minister of defence, and reviewed each year. the last planning document in this chain is the defence forces operational plan approved by the chief of defence. this establishes",693,112,130,2,estonia_2009_LongTermDefenceDevelopmentPlan.md,2025-01-28 18:55:23
10,how specifi c military tasks will be carried out with existing military capabilities and units.,95,15,20,2,estonia_2009_LongTermDefenceDevelopmentPlan.md,2025-01-28 18:55:23
11,"# # how was the plan 2018 drafted? the plan 2018 was drafted in close cooperation between the experts of the ministry of defence, headquarters of the estonian defence forces, headquarters of the defence league, and the information board. the fi rst step in drafting of the plan 2018 included compilation of potential threat scenarios. the scenarios were based on the newest strategic threat assessment and were done in cooperation of experts from the information board, the security police board, the defence forces intelligence department and the ministry of defence. the scenarios addressed potential threats to estonia in the near future requiring the use of the defence forces and the defence league. we have analysed",721,115,130,3,estonia_2009_LongTermDefenceDevelopmentPlan.md,2025-01-28 18:55:23
12,"the full spectrum of potential threats to estonia. the strategic threat assessment and threat scenarios are confi dential due to obvious reasons, but in general it can be said that in the current security environment there is no threat of a large - scale military attack to estonia as a member of nato. still, the threat scenarios illustrate that estonia must be ready to defend herself in case of external pressure and show of force, for which it is necessary to create a credible and functioning deterrence together with allies. in general terms, the threats to nation ’ s security remain as described in the national security strategy. - - - - - based on these ill",667,117,130,3,estonia_2009_LongTermDefenceDevelopmentPlan.md,2025-01-28 18:55:23
13,"##ustrative scenarios operational analysis was conducted. this identifi ed military capabilities required for national defence. in the following step capabilities required were compared with capabilities existing – this identifi ed capability gaps. the assessment of current and required military capabilities was carried out to establish an overall picture of the current situation and desired end state. capabilities required were then prioritised after weighted risk analysis. the main logic behind the prioritization was wide usability of capabilities while minimizing the risk to national defence, taking also into account possible resource implications – hence focusing on usable, fl exible and interoperable capabilities. in the following",745,103,133,3,estonia_2009_LongTermDefenceDevelopmentPlan.md,2025-01-28 18:55:23
14,"programming stage we determined the level to which any capability should be developed and their resource implications : in terms of fi nances, personnel and time. the programming resulted in three categories of capabilities : 1. capabilities that are necessary for national defence, but are too expen sive for estonia and can be achieved only in cooperation with nato and allies. in the case of estonia, such capabilities are, for example, fi ghter aircraft and attack helicopters. strategic airlift capability is another example of capabilities in this category, and to ensure this, estonia has joined nato ’ s strategic airlift capability ( sac ) project. 2. capabilities that are necessary",692,110,130,3,estonia_2009_LongTermDefenceDevelopmentPlan.md,2025-01-28 18:55:23
15,"for national defence, but are unreachable within the next 10 years. such capabilities identifi ed during programming are, for example, multiple launch rocket systems with a range of up to 70 kilometres and surface - to - surface missile systems required for destroying surface naval targets. the development of such capabilities could be considered after 2018 or in case some other projects in development will have signifi cantly lower resource implications than originally planned. 3. capabilities that are necessary for national defence and the development of which can be launched within the next 10 years. those capabilities form the basis of the plan 2018. all in all, such a",681,109,130,3,estonia_2009_LongTermDefenceDevelopmentPlan.md,2025-01-28 18:55:23
16,"planning model guarantees that the plan 2018 corresponds to the current security environment, is drafted considering both military and civil expertise, and is consistent with existing resources.",194,27,32,3,estonia_2009_LongTermDefenceDevelopmentPlan.md,2025-01-28 18:55:23
17,"# # which capabilities will be developed 2009 – 2018? communication and intelligence systems will improve one of the main priorities of the plan 2018 is to develop the command and control, intelligence, surveillance and communications systems of the edf. in modern warfare, uninterrupted, encrypted and jam proof communications play an especially important role. without proper communications it is impossible to conduct effective command and control of military units. in order to develop this capability, large scale investments are planned for the next 10 years for all levels of command, starting with a single soldier on battlefi eld equipped with modern systems all the way to leadership of",696,108,130,4,estonia_2009_LongTermDefenceDevelopmentPlan.md,2025-01-28 18:55:23
