chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# table of contents * * introduction.........................................................................................................................,157,7,130,0,estonia_2017_NationalSecurityConcept.md,2025-01-28 18:53:41
2,.............. 2 * * * * 1. the objective of security policy and the principles for its * * * * realisation...........................................................................................,198,22,130,0,estonia_2017_NationalSecurityConcept.md,2025-01-28 18:53:41
3,................................................ 2 * * * * 2. security environment.......................................................................,153,9,130,0,estonia_2017_NationalSecurityConcept.md,2025-01-28 18:53:41
4,....................................... 3 * * * * 3. goals and guidelines...............................................................................,152,10,130,0,estonia_2017_NationalSecurityConcept.md,2025-01-28 18:53:41
5,................................. 6 * * * * 3. 1 diplomacy......................................................................................,144,9,130,0,estonia_2017_NationalSecurityConcept.md,2025-01-28 18:53:41
6,.................................................... 8 * * * * 3. 2 military defence..................................................................,150,10,130,0,estonia_2017_NationalSecurityConcept.md,2025-01-28 18:53:41
7,............................................................ 11 * * * * 3. 3 protection of constitutional order and law enforcement.....................................................,184,15,130,0,estonia_2017_NationalSecurityConcept.md,2025-01-28 18:53:41
8,... 12 * * * * 3. 4 conflict prevention and crisis management................................................................................. 14 * * * * 3. 5 economic security and the supporting infrastructure.................,227,26,130,0,estonia_2017_NationalSecurityConcept.md,2025-01-28 18:53:41
9,.............................................. 15 * * * * 3. 6. cyber security.......................................................................,149,10,130,0,estonia_2017_NationalSecurityConcept.md,2025-01-28 18:53:41
10,......................................................... 16 * * * * 3. 7 protection of people............................................................,154,11,130,0,estonia_2017_NationalSecurityConcept.md,2025-01-28 18:53:41
11,............................................................ 17 * * * * 3. 8 resilience and cohesion of society....................................................,163,13,130,0,estonia_2017_NationalSecurityConcept.md,2025-01-28 18:53:41
12,............................................ 19 * * * * 3. 9 the distant future.........................................................................,152,11,130,0,estonia_2017_NationalSecurityConcept.md,2025-01-28 18:53:41
13,"................................................. 20 * * - - - - - * * introduction * * national security concept 2017 ( hereinafter “ the concept ) defines the objective, principles and course of action of estonian security policy. this document has been prepared by the government of the republic and approved by the parliament ( riigikogu ). as a framework document it provides guidance for drafting national development and action plans. this",446,70,130,0,estonia_2017_NationalSecurityConcept.md,2025-01-28 18:53:41
14,"document replaces the national security concept approved by the riigikogu in 2010. the concept is amended or reviewed pursuant to changes in the security environment and developments of the estonian national security system, but each composition of the _ riigikogu _ shall update the concept at least every four years. at least twice during the four - year cycle the prime minister shall inform the riigikogu about achieving the goals set in the concept. estonia addresses its security as a part of a wider international security. trends connected to globalisation and the impact of international crises and conflicts affect estonia with increasing immediacy. in maintaining its security, estonia seeks",702,109,130,0,estonia_2017_NationalSecurityConcept.md,2025-01-28 18:53:41
15,"and supports ways and means that have a positive impact on estonia as well as on other states. estonia ’ s approach is based on the conviction that security is generated to protect human rights, fundamental freedoms and basic human values. these values determine our way of life and estonia represents them in general. when we honour democratic principles, our society can last and develop in a constant and sustainable manner. [ 1 ] in this way, a viable civil society and the people ’ s will to defend estonia will grow stronger and estonia ’ s position and reputation in the world will improve. * * 1. the objective of security policy and the principles for its *",666,119,130,0,estonia_2017_NationalSecurityConcept.md,2025-01-28 18:53:41
16,"* * * realisation * * _ the objective of estonian security policy is to secure the nation ’ s independence and sovereignty, _ _ the survival of the people and the state, territorial integrity, constitutional order and the safety of _ _ the population. in pursuing of its security policy, estonia respects fundamental rights and _ _ freedoms and protects constitutional values. _ estonia ’ s security policy proceeds from principles listed in the charter of the united nations ( un ), including the right and freedom of every country to choose its own security solutions. estonia ’ s security policy is not directed against any other state. estonia maintains its security through actively coordinated measures in",711,118,130,0,estonia_2017_NationalSecurityConcept.md,2025-01-28 18:53:41
17,"foreign and domestic policy. 1 sustainable development — developing the social, economic and natural environment holistically and harmoniously, which will guarantee a sustainably good quality of life for people and a clean living environment, both now and in the future. - - - - - estonia ’ s security policy is based on a broad security concept, [ 2 ] which includes all trends and fields relevant to maintaining security. estonia implements the broad security concept following the principles of society as a whole and government as whole. to maintain national sovereignty and its continuity, the goal of estonian security policy is to prevent and pre - empt threats, as well as counter",688,113,130,0,estonia_2017_NationalSecurityConcept.md,2025-01-28 18:53:41
18,"them quickly and flexibly, should the need arise. estonia will defend itself in any case, no matter how overwhelming the opponent might be. if the state temporarily loses control over a part of its territory, estonian citizens will engage in organised resistance in that area. estonia controls and defends its territory, territorial sea, peripheral bodies of water, air space and cyber space and is responsible for their safety. estonian security is guaranteed by the membership in the north atlantic treaty organization ( nato ) and the european union, as well as close cooperation with allies and other international partners. estonia regards its own security and that of its allies as indivisible",699,111,130,0,estonia_2017_NationalSecurityConcept.md,2025-01-28 18:53:41
19,": the factors that influence the security of allies also affect estonia and vice versa. estonia contributes to nato and the eu, in order to strengthen the solidarity of member states, counter the security threats in different regions, and improve the defence capability of member states. nato ’ s collective defence provides credible deterrence and defence for estonia. being a part of the european union ’ s common political, legal and economic space, which is based on member states ’ trust, cooperation and shared values, strengthens estonia ’ s security. estonia follows comprehensive national defence concept, [ 3 ] which involves both military and nonmilitary capabilities, activities and resources from",709,110,130,0,estonia_2017_NationalSecurityConcept.md,2025-01-28 18:53:41
20,"the public and private sectors and civil society. to facilitate consistent and effective functioning of national defence estonia develops six pillars : military defence, the civilian support for military defence, international action, domestic and internal security, maintenance of the continuous operation of the state and society, and psychological defence. estonia ’ s defence is based on initial individual defence system and nato ’ s collective defence. estonian security is strengthened by a cohesive civil society, in which its citizens ’ awareness and activity plays an important role in promoting security and safety. estonia ’ s security is strongest in a tolerant, caring and participatory society. * * 2. security environment *",739,111,130,0,estonia_2017_NationalSecurityConcept.md,2025-01-28 18:53:41
21,"* the international security environment is tense. threats and risks that emerged in connection with globalisation still exist and their influence has somewhat sharpened. the number of conflicts has not decreased ; there are several conflict zones in europe and its vicinity ; a number 2 broad security concept — security is understood as the ability of a state and its people to defend its intrinsic values and objectives from various external political, military, economic and social threats and risks and their combined impact, as well as the capability to neutralise those threats and risks. in order to achieve this, national and non - state bodies and resources that have participated in shaping and maintaining a stable and peaceful",739,119,130,0,estonia_2017_NationalSecurityConcept.md,2025-01-28 18:53:41
22,environment are employed in a coordinated manner. 3 comprehensive national defence concept ( riigikaitse lai kasitus in estonian ) — this term is used instead of the earlier estonian term laiapindne riigikaitse as proposed by the committee on security and defence policy terminology created upon the initiative of the estonian ministry of defence. comprehensive national defence is a part of the broad security concept. - - - - - of disputes that had earlier been frozen have still not been resolved. europe ’ s security is influenced by migration flows — a problem that has been exacerbated by the slow and inefficient resolution of,633,104,130,0,estonia_2017_NationalSecurityConcept.md,2025-01-28 18:53:41
23,"international conflicts. ideological and religious extremism have taken greater hold globally and are increasingly attacking the democratic world and its foundations. humanitarian crises are more common in today ’ s world than before and it is increasingly difficult for the international community to counter them. the state of the global economy is still uncertain ; the impact of climate change and inequality impinges on everyday life and development. the global influence of the western value space – based on democracy, the market economy, the rule of law and human rights – is decreasing, and ideological opposition to it is increasing all over the world. the united states is still the leading political, military and economic",734,115,130,0,estonia_2017_NationalSecurityConcept.md,2025-01-28 18:53:41
24,"power but, in addition to developed industrial states, other nations have been developing their political, economic and military capabilities and are gaining more prominent role in resolving global issues. several world regions contain states that would like to develop and function according to beliefs that diverge from universal principles. immediate threats to estonia ’ s security primarily depend on the security situation in the euroatlantic region and the relations between its neighbouring countries. european security is affected by russia ’ s increased military activity and aggressive behaviour. russia is interested in restoring its position as a great power and for that purpose will not refrain from coming into a sharp opposition with the west and the euro",772,117,130,0,estonia_2017_NationalSecurityConcept.md,2025-01-28 18:53:41
25,"- atlantic collective security system. in addition to political, diplomatic, informational and economic means, russia has used military power to achieve its objectives. russia has strengthened its armed forces and increased its military presence on the borders of nato member states, including in the baltic sea region and on estonia ’ s border. russia ’ s unpredictable, aggressive and provocative activity, e. g. airspace violations, offensive military exercises, and nuclear threats, is generating instability. sanctions and other countermeasures applied to russia have had a restraining effect, but the restoration of trust and cooperation depends on alleviating tensions and resolving the conflicts in which russia is involved",731,106,130,0,estonia_2017_NationalSecurityConcept.md,2025-01-28 18:53:41
26,". nato is the foundation of security and defence cooperation in the euro - atlantic region and the cornerstone of collective defence. actions intended to weaken nato and the solidarity of allies, jeopardise estonia and transatlantic security. the possibility of a military attack on estonia cannot be ruled out if nato ’ s collective deterrence is not credible. military coercion and the probability of military deployment against estonia or another state in the baltic sea region have increased. at the same time, nato ’ s military predominance is sufficient to repel adversaries an attack now and in the near future. the visibility of nato and the international security and",676,109,130,0,estonia_2017_NationalSecurityConcept.md,2025-01-28 18:53:41
27,"defence cooperation, as well as the level of activity, has increased in the region ; baltic and nordic states are engaging in more active cooperation. the european union and its fundamental freedoms have come under pressure and their cohesion has decreased. global recession, the economic difficulties of some member states and subsequent political instability, increasing pressures on european borders from migration, the grown threat from terrorism, and one member state ’ s decision to leave the union are all testing its foundations and eroding its political impact and resilience, [ 4 ] and may weaken the ties that bind the eu together. signs of political radicalisation and the polarisation of politics",709,111,130,0,estonia_2017_NationalSecurityConcept.md,2025-01-28 18:53:41
28,"are clearly evident in 4 a society ’ s resilience is its ability to recover quickly from the impact of negative phenomena, and restore its strength, flexibility and success. - - - - - some democracies thus reinforcing other negative phenomena that create instability. in these conditions, the common foreign and security policy ( cfsp ) and its coherence become more important than ever. the weakening of the ties that keep the european union together may bring russia to understanding that its aggressive policies are working and encourage it to proceed with its power politics. threats have become more complex and their sources more varied in recent decades. asymmetric",672,109,130,0,estonia_2017_NationalSecurityConcept.md,2025-01-28 18:53:41
29,"threats that know no state borders and whose sources are difficult to detect have emerged and their impact on security is comparable to traditional security threats. today it is increasingly clear that security is influenced by economic instability ; developments in the cyberspace ; technology - related threats ; radicalisation and terrorism ; organised crime and corruption ; migration flows ; and variety of other emergencies. the instability of the global economy makes the international security environment more complicated and reduces the ability of states and international organisations to react. the estonian economy is closely connected to the worlds ’. estonia is therefore significantly influenced by global trends, including economic crises and the instability of important international markets. as a",816,120,130,0,estonia_2017_NationalSecurityConcept.md,2025-01-28 18:53:41
30,"small country, estonia is more vulnerable to changes in the global economic environment than large ones, since such changes have a faster and deeper impact on a small state, which is less able to manage risks and deal with their consequences. changes in the global energy market, as well as in the established structure of energy supply between the european union and russia, may affect the estonian economy. the cyberspace has transformed human interaction and has become a part of global human development, but also a political and military battleground ; public services depend on it. information and communication technology and media can be used even more effectively to influence people and their level of information how",727,117,130,0,estonia_2017_NationalSecurityConcept.md,2025-01-28 18:53:41
31,"people are informed. the influence of the reality distorting information has created tension in international relations, caused the radicalisation of certain groups and harmed the cohesion of society. manipulating with and spreading of false information is widely used, also on a state level, to escalate conflicts. the number of violations in the cyberspace is increasing, and the perpetrators include terrorist groups and organised crime syndicates. attacks are also launched by individuals and groups whose activity is too often supported and directed by states. estonia ’ s digital services are integrated in large extent to the society. without them it would be impossible to function as a modern state, and",712,109,130,0,estonia_2017_NationalSecurityConcept.md,2025-01-28 18:53:41
32,"this increases the impact that potential attacks have on nations security. due to the connectivity between communications and information systems, an interruption in one vital service may influence the availability of many others, thereby endangering the functioning of the state as a whole. cyber security and digital services are fields where estonia ’ s expertise is trusted on a global level, and estonia is able to influence their development internationally. not only estonian residents but also the constantly growing community of international entrepreneurs related to estonia depend on the quality and safety of estonian digital services. e - residency has created responsibilities and obligations for the state also in relation to people who are not estonian citizens and who",785,119,130,0,estonia_2017_NationalSecurityConcept.md,2025-01-28 18:53:41
33,"do not physically live in the republic of estonia. being responsible for guarding the european union ’ s border, estonia plays an important role in maintaining the reliability of the schengen area. ineffective or non - existent control of the internal borders of the schengen area may be exploited to extend the reach of international - - - - - crime, and create and strengthen connections between terrorist groups, illegal migration or smuggling. in these conditions and taking into account that estonia is a democratic and open society the country may be also affected by the spread of extremist, malevolent or hate - based ideologies. this weakens the co",657,109,130,0,estonia_2017_NationalSecurityConcept.md,2025-01-28 18:53:41
34,"##hesion of society, reduces tolerance and creates social tensions. organised crime and corruption harm the country ’ s reputation ; weaken political, social and economic stability ; undermine trust in the state and democratic values ; may facilitate the emergence of an unfavourable social and economic environment ; and be detrimental to the population ’ s sense of security. manifestations of terrorism are often connected to international crime and the radicalisation of society. a major terrorist attack in a country of the western value system have an impact on estonian security. security may also be jeopardised due to a crisis caused by natural disaster, environmental pollution, or the spread of infectious disease",724,112,133,0,estonia_2017_NationalSecurityConcept.md,2025-01-28 18:53:41
35,"or epizootic in estonia or its vicinity. considering the country ’ s geographical position, this may, in turn, have an impact on food security, which could significantly influence various links in the food chain and the availability of certain food commodities. the spread of narcotic drugs and psychotropic substances endangers people ’ s health and their living environment. we cannot rule out the spread of a global outbreak, epidemic or epizootic elsewhere to estonia. uneven regional development, social inequality, poverty, poorly adapted segments of society or manifestations of intolerance may also affect the stability of the state. the polarisation",658,99,130,0,estonia_2017_NationalSecurityConcept.md,2025-01-28 18:53:41
36,"of society due to adversarial opinions and understandings increases uncertainty and decreases society ’ s resilience. in addition, the ageing and reducing size of population, which may also have ramifications for the country ’ s security, affects the functioning of estonia ’ s society and state. estonia ’ s future and security are clearly also connected to global trends. people have started to understand better the challenges to the global sustainability, and their multiple facets and interconnections. poverty, and the inequality and limited access to education it causes, rapid growth of the global population, and demand for vital resources necessary for life — fresh",675,104,130,0,estonia_2017_NationalSecurityConcept.md,2025-01-28 18:53:41
37,"water, arable land, food, energy — and climate change, as well as other changes in the environment brought about by human activity, may exacerbate tensions and lead to conflict. all of this generates global instability. people are more knowledgeable because they are better informed and use new forms of communication, which in turn means that they expect more from leadership and institutions but are also more prepared to contribute to the development of society. the inability to harness this grassroots initiative may make people feel rejected on a massive scale, which creates tensions in societies and increases the threat of conflict. urbanisation is spreading and the growth of the economic,",699,110,130,0,estonia_2017_NationalSecurityConcept.md,2025-01-28 18:53:41
