chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# the federal democratic republic of ethiopia foreign affairs and national security policy and strategy * * ministry of information * * * * press & audiovisual department * * * * november 2002 * * * * addis ababa * * * * table of contents * * - - - - - * * page * * * * introduction..............................................................,344,62,130,0,ethiopia_2002_ForeignAffairsAndNationalSecurityPolicy.md,2025-01-28 18:54:30
2,................................................... 1 * * * * section 1 : * * * * basic principles * * * * 1. the foundation of foreign affairs and national * * * * security policy … … … … … … …. * *..................................,233,42,130,0,ethiopia_2002_ForeignAffairsAndNationalSecurityPolicy.md,2025-01-28 18:54:30
3,......................................... 5 1. 1 development and the building of a democratic system as a basis for policy … … … … … … … … … … …...................................................... 5 1. 2 national,214,32,130,0,ethiopia_2002_ForeignAffairsAndNationalSecurityPolicy.md,2025-01-28 18:54:30
4,pride and prestige as a basis for policy.... … … … … …......................................................................... 9 1. 3 globalization as a basis for policy............................,198,22,130,0,ethiopia_2002_ForeignAffairsAndNationalSecurityPolicy.md,2025-01-28 18:54:30
5,.............. ….. 19 * * 2. objectives of the foreign affairs and national security policy … … … … …... * * 23 * * 3. the foreign affairs and national security strategies....................................... 25 * * 3. 1 devoting the prime focus to activities at home … … …................ 25 3,296,51,130,0,ethiopia_2002_ForeignAffairsAndNationalSecurityPolicy.md,2025-01-28 18:54:30
6,. 2 strategy centered on the economy … … …................................... 28 3. 3 full utilization of benefits based on proper analysis.................... 30 3. 4 minimizing threats on the basis of proper analysis … … …......... 32 3. 5 reducing vulnerability to threats.................,292,42,130,0,ethiopia_2002_ForeignAffairsAndNationalSecurityPolicy.md,2025-01-28 18:54:30
7,................................. 34 3. 6 building a reliable defence capability … … …............................... 40 a ) capacity building on the basis of a thorough threat analysis.......................................,224,25,130,0,ethiopia_2002_ForeignAffairsAndNationalSecurityPolicy.md,2025-01-28 18:54:30
8,.......................... 42 - - - - - b ) building capacity by focusing on manpower development … … … … … … … …................................................ 43 c ) cost - effective use of financial resources.....................,233,34,130,0,ethiopia_2002_ForeignAffairsAndNationalSecurityPolicy.md,2025-01-28 18:54:30
9,................ 46 d ) ensuring symibiotic linkage between defence expenditure and the economy … … … … … … … … … … … …......................... 47 e ) building capacity in the context of economic development and current threats … … … … … … … … … … … … …................... 48 3. 7 building strong implementation capacity......,327,59,130,0,ethiopia_2002_ForeignAffairsAndNationalSecurityPolicy.md,2025-01-28 18:54:30
10,............................. 49 a ) forging national consensus......................................................... 50 b ) strengthening the professional diplomatic capability...........................,207,15,130,0,ethiopia_2002_ForeignAffairsAndNationalSecurityPolicy.md,2025-01-28 18:54:30
11,........................................................ 52 c ) coordinating and involving those with a role in implementation............................................................,186,13,130,0,ethiopia_2002_ForeignAffairsAndNationalSecurityPolicy.md,2025-01-28 18:54:30
12,. 53 * * section 2 : * * * * ethiopia ' s relations with other countries * * * * 1. countries of the horn of africa.......................................................................... 56 * * 1. 1 general … … … … …............,231,40,130,0,ethiopia_2002_ForeignAffairsAndNationalSecurityPolicy.md,2025-01-28 18:54:30
13,....................................................... 56 a ) significance of neighboring countries to the development of ethiopia......................................................... 57 b ) significance,208,17,130,0,ethiopia_2002_ForeignAffairsAndNationalSecurityPolicy.md,2025-01-28 18:54:30
