chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# finnish security and defence policy 2001,42,7,9,0,finland_2001_SecurityAndDefencePolicy.md,2025-01-28 18:53:38
2,# # report by the government to parliament * * on 13 june 2001 * * isbn 951 - 53 - 2328 - 2 - - - - - * * contents * * summary section i : the security environment and finland ' s policy 1. security environment 1. 1 international developments 1. 2 the challenge of conflict prevention and crisis management 1. 3 international security cooperation 1. 4 defence policy and military development 1. 5 security and defence in northern europe and the baltic sea region 2. finland ' s security and defence policy 2. 1 security and defence policy instruments 2. 2 requirements of military defence and crisis management section ii : developing finland,642,117,130,1,finland_2001_SecurityAndDefencePolicy.md,2025-01-28 18:53:38
3,' s defence 1. military defence 1. 1 finland ' s defence solution 1. 2 military defence resources 2. structural changes implemented in the defence forces up to 2001 2. 1 objective of the structural changes 2. 2 structural changes implemented up to 2001 3. finland ' s defence system 2001 - 2008 3. 1 defence system development 3. 2 developing the defence forces command and control system 3. 3 developing each of the services 3. 4 developing war economy arrangements and logistics 3. 5 the defence forces in peacetime 4. cooperation of the defence forces with various authorities section iii : international crisis management 1. introduction 2. military crisis management 2,673,112,130,1,finland_2001_SecurityAndDefencePolicy.md,2025-01-28 18:53:38
4,. 1 principles and capacity for participating in crisis management 2. 2 participation in peacekeeping operation 2. 3 cooperation in military crisis management - - - - - 2. 4 development of military crisis management capacity 2. 5 civil - military cooperation 3. civilian crisis management 3. 1 general 3. 2 priorities in civilian crisis management 3. 3 development needs section iv : precautionary measures and combating threats to society 1. background 2. internal security 2. 1 public order and security 2. 2 protecting the population 2. 3 border surveillance and movement of people 3. security of supplies 3. 1 effects of the operating environment 3. 2 rev,659,108,130,1,finland_2001_SecurityAndDefencePolicy.md,2025-01-28 18:53:38
5,"##ising the decision on the aims of ensuring security of supplies 3. 3 food supply 3. 4 energy supply 3. 5 transport, storage and distribution systems 3. 6 information systems 3. 7 social and health care 3. 8 finland ' s defence industry 4. improving precautionary measures 4. 1 drawing up a strategy for national precautionary measures 4. 2 other areas of development annexes annex 1 defence expanditure of eu countries and norway ( fim billion ) annex 2 implementation of the structural change in 1997 - 2000 annex 3 the principle applied in developing the performance of the defence forces annex 4 the most commonly used abbreviation",636,108,133,1,finland_2001_SecurityAndDefencePolicy.md,2025-01-28 18:53:38
6,"##s, concepts and their definitions - - - - - * * summary * * introduction the government report "" the european security development and finnish defence "", submitted to parliament in 1997, outlined developments in the european security environment and their impact on finland. it went on to define the principles for developing finland ' s defence up to 2008 on the basis of an assessment of the international situation and as part of finland ' s overall security policy. the report proposed that the structural changes in finland ' s defence system should be reviewed at intervals, the first review planned for 2001, and that a comprehensive report on the long - term plans for finland ' s defence",698,121,132,1,finland_2001_SecurityAndDefencePolicy.md,2025-01-28 18:53:38
7,"system should be made no later than 2005. the parliamentary defence and finance committees submitted their comments on the report to the foreign affairs committee. parliament subsequently approved the foreign affairs committee ' s report, augmented with supplementary statements on defence forces ' personnel and garrisons having lost conscript training. an important change in the preparation of security and defence policy occurred when the defence council was abolished on march 1, 2000. the council ' s duties were reallocated to the government committee on foreign and security policy and the ministry of defence. the former was made responsible for important matters concerning total national defence and coordination of these matters, while the ministry of defence was",775,116,130,1,finland_2001_SecurityAndDefencePolicy.md,2025-01-28 18:53:38
8,"given the new responsibility of coordinating the actions of different branches of government in matters of total national defence. a new security and defence committee was set up at the same time, with the task of assisting the ministry of defence and the government committee on foreign and security policy in these matters. the new committee was also given the task of coordinating the preparation of the 2001 report. the long - term development of finland ' s security policy and defence recommended in the 1997 report require that preparation of the following comprehensive report be brought forward to 2004. the report will also assess the defence system as a whole in the light of developments in the security environment and society in",742,123,130,1,finland_2001_SecurityAndDefencePolicy.md,2025-01-28 18:53:38
9,"general. the security environment and finland ' s policy in the international environment, the democratic reforms and stabilization in europe following the end of the cold war are continuing, with the european union playing a key role. by acquiring new means for crisis management, the eu will increase its influence not only as a political and economic force but also as an actor in the field of security policy. at the same time, the eu will be developing its capacity to prevent security problems from arising and to strengthen security in a broad sense. enlargement of the union will significantly improve the prospects for wellbeing and security beyond the present eu boundaries and will be a",697,116,130,1,finland_2001_SecurityAndDefencePolicy.md,2025-01-28 18:53:38
10,"key means of achieving stability and unification in europe. the importance of cooperation between the eu and russia for the future of europe is continually growing. as a result of the eu ' s common security and defence policy, its relations with the united states will acquire more substance in the field of security policy. security in the baltic sea region will improve as a result of regional cooperation and the overall changes occurring within europe. this will be shaped by the enlargement of the eu and of nato and developments in relations between russia and the baltic states. - - - - - the changes in european security put in motion after the end of the cold war are",676,120,130,1,finland_2001_SecurityAndDefencePolicy.md,2025-01-28 18:53:38
