chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# finland´s cyber security strategy - - - - -,45,10,13,0,finland_2013_CyberSecurityStrategy.md,2025-01-28 18:54:14
2,# # # # # # table of contents 1. introduction.................................................................................................... 1 2. vision for cyber security.........,185,17,130,1,finland_2013_CyberSecurityStrategy.md,2025-01-28 18:54:14
3,...................................................................... 3 3. cyber security management and the national approach........................ 4 4. strategic guidelines for cyber security................,212,17,130,1,finland_2013_CyberSecurityStrategy.md,2025-01-28 18:54:14
4,...................................... 6 appendix 1 : terms and definitions..................................................................... 12 the background dossier of the security committee.....,201,16,130,1,finland_2013_CyberSecurityStrategy.md,2025-01-28 18:54:14
5,"................................. 15 * * secretariat of the security committee * * etelainen makasiinikatu 8 po box 31 fin - 00131 helsinki, finland",148,22,65,1,finland_2013_CyberSecurityStrategy.md,2025-01-28 18:54:14
6,"# # # # # # www. yhteiskunnanturvallisuus. fi / en layout : tiina takala / ministry of defence print : forssa print, 2013 isbn : 978 - 951 - 25 - 2437 - 2 nid. isbn : 978 - 951 - 25 - 2438 - 9 pdf - - - - -",206,53,77,2,finland_2013_CyberSecurityStrategy.md,2025-01-28 18:54:14
7,# # # # 1. introduction,23,6,9,3,finland_2013_CyberSecurityStrategy.md,2025-01-28 18:54:14
8,"# # # # # # cyber security means the desired end state in which the cyber domain is reliable and in which its functioning is ensured. ensuring the security of society is a key task of the government authorities and the vital functions of our society must be secured in all situations. as an information society finland relies on information networks and systems and, consequently, is extremely vulnerable to disturbances which affect their functioning. an international term for this interdependent, multipurpose electronic data processing environment is the cyber domain. society ’ s growing information intensity, the increase of foreign ownership and out sourcing, integration between information and communications technologies, the use",740,112,130,4,finland_2013_CyberSecurityStrategy.md,2025-01-28 18:54:14
9,"of open networks as well as the growing reliance on electricity have set totally new require ments for securing society ’ s vital functions in normal conditions, during serious distur bances in normal conditions and in emergency conditions. threats against the cyber domain have increasingly serious repercussions for individ uals, businesses and society in general. the perpetrators are more professional than be fore and today the threats even include state actors. cyber attacks can be used as a means of political and economic pressure ; in a serious crisis pressure can be exerted as an instru ment of influence alongside traditional means of military force. the cyber domain",680,108,130,4,finland_2013_CyberSecurityStrategy.md,2025-01-28 18:54:14
10,"should also be seen as a possibility and a resource. a safe cyber do main makes it easier for both individuals and businesses to plan their activities, which in turn boosts economic activity. a properly working environment also improves finland ’ s appeal for international investors. in addition to these, cyber security itself is a new and strengthening business area. in addition to the increasing job opportunities and tax rev enue, society accrues benefits from this strengthening business sector in many ways. na tional cyber security is interconnected with the success of finnish companies. this strategy defines the key goals and guidelines which are used in responding to the threats against the cyber",710,113,130,4,finland_2013_CyberSecurityStrategy.md,2025-01-28 18:54:14
11,"domain and which ensure its functioning. by following the cyber security strategy ’ s guidelines and the measures required, finland can man age deliberate or inadvertent disturbances in the cyber domain as well as respond to and recover from them. the arrangements of comprehensive security are defined in the government resolu tion of 5 december 2012 on comprehensive security while the security strategy for soci ety ( 2010 ) defines the principles of ensuring the functions vital to society. vital functions include the management of government affairs, international activity, finland ’ s defence capability, internal security, functioning of the economy and infrastructure, the popula - - - - - ti",702,110,130,4,finland_2013_CyberSecurityStrategy.md,2025-01-28 18:54:14
12,"##on ’ s income security and capacity to function, and psychological resilience to crisis. the cyber security strategy process is an element in the implementation of the security strat egy for society. the process of cyber security strategy is a part of the implementation of the security strategy for society ; the cyber security strategy complies with the principles and definitions in the security strategy for society and the government resolution on security of supply. the government resolution ( 2013 ) defines the focus areas and goals for the security of supply. the strategy takes into account the forthcoming government resolution on the arrangements of comprehensive security. cyber security is not meant to be a legal",730,116,132,4,finland_2013_CyberSecurityStrategy.md,2025-01-28 18:54:14
13,"concept the adoption of which would lead to granting new competences to authorities or other official bodies. in this respect no changes are proposed to the bases of contingency arrangements or to regulations con cerning the competences of authorities. the strategy presents the vision, approach and strategic guidelines of cyber security. the action plan which is being prepared will cover the practical measures tasked to ad ministrative branches and actors. this creates the conditions for the materialisation of the strategic guidelines as well as the vision for achieving the desired end state, including the jointly agreed cross - cutting measures in society. - - - - -",675,107,125,4,finland_2013_CyberSecurityStrategy.md,2025-01-28 18:54:14
