chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png ) d e f e n s e et securite nationale 2013 © direction de l ' information legale et administrative, paris, 2013. isbn : 978 - 2 - 11 - 009358 - 5 le code de la propriete intellectuelle n ' autorisant, aux termes de l ' article l. 112 - 5, 2° et 3° a ), d ' une part, que les « copies ou reproductions strictement reservees a l ' usage prive du copiste et non des",408,96,130,0,france_2013_DefenseWhitePaper_noneng.md,2025-01-28 18:56:40
2,"##tinees a une utilisation collective » et, d ' autre part, que les analyses et les courtes citations dans un but d ' exemple et d ' illustration, « toute representation ou reproduction integrale ou partielle faite sans le consentement de l ' auteur ou de ses ayants droits ou ayants cause est illicite » ( art. l. 122 - 4 ). cette representation ou reproduction, par quelque procede que ce soit, constituerait donc une contrefacon sanctionnee par les articles l.",463,81,132,0,france_2013_DefenseWhitePaper_noneng.md,2025-01-28 18:56:40
3,335 - 2 et suivants du code de la propriete intellectuelle.,59,11,20,0,france_2013_DefenseWhitePaper_noneng.md,2025-01-28 18:56:40
4,"# # sommaire preface du president de la republique............................. 7 introduction : pourquoi un livre blanc?............................. 9 chapitre 1 - la france dans le nouveau paysage strategique........... 13 a. la france, puissance europeenne au rayonnement global.",283,36,130,1,france_2013_DefenseWhitePaper_noneng.md,2025-01-28 18:56:40
5,........ 13 b. la france engagee dans des constructions institutionnelles qui accroissent sa securite mais aussi ses responsabilites........ 15 chapitre 2 - les fondements de la strategie de defense et de securite nationale......................................... 19 a. preserver notre independance et notre souveraine,319,41,130,1,france_2013_DefenseWhitePaper_noneng.md,2025-01-28 18:56:40
6,##te............. 19 b. assurer la legitimite de nos actions nationalement et internationalement....................................... 23 chapitre 3 - l ' etat du monde...................................... 27 a. ruptures et evolutions,236,26,132,1,france_2013_DefenseWhitePaper_noneng.md,2025-01-28 18:56:40
7,...................................... 27 b. les menaces de la force.................................... 33 c. les risques de la faiblesse.................................,171,15,130,1,france_2013_DefenseWhitePaper_noneng.md,2025-01-28 18:56:40
8,". 39 d. les menaces et les risques amplifies par la mondialisation....... 41 chapitre 4 - les priorites strategiques............................. 47 a. proteger le territoire national et les ressortissants francais, et garantir la continuite des fonctions essentielles de la nation.... 47 b. garantir ensemble la securite de l ' europe et de",341,51,130,1,france_2013_DefenseWhitePaper_noneng.md,2025-01-28 18:56:40
9,l ' espace nord - atlantique................................ 51 c. stabiliser ensemble le voisinage de l ' europe.................... 53 d. participer a la stabilite du proche - orient et du golfe arabo - persique..........................,239,32,130,1,france_2013_DefenseWhitePaper_noneng.md,2025-01-28 18:56:40
10,........ 56 e. contribuer a la paix dans le monde............................ 57 | chapitre 6 - la mise en œuvre de la strategie 69 | | | | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,247,81,130,1,france_2013_DefenseWhitePaper_noneng.md,2025-01-28 18:56:40
11,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - | | | | | | a. la connais,259,126,130,1,france_2013_DefenseWhitePaper_noneng.md,2025-01-28 18:56:40
12,##sance et l ' anticipation | 70 | | | b. la dissuasion | 75 | | | c. la protection | 76 | | | d. la prevention | 79 | | | e. l ' intervention | 82 | | | b. la france dans l ' union europeenne | 64 | | | chapitre 7 - les moyens de la strategie 87 | | | | | | | | a. un contrat operationnel et un modele d ' armee adapte au nouveau contexte | 88 | | | | - quatre principes directeurs | 88 |,389,100,132,1,france_2013_DefenseWhitePaper_noneng.md,2025-01-28 18:56:40
13,| | - contrat operationnel | 90 | | | - modele d ' armee | 93 | | b. l ' approche globale dans la gestion des crises exterieures | 98 | | | c. les moyens de la prevention et de la gestion des crises sur le territoire national | 101 | | | | - l ' analyse de risque | 101 | | | - la protection du territoire et de ses approches | 102 | | | - la lutte contre le terrorisme | 104 | | | - assurer la con,398,97,130,1,france_2013_DefenseWhitePaper_noneng.md,2025-01-28 18:56:40
