chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"# # www. matsne. gov. ge / ka / document / view / 43156 #,, [UNK] ეროვნული [UNK] [UNK] “ [UNK] [UNK] 56 - 71 minutes",116,26,43,0,georgia_2005_NationalSecurityConcept.md,2025-01-28 18:53:59
2,"# # # resolution of the parliament of georgia on the approval of the "" national security concept of georgia "" the parliament of georgia shall establish : 1. in accordance with article 2 1 of the organic law of georgia on the national security council and paragraph 4 of article 182 2 of the rules of procedure of the parliament of georgia, the “ national security concept of georgia ” shall be approved. 2. this resolution shall enter into force upon its publication. parliament of georgia deputy chairman m. machavariani tbilisi, july 8, 2005. 951895 – rs georgian national security concept the "" unshakable will of the citizens of",632,110,130,1,georgia_2005_NationalSecurityConcept.md,2025-01-28 18:53:59
3,"georgia is to establish a democratic social institution, economic freedom, social and legal state, to ensure universally recognized human rights and freedoms, to strengthen state independence and peaceful relations with other peoples... "" preamble to the constitution of georgia 1. introduction georgia today is at an important stage in its centuries - old history after - - - - -",380,60,72,1,georgia_2005_NationalSecurityConcept.md,2025-01-28 18:53:59
4,"# # # internal conflicts backed by external forces. nevertheless, the people of georgia have made an unwavering determination to build a democratic and free state that guarantees the rule of law, human rights, security, the well - being of its citizens and a market economy. the 2003 rose revolution has once again demonstrated that democracy and freedom are traditional values vital to the people of georgia. georgia, as an integral part of the european political, economic and cultural space, whose fundamental national values are based on european values and traditions, aspires to integrate into the european political, economic and security systems. georgia seeks to return to its european tradition and",708,111,130,2,georgia_2005_NationalSecurityConcept.md,2025-01-28 18:53:59
5,"remain an integral part of europe. the national security concept of georgia is a founding document that reflects the vision of the country ' s secure development, fundamental national values and national interests, describes the threats, risks and challenges facing national security and sets out the main directions of security policy. this concept underscores the aspirations of the georgian people to fully integrate the country into the north atlantic treaty organization ( nato ) and the european union and to contribute to strengthening the security of the black sea region as an integral part of the euro - atlantic security system. based on the national security concept, the government of georgia takes appropriate long - term measures to ensure",754,119,130,2,georgia_2005_NationalSecurityConcept.md,2025-01-28 18:53:59
6,"the protection of fundamental national values and the pursuit of national interests by adequately responding to threats, risks and challenges to national security. various sectoral strategies and plans are developed based on the national security concept. with the change of the national security concept, certain sectoral strategies and plans are being updated. 2. fundamental national values of georgia georgian statehood is based on its fundamental national values, the protection of which is essential for the existence and security of georgia, for the safety and well - being of its citizens. georgia will protect its fundamental national values by all available legal means. the fundamental national values of georgia are : 2. 1. independence :",750,114,130,2,georgia_2005_NationalSecurityConcept.md,2025-01-28 18:53:59
7,"georgia is a sovereign, independent state that respects the sovereignty, territorial integrity of other countries and demands appropriate treatment from them. it is unacceptable for georgia for other countries to interfere in its internal affairs. - - - - -",257,40,46,2,georgia_2005_NationalSecurityConcept.md,2025-01-28 18:53:59
8,"# # # declaration of human rights and the european convention for the protection of human rights and fundamental freedoms are fundamental national values. georgia creates guarantees for the protection of the universally recognized human rights and freedoms of all citizens and groups living in its territory, respects their right to free choice and creates a favorable environment for the realization of the opportunities of each citizen. 2. 3. democracy and the rule of law : georgia is committed to universal democratic values and principles, on the basis of which it establishes a democratic system of government, where state power is defined by law and distributed among branches of government. the strength and independence of the judiciary are guaranteed in",763,120,130,3,georgia_2005_NationalSecurityConcept.md,2025-01-28 18:53:59
9,"the georgian political system. georgia promotes the development of civil society and ensures the independence of the mass media. 2. 4. welfare : to enhance the well - being of every citizen and to create decent living conditions, georgia will ensure the sustainable economic development of the country on the basis of democratic, transparent rules and the implementation of effective social policies. the government of georgia promotes the development of a free market economy, creates a favorable environment for the development of free enterprise, the expansion of foreign trade and the attraction of investments. 2. 5. peace : georgia aims to establish relations with all states based on internationally recognized norms. it is especially important",751,115,130,3,georgia_2005_NationalSecurityConcept.md,2025-01-28 18:53:59
10,"for georgia to develop friendly relations with neighboring countries. georgia will use the peaceful methods provided by the norms of international law to resolve the disputed issues. a free, independent, united, developed and peaceful georgia will make a significant contribution to strengthening regional security and stability. 2. 6. security : the georgian government seeks to ensure the security of the georgian state, its institutions and its citizens within the state borders recognized by the international community. to ensure security, georgia is guided by internationally recognized norms. 3. national interests of georgia georgia ' s national interests stem from the modern international system and the situation in the country. national interests are based on the",775,114,130,3,georgia_2005_NationalSecurityConcept.md,2025-01-28 18:53:59
