chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,[UNK] [UNK] სამინისტრო! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png ),69,19,35,0,georgia_2017_WhitePaper_noneng.md,2025-01-28 18:57:30
2,# თეთრი [UNK] 2017 - 2020 1,27,7,13,1,georgia_2017_WhitePaper_noneng.md,2025-01-28 18:57:30
3,"# # saqartvelos tavdacvis ministris mimartva saqartvelo, regionis winase mdgari usafrtxoebis mwvave gamowvevebis miuxedavad, mtkiced dgas evro - atlantikur sazogadoebastan daaxloebis gzaze, rac cvens! [ 1 _ image _ 0. png ] ( 1 _ image _ 0. png ) moqalaqeebs sasualebas miscems icxovron msvid da stabilur garemosi,",314,48,130,2,georgia_2017_WhitePaper_noneng.md,2025-01-28 18:57:30
4,"sadac daculi iqneba adamianis ziritadi uflebebi da rirebulebebi. saqartvelo zalisxmevas ar isurebs iyos sando partniori, romelic ganuxrelad icavs sayoveltaod ariarebul demokratiul principebsa da adamianis uflebebs da aris pasuxismgeblobis mqone motamase saertasoriso arenaze. am miswrafebebis gansaxorcieleblad, cvens qveyana",325,37,130,2,georgia_2017_WhitePaper_noneng.md,2025-01-28 18:57:30
5,"##s esawiroeba mzlavri fari sagareo agresiis sesakaveblad, arsebul gamowvevebze sapasuxod da politikuri da socialur - ekonomikuri ganvitarebistvis sawiro pirobebis sesaqmnelad. arnisnuli miznis misarwevad ki sawiroa kargad arwurvili da satanadod gawvrtnili, marali sabrzolo mzadyofnis mqone seiararebuli zalebi",310,36,132,2,georgia_2017_WhitePaper_noneng.md,2025-01-28 18:57:30
6,". qveynis winase arsebuli mzardi safrtxeebis gatvaliswinebit, cveni mizania ufro efeqturi tavdacvis instituciisa da optimalur zalta struqturis seqmna, romelsac xelewifeba arsebul gamowvevebtan gamklaveba, saqartvelos suverenitetisa da teritoriuli mtlianobis dacva da natostan sruli tavsebadobis mirweva. saqartvelo, rogor",321,36,130,2,georgia_2017_WhitePaper_noneng.md,2025-01-28 18:57:30
7,"##c natos momavali wevri, ertgulia aliansis xelsekrulebis! [ 1 _ image _ 1. png ] ( 1 _ image _ 1. png ) mesame muxlis principebis, rac agresiisgan tavdacvis miznit tavdacvis sesazleblobebis gaumjobesebas gulisxmobs. aqedan gamomdinare, cven vrcebit varsavis samitze setanxmebuli principebisa da standartebis ert",312,45,132,2,georgia_2017_WhitePaper_noneng.md,2025-01-28 18:57:30
8,"##guli. moqnili da mdgradi seiararebuli zalebi sekavebis umnisvnelovanesi komponentia, romelic agresiis tavidan acilebis sauketeso sasualebas warmoadgens. es ki gulisxmobs, rom seiararebuli zalebis transformaciisa da nakisri valdebulebebis sesrulebis paralelurad, saqartvelos seiararebulma zalebma pasuxi unda gasces nebismier pirda",332,36,132,2,georgia_2017_WhitePaper_noneng.md,2025-01-28 18:57:30
9,"##pir safrtxes. am kutxit, mnisvnelovania tavdacvis dagegmvisa da martvis sistemebis integrireba, resursebis gadanawileba mkafiod gansazrvrul prioritetebze da dabalansebuli samxedro sesazleblobebis ganvitareba natostan da partnior qveynebtan tavsebadobis amarlebis paralelurad. cven vazlierebt seirarebuli zalebis sabrzolo sesa",327,34,132,2,georgia_2017_WhitePaper_noneng.md,2025-01-28 18:57:30
10,"##zleblobebs, romlebic mnisvnelovania ara mxolod saqartvelostvis, aramed koleqtiuri usafrtxoebis ganmtkicebistvisac. partniorebtan konsultaciebis sedegad, sevimusavet seiararebuli zalebis transformaciis xedva, rac momdevno otxi wlis ganmavlobasi sabrzolo mzadyofnis donis amarlebas isaxavs miznad. xedvis semusavebis processi ga",328,33,133,2,georgia_2017_WhitePaper_noneng.md,2025-01-28 18:57:30
11,"##moikveta personalis xarjebsa da saqartvelos seiararebuli zalebis sabrzolo mzadyofnis sawiroebebs soris arsebuli disbalansi. sesabamisad, dadginda ziritadi strategiuli mimartulebebi, ris safuzvelzec momdevno wlebis ganmavlobasi moxdeba seiararebuli zalebis transformaciis procesis warmartva. gvjera, rom cveni zalisxme",319,33,132,2,georgia_2017_WhitePaper_noneng.md,2025-01-28 18:57:30
12,"##vis sedegad mivirebt ufro efeqtur, marali sabrzolo mzadyofnis mqone da moqnil seiararebul zalebs.",99,13,49,2,georgia_2017_WhitePaper_noneng.md,2025-01-28 18:57:30
13,"# # sesavali saqartvelos tavdacvis saministros "" tetri wigni "" uwyebrivi donis konceptualuri dokumentia, romelic efuzneba erovnuli donis strategiuli dokumentebit gaweril rirebulebebs, interesebs, safrtxeebs da gansazrvravs tavdacvis saministros da seiararebuli zalebis ( ssz ) strategiuli ganvitarebis prioritetul mimartulebebsa",328,38,130,3,georgia_2017_WhitePaper_noneng.md,2025-01-28 18:57:30
14,"da amocanebs 2017 - 2020 wlebistvis. dokumenti miznad isaxavs zlieri da efeqturi tavdacvis uwyebis da tanamedrove seiararebuli zalebis camoyalibebas, romelsac xelewifeba arsebul safrtxeebze reagireba da qveynis usafrtxoebisa da suverenitetis dacva. "" tetri wigni "" aseve moicavs "" tavdacvis strategiuli mimoxilva 2017 - 2020",324,43,130,3,georgia_2017_WhitePaper_noneng.md,2025-01-28 18:57:30
15,"- is "" ( tsm ) processi ganxorcielebul zalta optimizaciis sedegebs, dokumentsi camoyalibebul rekomendaciebs da gansazrvravs im ronisziebata pakets, romlebic kritikulad mnisvnelovania tavdacvis sistemis sruli transformaciis, "" totaluri tavdacvis "" midgomisa da saqartvelos mier arebuli saertasoriso valdebulebebis warmatebit ganxorcie",333,39,130,3,georgia_2017_WhitePaper_noneng.md,2025-01-28 18:57:30
16,"##lebisatvis. kompleqsuri da dinamiuri usafrtxoebis garemos gatvaliswinebit, tavdacvis saministros xelmzrvanelobam gaitvaliswina partniori qveynebis sauketeso gamocdileba da "" tavdacvis strategiuli mimoxilva 2017 - 2020 "" dokumentsi warmoadgina "" totaluri tavdacvis "" principi, romelic gulisxmobs saxelmwifo resursebis farto da koordinirebul ga",344,39,132,3,georgia_2017_WhitePaper_noneng.md,2025-01-28 18:57:30
17,"##moyenebas. "" totaluri tavdacvis "" midgomis ganxorcieleba moitxovs samoqalaqo tavdacvis sistemis danergvas, sesabamisi infrastruqturis ganvitarebasa da rezervisa da mobilizaciis efeqtiani sistemis seqmnas. am miznit dagegmilia : - uwyebatsorisi tanamsromlobis farglebsi uwyebrivi amocanebis gansazrvra! [",305,34,132,3,georgia_2017_WhitePaper_noneng.md,2025-01-28 18:57:30
18,"3 _ image _ 0. png ] ( 3 _ image _ 0. png ) da koordinaciis amarleba ; - samxedro - savaldebulo samsaxuris sistemis tvisobrivi gaumjobeseba ; - rezervis da mobilizaciis axali sistemis camoyalibeba. "" tetri wigni "" semusavda farto sidauwyebriv da uwyebatasoris formatsi, tavdacvisa da usafrtxoebis adgilobrivi da saertasoriso",324,51,130,3,georgia_2017_WhitePaper_noneng.md,2025-01-28 18:57:30
19,"eqspertebis aqtiuri cartulobita da saertasoriso organizaciebtan mwidro konsultaciebis sedegad. saqartvelos tavdacvis saministros axalma administraciam pirveli rigis amocanad, arsebuli safrtxeebisa da resursebis gatvaliswinebit, seiararebuli zalebis naklovanebebis identificireba dasaxa, rac tavdacvis strategiuli mimoxilva 2017 - 2020 -",336,35,130,3,georgia_2017_WhitePaper_noneng.md,2025-01-28 18:57:30
20,"is ( tsm ) farglebsi ganxorcielda. processi gamoaskaravda is ziritadi gamowvevebi, romlebic xels uslida da aferxebda tavdacvis sistemisa da seiararebuli zalebis ganvitarebis process, kerzod : - qvedanayofebis sabrzolo mzadyofnis arasakmarisi done - biujetis ( resursebis ) arasatanado ganawileba - institucionaluri problemebi zemoarnis",335,42,130,3,georgia_2017_WhitePaper_noneng.md,2025-01-28 18:57:30
21,"##nuli problemebis gatvaliswinebit, gamoikveta xuti strategiuli mimartuleba. titoeuli matgani, tavis mxriv, aertianebs ronisziebata jawvs, romelta efeqturi ganxorcielebis semtxvevasi, sesazlebeli iqneba tavdacvis sistemis efeqturi transformacia momavali otxi wlis ( 2017 - 2020 ) ganmavlobasi.",293,33,118,3,georgia_2017_WhitePaper_noneng.md,2025-01-28 18:57:30
22,"# # strategiuli mimartulebebi : - * * strategiuli martva * * - gulisxmobs uwyebatsorisi tanamsromlobis garrmavebas resursebis efeqtianad ganawilebis miznit, aseve, tavdacvis dagegmvisa da martvis sistemebis integraciis xarisxis amarlebas dasaxuli prioritetebis mixedvit ; - * * seiararebuli zalebis optimizacia * * - miznad isaxavs",331,45,130,4,georgia_2017_WhitePaper_noneng.md,2025-01-28 18:57:30
23,"samxedro sesazleblobebis optimaluri balansis seqmnas da qvedanayofebis optimaluri struqturis formirebas ; - * * seiararebuli zalebis mzadyofna * * - miznad isaxavs personalis, arwurvilobis, ganatleba / wrtvnebisa da mzadyofnis sistemur gaumjobesebas ; - * * instituciuri ganvitareba * * - miznad isaxavs saqartvelos tavdacvis saminist",334,45,130,4,georgia_2017_WhitePaper_noneng.md,2025-01-28 18:57:30
24,"##ros martvis meqanizmebis gaumjobesebas seiararebuli zalebis efeqturi funqcionirebistvis ; - * * mravalmxrivi da ormxrivi tanamsromloba * * - miznad isaxavs, rogorc natostan da partnior qveynebtan tanamsromlobis ganmtkicebas da tavsebadobis gazrdas, aseve, saqartvelos mier arebuli saertasoriso valdebulebebis sesrulebas",321,38,133,4,georgia_2017_WhitePaper_noneng.md,2025-01-28 18:57:30
25,". xsenebuli strategiuli mimartulebebisa da zogadad, transformaciis processi mirweuli progresisa da instituciuri mdgradobis uzrunvelsayofad, tavdacvis saministrosa da generaluri stabis xelmzrvaneloba ganaxorcielebs mudmiv monitorings.",233,23,86,4,georgia_2017_WhitePaper_noneng.md,2025-01-28 18:57:30
26,"# # strategiuli mimartulebebi warmodgenili xuti mimartuleba aertianebs tavdacvis dagegmvisa da martvis kritikul elemenetebs. titoeul mimartulebas gaacnia saboloo mizani da mat misarwevad gansaxorcielebeli ronisziebebi ( ix. grafikuli gamosaxuleba ). 1. strategiuli martva grzelvadiani dagegmvis processi, saqartvelos tavdacvis uzrun",332,38,130,5,georgia_2017_WhitePaper_noneng.md,2025-01-28 18:57:30
27,"##velyofisa da tavdacvis sistemis efeqtiani musaobistvis kritikul mnisvnelobas izens sesazleblobebis sistemuri analizi. sesabamisad, tavdacvis dagegmvis procesis sworad warmartvistvis sawiroa droulad ganxorcieldes saxelmzrvanelo dokumentebis ganaxleba, rac uzrunvelyofs arsebul da potenciur gamowvevebze jerovani reagire",320,32,132,5,georgia_2017_WhitePaper_noneng.md,2025-01-28 18:57:30
28,"##bistvis axali midgomebis, xedvebisa da gegmebis generirebas. arnisnuli miznis misarwevad sawiroa musaobis warmartva semdegi ziritadi mimartulebebit :",151,17,64,5,georgia_2017_WhitePaper_noneng.md,2025-01-28 18:57:30
29,"# # 2017 wlis ronisziebebi : - * * erovnuli samxedro strategia * * - dokumenti semusavdeba uwyebatasorisi samusao jgufis mier, sadac ganisazrvreba tavdacvis saministrosa da seiararebuli zalebis misia, amocanebi da samxedro sesazleblobebi, romlebic sawiroa qveynis teritoriisa da mosaxleobis dasacavad. aseve, dokumentsi gan",323,43,130,6,georgia_2017_WhitePaper_noneng.md,2025-01-28 18:57:30
30,"##isazrvreba sxva saxelmwifo uwyebebis roli qveynis tavdacvis uzrunvelsayofad. - * * tavdacvis transformaciis gegma 2017 - 2020 * * - dokumenti aertianebs tavdacvis sferosi otxi wlis ganmavlobasi dagegmil yvela im ronisziebas, romelic emsaxureba seiararebuli zalebis ganvitarebas, rogorc sabrzolo sesazleblobebis, aseve ins",323,41,132,6,georgia_2017_WhitePaper_noneng.md,2025-01-28 18:57:30
