chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,weißbuch,8,1,5,0,germany_1994_WhitePaper.md,2025-01-28 18:57:13
2,# weißbuch 1994 weißbuch zur sicherheit! [ 1 _ image _ 0. png ] ( 1 _ image _ 0. png ) der bundesrepublik deutschland und zur lage und zukunft der bundeswehr bundesministerium der verteidigung! [ 1 _ image _ 1. png ] ( 1 _ image _ 1. png ) - - - - - - - - inhalt | alonadomini | vorwort des bundeskanzlers dr. helmut kohl | seite vi | | - - -,342,77,130,1,germany_1994_WhitePaper.md,2025-01-28 18:57:13
3,"- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - - - - - - - | | | vorwort des bundesministers | | | | der verteidigung,",269,117,130,1,germany_1994_WhitePaper.md,2025-01-28 18:57:13
4,volker ruhe | seite viii | | kapitel i | | | | die deutsche einheit und die bundeswehr | seite 11 | | | | der weg zur deutschen einheit | seite 12 | | | der abzug der ehemals sowjetischen truppen | | | | aus deutschland | seite 14 | | | die bundeswehr im einigungsprozeß | seite 15 | | | die aufstellung der bundeswehr in den neuen landern | seite 19 | | kapitel 2 | | | |,372,84,130,1,germany_1994_WhitePaper.md,2025-01-28 18:57:13
5,die lage | seite 23 | | | | deutschland in einer neuen zeit | seite 24 | | | sicherheitspolitik der zukunft | seite 25 | | | europa im wandel | seite 27 | | | die neuen herausforderungen | seite 30 | | | regionale betrachtung | seite 36 | | | eazit | seite 39 | | die transatlantische partnerschaft unter | | | - - - - - - - - - - - - - - - - - - - - - -,354,90,130,1,germany_1994_WhitePaper.md,2025-01-28 18:57:13
6,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - - - - - | | kunftigen bedingungen | seite 50 | | europaische sicherheits - und verteidigungspolitik | seite 60 | | die konferenz fur sicherheit | | | und zusammenarbeit in europa ( ksze ) | seite 64 | | deutschlands rolle in den vereinten nationen | seite 67 | | rust,339,90,130,1,germany_1994_WhitePaper.md,2025-01-28 18:57:13
7,##ungskontrolle und abrustung | seite 75 | | seite 47 | | - - - - - - - - - - - - |,83,25,37,1,germany_1994_WhitePaper.md,2025-01-28 18:57:13
8,# # kapitel 3 | seite 41 | | | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - - - - - | | werte und interessen | seite 42 | | grundzuge und perspektiven deutscher | | | sicherheits - und verteidigungspolitik | seite 43 | die konzeption deutscher sicherheits - und verteidigun,320,92,130,2,germany_1994_WhitePaper.md,2025-01-28 18:57:13
9,##gspolitik kapitel 4 die handlungs - und gestaltungsfelder deutscher sicherheitspolitik vorfort inhalt kapitel 5 die bundeswehr der zukunft....................... | | seite 87 | | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | -,278,73,132,2,germany_1994_WhitePaper.md,2025-01-28 18:57:13
10,- - - - - - - - - - - | | |...... | | | seite 88 | | gewandelte rolle und auftrag der bundeswehr | | | konzeption fur die entwicklung der bundeswehr | seite 91 | | folgerungen fur die streitkrafte | seite 94 | | ressourcen und planung | seite 97 | | ausrustungsplanung der streitkrafte | seite 103 | | | seite 108 | | nationale und europaische rustung,351,75,130,2,germany_1994_WhitePaper.md,2025-01-28 18:57:13
11,##sbasis | |,12,3,9,2,germany_1994_WhitePaper.md,2025-01-28 18:57:13
12,# # kapitel 6 die bundeswehr im ubergang | | seite 111 | | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - - - - - - - - | | |......... | | ginni | | | die fuhrungsstruktur der bundeswehr | seite 112 | | das heer |,286,102,130,3,germany_1994_WhitePaper.md,2025-01-28 18:57:13
13,seite 113 | | die luftwaffe | seite 116 | | die marine | seite 120 | | die zentralen sanitatsdienststellen der bundeswehr | seite 123 | | die zentralen militarischen bundeswehrdienststellen | seite 125 | | streitkrafte und reservisten | seite 127 | | die bundeswehrverwaltung | seite 129 | | gesamtverteidigung | seite 133 | landrand free stern free free | | seite 135 | | - - - - - - - - -,390,77,130,3,germany_1994_WhitePaper.md,2025-01-28 18:57:13
14,- - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - - - - - - - - | | innere fuhrung | seite 136 | | das selbstverstandnis des soldaten | seite 137 | | | seite 138 | | ausbildung | | | sozialvertraglicher ubergang | seite 142 | | rechtswesen | seite 145 | | | seite 147 | | militarseelsorge | seite 149 | |,322,92,130,3,germany_1994_WhitePaper.md,2025-01-28 18:57:13
15,bundeswehr und umwelt | seite 150 | | bundeswehr und offentlichkeit | | | seite 153 | | | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - - - - - - | | verzeichnis der schaubilder | | | verzeichnis wichtiger abkurzungen | seite 154 | | stichwortverzeichnis | seite 156 | | impressum,318,89,130,3,germany_1994_WhitePaper.md,2025-01-28 18:57:13
16,| seite 160 | kapitel 7 die bundeswehr in staat und gesellschaft anhang deutschland kann heute auf die langste friedenszeit in seiner modernen! [ 4 _ image _ 0. png ] ( 4 _ image _ 0. png ) geschichte zuruckblicken. die bundeswehr hat dazu an der seite unserer verbundeten einen entscheidenden beitrag geleistet. nach jahrzehnten der schmerzlichen teilung haben wir die einheit unseres vater,391,65,130,3,germany_1994_WhitePaper.md,2025-01-28 18:57:13
17,"##landes in frieden und freiheit wiedererlangt. auch hierfur war entscheidend, daß die bundesrepublik deutschland an den beiden tragenden saulen ihrer außen - und sicherheitspolitik unbeirrt festgehalten hat - der politischen einigung europas und der transatlantischen partnerschaft und freundschaft mit den vereinigten staaten von amerika und mit kanada. eine gesicherte zukunft in frieden und frei",399,54,132,3,germany_1994_WhitePaper.md,2025-01-28 18:57:13
18,"##heit wird es fur deutschland nur geben, wenn wir als mitglied der europaisch - atlantischen werteund schicksalsgemeinschaft weiterhin unseren beitrag zu kriegsverhutung und gefahrenabwehr sowie zum aufbau einer gerechten und stabilen internationalen ordnung leisten, in der menschen - und minderheitenrechte wirksam geschutzt werden. gerade in einer zeit dramatischen wandels in europa und in der welt gilt es,",412,57,132,3,germany_1994_WhitePaper.md,2025-01-28 18:57:13
19,"gemeinsam mit unseren partnern und freunden neuartigen risiken zu begegnen, aber auch entschlossen die großen chancen zu nutzen, die sich uns nach dem ende des ost - west - konfliktes bieten. verlaßlichkeit und berechenbarkeit deutscher verteidigungs - und bundnispolitik sind dabei eine wesentliche voraussetzung unserer außenpolitischen handlungsfahigkei",356,47,130,3,germany_1994_WhitePaper.md,2025-01-28 18:57:13
20,"##t. der wirksamste dienst an der stabilitat auf unserem kontinent besteht heute darin, die jungen demokratien mittel -, ost - und sudosteuropas bei der festigung einer freiheitlichen ordnung in staat und gesellschaft",217,32,76,3,germany_1994_WhitePaper.md,2025-01-28 18:57:13
21,"# des bundeskanzli sowie beim aufbau einer leistungs - und wettbewerbsfahigen marktwirtschaft zu unterstutzen. hierzu gehort fur diese lander die aussicht, auf ihrem weg in die zukunft an die bestehenden westlichen gemeinschaften herangefuhrt zu werden. die bundeswehr bleibt sichtbarer ausdruck der souveranitat unseres landes und der bereitschaft unserer demokratie,",368,49,130,4,germany_1994_WhitePaper.md,2025-01-28 18:57:13
22,"sich ihrer feinde zu erwehren. unser land braucht auch in zukunft streitkrafte, die den neuen anforderungen gerecht werden und dementsprechend ausgerustet sind. die allgemeine wehrpflicht ist und bleibt dabei ausdruck der personlichen mitverantwortung des burgers fur ein leben in frieden und freiheit. die bundeswehr verdient unsere besondere anerkennung fur das in den letzten ja",381,54,130,4,germany_1994_WhitePaper.md,2025-01-28 18:57:13
23,"##hren geleistete. der aufbau der bundeswehr im osten deutschlands ist ein großartiger beitrag zur vollendung der inneren einheit unseres vaterlandes. bei internationalen friedenseinsatzen haben unsere soldaten durch vorbildliche haltung, personlichen einsatz und ihr konnen zum ansehen deutschlands in der welt beigetragen. ich danke den soldaten und zivilen mitarbeitern der bundeswehr fur treue pflichterful",410,53,132,4,germany_1994_WhitePaper.md,2025-01-28 18:57:13
24,"##lung im dienste unseres vaterlandes und schließe ihre familien darin ein. bonn, den 5. april 1994! [ 5 _ image _ 0. png ] ( 5 _ image _ 0. png ) das weißbuch der bundesregierung zur sicherheits - und verteidigungs -! [ 6 _ image _ 0. png ] ( 6 _ image _ 0. png ) politik und zur entwicklung der bundeswehr ist bilanz und programm. auf der grundlage",350,71,131,4,germany_1994_WhitePaper.md,2025-01-28 18:57:13
25,"einer lageanalyse wird die sicherheitspolitische konzeption der bundesregierung vorgestellt und der weg der streitkrafte in die zukunft beschrieben. das ist ein langerer prozeß, der aus zwei phasen besteht. in der ersten phase nach der vereinigung deutschlands kam es fur die bundeswehr darauf an, die nationale volksarmee aufzulosen, die bundeswehr im osten deutschlands aufzubauen, die gesam",393,55,130,4,germany_1994_WhitePaper.md,2025-01-28 18:57:13
