chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"onduras : libro de la defensa nacional! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png ) honduras : libro de la defensa nacional 2005 355. 03 h75 honduras. secretaria de defensa nacional honduras : libro de la defensa nacional / honduras. secretaria de defensa nacional. - - 1a. ed. - - ( tegucigalpa ) : ( lithopress ), ( 2006 ) 172 p. : cuadros, fotos, mapas isbn 99926 - 698 - 0 - 2",382,82,130,0,honduras_2005_LibroDeLaDefensaNacional_noneng.md,2025-01-28 18:58:09
2,"1. honduras - politica militar portada general francisco morazan ( 1792 - 1842 ) escultura ubicada en los jardines exteriores de la academia militar "" general francisco morazan "", tegucigalpa, honduras. secretaria de defensa nacional estado mayor conjunto, barrio guacerique, frente al parque el soldado, tegucigalpa, honduras, centroamerica. apartado postal 20296 ( 504 ) 220 - 1949 www. ffaah. mil. hn honduras : libro de la defens",433,67,130,0,honduras_2005_LibroDeLaDefensaNacional_noneng.md,2025-01-28 18:58:09
3,##a nacional honduras : libro de la defensa nacional honduras : libro de la defensa nacional 2005,97,17,27,0,honduras_2005_LibroDeLaDefensaNacional_noneng.md,2025-01-28 18:58:09
4,# contenido presentacion presidente de la republica de honduras i iii! [ 9 _ image _ 0. png ] ( 9 _ image _ 0. png ) mensaje secretario de estado en el despacho de defensa nacional tema i! [ 9 _ image _ 2. png ] ( 9 _ image _ 2. png )! [ 9 _ image _ 3. png ] ( 9 _ image _ 3. png ) el estado de,294,74,106,1,honduras_2005_LibroDeLaDefensaNacional_noneng.md,2025-01-28 18:58:09
5,# # honduras 1 a. * * los fundamentos y las * * caracteristicas 1. territorio 2. poblacion 3. gobierno 2 2 6 9 b. * * los intereses y objetivos * * nacionales 10 c. * * la funcion defensa * *! [ 9 _ image _ 4. png ] ( 9 _ image _ 4. png ) 14 tema ii los escenarios de la defensa 19 a. * * la seguridad y la defensa * * 1. seguridad y defensa,341,82,130,2,honduras_2005_LibroDeLaDefensaNacional_noneng.md,2025-01-28 18:58:09
6,2. evolucion del concepto de seguridad 20 20 22 b. * * las tendencias en la * * seguridad internacional 24 c. * * los entornos de la * * defensa 1. entorno mundial 2. entorno continental 3. entorno regional 4. entorno vecinal 26 26 27 29 36 d. el conflicto y las formas de solucion 1. tipologia de los conflictos 2. solucion pacifica de los conflictos 3. medios de solucion pacifica 4. conflictiv,396,74,130,2,honduras_2005_LibroDeLaDefensaNacional_noneng.md,2025-01-28 18:58:09
7,##idad y tendencias 38 39 40 41 42 tema iii! [ 9 _ image _ 1. png ] ( 9 _ image _ 1. png ) las bases de la politica de defensa nacional 47 48 48 49 49 49 50 51,159,42,59,2,honduras_2005_LibroDeLaDefensaNacional_noneng.md,2025-01-28 18:58:09
8,# # b. la politica exterior y la defensa 52 54 55 57 59 61 63 64 65 67 c. la defensa y las politicas nacionales 1. defensa y politicas de desarrollo 2. defensa y cooperacion con otras instituciones del estado 67 72 a. el marco conceptual de la politica de defensa 1. introduccion 2. concepto 3. fundamentos juridicos 4. principios 5. objetivos de la defensa nacional 6. caracteristic,383,69,130,3,honduras_2005_LibroDeLaDefensaNacional_noneng.md,2025-01-28 18:58:09
9,##as 1. medidas de fomento de la confianza en el ambito de la defensa 2. operaciones de mantenimiento de la paz 3. operaciones de desminado humanitario 4. politicas sobre intereses maritimos 5. politicas de desarrollo transfronterizo 6. integracion regional 7. derecho internacional humanitario 8. derechos humanos,314,46,104,3,honduras_2005_LibroDeLaDefensaNacional_noneng.md,2025-01-28 18:58:09
10,# honduras : libro de la defensa nacional tema iv! [ 10 _ image _ 0. png ] ( 10 _ image _ 0. png )! [ 10 _ image _ 1. png ] ( 10 _ image _ 1. png ) la conduccion y organizacion de la defensa nacional 75 a. la conduccion de la defensa 1. instituciones superiores de la defensa 2. conduccion politico - estrategica 3. conduccion militar 76 77! [ 10 _ image,354,77,130,4,honduras_2005_LibroDeLaDefensaNacional_noneng.md,2025-01-28 18:58:09
11,_ 2. png ] ( 10 _ image _ 2. png ) 82 82 b. * * la secretaria de defensa * * nacional 1. resena historica 2. organizacion de la secretaria de defensa nacional 3. ejes para la transformacion y modernizacion 4. inteligencia para la defensa 5. controles democraticos de la defensa 83 83 83 87 91 93,295,59,94,4,honduras_2005_LibroDeLaDefensaNacional_noneng.md,2025-01-28 18:58:09
12,# # tema v! [ 10 _ image _ 3. png ] ( 10 _ image _ 3. png )! [ 10 _ image _ 4. png ] ( 10 _ image _ 4. png ) los medios de la defensa 97 a. la mision de las fuerzas armadas 98 b. * * la organizacion de las * *! [ 10 _ image _ 5. png ] ( 10 _ image _ 5. png ) fuerzas armadas 1. estado mayor conjunto 2. ejercito 3. fuerza,321,85,130,5,honduras_2005_LibroDeLaDefensaNacional_noneng.md,2025-01-28 18:58:09
13,aerea 4. fuerza naval 99 100 104 110 115 tema vi! [ 10 _ image _ 6. png ] ( 10 _ image _ 6. png ) los recursos de la defensa 121 a. los recursos humanos de la defensa 1. personal para la defensa 2. servicio militar 3. codigo militar 122 122 126 127 b. los recursos financieros de la defensa 1. economia y defensa 2. presupuesto de defensa 3. transparencia en,358,73,130,5,honduras_2005_LibroDeLaDefensaNacional_noneng.md,2025-01-28 18:58:09
14,"el presupuesto 128 128 130 136 tema vii la educacion para la defensa 141 a. la educacion militar 142 b. la universidad de defensa de honduras 146 c. la formacion de personal civil en defensa 148 participantes en el proceso de elaboracion del libro de la defensa nacional 149 indice de graficos, recuadros, organigramas, cuadros y mapas 158 indice de siglas utilizadas 159! [ 11 _ image _ 1. png ] ( 11 _",403,74,130,5,honduras_2005_LibroDeLaDefensaNacional_noneng.md,2025-01-28 18:58:09
15,image _ 1. png ) ricardo maduro joest presidente de la republica de honduras,76,14,22,5,honduras_2005_LibroDeLaDefensaNacional_noneng.md,2025-01-28 18:58:09
16,"# presentacion del presidente! [ 11 _ image _ 0. png ] ( 11 _ image _ 0. png ) de la republica tengo el honor de presentar a la comunidad nacional e internacional el libro de la defensa nacional, que contiene en sus siete temas centrales las bases para una politica de defensa del estado de honduras, concebida como una politica publica, producto del interes civico de diferentes sectores de la sociedad que debatieron y consensuaron duran",439,78,130,6,honduras_2005_LibroDeLaDefensaNacional_noneng.md,2025-01-28 18:58:09
17,"##te muchos meses de trabajo constante y entusiasta, los temas y subtemas que hoy se articulan en este libro. el libro de la defensa nacional representa un importante paso en el proceso de transformacion que experimentan * las fuerzas armadas * hondurenas desde hace varios anos y que nos permite afirmar que hoy son percibidas, desde dentro y desde fuera de las mismas, como parte de la institucionalidad del estado",416,70,132,6,honduras_2005_LibroDeLaDefensaNacional_noneng.md,2025-01-28 18:58:09
18,"y con una clara subordinacion a las autoridades legitimamente constituidas. el libro es consecuente con la necesidad de fortalecer la secretaria de estado en el despacho de defensa nacional, proceso que se inicio con la reforma legislativa de 1998 - 1999, que elimino la comandancia en jefe de las fuerzas armadas, fortaleciendo las atribuciones de la secretaria encaminadas a contar con un organo encargado de la",413,66,130,6,honduras_2005_LibroDeLaDefensaNacional_noneng.md,2025-01-28 18:58:09
19,"aplicacion de la politica de estado relacionada con la defensa. esto propicio las condiciones para que el presidente de la republica nombrara libremente al titular de la defensa nacional, sin la limitacion de que debia ser un militar, como habia sido la tradicion, potestad que se reafirma con el nombramiento consecutivo de tres civiles al frente de la misma. otro hecho importante es que, a partir de la reforma,",414,69,130,6,honduras_2005_LibroDeLaDefensaNacional_noneng.md,2025-01-28 18:58:09
20,"el jefe de estado mayor conjunto depende del titular de la secretaria y su nombramiento es potestad del presidente de la republica, atribucion que correspondia anteriormente al comandante en jefe de las fuerzas armadas. lo anterior nos permite sentar las bases de una relacion mas transparente! [ 12 _ image _ 0. png ] ( 12 _ image _ 0. png ) entre civiles y militares, en un esfuerzo por avanzar en el proceso de transformacion",428,76,130,6,honduras_2005_LibroDeLaDefensaNacional_noneng.md,2025-01-28 18:58:09
21,"y modernizacion de la secretaria de defensa y de las mismas fuerzas armadas. el desafio es continuar avanzando con saltos cualitativos que nos permitan realizar los cambios legislativos, administrativos y organizativos que se requieren para sustentar la defensa como una politica de estado y que nos permita, en el futuro cercano, hacer realidad el reto de formular, con el concurso de todos los",395,63,130,6,honduras_2005_LibroDeLaDefensaNacional_noneng.md,2025-01-28 18:58:09
22,"sectores de nuestra sociedad, la politica de defensa del estado de honduras. ademas de proporcionar las bases de lo que debe ser una politica de defensa nacional, el libro precisa las funciones de defensa y seguridad publica, analiza los escenarios de la defensa y proporciona informacion transparente sobre las instituciones superiores, los medios y los recursos de la defensa, con lo cual se plantea el desafio de",415,67,130,6,honduras_2005_LibroDeLaDefensaNacional_noneng.md,2025-01-28 18:58:09
23,"que todos los sectores de nuestro pais conozcan a profundidad el significado y los alcances de la funcion defensa. con la publicacion de este libro, honduras se suma al grupo de paises pioneros en america latina en plasmar sus intenciones de defensa con transparencia y responsabilidad, en un mundo que cada vez mas se caracteriza por la solucion pacifica de las controversias o amenazas tradicionales, pero que requiere nueva",426,69,130,6,honduras_2005_LibroDeLaDefensaNacional_noneng.md,2025-01-28 18:58:09
24,"##s estrategias para combatir las amenazas no tradicionales que configuran hoy en dia los escenarios de la defensa nacional. la elaboracion y publicacion de este libro es fruto del esfuerzo de todos los hondurenos y hondurenas que participaron en el proceso, conociendo, opinando, cuestionando y proponiendo, y demanda su continuidad en un proceso de difusion que permitira su enriquecimiento y apropiacion",406,61,132,6,honduras_2005_LibroDeLaDefensaNacional_noneng.md,2025-01-28 18:58:09
25,"por parte de civiles y militares, para hacer realidad la idea de que la defensa nacional es responsabilidad de toda la ciudadania hondurena.! [ 13 _ image _ 1. png ] ( 13 _ image _ 1. png ) federico breve travieso! [ 13 _ image _ 2. png ] ( 13 _ image _ 2. png ) secretario de estado en el despacho de defensa nacional",318,67,107,6,honduras_2005_LibroDeLaDefensaNacional_noneng.md,2025-01-28 18:58:09
26,"# mensaje del secretario de estado! [ 13 _ image _ 0. png ] ( 13 _ image _ 0. png ) en el despacho de defensa nacional el libro de la defensa nacional representa el esfuerzo, la voluntad y dedicacion de los diferentes sectores de la sociedad hondurena, que aportaron al proceso los elementos necesarios para disenar una politica de estado consecuente con la realidad actual que vivimos dentro del contexto de",408,73,130,7,honduras_2005_LibroDeLaDefensaNacional_noneng.md,2025-01-28 18:58:09
27,"un mundo globalizado que requiere el compromiso de todos para elaborar las bases de la politica de defensa nacional. este valioso instrumento, producto del consenso, refleja en el desarrollo de sus siete temas centrales, un alto contenido de lo fundamental para la elaboracion de una politica publica y, en forma relevante, precisar el papel de las fuerzas armadas en el cumplimiento de su mision constitucional como",416,66,130,7,honduras_2005_LibroDeLaDefensaNacional_noneng.md,2025-01-28 18:58:09
28,"institucion profesional preparada para la defensa de la nacion, no solo conforme lo manda la constitucion de la republica, sino desarrollando estrategias nacionales y regionales para combatir las nuevas amenazas como el narcotrafico y el terrorismo, sin descuidar su funcion principal, ademas de cooperar en las tareas del desarrollo nacional en los tiempos de paz. el proceso, apoyado sin ninguna reserva por la presidencia",424,64,130,7,honduras_2005_LibroDeLaDefensaNacional_noneng.md,2025-01-28 18:58:09
29,"de la republica y por la secretaria de estado a mi cargo, con el valioso respaldo de la organizacion de estados americanos ( oea ) y otras organizaciones internacionales y, en lo interno, por el foro nacional de convergencia ( fonac ), el comisionado nacional de derechos humanos, la federacion de organizaciones privadas de desarrollo de honduras ( foprideh ) y la universidad pedagogica nacional "" francisco morazan "", respaldando y otorgando",444,72,130,7,honduras_2005_LibroDeLaDefensaNacional_noneng.md,2025-01-28 18:58:09
30,"un diplomado en politicas de defensa nacional, se constituyo en un verdadero exito con la contribucion de representantes de la sociedad civil que mostraron su interes en las mesas de dialogo desarrolladas en tegucigalpa y en los diferentes conversatorios realizados en * siete * importantes ciudades del pais. el libro de la defensa nacional es, ademas, una expresion del alto sentido! [ 14 _ image _ 0. png ] ( 14",414,71,130,7,honduras_2005_LibroDeLaDefensaNacional_noneng.md,2025-01-28 18:58:09
