chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"az orszaggyules 94 / 1998. ( xii. 29. ) sz. hatarozata * * a magyar koztarsasag * * biztonsag - * * es vedelempolitikajanak alapelveirol * * 1998. 12. 29. a magyar biztonsagpolitikai alapelvek 1993. evi elfogadasat koveto ot ev alatt mind a vilagpolitikai helyzet, az euroatlanti kapcsolatrendszer, mind pedig magyarorsza",321,51,130,0,hungary_1998_BasicPrinciplesOfSecurityAndDefensePolicy_noneng.md,2025-01-28 18:58:18
2,"##g szukebb kornyezete valtozasokon ment keresztul. a delszlav valsag 1991 - tol 1995 - ig tarto idoszaka lezarult ugyan a daytoni egyezmenyek alairasaval, am koszovo helyzete egyre kritikusabba valt. magyarorszag, a magyar biztonsagpolitika szempontjabol kiemelkedo fontossagu volt a kozelgo nato - csatlakozas es az",317,44,132,0,hungary_1998_BasicPrinciplesOfSecurityAndDefensePolicy_noneng.md,2025-01-28 18:58:18
3,"abbol adodo uj biztonsagpolitikai helyzet. ez szuksegesse tette a korabbi biztonsagpolitikai alapelvek felulvizsgalatat, ujak letrehozasat. az uj biztonsagpolitikai alapelvek letrehozasa sokkal gyorsabb, zokkenomentesebb folyamat volt, mint ot evvel korabban. az orszaggyules bizottsagai kozul",293,33,130,0,hungary_1998_BasicPrinciplesOfSecurityAndDefensePolicy_noneng.md,2025-01-28 18:58:18
4,"a kulugyi es a honvedelmi bizottsag az alapelvekre vonatkozo javaslatot eloszor 1998. december 9 - en targyalta meg, komolyabb modositasi javaslat nelkul. az orszaggyules 1998. december 15 - en bocsatotta vitara a hatarozati javaslatot, amelynek cime a magyar koztarsasag biztonsag - es vedelempolitikai alapelvei volt. a vitat s",329,48,130,0,hungary_1998_BasicPrinciplesOfSecurityAndDefensePolicy_noneng.md,2025-01-28 18:58:18
5,"##zabo janos honvedelmi miniszter nyitotta meg, aki az akkori tortenelmi helyzetbol a kozelgo nato - tagsagot emelte ki. a felszolalok kozul mecs imre es perlaki jeno modosito inditvanyt nyujtott be az alapelvekkel kapcsolatban, igy azokat a bizottsagok ujra megtargyaltak. a mar korabban emlitett kulugyi es a honvedel",319,47,132,0,hungary_1998_BasicPrinciplesOfSecurityAndDefensePolicy_noneng.md,2025-01-28 18:58:18
6,"##mi bizottsag 1998. december 16 - an ult ossze ujra, am a modositasokat nem fogadta el, igy javaslataikat a kepviselok visszavontak. az orszaggyules vegul 1998. december 28 - an fogadta el a 94 / 1998 ( xii. 29. ) ogy - hatarozatot a magyar koztarsasag biztonsag - es vedelempolitikai alapelveirol. a hatarozat 17 pontbol all, ne",330,56,132,0,hungary_1998_BasicPrinciplesOfSecurityAndDefensePolicy_noneng.md,2025-01-28 18:58:18
7,"##m bomlik kulon alfejezetekre. a biztonsagpolitika celjait tekintve, a celrendszer altalanos, es mar beintegralodott a washingtoni szerzodes ( 1949 ) pontjaibol adodo kotelezettsegek vallalasa is. a biztonsag fogalmat atfogo ertelemben hasznalja a hatarozat, s oszthatatlannak tekinti. ( ujra kozreadja ignath eva",314,41,132,0,hungary_1998_BasicPrinciplesOfSecurityAndDefensePolicy_noneng.md,2025-01-28 18:58:18
8,) forrasok : az orszaggyules 1998. december 15 - ei ulesenek jegyzokonyve. letoltheto : http : / / www. mkogy. hu / internet / plsql / ogy _ naplo. naplo _ fadat _ aktus? p _ ckl = 36 & p _ uln = 43 & p _ felsz = 351 & p _ felszig = 363 & p _ aktus = 65 az orszaggyules 1998. december 28 - i ulesenek jegyzokonyve.,314,72,130,0,hungary_1998_BasicPrinciplesOfSecurityAndDefensePolicy_noneng.md,2025-01-28 18:58:18
9,letoltheto : http : / / www. parlament. hu / internet / plsql / ogy _ naplo. naplo _ fadat _ aktus? p _ ckl = 36 & p _ ul n = 45 & p _ felsz = 28 & p _ felszig = 30 & p _ aktus = 11 a 94 / 1998 ( xii. 29. ) ogy hatarozat a magyar koztarsasag biztonsag - es vedelempolitikai alapelveirol letoltheto : http : / / www.,315,77,130,0,hungary_1998_BasicPrinciplesOfSecurityAndDefensePolicy_noneng.md,2025-01-28 18:58:18
10,complex. hu / kzldat / o98h0094. htm / o98h0094. htm 1,54,11,33,0,hungary_1998_BasicPrinciplesOfSecurityAndDefensePolicy_noneng.md,2025-01-28 18:58:18
11,# 94 / 1998. ( xii. 29. ) ogy hatarozat a magyar koztarsasag biztonsag - es vedelempolitikajanak alapelveirol,109,18,47,1,hungary_1998_BasicPrinciplesOfSecurityAndDefensePolicy_noneng.md,2025-01-28 18:58:18
12,"# # az orszaggyules 1. elfogadja a magyar koztarsasag biztonsag - es vedelempolitikajanak alapelveit ; 2. felkeri a kormanyt, hogy a biztonsag - es vedelempolitikai feladatok vegrehajtasarol legalabb evente egy alkalommal szamoljon be az orszaggyulesnek. 3. ez a hatarozat a magyar koztarsasagnak az eszak - at",310,46,130,2,hungary_1998_BasicPrinciplesOfSecurityAndDefensePolicy_noneng.md,2025-01-28 18:58:18
13,"##lanti szerzodeshez torteno csatlakozasarol es a szerzodes szovegenek kihirdeteserol szolo torveny 2. § - a hatalybalepesenek napjan lep hatalyba. ezzel egyidejuleg hatalyat veszti a magyar koztarsasag biztonsagpolitikajanak alapelveirol szolo 11 / 1993. ( iii. 12. ) ogy hatarozat, es a magyar koztarsasag honved",314,43,132,2,hungary_1998_BasicPrinciplesOfSecurityAndDefensePolicy_noneng.md,2025-01-28 18:58:18
14,##elmenek alapelveirol szolo 27 / 1993. ( iv. 23. ) ogy hatarozat.,66,12,32,2,hungary_1998_BasicPrinciplesOfSecurityAndDefensePolicy_noneng.md,2025-01-28 18:58:18
15,"# # a magyar koztarsasag biztonsag - es vedelempolitikajanak alapelvei az utobbi evek soran magyarorszag kulso biztonsagi helyzeteben meghatarozo jelentosegu valtozas kovetkezett be, dontoen az euroatlanti integracio teren elert eredmenyek kovetkezteben. a nato - tagsag eleresevel, valamint az europai uniohoz torteno csatlako",327,42,130,3,hungary_1998_BasicPrinciplesOfSecurityAndDefensePolicy_noneng.md,2025-01-28 18:58:18
16,"##zasi folyamat gyakorlati elorehaladasaval az orszag intezmenyesen is az euroatlanti terseg demokratikus, fejlett es stabil orszagai kozossegenek tagjava valt. mindezek szuksegesse teszik a magyar koztarsasag biztonsag - es vedelempolitikai alapelveinek ujrafogalmazasat. 1. a magyar koztarsasag a biztonsagot atfogo modon",323,39,132,3,hungary_1998_BasicPrinciplesOfSecurityAndDefensePolicy_noneng.md,2025-01-28 18:58:18
17,"ertelmezi, amely a hagyomanyos politikai es katonai tenyezokon tul magaba foglalja a szeles ertelemben vett biztonsag egyeb - gazdasagi es penzugyi, emberi jogi es kisebbsegi, informacios es technologiai, kornyezeti, valamint nemzetkozi jogi - dimenzioit is. a globalis kihivasok, a nemzetkozi politikaigazdasagi kolc",317,42,130,3,hungary_1998_BasicPrinciplesOfSecurityAndDefensePolicy_noneng.md,2025-01-28 18:58:18
18,"##sonos fuggoseg, a technologiai fejlodes vilagaban az euroatlanti terseg biztonsaga oszthatatlan. 2. a ketpolusu nemzetkozi rendszer idoszakahoz kepest minimalisra csokkent egy vilagmeretu fegyveres konfliktus veszelye, ugyanakkor lenyegesen megnott es osszetettebbe valt a kockazatok es veszelyforrasok kore. magyar",317,37,132,3,hungary_1998_BasicPrinciplesOfSecurityAndDefensePolicy_noneng.md,2025-01-28 18:58:18
19,"##orszag biztonsagara elsosorban az euroatlanti regio biztonsaganak alakulasa es a tersegeben vegbemeno politikai - tarsadalmigazdasagi folyamatok gyakorolnak hatast, de az orszag nem fuggetlenitheti magat a globalis veszelyforrasoktol sem. szovetsegi rendszerhez valo kapcsolodasa ezek kezeleseben tovabbi felelosseget es egy",326,38,132,3,hungary_1998_BasicPrinciplesOfSecurityAndDefensePolicy_noneng.md,2025-01-28 18:58:18
20,"##uttal megnovelt lehetosegeket teremt. novekvo kockazatot jelentenek az eltero tarsadalmi fejlodesbol fakado, orszagok es csoportok kozotti, atmeneti vagy tartos ellentetek, a gazdasagi, penzugyi es tarsadalmi valsagok, az etnikai es vallasi feszultsegek, a terrorizmus, a szervezett bunozes, az illegalis kabitoszer - es fegy",327,42,132,3,hungary_1998_BasicPrinciplesOfSecurityAndDefensePolicy_noneng.md,2025-01-28 18:58:18
21,"##verkereskedelem, a demografiai feszultsegek, a tomeges migracio es a nagyfoku kornyezeti artalmak. fokozodo kihivast es veszelyt jelent a tomegpusztito fegyverek es azok hordozoeszkozeinek elterjedese, valamint az informacios rendszerek elleni tamadasok lehetosege. emellett az allamok kozotti feszultsegek, illetve allamo",324,38,132,3,hungary_1998_BasicPrinciplesOfSecurityAndDefensePolicy_noneng.md,2025-01-28 18:58:18
22,"##kon beluli fegyveres konfliktusok ma is jelen vannak europaban. regionkban sajatos veszelyforraskent jelentkezik az atalakulasbol fakado instabilitas es kiszamithatatlansag, a demokratizalodasi folyamatok torekenysege. biztonsagi kornyezetunk sajatossaga, hogy az uj tipusu es a hagyomanyos kihivasok gyakran egyidejuleg es egy",329,38,133,3,hungary_1998_BasicPrinciplesOfSecurityAndDefensePolicy_noneng.md,2025-01-28 18:58:18
23,"##mast erositve jelennek meg. 3. a magyar koztarsasag biztonsagpolitikajanak fo celja, hogy - szavatolja az orszag fuggetlenseget, szuveren allamisagat es teruleti epseget ; - megfelelo korulmenyeket teremtsen az alkotmanyban lefektetett elvek ervenyre jutasahoz, elosegitse a jogallamisag ervenyesuleset, a",307,38,131,3,hungary_1998_BasicPrinciplesOfSecurityAndDefensePolicy_noneng.md,2025-01-28 18:58:18
24,"demokratikus intezmenyek es a piacgazdasag zavartalan mukodeset, hozzajaruljon az orszag belso stabilitasahoz ; - elomozditsa a magyar koztarsasagban az allampolgari, az emberi, valamint a nemzeti es etnikai kisebbsegi jogok teljes ervenyesuleset ; - megfelelo felteteleket biztositson a magyar koztarsasag teruleten elok el",324,42,130,3,hungary_1998_BasicPrinciplesOfSecurityAndDefensePolicy_noneng.md,2025-01-28 18:58:18
25,"##et -, vagyon - es szocialis biztonsaganak ervenyesulesehez, a nemzeti vagyon megorzesehez ; - hozzajaruljon az eszak - atlanti szerzodesben foglaltak megvalosulasahoz, szovetsegesei biztonsagahoz ; - elosegitse a nemzetkozi beke fennmaradasat, az euroatlanti terseg, europa es szukebb regioja biztonsaganak,",309,39,132,3,hungary_1998_BasicPrinciplesOfSecurityAndDefensePolicy_noneng.md,2025-01-28 18:58:18
26,"stabilitasanak erositeset ; - hozzajaruljon a magyar koztarsasag nemzetkozi gazdasagi, politikai, kulturalis es egyeb kapcsolatai, egyuttmukodese felteteleinek biztositasahoz. 4. a fenti celokat a magyar koztarsasag az alkotmannyal osszhangban, a nemzetkozi jog normainak, kulonosen az egyesult nemzetek szervezete ala",318,38,130,3,hungary_1998_BasicPrinciplesOfSecurityAndDefensePolicy_noneng.md,2025-01-28 18:58:18
27,"##pokmanyaban, az europai biztonsagi es egyuttmukodesi szervezet, az europa tanacs dokumentumaiban es az eszakatlanti szerzodesben megfogalmazott alapelveknek es kotelezettsegvallalasoknak megfeleloen, tovabba mas vonatkozo nemzetkozi dokumentumokban, a regionalis es ketoldalu szerzodesekben vallalt kotelezettsegeit tisz",322,33,132,3,hungary_1998_BasicPrinciplesOfSecurityAndDefensePolicy_noneng.md,2025-01-28 18:58:18
