chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"# miniszteri eloszo magyarorszag nemzeti katonai strategiajahoz a xxi. szazad masodik evtizedenek kezdeten a kiszamithatatlan globalis folyamatok es az azokbol fakado biztonsagi kihivasok kovetkezteben a haderok, igy a magyar honvedseg szerepe felertekelodik. az elmult ket evtized alatt, szamos atalakitast kovetoen kialakult",326,41,130,0,hungary_2014_NationalMilitaryStrategy_noneng.md,2025-01-28 18:57:39
2,struktura es a megorokolt haditechnika ugyanakkor csak korlatozott mertekben alkalmas a jovo szerteagazo es komplex kihivasainak kezelesere. a hagyomanyos es az uj kihivasoknak is megfelelni kepes hadero kialakitasa es felkeszitese jelentos idot es forrasokat vesz igenybe. a jovo haboruira nem lehet pusztan a jelenkori tapas,326,45,130,0,hungary_2014_NationalMilitaryStrategy_noneng.md,2025-01-28 18:57:39
3,"##ztalatokra epitve felkeszulni, igy kulonos jelentosege van annak, hogy idoben felismerjuk a valtozasok iranyait. a nemzeti katonai strategia celja, hogy napjaink konfliktusainak tapasztalatait es a varhato kihivasokat figyelembe veve kijelolje azt az utat, amely kozep - es hosszu tavon meghatarozza a magyar hadero alkal",323,44,132,0,hungary_2014_NationalMilitaryStrategy_noneng.md,2025-01-28 18:57:39
4,"##mazasanak lehetosegeit, kepessegfejlesztesenek iranyait. a magyar honvedseg a megujulas utjara lepett. ennek egyik fontos lepeset jelenti az uj nemzeti katonai strategia megalkotasa. a strategia a realitasok figyelembevetelevel, ugyanakkor kello ambicioval vazolja fel a hadero jovokepet. tudataban vagyunk annak, hogy ren",324,40,132,0,hungary_2014_NationalMilitaryStrategy_noneng.md,2025-01-28 18:57:39
5,"##dkivuli feladatot vallaltunk magunkra : mind moralisan, mind szakmailag uj alapokra helyezzuk honvedelmunket egy gazdasagi valsaggal terhelt idoszak kozepette. az elottunk allo feladat egyszerre igenyel kierlelt viziot, strategiai gondolkodast, elszantsagot, kitartast es mindenekelott kovetkezetes vegrehajtast. fel kell hagynu",330,38,132,0,hungary_2014_NationalMilitaryStrategy_noneng.md,2025-01-28 18:57:39
6,"##nk azzal a korabban meghonosodott, kenyelmes, ugyanakkor rendkivul veszelyes hozzaallassal, amely szerint erdemi onero nelkul, minimalis sajat kepessegekre tamaszkodva, csupan a nato es az europai unio tagorszagainak szolidaritasaban bizva is meg lehet oldani a haza vedelmet. ezzel a szovetseg szellemisegetol is tavo",320,42,132,0,hungary_2014_NationalMilitaryStrategy_noneng.md,2025-01-28 18:57:39
7,"##l allo hozzaallassal pusztan a honvedseg leepitesenek keserves utjat lehet tovabb folytatni. csak eros, magabiztos, onmagara joggal buszke haderovel tudunk hazank, europa es a nato szolgalatara lenni. az uj nemzeti katonai strategia ezt a szemleletet tukrozi, es biztosit iranymutatast a magyar honvedseg megujulasahoz",320,43,132,0,hungary_2014_NationalMilitaryStrategy_noneng.md,2025-01-28 18:57:39
8,". a valosagos helyzettel szamot veto nemzeti katonai strategia hijan konnyen utat teveszthetnenk szamtalan buktatoval jaro kuldetesunk soran. bizom benne, hogy a strategia tajekozodasi pontot tud nyujtani a tema irant erdeklodest mutato honfitarsaink szamara is, tovabb novelve a honvedelem ugyenek tarsadalmi tamogatottsagat. dr",329,43,130,0,hungary_2014_NationalMilitaryStrategy_noneng.md,2025-01-28 18:57:39
9,. hende csaba honvedelmi miniszter,34,5,14,0,hungary_2014_NationalMilitaryStrategy_noneng.md,2025-01-28 18:57:39
10,# magyarorszag nemzeti katonai strategiaja,42,5,18,1,hungary_2014_NationalMilitaryStrategy_noneng.md,2025-01-28 18:57:39
