chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,[ hadisir. hu | ] ( http : / / hadisir. hu / ) [ honvedkorhaz. hu | ] ( http : / / honvedkorhaz. hu / ) [ hadkiegeszites. hu | ] ( http : / / hadkiegeszites. hu / ) [ kormany. hu ] ( http : / / kormany. hu / ) + 36 30 276 4840 szerkesztoseg @ hmzrinyi. hu,255,64,108,0,hungary_2021_NationalMilitaryStrategy.md,2025-01-28 18:55:44
2,"# national military strategy of hungary 21 : 27 october 13, 2021 * * government of hungary * * published : the hungarian gazette * * the government * * * * - - - - - - - - - - - - - - - - - - - * * * * resolution 1393 / 2021 ( vi. 24 ) * * * * on the national military strategy of hungary * * having regard to clause 17 of parliamentary resolution 94 / 1998 ( xii. 29 ) on the principles of the security and defence policy of the republic of hungary and clause 2 of government resolution 1163 / 2020 ( iv. 21. ) on the national",527,121,130,1,hungary_2021_NationalMilitaryStrategy.md,2025-01-28 18:55:44
3,"security strategy of hungary, hereby adopts the following resolution : 1. the government hereby establishes the national military strategy of hungary as set out in annex 1. 2. this resolution shall enter into force on the day following its publication. 3. government resolution no. 1656 / 2012 ( xii. 20. ) on the national military strategy of hungary shall cease to be in force. - - - - - ( viktor orban ) prime minister _ annex 1 to government resolution 1393 / 2021. ( vi. 24. ) _ * * the national military strategy of hungary * *",533,99,119,1,hungary_2021_NationalMilitaryStrategy.md,2025-01-28 18:55:44
4,"# # # introduction the defence of the homeland is a whole - of - nation cause. in addition to the development of the capabilities of the armed forces, it requires close cooperation between the organisations involved in national defence, the development of the national defence industry in line with the growth of the economy, broad social cohesion and the commitment of citizens to the defence of their homeland. the national military strategy ( hereinafter referred to as the strategy ) provides guidance for achieving this. as a result of the efforts of the hungarian nation, the hungarian government and the hungarian military, the zrinyi defence and force development programme ( hereinaft",693,112,130,2,hungary_2021_NationalMilitaryStrategy.md,2025-01-28 18:55:44
5,"##er referred to as the zrinyi hhp ) will create a military force worthy of a millennial state, increasing the security of hungarian citizens, and the military - industrial capacities necessary to maintain it. the renewing hungarian defence forces will develop and organise their capabilities in line with the government ' s defence policy considerations, ensuring the defence of the country ' s sovereignty, territorial integrity and citizens, and the enforcement of its interests. as a result of the force development, hungary ' s military self - reliance will increase signi ` cantly, which is crucial not only for its selfdefence and deterrence capabilities, but also to",674,107,132,2,hungary_2021_NationalMilitaryStrategy.md,2025-01-28 18:55:44
6,"remain an effective contributor to regional, european and transatlantic security efforts. - - - - - hungary does not consider any state an enemy. nonetheless, a renewed national armed forces is more vital in the rapidly changing security environment of the 21 century than at anyst time following the cold war. the cornerstone of our country ' s security is the collective defence ensured within the north atlantic treaty organisation ( hereinafter : nato ), but a national armed forces is the primary prerequisite of this cooperation in alliance. in our volatile and unpredictable security environment, crises can develop unpredictably directly on hungary ' s borders, in our intermediate region",696,110,130,2,hungary_2021_NationalMilitaryStrategy.md,2025-01-28 18:55:44
7,"or at strategic distances. in a modern globalised world, even distant crises can rapidly spill over into the region and the territory of the country, undermining the security of citizens and the homeland, as the illegal migration crisis of 2015 demonstrated. in addition to non - military means, the more frequent aggressive use of military force is playing an increasing role in the arsenal of state actors. this particularly justi ` es the reinforcement of national resilience and the strengthening of the capabilities and preparedness of the armed forces, with a view to successfully accomplishing armed defence and collective defence tasks as and when required, and typically international crisis management operations",722,111,130,2,hungary_2021_NationalMilitaryStrategy.md,2025-01-28 18:55:44
8,"for common causes. hungary ' s strategic objective is to develop the hungarian defence forces by 2030 so as to become a key military force in the region which, as a member of nato, can ensure the country ' s security, deter any eventual aggression, support the joint defence by the government against military and non military threats and challenges, and ful ` l its responsibilities as a member of the alliance and the european union. zrinyi hhp provides the framework for achieving this. in parallel with the implementation of the comprehensive programme, it is a national strategic priority objective for hungary to become the key defence industrial centre of the region. the",678,113,130,2,hungary_2021_NationalMilitaryStrategy.md,2025-01-28 18:55:44
9,"country ' s military security is based on complementary pillars. one pillar is a state - of - the - art national armed force, complemented by higher level defence systems and forms of collaboration of regional cooperation. the second pillar of the military dimension of our security is the collective defence provided by nato, complemented by the common security and defence policy ( csdp [ 1 ] ) of the european union - - - - - ( hereinafter : eu ), including the mutual assistance clause, as well as the fora for cooperation within the united nations ( hereinafter : un ) and the organisation for security and cooperation in europe",633,112,130,2,hungary_2021_NationalMilitaryStrategy.md,2025-01-28 18:55:44
10,"( hereinafter : osce ). building security is a long - term endeavour that requires longterm investment. preparing for the threats of tomorrow must start today. the defence of a country is built on complex and interdependent security elements comprising economic, political, social, environmental, cyber and information dimensions alongside the military aspect. today ' s state and non - state threats and challenges may occur across the full spectrum of these security dimensions in many combinations, and therefore defence cannot be treated in isolation from other aspects of security. addressing security challenges goes beyond the competence of individual sector ministries and requires cross - governmental cooperation, while military",738,108,130,2,hungary_2021_NationalMilitaryStrategy.md,2025-01-28 18:55:44
11,"capabilities will continue to play a key role in the implementation of home defence tasks. in view of the above, the scope of the strategy shall cover all defence sector activities and organisations involved in the defence of the country and in providing capabilities related to our allied commitments, but shall principally provide guidance to the hungarian defence forces. based on the national security strategy ' s assessment of the security environment, and taking into account relevant nato and european union documents, the strategy sets out the deployment environment for the armed forces until the end of the 2020s. it sets out the main principles, directions and parameters for the deployment and sustainment of the armed forces.",739,117,130,2,hungary_2021_NationalMilitaryStrategy.md,2025-01-28 18:55:44
12,"it de ` nes the objectives and means to transform the hungarian defence forces into a modern, sustainable, iexible and effective force with a balanced structure, with high combat effectiveness, capable of being deployed in a wide range of crisis situations. in line with the objectives of the other sectoral strategies of the national security strategy concerning the implementation of defence tasks, the strategy provides guidance for the development of the organisational, human, doctrinal, educational, training and leadership areas of the overall defence capabilities, the organisational culture of the hungarian defence forces, the strengthening of national - - - - - defence cooperation processes and the conscious increase of",732,109,130,2,hungary_2021_NationalMilitaryStrategy.md,2025-01-28 18:55:44
13,"defence industrial capabilities, in addition to the tasks of force development.",79,11,15,2,hungary_2021_NationalMilitaryStrategy.md,2025-01-28 18:55:44
14,"# # # 1. the operational environment of the 21st century the global and european security environment is characterised by instability and unpredictability. crises in distant regions may have a short - term impact on hungary ' s security, increasing the number and scope of threats and challenges to our country. overall, the global security situation is deteriorating. the shifting balance of power is accompanied by a renewed intensi ` cation of superpower rivalries and an increased risk of confrontation. the rapid development of itc capabilities, the gradual proliferation of ground - breaking disruptive technologies [ 2 ] and the increasing ease and speed of access to them are sign",688,110,130,3,hungary_2021_NationalMilitaryStrategy.md,2025-01-28 18:55:44
15,"##i ` cantly increasing the number of actors with the potential to have a signi ` cant impact on global security, thus increasing unpredictability. in the 21st century, while the purpose of war remains unchanged, the theatres, forms and means of war are broadening with its characteristics changing and increasingly extending to the non - military dimensions of security. although the use of military force remains a priority, states are seeking to minimise military confrontation in time and space, and incidents that do not rise to the level of armed coniict and are dijcult to monitor are increasingly coming to the fore. in such so -",637,106,132,3,hungary_2021_NationalMilitaryStrategy.md,2025-01-28 18:55:44
16,"called hybrid warfare, state and non - state actors seek to advance their interests to the detriment of the opposing side through the coordinated use of military and non - military means for a speci ` c strategic objective, and may take steps to exacerbate the challenges and crises threatening hungary. other characteristics of the contemporary operational environment include the active and targeted iniuencing of domestic and international public opinion via public diplomacy and strategic communications ; the manipulation of information channels and social media platforms within the - - - - - framework of information operations ; the fuelling of societal, political and economic instability ; the exploitation of crises, along with",738,113,130,3,hungary_2021_NationalMilitaryStrategy.md,2025-01-28 18:55:44
17,"the use of conditional military and economic ` nancial assistance as a means to exert iniuence and pressure. the use of substitute ( proxy ) forces, criminal and terrorist groups with covert state support and control, and government actors disguised as ngos, has become more prominent. the emergence of non - military operations automatically implies a blurring of the line between war and peace. recent years have seen decisive changes in the global technological environment. disruptive technologies are overriding existing traditional procedures and application principles, disrupting processes and changing them, even at the risk of taking risks, in a radically new way, by means of a radically new solution",711,109,130,3,hungary_2021_NationalMilitaryStrategy.md,2025-01-28 18:55:44
18,"or tool, in a revolutionary new direction. one of the characteristics of today ' s technological developments is that the latest tools and technologies are appearing in civilian trade at the same time as, or even before, the defence sector, in order to gain economic advantage. arti ` cial intelligence robots in all domains, revolutionary drone swarm technology, human - robot collaborative military task execution, automated decision - making technologies, military applications of 3d printing, cyberspace operations and directed - energy weapons, and military hardware with high precision and autonomous strike measurement capabilities are fundamentally changing the rules and procedures of current warfare. future theatres of war will see the emergence of",759,112,130,3,hungary_2021_NationalMilitaryStrategy.md,2025-01-28 18:55:44
19,"smaller adversaries with advanced technological support. these changes put pressure on international security systems, organisations and procedures tailored to former conventional dimensions of warfare, which therefore need to be modernised in light of new security threats. international ( political, legal, economic, security and defence policy - related, arms control, etc. ) regimes, together with nato, the eu and their respective member states, including hungary, must continually and iexibly adapt their ends, ways and means to an ever - changing environment. in modern warfare, the line between the strategic and the tactical level becomes blurred, and the concept of victory has changed : the aggre",707,104,130,3,hungary_2021_NationalMilitaryStrategy.md,2025-01-28 18:55:44
20,"##ssor no longer needs to occupy the - - - - - enemy s territory, destroy its armed forces and equipment, or annihilate its entire economic potential in order to achieve its political objectives. to secure victory, it may prove sujcient to just attack the enemy ’ s state and public administration command and control facilities and critical infrastructure using strategic strike capabilities and high - precision weapons systems, to disable its communications systems, to impede the political leadership ’ s ability to act, or to strike the command facilities of the opponent ’ s armed forces and defence infrastructure – in sum, to gain total control over the target state",674,111,132,3,hungary_2021_NationalMilitaryStrategy.md,2025-01-28 18:55:44
21,". space, as the domain of deployment of the latest technologies, offers superpowers the opportunity to gain military or security advantage in peacetime already through the deployment of assets over land, sea and oceans, while in times of war to be able to operate strategic weapon systems, provide for an appropriate level of theatre reconnaissance, take full control and carry out strikes if necessary. in the case of global and regional wars, the opposing parties are able to ` ght with all means at their disposal and in all theatres of war, without restrictions. in the event of a largescale and intensive global war, hungary – as a member of nato",651,111,130,3,hungary_2021_NationalMilitaryStrategy.md,2025-01-28 18:55:44
