chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,# icelandic national cyber security strategy 2015 – 2026 # # plan of action 2015 – 2018 summary in english of the icelandic national cyber security strategy approved by the minister of the interior in april 2015 ministry of the interior june 2015 - - - - -,256,48,51,0,iceland_2014_NationalCyberSecurityStrategy.md,2025-01-28 18:56:08
2,# # # contents future vision and strategy regarding cyber security....................................................................... 3 future vision 2026.........................................,199,15,130,1,iceland_2014_NationalCyberSecurityStrategy.md,2025-01-28 18:56:08
3,...................................................................................... 3 main strategy aims......................................,145,5,130,1,iceland_2014_NationalCyberSecurityStrategy.md,2025-01-28 18:56:08
4,......................................................................................... 3 introduction.....................................,141,3,130,1,iceland_2014_NationalCyberSecurityStrategy.md,2025-01-28 18:56:08
5,....................................................................................................... 4 strategy and action in iceland : taking the initiative on security.............,185,13,130,1,iceland_2014_NationalCyberSecurityStrategy.md,2025-01-28 18:56:08
6,..................................... 5 review of the strategy and action plan...................................................................................,161,9,130,1,iceland_2014_NationalCyberSecurityStrategy.md,2025-01-28 18:56:08
7,...... 6 2 - - - - -,20,8,15,1,iceland_2014_NationalCyberSecurityStrategy.md,2025-01-28 18:56:08
8,# # # future vision and strategy regarding cyber security this is a summary of iceland ’ s future vision 2026 on national cyber security and main strategy * * _ aims. the introduction describes the work of the task force which prepared the strategy and action _ * * plan ; subsequently presenting a survey of various cyber security threats and stressing the importance of tackling them. this is followed by a discussion of how well iceland is prepared to deal with these threats and what can be done to take the initiative and use cyber security as a means of promoting progress and welfare.,591,106,114,2,iceland_2014_NationalCyberSecurityStrategy.md,2025-01-28 18:56:08
9,"# # # future vision 2026 iceland should have an internet culture that is sound, promotes human rights, protects the individual and respects freedom of action to support economic prosperity and development. security in cyber space should be one of the main cornerstones of economic prosperity in iceland, resting on a foundation of sophisticated awareness of security issues and adequate legislation. at the same time, iceland must be prepared to tackle cybercrime, respond to cyber - threats and take measures to prevent espionage and the abuse of personal and commercial data.",577,91,105,3,iceland_2014_NationalCyberSecurityStrategy.md,2025-01-28 18:56:08
10,"# # # main strategy aims 1. * * capacity building. the public, enterprises and government should have the knowledge, skills * * and equipment needed to cope with cyber security threats. 2. * * increased resilience. key factors in enhanced resilience are greater capacity in the fields of * * assessment, preparedness and response. the aim is to raise the resilience of iceland ’ s information systems and their preparedness to a level comparable with that of the other nordic countries. this should be done through, amongst other things, improving capacity in threat assessment, enhanced cooperation and making security concerns an integral part of the maintenance",664,107,130,4,iceland_2014_NationalCyberSecurityStrategy.md,2025-01-28 18:56:08
