chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"# net - og upplysingaoryggi stefna 2014 - 2025 [UNK]! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png ) [UNK] [UNK] 0000011001000110101 drog til kynningar - 26. november * * 2014 * * enginn maður er * eyland *, einhlitur sjalfum ser ; serhver maður er brot meginlandsins, hluti * veraldar * ; ef sjavarbylgjur skola * moldarhnef",324,65,130,0,iceland_2014_NationalCyberSecurityStrategy_noneng.md,2025-01-28 18:57:36
2,"##a * til * hafs *, minnkar * evropa *, engu siður en eitt * annes * væri, engu siður en * oðal vina * þinna eða * sjalfs þin * væri ; * dauði * serhvers manns smækkar mig, af þvi eg er islunginn * mannkyninu * ; spyr þu þvi aldrei hverjum * klukkan * glymur ; hun glymur þer.",276,62,132,0,iceland_2014_NationalCyberSecurityStrategy_noneng.md,2025-01-28 18:57:36
3,"john donne, 1579 - 1631, i þyðingu stefans bjarman a upphafi bokar hemingways, hverjum klukkan glymur. avarp raðherra ( kemur siðar ) | efnisyfirlit | | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -",278,89,130,0,iceland_2014_NationalCyberSecurityStrategy_noneng.md,2025-01-28 18:57:36
4,"- - - - - - - - | | avarp raðherra | | framtiðarsyn og stefna um net - og upplysingaoryggi | | framtiðarsyn 2025 | | meginmarkmið stefnu. | | inngangur … | | netið : tækifærin, traustið og ognirnar. | | traust - undirstaða notkunar netsins | | vaxandi ogn vegna glæpa og oheimillar sofnunar og ny",296,60,130,0,iceland_2014_NationalCyberSecurityStrategy_noneng.md,2025-01-28 18:57:36
5,##tingar upplysinga | | aherslur grannþjoða | | abati af samvinnu mismunandi aðila a grunni stefnu. | | staða a islandi varðandi net - og upplysingaoryggi | | stefna og aðgerðir herlendis : með oryggi til soknar. | | lysing meginmarkmiða. | | endurskoðun stefnu og aðgerðaaætlunar. |! [ 1 _,290,51,132,0,iceland_2014_NationalCyberSecurityStrategy_noneng.md,2025-01-28 18:57:36
6,image _ 0. png ] ( 1 _ image _ 0. png ),39,13,19,0,iceland_2014_NationalCyberSecurityStrategy_noneng.md,2025-01-28 18:57:36
7,# # framtiðarsyn og stefna um net - og upplysingaoryggi her er sett fram * framtiðarsyn 2025 * um net - og upplysingaoryggi1og * meginmarkmið stefnu * til að na megi þeirri syn. i inngangi er fjallað um vinnu starfshopsins sem vann að motun stefnunnar og aðgerðaaætlun sem byggð er a stefnunni. þvi n,300,54,130,1,iceland_2014_NationalCyberSecurityStrategy_noneng.md,2025-01-28 18:57:36
8,##æst er lyst ymsum ognum við nytingu netsins og mikilvægi þess að brugðist se við þeim. þa er fjallað um hvernig islenskt samfelag er i stakk buið til að glima við þessa ogn og hvað se unnt að gera til að snua vorn i sokn og nyta net - og upplysingaoryggi til framfara og abata. nanari lysingu a,296,58,132,1,iceland_2014_NationalCyberSecurityStrategy_noneng.md,2025-01-28 18:57:36
9,"meginmarkmiðum stefnunnar ma finna aftast. fjallað er um aðgerðaaætlunina i serriti, enda er hun til skamms tima i senn og verður endurskoðuð arlega.",149,23,68,1,iceland_2014_NationalCyberSecurityStrategy_noneng.md,2025-01-28 18:57:36
10,"# # framtiðarsyn 2025 islendingar bui við net sem þeir geti treyst og þar seu i heiðri hofð mannrettindi,! [ 2 _ image _ 0. png ] ( 2 _ image _ 0. png )! [ 2 _ image _ 1. png ] ( 2 _ image _ 1. png ) personuvernd asamt frelsi til athafna, efnahagslegs avinnings og framþrounar. orugg upplysingatækni",299,62,130,2,iceland_2014_NationalCyberSecurityStrategy_noneng.md,2025-01-28 18:57:36
11,"se ein meginstoð hagsældar a islandi, studd af oflugri oryggismenningu og traustri loggjof. jafnframt se samfelagið vel buið til að taka a netglæpum, arasum, njosnum og misnotkun personu - og viðskiptaupplysinga.",212,31,92,2,iceland_2014_NationalCyberSecurityStrategy_noneng.md,2025-01-28 18:57:36
12,"# # meginmarkmið stefnu 1. * * bætt þekking * *. almenningur, fyrirtæki og stjornvold bui yfir þeirri þekkingu, hæfni og tækjum sem þarf til að verjast netognum. 2. * * aukið afallaþol * *. afallaþol upplysingakerfa samfelagsins og viðbunaður verði aukinn þannig að hann",270,45,130,3,iceland_2014_NationalCyberSecurityStrategy_noneng.md,2025-01-28 18:57:36
13,standist samanburð við afallaþol upplysingakerfa a norðurlondum. þetta se t. d. gert með samvinnu og með þvi að oryggi verði orjufanlegur þattur i þroun og viðhaldi net - og upplysingakerfa. 3. * * bætt loggjof * *. islensk loggjof se i samræmi við alþjoðlegar krofur og skuldbindingar a svið,292,49,130,3,iceland_2014_NationalCyberSecurityStrategy_noneng.md,2025-01-28 18:57:36
14,"##i netoryggis og personuverndar. jafnframt styðji loggjofin við nyskopun og uppbyggingu þjonustu sem byggir a oryggi, t. d. hysingu. 4. * * traust loggæsla * *. logregla bui yfir eða hafi aðgang að faglegri þekkingu og bunaði til að leysa ur malum er varða net - og upplysingaorygg",282,48,132,3,iceland_2014_NationalCyberSecurityStrategy_noneng.md,2025-01-28 18:57:36
15,"##i. 1her notað sem þyðing a enska hugtakinu * cyber security *, þar til samstaða næst um aðra þyðingu.",103,19,49,3,iceland_2014_NationalCyberSecurityStrategy_noneng.md,2025-01-28 18:57:36
16,"# # inngangur i juni 2013 var starfshopur um stefnumotun i net - og upplysingaoryggi settur a fot a vegum innanrikisraðuneytisins. aðalverkefni hopsins er að mota stefnu stjornvalda um net - og upplysingaoryggi og vernd upplysingainnviða sem varða þjoðaroryggi, það er upplysingakerfa mikilvægra innviða",303,44,130,4,iceland_2014_NationalCyberSecurityStrategy_noneng.md,2025-01-28 18:57:36
17,samfelagsins. þau kerfi eru þo flest tengd oðrum upplysingakerfum samfelagsins með einum eða oðrum hætti a netinu.,114,17,54,4,iceland_2014_NationalCyberSecurityStrategy_noneng.md,2025-01-28 18:57:36
18,"# # afmorkun stefnu stefnunni er ætlað að na til verndar mikilvægra innviða landsins og nauðsynlegra viðbragðra vegna vaxandi netogna sem steðja að stjornvoldum, viðskiptalifi og borgurum. netið er orðið hluti af hversdagslegu umhverfi nær allra islendinga með æ margvislegri hætti. ory",286,42,130,5,iceland_2014_NationalCyberSecurityStrategy_noneng.md,2025-01-28 18:57:36
