chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,* * b e l f e r c e n t e r s p e c i a l r e p o r t * *,57,29,31,0,israel_2016_DeterringTerror.md,2025-01-28 18:55:36
2,# deterring terror,18,3,6,1,israel_2016_DeterringTerror.md,2025-01-28 18:55:36
3,# # how israel confronts the next generation of threats,55,10,12,2,israel_2016_DeterringTerror.md,2025-01-28 18:55:36
4,"# # # # english translation of the official strategy of the israel defense forces foreword by graham allison * * special report * * august 2016 - - - - - * * belfer center for science and international affairs * * harvard kennedy school 79 jfk street cambridge, ma 02138 * * www. belfercenter. org * * cover image : soldiers from the idf home front command ’ s search and rescue brigade complete their beret march in southern israel after finishing eight months of training, october 4, 2014. ( alexi rosenfeld, idf spokesperson unit cc by - nc 2. 0 ) translation by susan rosenberg research assistance",601,110,130,3,israel_2016_DeterringTerror.md,2025-01-28 18:55:36
5,"by henry rome design & layout by andrew facini copyright 2016, president and fellows of harvard college printed in the united states of america - - - - - * * b e l f e r c e n t e r s p e c i a l r e p o r t * *",211,58,62,3,israel_2016_DeterringTerror.md,2025-01-28 18:55:36
6,# deterring terror,18,3,6,4,israel_2016_DeterringTerror.md,2025-01-28 18:55:36
7,# # how israel confronts the next generation of threats,55,10,12,5,israel_2016_DeterringTerror.md,2025-01-28 18:55:36
8,"# # # # english translation of the official strategy of the israel defense forces foreword by graham allison * * special report * * august 2016 - - - - - in august 2015, the israel defense forces ( idf ) published its first - ever public defense doctrine. authored by new idf chief of general staff lt. gen. gadi eizenkot, the doctrine outlines the military ’ s strategic and operational responses to the main threats facing israel. to make this document, published only in hebrew, accessible to the american strategic community, the belfer center commissioned susan rosenberg to provide an english translation. the center also annotated the doctrine to",653,111,130,6,israel_2016_DeterringTerror.md,2025-01-28 18:55:36
9,"provide context for readers less familiar with the israeli national security environment. selected annotations are included in this print version, with the fully - annotated version available online at belfercenter. org / idfstrategy. - - - - -",244,38,54,6,israel_2016_DeterringTerror.md,2025-01-28 18:55:36
10,"# # # foreword the u. s. is often called a “ laboratory of democracy. ” each of its 50 states address common challenges from education and public safety to promoting economic growth. when one finds a better way to skin a cat, others can learn from its experience. israel might analogously be called a “ laboratory of secu rity. ” facing multiple threats from all directions 24 / 7, israeli national security professionals have demonstrated a remarkable capacity for learning. they experiment, recognize failures, explore alternatives, and apply lessons to the next case. israel ’ s current approach to national security thus reflects lessons learned from many iterations of experience",684,111,130,7,israel_2016_DeterringTerror.md,2025-01-28 18:55:36
11,". much of israel ’ s tactical and strategic thinking occurs behind a veil of secrecy. but in 2015, for the first time in israel ’ s history, chief of the general staff of the israel defense forces lt. gen. gadi eizenkot issued a public version of israel ’ s national security doctrine. unfortunately, it was released only in hebrew. harvard kennedy school ’ s belfer center for science and interna tional affairs is now pleased to be able to present an english translation. the u. s. is not israel. not every security strategy that works for israel is appro priate for america. but by making",591,106,130,7,israel_2016_DeterringTerror.md,2025-01-28 18:55:36
12,"this document available for the american strategic community, the belfer center hopes to encourage a debate about how the lessons learned by israel can inform and enrich our own national security strategy. the online translation of the doctrine includes annotations to provide context for readers less familiar with the israeli national security environment, as well as an article that highlights the idf ’ s decision to make deterrence the centerpiece of its strategy to prevent isil attacks in israel. * * graham allison * * director, belfer center for science and international affairs - - - - -",598,98,112,7,israel_2016_DeterringTerror.md,2025-01-28 18:55:36
