chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,"ministero della difesa! [ 0 _ image _ 0. png ] ( 0 _ image _ 0. png )! [ 0 _ image _ 1. png ] ( 0 _ image _ 1. png ) direttiva generale per l ' attivita amministrativa e la gestione per l ' anno 2020 roma gennaio 2020 pagina non scritta | visto | il decreto legislativo 30 marzo 200 l. n. 165. recante "" norme generali sull ' ordinamenlo del lavoro alle",353,78,130,0,italy_2020_DirettivaGeneralePerLattivitaAmministrativaELaGestione_noneng.md,2025-01-28 18:57:27
2,"dipendenze delle amminislrazioni pubbliche "" e successive modificazioni, con particolare riferimento all ' articolo 14, in base al quale il ministro ogni 3nno, e comunque entro dieci giorni dalla pubblicazione della legge di bilancio, definisce obiettivi, priorita, piani e programmi da attuare ed emana le conseguenti direttive generali per l ' attivita amministrativa e per la gesti",384,57,130,0,italy_2020_DirettivaGeneralePerLattivitaAmministrativaELaGestione_noneng.md,2025-01-28 18:57:27
3,##one ; | | | | | | | | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,259,128,132,0,italy_2020_DirettivaGeneralePerLattivitaAmministrativaELaGestione_noneng.md,2025-01-28 18:57:27
4,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,255,128,130,0,italy_2020_DirettivaGeneralePerLattivitaAmministrativaELaGestione_noneng.md,2025-01-28 18:57:27
5,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,255,128,130,0,italy_2020_DirettivaGeneralePerLattivitaAmministrativaELaGestione_noneng.md,2025-01-28 18:57:27
6,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,255,128,130,0,italy_2020_DirettivaGeneralePerLattivitaAmministrativaELaGestione_noneng.md,2025-01-28 18:57:27
7,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,255,128,130,0,italy_2020_DirettivaGeneralePerLattivitaAmministrativaELaGestione_noneng.md,2025-01-28 18:57:27
8,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,255,128,130,0,italy_2020_DirettivaGeneralePerLattivitaAmministrativaELaGestione_noneng.md,2025-01-28 18:57:27
9,- - - - - - | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - - - - - - - - - - - - | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - - - - - - - - - - - - - | - - - - - - - - -,255,128,130,0,italy_2020_DirettivaGeneralePerLattivitaAmministrativaELaGestione_noneng.md,2025-01-28 18:57:27
10,"| | visto | il decreto | legislativo 7 agosto | 1997, | n. | 279, recante "" individuazione delle | iinila | | | previsionali di base del bilancio dello sialo, riordino del sislema di leso / ' e / ' ia unica e rislnlliurazione del rendiconto generale dello slalo "" e successive modificazioni ; | | | | | | | | | visto | il decreto legislativo 30 lugl io 1999, n.",361,75,130,0,italy_2020_DirettivaGeneralePerLattivitaAmministrativaELaGestione_noneng.md,2025-01-28 18:57:27
11,"286, recante "" riordino e polenziamenro dei meccanismi e slrumenli di moniloraggio e vallltazione dei cosi i, dei rendimenli e dei risulrati delle auivila s1l01le dalle amministrazioni pubbliche, a norma dell ' articolo il della legge 15 marzo 1997, n. 59 "" e successive modificazioni ; | | | | | | | | viste | le direttive della presidenza del consiglio dei ministri del | 12 dicembre",385,68,130,0,italy_2020_DirettivaGeneralePerLattivitaAmministrativaELaGestione_noneng.md,2025-01-28 18:57:27
12,"2000, 15 | | | | | | | novembre 2001, 8 novembre 2002, 27 dicembre 2004, 12 marzo 2007, 25 febbraio 2009, in materia di programmazione strategica ; | | | | | | | | | visto | il decreto legislativo 27 ottobre 2009, n. 150, concernente "" atluazione della legge 4 marzo 2009, n. 15, in materia di oltimizzazione della produllivila dci lavol ' o pubblico e di ~ fjicienza e",369,74,130,0,italy_2020_DirettivaGeneralePerLattivitaAmministrativaELaGestione_noneng.md,2025-01-28 18:57:27
13,"irasparenza delle pubbliche amministrazioni "" e successive modilicazioni ; | | | | | | | | vista | la legge 31 dicembre 2009, il. 196, "" legge di col1labilila e finanza pubblica "" e successive modi ficazion i ; | | | | | | | | visto | il decreto legislativo 15 marzo 20 i 0, il. 66, recante "" codice dell ' ordinamenlo mililare "" e successive modificazioni ; | | | | | |",370,78,130,0,italy_2020_DirettivaGeneralePerLattivitaAmministrativaELaGestione_noneng.md,2025-01-28 18:57:27
14,"| | visto | il decreto del presidente della repubblica 15 marzo 2010, n. 90, recante "" testo unico delle di. posizioni regolamentari in mareria di ordinamento mililare "" e successive modi ficazion i ; | | | | | | | | visto | il decreto del | presidente del | consiglio dei | ministri | 18 | settembre 2012, | recante | | "" definizione | delle | linee | guida generali per l ' individua",385,78,130,0,italy_2020_DirettivaGeneralePerLattivitaAmministrativaELaGestione_noneng.md,2025-01-28 18:57:27
15,"##zione | dei | criteri e delle | | | | me / odologie per la coslruzionc di i / n sisrema di indicatori ai fini della misi / razione dei risultati atlesi dai programmi di bilancio, ai sensi dell ' articolo 23 del decreto legislativo 31 maggio 2011, n. 91 "" ; | | | | | | | | | vista | la legge 6 novembre 2012, n. | 190, recante "" disposizioni per la prevenzione e la |",369,81,133,0,italy_2020_DirettivaGeneralePerLattivitaAmministrativaELaGestione_noneng.md,2025-01-28 18:57:27
16,"| | | | | | repressione | della | corruzione | e | dell ' illegalita | nella pl / bblica | amministrazione "" | e | | successive modificazioni ; | | | | | | | | | vista | la legge 31 dicembre 2012, n. 244, recante "" delega al governo per lo revisione dello strumento mili / are nazionale e norme sulla medesima maleria "" ; | | | | | | | | visto | il decreto legislativo 14 marzo 2013",382,87,130,0,italy_2020_DirettivaGeneralePerLattivitaAmministrativaELaGestione_noneng.md,2025-01-28 18:57:27
17,", n, 33, recante "" riordino della disciplina riguardante gli obblighi di pubblicita, irasparenza e diffusione di infornwzioni da parte delle pubbliche amministrazioni "" e successive modificazioni ; | | | | | | |! [ 2 _ image _ 0. png ] ( 2 _ image _ 0. png ) pagina non scritta | visto | il | decreto | legislativo | 8 aprile 2013, | n. | 39, | recante |",354,73,130,0,italy_2020_DirettivaGeneralePerLattivitaAmministrativaELaGestione_noneng.md,2025-01-28 18:57:27
18,""" disposizioni in | materia | di | | | | | | - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -",264,123,130,0,italy_2020_DirettivaGeneralePerLattivitaAmministrativaELaGestione_noneng.md,2025-01-28 18:57:27
19,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - | - - - - - - - - -,255,128,130,0,italy_2020_DirettivaGeneralePerLattivitaAmministrativaELaGestione_noneng.md,2025-01-28 18:57:27
20,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,255,128,130,0,italy_2020_DirettivaGeneralePerLattivitaAmministrativaELaGestione_noneng.md,2025-01-28 18:57:27
21,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,255,128,130,0,italy_2020_DirettivaGeneralePerLattivitaAmministrativaELaGestione_noneng.md,2025-01-28 18:57:27
