chunk_id,text,char_length,word_count,token_count,section_index,source_file,processed_date
1,- - - - -,9,5,7,0,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
2,# # table of contents executive summary.........................................................................................................................,160,7,130,1,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
3,. iii a vision for national security for jamaica.................................................................................... viii * * chapter one : – strategic environmental analysis.........................,215,19,130,1,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
4,..................... 1 * * introduction.......................................................................................................,143,5,130,1,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
5,................................. 1 setting the context...........................................................................................,146,5,130,1,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
6,................................... 2 the impact of international geo - politics.....................................................................................,165,9,130,1,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
7,....... 3 the global economy.....................................................................................................................,145,5,130,1,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
8,"...... 3 transnational & organised crime....................................................................................................... 4 domestic political maturity and human, social and economic development..",218,16,130,1,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
9,................................... 5 global environmental hazards and disasters...................................................................................... 5,168,8,130,1,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
10,summary of jamaica ’ s security concerns.......................................................................................... 6 * * chapter two : – threats to jamaica ’ s national security * *...............,212,23,130,1,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
11,.................. 8 threats relating to crime.........................................................................................................,151,6,130,1,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
12,............ 8 terrorism..................................................................................................................,138,3,130,1,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
13,........................ 15 military and paramilitary threats...................................................................................................,160,6,130,1,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
14,... 17 disasters & unsustainable loss of natural resources......................................................................... 18 socio - economic threats....................................,195,14,130,1,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
15,................................................................................ 19 key capabilities.............................................,145,4,130,1,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
16,................................................................................... 26 * * chapter three : – the strategy * *..................................,159,12,130,1,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
17,....................................................... 28 the approach......................................................................,141,4,130,1,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
18,............................................................. 28 strategic security goals for jamaica.............................................................,162,7,130,1,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
19,................................... 29 cross - cutting issues........................................................................................,149,6,130,1,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
20,.................................. 29 special security initiatives..........................................................................................,156,5,130,1,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
21,..................... 32 action plan for strategic security goals.......................................................................................... 38 _ goal 1 - to reduce violent crime and,197,18,130,1,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
22,dismantle organised criminal networks.......................... 39 _ _ goal 2 - to strengthen the justice system and promote respect for the rule of law.................... 46 _ _ goal 3 - to protect jamaica from terrorism..............................................,268,34,130,1,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
23,..................................... 53 _ _ goal 4 - to protect and control jamaica ’ s territory...................................................................... 58 _ _ goal 5 - to,187,22,130,1,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
24,strengthen the integrity of institutions of democratic government............................. 65 _ _ goal 6 - to increase jamaica ’ s contribution to regional and international security _.................... 70 _ goal 7 - to provide the environment for a stable economy and effective delivery of social _ _ services _...............................,349,48,130,1,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
25,.................................................................................................. 75 _ goal 8 - to protect jamaica ’ s natural resources and reduce the risk of disasters............,198,19,130,1,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
26,......... 83 _ * * chapter 4 : – coordinating and monitoring mechanisms................................. 89 * * conceptual framework.....................................................................,201,18,130,1,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
27,................................................ 89 national security strategy implementation unit..........................................................................,172,7,130,1,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
28,... 90 specific mechanisms........................................................................................................................ 91 coordination,162,6,130,1,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
29,of intelligence............................................................................................................. 91 enhancing programmes to promote community safety and security........,197,11,130,1,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
30,....................................... 92 - - - - - the public ’ s involvement in implementing the nsp....................................................................... 92 funding,185,18,130,1,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
31,priorities............................................................................................................................. 93 *,140,3,130,1,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
32,* references..............................................................................................................................,138,2,130,1,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
33,....... 94 * * * * glossary..................................................................................................................,141,7,130,1,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
34,........................ 95 * * * * acronyms.................................................................................................,141,7,130,1,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
35,........................................ 97 * * * * annex a.................................................................................,140,8,130,1,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
36,............................................................... i * * methodology for national security strategy development...................... i * * annex b.............................,189,15,130,1,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
37,................................................................................................................. iii * * committees...........,143,5,130,1,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
38,..................................................................................................................... iii * * annex c * *....,141,8,130,1,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
39,................................................................................................................................,128,1,130,1,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
40,....... ix stakeholders consulted.................................................................................................. ix * * annex d...............,161,9,130,1,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
41,............................................................................................................................ xiii * * jamaica,141,5,130,1,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
42,’ s future security sector and coordinating mechanism......... xiii - - - - -,77,14,25,1,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
43,"# # # executive summary 1. security is a public good to be delivered by the state through its agents and institutions. the vision of the government of jamaica for national security is to establish a safe and secure environment in which it can focus on achieving a prosperous, democratic, peaceful, just and dynamic society which upholds the fulfillment of human rights, dignity for all, and build continual social progress based on shared values and principles of partnership. in essence, the * * vision is for all jamaicans to enjoy a better * * quality of life and realise their full potential. 2. national security issues greatly affect the nation ’ s chances of achieving",675,115,130,2,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
44,"its social and economic goals, including ensuring human security for its people. these issues also have local, regional and international dimensions. jamaica competes in a global economy that demands that our goods and services be internationally competitive. open trading practices must be embraced and the smooth transit of goods and movement of persons facilitated through our ports. 3. the trading systems are at risk from illicit movement and proliferation of small arms and light weapons. the trafficking of arms and ammunition is also known to be an integral element of the illegal drug trade. this is of particular concern, because it has a direct bearing on the level of violence and crimes involving assault and, a parallel",733,117,130,2,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
45,"system of enforcement based upon the use of unlawful force has developed to protect the lucrative gains from these illegal activities. not only has the level of violent crime increased over time, but the pattern has also changed and a higher degree of organisation and coordination has emerged. 4. over the decades, the police - community relationship has broken down and an unhealthy mutual distrust prevails, with the frequent cry of “ we want justice ” coming from citizens. the increased frequency of mob killings is indicative of the worrying lack of trust or confidence in our justice system and respect for the law. 5. the country is also grappling with an",663,112,130,2,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
46,"extremely high homicide rate. these homicides are concentrated in known areas, but the phenomenon of murderous conflicts is robbing jamaica of thousands of citizens in their prime. the continuous growth in the number of violent incidents causes many jamaicans at home to live in fear, and influences those in the diaspora to abandon their dream of resettling on the ‘ rock ’. it is now conceded that jamaica has spawned a culture of violence in its most negative form, which is abhorrent to its values and stands in the way of every kind of social progress. these developments and the breakdown of social mores have led to a widespread disrespect",646,110,130,2,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
47,"for the rule of law and the value of human life. 6. essentially, threats to jamaica include those relating to crime, terrorism, military and paramilitary concerns, disasters and unsustainable loss of natural resources, and socio - economic issues. following a careful analysis of the many threats to national - - - - - security and their associated vulnerabilities, it was determined that there are 15 key capabilities that are required to counter or mitigate the country ’ s exposure to these threats. these are the capacity to : - control entry and exit through ports of entry and coastline / land of jamaica - monitor, regulate and control use of",649,110,130,2,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
48,"jamaica ’ s airspace, coastal waters and exclusive economic zone ( eez ) - ensure an effective justice system - prevent crime ( including armed groups and insurgents ) - counter corruption to ensure public ownership of and confidence in the justice system - regulate and control arms - dismantle organised criminal networks - gather, assess and use effective intelligence ( major cross - cutting priority ) - plan to limit vulnerability and respond effectively to disasters and unsustainable degradation of resources - maintain a stable and healthy economy - address social and economic causal factors of alienation and crime - implement public education programmes ( important overall cross - cutting issue ) - ensure adequate healthcare and education",752,119,130,2,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
49,"- influence regional and international policies and activities ( important crosscutting priority ) - deter, counter or defeat ‘ traditional military threats ’ 7. many initiatives have been developed to deal with the scourge of crime and violence with varying degrees of success ; but there is now full recognition that national security encompasses much more than concerns about crime and violence, as critical as these are. 8. national security may be described as the measures taken by a state to ensure the survival, security and protection of its interests. in the jamaican context, national security takes on a broader meaning beyond military defence from external threats. it - - - - - encompasses civil",709,115,130,2,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
50,"defence measures, including emergency preparedness, and the maintenance of law and order internally, through the police and other arms of the justice system. the security of individuals and communities is of similarly high priority. 9. the current challenging security environment locally, coupled with the threat of international terrorism, results in a blurring of traditional agency boundaries with many entities now recognising that they have a role to play in promoting national security. hence, there is a need to enhance coordination and cooperation among the different ministries and national security agencies. * * 10. * * * * the national security policy ( nsp ) cohesively integrates the",698,107,130,2,jamaica_2007_NationalSecurityPolicy.md,2025-01-28 18:56:29
